Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BsqXN1LH76kAqjegAAsTZ,"0LcJLqbBmaGUft1e9Mm8HV","Dancing Queen","Abba Gold Anniversary Edition","ABBA",2014-01-01,231093,48,spotify:user:josafine,2022-09-16T10:46:08Z,"europop,swedish pop",0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,4
5CneYQz33XzOZKBeMOTwFO,"0LcJLqbBmaGUft1e9Mm8HV","Knowing Me, Knowing You","Abba Gold Anniversary Edition","ABBA",2014-01-01,241813,43,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.511,0.821,2,-5.098,1,0.0339,0.019,0.00000618,0.218,0.85,107.109,4
5FUbjEhsAV6SnuA33qhiGa,"0LcJLqbBmaGUft1e9Mm8HV","Take A Chance On Me","Abba Gold Anniversary Edition","ABBA",2014-01-01,246813,45,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.645,0.783,11,-5.414,1,0.0269,0.0321,0,0.492,0.79,106.685,4
4EcCZJiu87nY1EdGtTs1TC,"0LcJLqbBmaGUft1e9Mm8HV","Mamma Mia","Abba Gold Anniversary Edition","ABBA",2014-01-01,210960,43,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.73,0.803,2,-5.31,1,0.0315,0.437,0.000209,0.362,0.829,137.572,4
2Eti9d7wbABR3WKviUuzV8,"0LcJLqbBmaGUft1e9Mm8HV","Lay All Your Love On Me","Abba Gold Anniversary Edition","ABBA",2014-01-01,272506,44,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.694,0.701,0,-6.437,1,0.028,0.0187,0.0491,0.251,0.571,132.999,4
77KOV2BXCOQM2rvC52v4Gd,"0LcJLqbBmaGUft1e9Mm8HV","Super Trouper","Abba Gold Anniversary Edition","ABBA",2014-01-01,251786,43,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.724,0.724,0,-6.378,1,0.0304,0.294,0,0.121,0.927,117.986,4
72FUO1NFsAUYCMEk7ZL3mL,"0LcJLqbBmaGUft1e9Mm8HV","Money, Money, Money","Abba Gold Anniversary Edition","ABBA",2014-01-01,186786,41,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.756,0.74,9,-6.426,0,0.0365,0.428,0.00114,0.0807,0.692,120.445,4
6uVfYIY1HhkhVoomfVLF2P,"0LcJLqbBmaGUft1e9Mm8HV","Thank You For The Music","Abba Gold Anniversary Edition","ABBA",2014-01-01,228613,39,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.288,0.508,4,-6.639,1,0.0411,0.434,0,0.113,0.396,200.361,4
7HI44W4E02t3DefnrBCTvX,"0LcJLqbBmaGUft1e9Mm8HV","Waterloo","Abba Gold Anniversary Edition","ABBA",2014-01-01,165800,41,spotify:user:josafine,2022-09-16T10:47:40Z,"europop,swedish pop",0.409,0.946,2,-2.878,1,0.0551,0.235,0.0000345,0.353,0.707,147.094,4
7tFiyTwD0nx5a1eklYtX2J,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,70,spotify:user:josafine,2022-09-16T10:48:24Z,"classic rock,glam rock,rock",0.391,0.402,0,-9.961,0,0.0539,0.289,0,0.243,0.228,143.879,4
57JVGBtBLCfHw2muk5416J,"1dfeR4HaWDbWqFHLkxsg1d","Another One Bites The Dust - Remastered 2011","The Game (Deluxe Remastered Version)","Queen",1980-06-27,214653,73,spotify:user:josafine,2022-09-16T10:48:28Z,"classic rock,glam rock,rock",0.932,0.528,5,-6.472,0,0.161,0.115,0.329,0.163,0.757,109.975,4
7hQJA50XrCWABAu5v6QZ4i,"1dfeR4HaWDbWqFHLkxsg1d","Don't Stop Me Now - Remastered 2011","Jazz (Deluxe Remastered Version)","Queen",1978-11-10,209413,74,spotify:user:josafine,2022-09-16T10:48:37Z,"classic rock,glam rock,rock",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
35ItUJlMtjOQW3SSiTCrrw,"1dfeR4HaWDbWqFHLkxsg1d","Crazy Little Thing Called Love - Remastered 2011","The Game (Deluxe Remastered Version)","Queen",1980-06-27,163373,72,spotify:user:josafine,2022-09-16T10:48:42Z,"classic rock,glam rock,rock",0.599,0.762,0,-6.887,1,0.0423,0.714,0.00000443,0.35,0.715,76.961,4
6cFZ4PLC19taNlpl9pbGMf,"1dfeR4HaWDbWqFHLkxsg1d","Somebody To Love - Remastered 2011","A Day At The Races (Deluxe Remastered Version)","Queen",1976-12-10,296493,66,spotify:user:josafine,2022-09-16T10:48:47Z,"classic rock,glam rock,rock",0.497,0.693,8,-7.024,1,0.0565,0.19,0,0.215,0.358,111.539,3
11IzgLRXV7Cgek3tEgGgjw,"1dfeR4HaWDbWqFHLkxsg1d,0oSGxfWSnnOXhD2fKuz2Gy","Under Pressure - Remastered 2011","Hot Space (Deluxe Remastered Version)","Queen,David Bowie",1982-05-03,248440,72,spotify:user:josafine,2022-09-16T10:48:58Z,"classic rock,glam rock,rock,art rock,permanent wave",0.671,0.711,2,-7.813,1,0.0478,0.422,0,0.104,0.466,113.809,4
67yd8tyMe2IqDD0VHgzske,"2BTZIqw0ntH9MvilQ3ewNY","Girls Just Wanna Have Fun","Fade To Grey 1980 - 1984","Cyndi Lauper",2013-01-01,230013,0,spotify:user:josafine,2022-09-16T10:49:31Z,"dance pop,new wave pop,permanent wave,soft rock",0.692,0.66,6,-8.309,1,0.0337,0.33,0.0000271,0.431,0.769,120.347,4
2E8K9hwkMlJXn0VvVMj4rO,"4tpUmLEVLCGFr93o8hFFIB","Atomic","Fade To Grey 1980 - 1984","Blondie",2013-01-01,225093,6,spotify:user:josafine,2022-09-16T10:49:49Z,"candy pop,new wave pop,permanent wave,power pop,rock,synthpop",0.512,0.752,4,-8.868,0,0.0329,0.00119,0.0541,0.749,0.792,136.558,4
0apVekqva4c8Ro6DLDVYEu,"0yNLKJebCb8Aueb54LYya3","Blue Monday - 12 Version","Fade To Grey 1980 - 1984","New Order",2013-01-01,448426,0,spotify:user:josafine,2022-09-16T10:49:55Z,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.753,0.716,0,-11.152,1,0.0575,0.00155,0.791,0.105,0.943,130.392,4
3kXBIuIrreFB0cVsdNqrlg,"6ne5YmZH7oCXcZUBsY66sn,6jU2Tt13MmXYk0ZBv1KmfO","Together In Electric Dreams - Remastered 2003 / From Electric Dreams Original Motion Picture Soundtrack","Fade To Grey 1980 - 1984","Phil Oakey,Giorgio Moroder",2013-01-01,231386,4,spotify:user:josafine,2022-09-16T10:50:12Z,"new wave pop,synthpop,disco",0.704,0.618,3,-10.21,1,0.0253,0.124,0.0000052,0.0459,0.769,129.979,4
6fw12s3vAJQAt7lbICodwC,"6V6WCgi7waF55bJmylC4H5","I Will Survive - Original 7 Version","I Will Survive (Phil Kelsey Remix)","Gloria Gaynor",1993-01-01,198373,68,spotify:user:josafine,2022-09-16T10:50:38Z,"disco,soft rock",0.779,0.542,9,-15.137,0,0.0515,0.0358,0.000659,0.33,0.647,116.284,4
5vmRQ3zELMLUQPo2FLQ76x,"2wpWOzQE5TpA0dVnh5YD08","Smalltown Boy","The Age of Consent","Bronski Beat",1984-10-15,302413,80,spotify:user:josafine,2022-09-16T10:50:50Z,"hi-nrg,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.685,0.584,5,-10.616,0,0.0276,0.29,0.01,0.124,0.94,134.546,4
38Ngied9rBORlAbLYNCl4k,"2x9SpqnPi8rlE9pjHBwmSC","Once in a Lifetime - 2005 Remaster","Remain in Light (Deluxe Version)","Talking Heads",1980-10-08,259906,65,spotify:user:josafine,2022-09-16T10:50:55Z,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,4
0qi4b1l0eT3jpzeNHeFXDT,"762310PdDnwsDxAQxzQkfX","Just Can't Get Enough","Speak and Spell (Deluxe)","Depeche Mode",1981-11-02,220893,76,spotify:user:josafine,2022-09-16T10:51:00Z,"dance rock,new romantic,new wave,permanent wave,rock,synthpop",0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,4
343iSx7QQ41UeroboMrhmh,"4tpUmLEVLCGFr93o8hFFIB","Hanging On The Telephone - Remastered","Parallel Lines (Remastered)","Blondie",1978-09-01,142293,54,spotify:user:josafine,2022-09-16T10:51:06Z,"candy pop,new wave pop,permanent wave,power pop,rock,synthpop",0.503,0.824,5,-5.771,0,0.0757,0.00191,0.0000654,0.219,0.581,152.396,4
6TlQ5fbojNRuG0hPQMbxeW,"2DaxqgrOhkeH0fpeiQq2f4","Live Forever - Remastered","Definitely Maybe (Deluxe Edition Remastered)","Oasis",1994,276666,65,spotify:user:josafine,2022-09-16T10:51:26Z,"beatlesque,britpop,madchester,permanent wave,rock",0.286,0.822,9,-3.366,0,0.0381,0.0000231,0.0000131,0.353,0.19,90.96,4
0UvCh63URrLFcPkKt99hHd,"2DaxqgrOhkeH0fpeiQq2f4","Don't Look Back in Anger - Remastered","(What's The Story) Morning Glory? [Remastered]","Oasis",1995-10-02,289560,72,spotify:user:josafine,2022-09-16T10:51:32Z,"beatlesque,britpop,madchester,permanent wave,rock",0.327,0.938,0,-3.237,1,0.0636,0.0707,0.00000379,0.148,0.327,162.933,4
2A7GGXmTlXuH9LOvBXgOX4,"2DaxqgrOhkeH0fpeiQq2f4","Champagne Supernova - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,451320,66,spotify:user:josafine,2022-09-16T10:51:39Z,"beatlesque,britpop,madchester,permanent wave,rock",0.293,0.817,2,-3.786,1,0.039,0.458,0.0509,0.355,0.138,150.249,4
60QLLec3yKDwloXCyummPy,"2DaxqgrOhkeH0fpeiQq2f4","She's Electric - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,220920,62,spotify:user:josafine,2022-09-16T10:51:48Z,"beatlesque,britpop,madchester,permanent wave,rock",0.484,0.905,9,-3.506,1,0.0481,0.146,0.00000113,0.24,0.486,125.414,4
4bQHPFjRT6O1KdMCd4cD9u,"2DaxqgrOhkeH0fpeiQq2f4","Rock 'n' Roll Star - Remastered","Definitely Maybe (Deluxe Edition Remastered)","Oasis",1994,322946,56,spotify:user:josafine,2022-09-16T10:51:58Z,"beatlesque,britpop,madchester,permanent wave,rock",0.315,0.97,4,-3.245,1,0.068,0.000392,0.00255,0.435,0.481,138.206,4
5adjc9rGazKvYcyEHNtoz1,"2DaxqgrOhkeH0fpeiQq2f4","Cigarettes & Alcohol - Remastered","Definitely Maybe (Deluxe Edition Remastered)","Oasis",1994,289146,57,spotify:user:josafine,2022-09-16T10:52:07Z,"beatlesque,britpop,madchester,permanent wave,rock",0.294,0.742,2,-2.334,1,0.0458,0.0000145,0.0311,0.152,0.44,114.87,4
01uctxky5IDj8UQvdmcLIv,"2DaxqgrOhkeH0fpeiQq2f4","She Is Love","Heathen Chemistry","Oasis",2002-07-01,189373,44,spotify:user:josafine,2022-09-16T10:52:18Z,"beatlesque,britpop,madchester,permanent wave,rock",0.463,0.642,0,-6.39,1,0.0299,0.43,0.00000131,0.14,0.506,90.009,4
4Dvkj6JhhA12EX05fT7y2e,"6KImCVD70vtIoJWnq6nGn3","As It Was","Harry's House","Harry Styles",2022-05-20,167303,91,spotify:user:josafine,2022-09-16T10:52:31Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
1qEmFfgcLObUfQm0j1W2CK,"6KImCVD70vtIoJWnq6nGn3","Late Night Talking","Harry's House","Harry Styles",2022-05-20,177954,79,spotify:user:josafine,2022-09-16T10:52:37Z,"pop",0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,4
5LYMamLv12UPbemOaTPyeV,"6KImCVD70vtIoJWnq6nGn3","Music For a Sushi Restaurant","Harry's House","Harry Styles",2022-05-20,193813,71,spotify:user:josafine,2022-09-16T10:52:43Z,"pop",0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,4
4c6vZqYHFur11FbWATIJ9P,"47Z8LEl3LnQkcpva0xSthT","There She Goes","The La's","The La's",1990,162186,73,spotify:user:josafine,2022-09-16T10:52:59Z,"britpop",0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,4
4QlzkaRHtU8gAdwqjWmO8n,"7bu3H8JO7d0UbMoVzbo70s","Friday I'm In Love","Wish","The Cure",1992-01-01,215160,74,spotify:user:josafine,2022-09-16T10:53:03Z,"new wave,permanent wave,rock,uk post-punk",0.526,0.763,0,-12.663,0,0.0341,0.00126,0.0000675,0.359,0.514,136.205,4
3mqRLlD9j92BBv1ueFhJ1l,"7MhMgCo0Bl0Kukl93PZbYS","Parklife","Blur: The Best Of","Blur",2000-10-23,187040,55,spotify:user:josafine,2022-09-16T10:53:18Z,"alternative rock,britpop,madchester,permanent wave,rock",0.632,0.877,4,-6.905,1,0.0606,0.154,0,0.328,0.749,138.391,4
21ixeD8mGouF993kgb4MER,"0HNGrIbq1ZNO2mTp3tMW4L","S Club Party","S Club","S Club",1999-01-01,210466,52,spotify:user:clearlyitsnotclearly,2022-09-16T10:56:20Z,"australian pop,dance pop,europop,talent show",0.638,0.879,6,-6.534,0,0.0425,0.0697,0,0.414,0.778,101.999,4
6MnWfOgKRkQtY1pRgoTwB1,"0HNGrIbq1ZNO2mTp3tMW4L","Reach","7","S Club",2000-06-12,243265,53,spotify:user:clearlyitsnotclearly,2022-09-16T10:56:26Z,"australian pop,dance pop,europop,talent show",0.597,0.793,7,-7.006,1,0.0361,0.0123,0.00000545,0.157,0.755,167.2,4
