Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6LtPIXlIzPOTF8vTecYjRe,"5lKZWd6HiSCLfnDGrq9RAm","Bleeding Love","Spirit","Leona Lewis",2007,262693,62,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-02T17:36:17Z,"british soul,dance pop,pop,talent show",0.635,0.647,5,-5.864,1,0.0366,0.192,0,0.154,0.201,104.058,4
49FYlytm3dAAraYgpoJZux,"5pKCCKE2ajJHZ9KAiaK11H,3nFkdlSjzX9mRTtwJOzDYB","Umbrella","Good Girl Gone Bad: Reloaded","Rihanna,JAY-Z",2008-06-02,275986,81,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T18:49:04Z,"barbadian pop,pop,urban contemporary,east coast hip hop,gangster rap,hip hop,pop rap,rap",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
2TdDRjNiF1HuRvnclprnce,"5MmVJVhhYKQ86izuGHzJYA","Grace Kelly","Life In Cartoon Motion","MIKA",2007-02-05,187733,54,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T18:49:12Z,"electropop",0.677,0.824,0,-5.752,1,0.0449,0.0268,0.0164,0.363,0.696,122.223,4
2biod1W3F2dMiR2FMSYpUt,"1XgFuvRd7r5g0h844A5ZUQ","Rule The World","Stardust - Music From The Motion Picture (UK)","Take That",2007-01-01,296946,50,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T18:58:02Z,"boy band,europop,talent show",0.348,0.588,2,-8.405,1,0.03,0.059,0,0.181,0.372,164.064,4
1ctdfJSzp6qF2iDAVdDrfl,"7rZNSLWMjTbwdLNskFbzFf","About You Now","Change","Sugababes",2007-01-01,212400,61,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T19:01:46Z,"dance pop,europop,girl group,talent show",0.584,0.699,1,-6.065,0,0.0378,0.0000652,0.0000605,0.486,0.585,82.499,4
2bLqfJjuC5syrsgDsZfGmn,"5Y5TRrQiqgUO4S36tzjIRZ,63wjoROpeh5f11Qm93UiJ1,4TLCPR1sMYoNU1jA7O4uww","The Way I Are","Shock Value","Timbaland,Keri Hilson,D.O.E.",2007-01-01,179120,82,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T19:02:15Z,"dance pop,pop,pop rap,hip pop,r&b,urban contemporary",0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,4
67iAlVNDDdddxqSD2EZhFs,"1A92IAcd7A6npCA33oGM5i","I'm Gonna Be (500 Miles)","Sunshine on Leith","The Proclaimers",1988,219466,74,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T19:04:13Z,"celtic rock,scottish rock",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,4
6kopmMZiyLmw7h66uXcXR7,"3hv9jJF3adDNsBSIQDqcjp,6Q192DXotxtaysaqNPy5yR","Valerie (feat. Amy Winehouse) - Version Revisited","Version","Mark Ronson,Amy Winehouse",2007-04-16,219413,81,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T19:04:20Z,"pop soul,british soul,neo soul",0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
2fAIfPLrPUTW1AmJRR428Q,"0LbLWjaweRbO4FDKYlbfNt","Ruby","Yours Truly, Angry Mob","Kaiser Chiefs",2007-01-01,204200,58,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T19:04:25Z,"modern rock",0.45,0.939,5,-2.819,0,0.0513,0.00677,0.0000046,0.0774,0.437,93.415,4
5fVZC9GiM4e8vu99W0Xf6J,"0zOcE3mg9nS6l3yxt1Y0bK","How to Save a Life","How To Save A Life","The Fray",2005-09-13,262533,80,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-05T19:05:26Z,"neo mellow,piano rock,pop,pop rock",0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
