Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1H5tvpoApNDxvxDexoaAUo,"67FFKYikvTlvsPNk4NPOYJ","Who Let The Dogs Out","Who Let The Dogs Out","Baha Men",2000,198400,65,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"bahamian pop",0.869,0.887,0,-4.505,1,0.0992,0.0605,0,0.148,0.784,129.223,4
3yfqSUWxFvZELEM4PmlwIR,"7dGJo4pcD2V6oG8kP0tJRR","The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,85,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"detroit hip hop,hip hop,rap",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
26ncGZfPWquaQ4PfTCcsID,"0HNGrIbq1ZNO2mTp3tMW4L","Reach","Best: The Greatest Hits Of S Club 7","S Club",2015-05-01,242440,42,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"australian pop,dance pop,europop,talent show",0.6,0.825,7,-5.441,1,0.0388,0.0114,0.00000723,0.25,0.779,167.166,4
4pbyDPjFgfPqFTcIMC8xpK,"2HcwFjNelS49kFbfvMxQYw","Rock DJ","Sing When You're Winning","Robbie Williams",2000-01-01,258560,67,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"dance rock,europop",0.708,0.772,7,-4.264,1,0.0322,0.0267,0,0.467,0.861,103.035,4
49X0LAl6faAusYq02PRAY6,"0AkpPlFLnr0VQwZQeMGht0","Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,79,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"disco house,filter house",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
7iSYsQq0ywuHw03JBEf5HO,"4bmymFwDu9zLCiTRUmrewb","Groovejet","Wonder's Dancefloor","Spiller",2001-01-09,450455,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"disco house,vocal house",0.794,0.595,9,-9.125,0,0.0715,0.000496,0.121,0.353,0.681,123.008,4
6naxalmIoLFWR0siv8dnQQ,"26dSoYclwsYLMAKD3tpOr4","Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,78,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"dance pop,pop",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
5EYdTPdJD74r9EVZBztqGG,"6nDLku5uL3ou60kvCGZorh","The Bad Touch","Hooray For Boobies","Bloodhound Gang",1999-10-04,260506,71,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"alternative metal,comic,funk metal,funk rock,nu metal,rap rock",0.831,0.735,0,-6.254,0,0.0384,0.00397,0.0205,0.123,0.97,122.979,4
6Sy9BUbgFse0n0LPA5lwy5,"0LhHRmSd1EYM5QdNeNnCoQ","Sandstorm","Before the Storm, Special Edition","Darude",2001-01-01,225493,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"eurodance,finnish edm",0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,4
6PUzxtIHkv346yP89NzP9X,"7vFpNLbCXbBFs4kFBUlkSl","Kernkraft 400","Kernkraft 400 Single Mixes","Zombie Nation",2006-03-07,285173,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-29T19:30:16Z,"german techno",0.798,0.43,8,-7.839,0,0.0868,0.0055,0.901,0.146,0.487,140.064,4
