Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0n4bITAu0Y0nigrz3MFJMb,"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8","Blurred Lines","Blurred Lines (Deluxe)","Robin Thicke,T.I.,Pharrell Williams",2013-01-01,263826,73,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T12:06:25Z,"dance pop,neo soul,pop rap,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap,pop",0.853,0.599,7,-4.756,1,0.0411,0.00334,0.00000793,0.0759,0.843,119.993,4
2Foc5Q5nqNiosCNqttzHof,"4tZwfgrHOc3mvqYlEYSvVi,2RdwBSPQiwcmiDo9kixcl8,3yDIp0kaq9EFKe07X1X2rz","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk,Pharrell Williams,Nile Rodgers",2013-04-19,248413,80,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T12:06:53Z,"electro,filter house,rock,dance pop,pop,disco",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
4h8VwCb1MTGoLKueQ1WgbD,"1vCWHaC5f2uS3yhpwWbIA6","Wake Me Up","True","Avicii",2013-09-13,247426,2,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T12:07:02Z,"dance pop,edm,pop,pop dance",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
6F5c58TMEs1byxUstkzVeM,"6jJ0s89eD6GaHleKKya26X","Roar","PRISM (Deluxe)","Katy Perry",2013-10-18,223546,70,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T12:09:49Z,"pop",0.671,0.771,7,-4.821,0,0.0316,0.00492,0.00000728,0.354,0.436,90.003,4
3AYcyxEACnmE6d96RPubID,"5BcAKTbp20cv7tC5VqPFoC,56xTxG4nQMAs1GW9kvn0uA","Thrift Shop (feat. Wanz)","The Heist (Deluxe Edition)","Macklemore & Ryan Lewis,Wanz",2012-10-09,235613,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T12:09:57Z,"pop rap,seattle hip hop",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
2tpWsVSb9UEmDRxAl1zhX1,"5Pwc4xIPtQLFEnJriah9YJ","Counting Stars","Native","OneRepublic",2013-01-01,257265,86,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T12:10:34Z,"piano rock,pop",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.118,0.474,122.013,4
4Ub8UsjWuewQrPhuepfVpd,"7EQ0qTo7fWT7DPxmxtSYEc","Pompeii","All This Bad Blood","Bastille",2013-01-01,214147,72,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T20:00:54Z,"metropopolis,modern rock,pop",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
6yraFyhgbavO2amB2lhpfi,"4WN5naL3ofxrVBgFpguzKo,66TrUkUZ3RM29dqeDQRgyA","Waiting All Night (feat. Ella Eyre)","Home","Rudimental,Ella Eyre",2013-04-26,292586,66,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T20:08:23Z,"pop dance,uk dance,uk funky,dance pop,talent show,uk pop",0.543,0.729,6,-5.357,0,0.0498,0.00265,0.01,0.427,0.282,174.982,4
3bidbhpOYeV4knp8AIu8Xn,"6WLvgbfYXQPO396oJEYCsi,3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,4e0nWw2r4BoQSKPQ2zpU13","Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",2012-10-09,258342,78,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T20:08:57Z,"pop rap,seattle hip hop,pop dance",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
5TbzAWWc5eJaANpA9kfGCd,"34v5MVKeQnIo0CWYMbbrPf","Love Me Again","Tribute","John Newman",2013-01-01,239894,76,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T20:14:54Z,"dance pop",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
4iJrZGr7ycnKyFxa1pfEHn,"0X2BH1fck6amBIoJhDVmmJ","Burn","Halcyon Days","Ellie Goulding",2013-01-01,231211,43,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T20:20:02Z,"indietronica,metropopolis,pop,uk pop",0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,4
6FB3v4YcR57y4tXFcdxI1E,"06HL4z0CvFAxyc27GXpf02","I Knew You Were Trouble.","Red (Big Machine Radio Release Special)","Taylor Swift",2012-10-22,219720,76,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-04T20:23:38Z,"pop",0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0335,0.679,77.019,4
