Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
49wHCjiu34kM3VRgumQ1tJ,"5nWbdgU2jcFSbrPV7EAoLK","Echo Beach","Metro Music","Martha and the Muffins",1980,219866,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"classic canadian rock,new wave pop",0.54,0.746,7,-9.412,1,0.045,0.13,0.00000873,0.0976,0.826,163.809,4
3CKLPDN1AIOYa7QPpy6oDH,"5KQMtyPE8DCQNUzoNqlEsE","Cars","Premier Hits","Gary Numan",1981-04-01,235466,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"new romantic,new wave,permanent wave,synthpop",0.488,0.595,2,-9.074,1,0.0533,0.0421,0.000465,0.143,0.732,128.013,4
4TOYmUloyDslQIj0k3pXn3,"2P560DaOMNDUACoH8ZhOCR","Town Called Malice","The Gift (Deluxe Edition)","The Jam",1982-03-12,173706,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"mod revival,new romantic,new wave,punk",0.552,0.903,6,-9.17,0,0.0716,0.00306,0.007,0.0632,0.79,101.672,4
0P1uVFhdZsNkMPbEgtNj5q,"3nohf4qILMr5aUSOsolwxB","You'll Always Find Me In The Kitchen At Parties","On The Other Hand There's A Fist","Jona Lewie",1978,186626,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"new wave pop",0.592,0.495,5,-10.222,1,0.0402,0.592,0.0181,0.353,0.549,93.458,4
1qaS4rwkm52lpkDZVmvF52,"6KOqPxwfNAmZPkiCnDE9yT","Steppin' Out","Night And Day","Joe Jackson",1982,259493,46,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"mellow gold,new romantic,new wave,new wave pop,permanent wave,singer-songwriter,sophisti-pop",0.586,0.532,11,-7.677,1,0.0288,0.0556,0.000675,0.0799,0.541,159.471,4
38Ngied9rBORlAbLYNCl4k,"2x9SpqnPi8rlE9pjHBwmSC","Once in a Lifetime - 2005 Remaster","Remain in Light (Deluxe Version)","Talking Heads",1980-10-08,259906,65,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,4
7FlwylpJSe3ea6m1IrkizS,"2ycnb8Er79LoH2AsR5ldjh","West End Girls - 2001 Remaster","Please: Further Listening 1984-1986","Pet Shop Boys",1986-03-24,245360,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"dance rock,new romantic,new wave,new wave pop,permanent wave,synthpop",0.648,0.947,4,-6.617,0,0.0369,0.0114,0.0567,0.105,0.602,113.255,4
5X7Sbugnqqm3ffA9y7b7wD,"3wRksusBxJ6npu0PryYheF","On my Radio","The Very Best of The Selecter","The Selecter",1997-01-01,185199,39,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"ska,ska revival",0.783,0.706,7,-7.544,1,0.0434,0.0493,0.0617,0.158,0.96,141.021,4
31MOjWj3CT3dCQsMV2b8Wu,"0yNLKJebCb8Aueb54LYya3","Blue Monday '88","The Best of New Order","New Order",1994-01-01,244720,64,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.681,0.893,7,-8.485,1,0.0378,0.0000647,0.383,0.0626,0.951,130.475,4
2AX5E86cn9n2dgioZEjirI,"0RUEHcBiENFEqxgicqS2ig","Golden Brown","La Folie","The Stranglers",1981,206760,67,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:33:22Z,"glam rock,new romantic,new wave,new wave pop,protopunk,pub rock,zolo",0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
