Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1EC8QewniFjTg6a2eYB60a,"78sJswwVn4P8aEhkF4K6fQ","Crazy of you","Master`s sun OST Part.3","HYOLYN",2013-08-21,270431,46,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop,korean r&b",0.333,0.428,1,-8.379,1,0.0383,0.806,0,0.323,0.309,137.719,4
6KdA8lx320qsnruGc7ijl1,"4dB2XmMpzPxsMRnt62TbF5","A Guy Like Me","A Guy Like Me","Lim Changjung",2013-09-24,238315,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"korean pop",0.484,0.318,9,-6.334,1,0.036,0.924,0,0.1,0.284,68.285,4
2NaVPRRiy0rCCYjFeOq4yf,"1T9b7lAgnjBIERVY2pghVb","잊지말아요Don't Forget (From KBS Drama 아이리스 Iris)","K-Drama Songs, Vol. 3","S.H Project",2014-03-03,245013,22,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"",0.517,0.463,1,-5.351,1,0.0328,0.816,0,0.144,0.275,136.15,5
4s80CRYk3rRPZE56NvmFi7,"0hRHbwZ0xSwfVHl4FTv7jq","You Are My Everything","Descendants Of The Sun Pt.4 (Original Television Soundtrack)","Gummy",2016-03-10,240590,61,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop,korean pop",0.343,0.499,6,-5.121,1,0.0387,0.665,0,0.119,0.104,131.076,4
2mMpO8XVZAjXukh1nlDb65,"0hRHbwZ0xSwfVHl4FTv7jq","죽어도 사랑해","대물 Pt.1 Original Television Soundtrack","Gummy",2010-10-06,256105,19,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop,korean pop",0.386,0.595,10,-5.454,1,0.0401,0.587,0.00000152,0.104,0.209,135.934,4
4QXb2c6lUkcjuyKXMNcv4L,"0hRHbwZ0xSwfVHl4FTv7jq","Snowflake","Baramibunda OST Part 3","Gummy",2013-02-27,207960,34,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop,korean pop",0.359,0.508,6,-4.402,1,0.0324,0.76,0,0.102,0.273,139.638,4
3ByN6RduNPNIuQHoPnrpW4,"2FOppMnARZdcKhy14KPOa2","The man","Secret Garden Drama OST (Overseas)","Bin Hyun",2011-06-13,271226,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"",0.592,0.476,11,-6.732,1,0.0365,0.717,0,0.11,0.272,70.046,4
75vripugKHNlXEtmq9fsuC,"1T9b7lAgnjBIERVY2pghVb,1TTx0YcbKUtJIZY1HEnh9B","Someday[Kbs Drama Dream High]","K-Drama Ost Vol.1","S.H Project,J.Y. Park",2011,216146,41,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"classic k-pop",0.753,0.43,4,-6.664,1,0.0327,0.647,0.00000254,0.181,0.198,99.952,4
2BSNTdIVvaPhvFyAr6zWkY,"3wFlJuksXb9EslcGiIXjBs","Hello to Myself","Dream High 2 Ost (Original Soundtrack by J.Y.Park)","Yeeun",2012-06-29,217347,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"",0.495,0.711,9,-3.99,1,0.0437,0.598,0,0.119,0.289,156.232,4
0W4jwFv2zNdioNTIW6WxV4,"4ojQ8Cy1AVup7CZ0OG68eq","Day After Day","Dream High 2 Ost (Original Soundtrack by J.Y.Park)","Ji Yeon",2012-06-29,224899,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"",0.398,0.529,5,-6.294,0,0.0298,0.249,0.00000239,0.108,0.178,134.242,4
6E9lizu96v7HKI8654plBy,"1TTx0YcbKUtJIZY1HEnh9B","Falling (Dream High 2 OST Pt.1)","Best OST Collection","J.Y. Park",2014-08-08,208666,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"classic k-pop",0.617,0.573,1,-7.542,1,0.0732,0.445,0,0.129,0.335,79.982,4
2BPXILn0MqOe5WroVXlvN1,"3uGFTJ7JMllvhgGpumieHF","I Will Go To You Like the First Snow","Guardian (Original Television Soundtrack), Pt. 9","AILEE",2017-01-07,229678,63,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop",0.497,0.431,5,-4.755,0,0.0287,0.66,0,0.153,0.167,133.675,4
7BfQtUagX8OMgYSKotIV5Q,"1Do4bSzfUl0KWL9r1fITu0","ALWAYS","태양의 후예 (Original Television Soundtrack), Pt. 1","YOON MIRAE",2016-02-18,205284,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop,korean ost,korean pop,korean r&b",0.404,0.589,10,-3.852,1,0.0327,0.751,0,0.339,0.251,128.553,4
4tsAuWgLqacsUT3S0Cyp66,"6zkCu6Rj5AvsxGThXJOaAE","Your Sun Is Stupid","Big Baby Driver x E Hyeji","빅베이비드라이버 Big Baby Driver & 이혜지 E Hyeji",2017-07-24,188794,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"",0.275,0.249,8,-14.162,1,0.0321,0.83,0.904,0.102,0.246,110.127,3
35ckN0rHy8vWUvvpQXwY8O,"14f1WN9TUDVBK4sHUStmLG","YOORYEONG (GACHI SARANG HAIT ZANA)","GHOST OST","MBLAQ",2012-07-17,240352,12,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"k-pop,k-pop boy group",0.643,0.622,0,-5.12,1,0.0424,0.14,0,0.115,0.402,99.99,4
2HZNi2dOev8sGWXjNhLmFm,"7LH6LwoaiX3wyK5LhzBdtZ","에코 Eco","아무렇지 않은 듯 Nothing Of It","에브리 싱글 데이 Every Single Day",2015-11-26,232653,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"",0.48,0.655,4,-6.909,0,0.0435,0.104,0.000289,0.125,0.239,127.936,4
55mjIth3WxnK3p42uyRBwN,"1A6WCseWiK22oxqodg7vcy","My Destiny","My Love From the Star 별에서 온 그대 (Original Television Soundtrack), Pt. 1","Lyn",2013-12-26,231840,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"korean pop",0.346,0.437,7,-6.342,1,0.0423,0.785,0.0000423,0.119,0.107,127.145,4
2WTGf2FxulJBQcRGxvIsqC,"7jFUYMpMUBDL4JQtMZ5ilc","On the Street","The Ballads","Sung Si Kyung",2006-10-10,279327,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"korean pop",0.584,0.485,7,-7.709,1,0.0305,0.645,0,0.149,0.261,131.812,4
6jtDyhxkdOfM6q88V4P6U5,"7jFUYMpMUBDL4JQtMZ5ilc","Walking Down the Road","The Ballads","Sung Si Kyung",2006-10-10,258115,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"korean pop",0.609,0.455,1,-11.638,0,0.0455,0.474,0.00000486,0.273,0.483,87.906,4
01tXGsOzJ3u92xsOKGfXvI,"7jFUYMpMUBDL4JQtMZ5ilc","Dat Miss","The Ballads","Sung Si Kyung",2006-10-10,250932,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"korean pop",0.442,0.407,7,-7.655,1,0.0333,0.289,0,0.156,0.195,147.841,4
4RMD0vJbOl4SHkyJbygYR9,"7jFUYMpMUBDL4JQtMZ5ilc","New Habit","The Ballads","Sung Si Kyung",2006-10-10,225462,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"korean pop",0.667,0.539,1,-12.06,0,0.0274,0.608,0.000502,0.107,0.729,136.002,4
7BHijuU3OSoh4WnLfmZfU5,"4SdXXEHKFa5NSoh10QxeN2","가시","Buzz Effect","BUZZ",2005-03-03,241506,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-21T14:29:27Z,"classic k-pop,korean pop",0.473,0.596,4,-5.819,1,0.0329,0.0408,0,0.126,0.177,144,4
