Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4UZdBU6LvRr5W61Acr3Dy3,"2GbRQ0nER844N10wsDENrX","For Real","Safe Ibiza 2024 (Selected By The Deepshakerz)","Landis LaPace",2024-07-05,354735,12,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"bass house",0.801,0.868,7,-8.239,1,0.0598,0.00511,0.884,0.121,0.323,130.007,4
29p52cj4N8dVjp21zkvDQu,"68fI3XKiTlRMJBYuxKJFU3,1dPeIuXnrMKNy6xbUzWYBo,3Qd6uuB3RPlvyBt1NkHLhs","Pelate - Extended Mix","Pelate","Yvvan Back,David Novacek,Jonatan Malachi",2024-07-01,339047,12,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"",0.715,0.954,2,-4.518,1,0.0827,0.000716,0.826,0.0249,0.158,126,4
00Q55HSpBDqUDI9m4FYpBH,"0FZh5KUoPhgM3sMOKo6aZX","Laze","Laze","dAPULEO",2024-07-05,191250,12,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"",0.8,0.94,11,-6.896,0,0.0783,0.00562,0.373,0.0785,0.516,128.011,4
4QEfcSEYPPw3DiPSgc822R,"6hZro7BVjxc8uhBn6XO0Wv","Amazonica","Amazonica EP","Simone Liberali",2024-07-05,239937,20,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"italian tech house",0.8,0.809,7,-7.907,0,0.0457,0.000095,0.808,0.0915,0.668,129.002,4
5IhnYouJ7zfRYF4JR8CtSK,"2j0rweTjMkl2QBiRdRpnkp,201By8qzTjeVqjXBge2ZDz","Inner Mind - Extended Mix","Inner Mind","Smokin Jo,D. Ramirez",2024-07-05,363870,11,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"funky tech house",0.733,0.947,11,-5.849,1,0.0794,0.000908,0.554,0.323,0.54,123.994,4
7t201ZMlUDbHGXeKJvgFXF,"4YiWn0iLCpkn46sM9NiYz8,6bGjAU1yRMvrVDQsN9Awc0","Hit Me - Extended Mix","Hit Me","Jay Farina,Tasty Lopez",2024-07-05,360930,10,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"",0.806,0.9,11,-7.656,1,0.0411,0.000312,0.857,0.0554,0.66,129.013,4
6TySyad9aOP0uDkBET5CDt,"7bi8ABpXgK2DpE5nRaWdZ5","Back Again","Back Again","BURNR",2024-07-05,227272,32,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"tech house",0.716,0.976,2,-7.462,1,0.0548,0.000457,0.778,0.308,0.528,131.999,4
7GXjECICEpi9R453b7gfVG,"3bZTsiAoQIpS8jDDjQvt6L","Dropp","Dropp","PATTY (BR)",2024-07-05,120000,9,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"",0.769,0.823,11,-7.916,0,0.0431,0.0000535,0.0186,0.141,0.434,128.013,4
5WK4xgnr4LeEBa3rRV7JNN,"3PafwoNI6rsWQDLdH9LUjr,34YgnaBrdRLtuwExinbk0t","b00M","b00M","Techin,Panna (BR)",2024-07-05,384000,14,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"",0.803,0.857,5,-8.93,1,0.0518,0.00405,0.801,0.0771,0.517,130.001,4
1SgnvRKfoJc8GmdcoZHPjx,"1UgUBnYpGyrYfGIfkMp08O","Good Shit","Good Shit","NightFunk",2024-07-05,204094,23,spotify:user:beatportprofile,2024-07-05T13:41:09Z,"funky tech house,tech house",0.821,0.394,7,-16.072,1,0.0732,0.0242,0.721,0.0678,0.691,127.031,4
