Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
49wHCjiu34kM3VRgumQ1tJ,"5nWbdgU2jcFSbrPV7EAoLK","Echo Beach","Metro Music","Martha and the Muffins",1980,219866,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T16:15:50Z,"classic canadian rock,new wave pop",0.54,0.746,7,-9.412,1,0.045,0.13,0.00000873,0.0976,0.826,163.809,4
05wIrZSwuaVWhcv5FfqeH0,"2TzHIUhVpeeDxyJPpQfnV3","Walking On Sunshine","Katrina & The Waves","Katrina & The Waves",1985,238733,77,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-09T18:04:39Z,"new wave pop",0.597,0.87,10,-11.97,1,0.0371,0.0119,0.166,0.0678,0.944,109.901,4
4ePP9So5xRzspjLFVVbj90,"2PSiyldxmJze7xiqbz658m","Two Princes","Pocket Full Of Kryptonite","Spin Doctors",1991-08-27,256733,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-30T11:41:14Z,"pop rock,post-grunge",0.543,0.912,7,-10.71,1,0.0601,0.00162,0.0000021,0.0565,0.836,103.731,4
0JFc1TPOJtdrjytTMQa5Yh,"3JaAGmSTpJK35DqWrDUzBz","Ballroom Blitz","Shaun White Snowboarding: Official Soundtrack","Sweet",2008-11-18,241973,44,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T11:04:31Z,"album rock,glam rock,hard rock",0.557,0.919,11,-5.602,0,0.0758,0.000872,0.000927,0.0394,0.808,108.526,4
3Cx4yrFaX8CeHwBMReOWXI,"6zFYqv1mOsgBRQbae3JJ9e","We Didn't Start the Fire","Storm Front","Billy Joel",1989-10-17,287733,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-01T16:29:26Z,"album rock,classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,4
0Ssq7X1zG3iUqTDEKPaT1J,"1tqZaCwM57UFKjWoYwMLrw","My Favourite Game","Gran Turismo","The Cardigans",1998-10-01,217133,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-07T18:53:02Z,"lilith,new wave pop,permanent wave,pop rock,swedish pop",0.58,0.782,5,-7.085,0,0.0338,0.000133,0.00115,0.31,0.496,143.475,4
1xPSDf8z4dH46gkvlLtvDO,"771qBvjnXOH9Azr6lKy6FB","Maniac","Flashdance Original Soundtrack From The Motion Picture","Michael Sembello",1983-01-01,244706,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-30T11:43:54Z,"hi-nrg",0.617,0.533,3,-11.516,0,0.0651,0.0891,0.00000404,0.0415,0.835,158.86,4
1nQRg9q9uwALGzouOX5OyQ,"1dfeR4HaWDbWqFHLkxsg1d","Radio Ga Ga - Remastered 2011","The Works (2011 Remaster)","Queen",1984-02-27,348226,73,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:04Z,"classic rock,glam rock,rock",0.744,0.502,5,-7.719,1,0.0359,0.183,0.000228,0.189,0.66,112.344,4
10kYRZ5byZgBEcmmQizlzj,"08iTfBYGAG8Llyx6SkrY6F","Electric Avennue","The Best Music from Jamaica","The Harmony Group",2013-04-26,192146,42,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-13T09:28:59Z,"",0.949,0.408,2,-14.377,1,0.2,0.409,0.000572,0.544,0.841,120.961,4
4TOYmUloyDslQIj0k3pXn3,"2P560DaOMNDUACoH8ZhOCR","Town Called Malice","The Gift (Deluxe Edition)","The Jam",1982-03-12,173706,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-13T09:28:05Z,"mod revival,new romantic,new wave,punk",0.552,0.903,6,-9.17,0,0.0716,0.00306,0.007,0.0632,0.79,101.672,4
