Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5BvTfZQrTgu4buyXOekT3F,"75dQReiBOHN37fQgWQrIAJ","Wide Eyes","Gorilla Manor","Local Natives",2009-11-02,266440,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:40:27Z,"chamber pop,indie rock,la indie,modern rock,shimmer pop,stomp and holler",0.53,0.841,11,-8.017,0,0.0403,0.00111,0.458,0.225,0.476,123.126,4
6QAEX8D1XredlQ6YAlrNjw,"6YHfq8Pg3lZPo1u0PaQ8ob","No Below","Major Arcana","Speedy Ortiz",2013-07-08,223800,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:40:39Z,"bubblegrunge,indie punk,new england emo,slacker rock,western mass indie",0.498,0.401,9,-9.043,1,0.0304,0.116,0.0378,0.109,0.297,111.88,3
679faLma30cERyvE2CmWxJ,"3WhvgoOwfFRjuHf7zgCptu","I Don't","I Don't","Koda",2015-12-17,171600,39,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:41:17Z,"chillstep",0.24,0.105,9,-12.698,1,0.0353,0.827,0.901,0.141,0.0789,78.504,4
4PMvRfhHAx5j6Bb3XsFLoq,"5o206eFLx38glA2bb4zqIU","Lua","I'm Wide Awake, It's Morning","Bright Eyes",2005-01-25,271666,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:41:31Z,"chamber pop,indie rock,melancholia,omaha indie,stomp and holler",0.601,0.124,2,-18.301,1,0.083,0.802,0.00003,0.0565,0.314,103.63,4
3Kt4ZWZZ7Pe5o8dhaI2GPz,"4hy6F78D0aiCIsceD1QOXj","The sense of me","A life on standby","Mud Flow",2004,152506,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:41:36Z,"belgian rock",0.416,0.573,2,-8.559,0,0.0333,0.00107,0.875,0.229,0.115,75.984,4
6f0dCBfMHX5MAdgLgWdYo5,"46CitWgnWrvF9t70C2p1Me","The Right Way Around","Music From Before the Storm","Daughter",2017-09-01,160611,44,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:42:15Z,"chamber pop,shimmer pop",0.601,0.304,1,-12.58,1,0.0283,0.459,0.886,0.0813,0.252,132.044,4
3VQFfKXwTVxTkTxQD3j68E,"46CitWgnWrvF9t70C2p1Me","Voices","Music From Before the Storm","Daughter",2017-09-01,129597,38,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:42:24Z,"chamber pop,shimmer pop",0.609,0.536,11,-14.268,1,0.0378,0.869,0.852,0.114,0.647,150.059,4
5vR3dOP4Lvf2lIkyAoGaiK,"46CitWgnWrvF9t70C2p1Me","A Hole in the Earth","Music From Before the Storm","Daughter",2017-09-01,281914,38,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T12:42:36Z,"chamber pop,shimmer pop",0.428,0.552,0,-8.194,1,0.0313,0.897,0.0311,0.0965,0.176,84.984,4
2ynCjjrmED5CfiVn2ZLkUk,"4kDmwaDsfY9hcvz7K0otLJ","Obstacles","Someday We Will Foresee Obstacles","Syd Matters",2005,208706,58,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T13:21:32Z,"folktronica,french indie folk",0.395,0.415,3,-8.461,1,0.0338,0.242,0.912,0.134,0.143,126.875,4
4pvb0WLRcMtbPGmtejJJ6y,"06HL4z0CvFAxyc27GXpf02,4LEiUm1SRbFMgfqnQTwUbQ","exile (feat. Bon Iver)","folklore","Taylor Swift,Bon Iver",2020-07-24,285634,76,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-11-28T13:22:14Z,"pop,chamber pop,eau claire indie,indie folk,melancholia,modern rock",0.298,0.38,6,-8.426,1,0.0287,0.778,0.0000562,0.11,0.152,75.602,4
