Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
648BMGrt98kUbLo24A4vgj,"7A9yZMTrFZcgEWAX2kBfK6","Hip To Be Square","Fore!","Huey Lewis & The News",1986-01-01,245466,62,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:57:45Z,"album rock,classic rock,hard rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000356,0.139,0.963,140.873,4
6M14BiCN00nOsba4JaYsHW,"3u1ulLq00Y3bfmq9FfjsPu","Ocean Man","The Mollusk","Ween",1997-04-18,126946,64,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:57:47Z,"alternative rock",0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782,4
46q5BtHso0ECuTKeq70ZhW,"4vdt8TD56jjQfmxFCmhubX","How Bizarre","How Bizarre (Deluxe)","OMC",1996,225699,64,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:57:51Z,"nz pop",0.772,0.705,0,-6.255,1,0.0411,0.247,0,0.23,0.834,124.908,4
1uzslVSeSMTgwdzmDZLyqa,"5ZBQea34QfBgEDkcGEKK2b","Space and the Woods - Cenzo Townshend Mix","Fantasy Black Channel","Late of the Pier",2008-06-09,225973,23,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:57:55Z,"alternative dance,dance-punk,leicester indie,new rave",0.561,0.918,2,-3.971,1,0.105,0.000071,0.0203,0.176,0.516,156.988,4
0Jiw6lq0TldEPKYyFElUDd,"0KtaCKmTMIQZsxlOgyNa04","Scott Green","The Kids Will Know It's Bullshit","Dune Rats",2017-01-20,130579,41,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:57:57Z,"australian garage punk,australian indie,brisbane punk",0.564,0.92,0,-5.967,1,0.182,0.000247,0.000031,0.152,0.511,140.011,4
5xYZXIgVAND5sWjN8G0hID,"6VsiDFMZJlJ053P1uO4A6h","Go!","The Race For Space","Public Service Broadcasting",2014-01-01,252720,16,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:02Z,"chamber psych,scottish rock",0.568,0.795,6,-10,1,0.037,0.195,0.588,0.0924,0.662,87.482,4
0gKL5HGvDcDwSbfFO2Rmaw,"0W8WpLB5WoXLgiA193LXk6,6HwxMgE895sejjGFin9Gvm","Akanamali","Africa to the World","Sun-El Musician,Samthing Soweto",2018-04-20,322093,46,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:04Z,"afro soul,south african pop,south african pop dance",0.739,0.615,1,-10.492,0,0.0951,0.344,0.0000297,0.132,0.564,105.002,4
2x5YsiXAqOEqSZ1iHWITHS,"1YfEcTuGvBQ8xSD1f53UnK,3ZotbHeyVQKxQCPDJuQ4SU,5K4W6rqBFWDnAN6FQUkS6x,55Aa2cqylxrFIXC767Z865","Thank You","Thank You","Busta Rhymes,Q-Tip,Kanye West,Lil Wayne",2013-01-01,240413,44,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:13Z,"east coast hip hop,hardcore hip hop,hip hop,pop rap,rap,queens hip hop,chicago rap,new orleans rap,trap",0.691,0.786,7,-6.762,1,0.145,0.0151,0.00159,0.0898,0.532,105.011,4
2LPUvD5DDOO4UYGkWgjI2C,"2SrSdSvpminqmStGELCSNd","Shut Up","Gang Signs & Prayer","Stormzy",2017-02-24,179564,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:25Z,"grime,uk hip hop",0.468,0.823,4,-3.973,1,0.466,0.81,0,0.598,0.941,74.457,4
4z5L0qDduw3w1apQ4Qa6KV,"42Np3r8zXnaKcjLQsQSjyG,2iLlfLTMiFJQ6X5rG2vgUy,4743DlrFCsAlAV4N26Kdgh","Alphabet Aerobics","A2G EP","Blackalicious,Lateef The Truthspeaker,Cut Chemist",1999-04-30,133800,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:25Z,"alternative hip hop,hip hop,oakland hip hop,scratch,trip hop,turntablism",0.65,0.515,10,-8.722,0,0.198,0.0196,0,0.0974,0.885,97.052,4
4W97tBRlOMOdJpqMwUvH3g,"1ZJlXFkFDBsjSuYyjVcMkk","Comin' Thru","Fish Outta Water","Chali 2na",2009-06-23,209880,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:25Z,"chicago rap,turntablism",0.896,0.743,0,-4.8,1,0.163,0.0323,0.186,0.151,0.813,96.864,4
3RNyGLgSvmVRZ7xKUp8Wgd,"2mbvqMGpwLsakeH45p1Jrb","In the Summertime","In the Summertime","Mungo Jerry",1970-01-01,215800,7,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:58:32Z,"british blues,classic uk pop",0.642,0.65,4,-8.567,1,0.0623,0.66,0,0.14,0.973,164.421,4
1HrMWH5GUdK6Yi94rbANJA,"240wlM8vDrf6S4zCyzGj2W,2vf4pRsEY6LpL5tKmqWb64","Cola","Cola","CamelPhat,Elderbrook",2017-06-16,223869,72,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:59:15Z,"deep tech house,house,progressive house,uk dance",0.706,0.74,6,-7.904,1,0.0325,0.0245,0.512,0.135,0.444,122.007,3
4RpFYeMTGyFrUqf07C7fXp,"4TMHGUX5WI7OOm53PqSDAT","St. Stephen - 1969 Mix; 2019 Remaster","Aoxomoxoa (50th Anniversary Deluxe Edition)","Grateful Dead",2019-06-07,266026,19,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:59:35Z,"cosmic american,jam band,psychedelic rock",0.406,0.416,9,-9.729,1,0.0818,0.829,0.33,0.254,0.543,89.382,4
7BybDOZbUlR6kTbOtRHaBK,"4TMHGUX5WI7OOm53PqSDAT","Dupree's Diamond Blues - 1969 Mix; 2019 Remaster","Aoxomoxoa (50th Anniversary Deluxe Edition)","Grateful Dead",2019-06-07,219866,14,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:59:35Z,"cosmic american,jam band,psychedelic rock",0.548,0.591,5,-8.165,1,0.0353,0.223,0,0.108,0.813,100.82,3
1RywExqm4fez3kBEDmvFcM,"4TMHGUX5WI7OOm53PqSDAT","Rosemary - 1969 Mix; 2019 Remaster","Aoxomoxoa (50th Anniversary Deluxe Edition)","Grateful Dead",2019-06-07,124080,13,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:59:35Z,"cosmic american,jam band,psychedelic rock",0.632,0.137,9,-16.41,1,0.0454,0.905,0.896,0.113,0.377,72.438,4
4P98mQxtCYOpbSNdNXQwtB,"4TMHGUX5WI7OOm53PqSDAT","Doin' That Rag - 1969 Mix; 2019 Remaster","Aoxomoxoa (50th Anniversary Deluxe Edition)","Grateful Dead",2019-06-07,314946,14,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:59:35Z,"cosmic american,jam band,psychedelic rock",0.373,0.404,1,-11.152,0,0.0453,0.142,0.744,0.163,0.553,81.887,4
5aDLq6zTEHcw6SPQnf80jO,"4TMHGUX5WI7OOm53PqSDAT","Mountains of the Moon - 1969 Mix; 2019 Remaster","Aoxomoxoa (50th Anniversary Deluxe Edition)","Grateful Dead",2019-06-07,250053,13,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-04T13:59:35Z,"cosmic american,jam band,psychedelic rock",0.427,0.513,0,-9.941,1,0.0323,0.707,0.00107,0.138,0.45,127.726,4
