Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2yEvbLwLpEq4Z5yhyQLI0q,"5yV1qdnmxyIYiSFB02wpDj","The District Sleeps Alone Tonight - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,283746,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-24T11:16:02Z,"chamber pop,indie rock,indietronica,seattle indie",0.63,0.752,0,-7.217,1,0.0459,0.264,0.0268,0.105,0.213,153.987,4
27LyQFdQbui4TnRs05cZ8C,"5yV1qdnmxyIYiSFB02wpDj","Such Great Heights - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,266506,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-24T11:22:18Z,"chamber pop,indie rock,indietronica,seattle indie",0.641,0.808,5,-7.268,1,0.0512,0.0487,0.191,0.065,0.172,174.981,4
4Fh5F6ly7PyBte0iR4e0GC,"5yV1qdnmxyIYiSFB02wpDj","Sleeping In - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,261093,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-24T11:26:47Z,"chamber pop,indie rock,indietronica,seattle indie",0.706,0.68,0,-5.739,1,0.0378,0.279,0.000488,0.148,0.542,129.028,4
1LbH1RQmzglUvlNsYKPci4,"5yV1qdnmxyIYiSFB02wpDj","Recycled Air - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,269506,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-24T12:55:06Z,"chamber pop,indie rock,indietronica,seattle indie",0.664,0.705,3,-7.771,1,0.0423,0.228,0.624,0.131,0.4,99.98,4
73PZEtzDf4KVI2s2s2bDh2,"5yV1qdnmxyIYiSFB02wpDj","We Will Become Silhouettes - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,300546,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-24T13:12:47Z,"chamber pop,indie rock,indietronica,seattle indie",0.608,0.556,2,-8.419,1,0.0318,0.0769,0.0723,0.123,0.158,154.98,4
6jPFzz3Jd5x8IhsU4qhMnp,"4skJp5OKvcc9eKokiuhi2s","Paint Me Silver","The Weather","Pond",2018-01-10,224973,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-25T11:17:35Z,"neo-psychedelic",0.355,0.821,8,-6.134,1,0.049,0.00533,0.00304,0.216,0.702,177.427,4
0hX1twoK9cdBGaMEaTCe7k,"1vct46rBqLNRbE9wCibXUH","N/A","N/A","Jooyoung",2018-09-14,206528,24,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-07-03T10:48:08Z,"k-rap,korean r&b",0.753,0.406,8,-7.486,1,0.0418,0.74,0,0.377,0.437,115.162,4
2cP37n7TZEe0oBxCbZu0KA,"4LG4Bs1Gadht7TCrMytQUO","New Slang","Oh, Inverted World","The Shins",2001-06-19,231173,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-07-09T13:00:54Z,"albuquerque indie,alternative rock,canadian indie,chamber pop,indie pop,indie rock,modern rock,portland indie,seattle indie,stomp and holler",0.669,0.388,0,-11.547,1,0.0306,0.605,0.144,0.0905,0.645,130.016,4
6J3aUG1y0zSJXOnsLhx41h,"7EqE0DBntJS6OUT4gK9W3P","Time","Girlcatcher","Pachanga Boys",2012-01-19,913214,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-07-09T21:17:18Z,"mexican tech house",0.727,0.39,7,-11.856,0,0.0384,0.0283,0.871,0.0793,0.0894,124.017,4
4BVFVaa1fDo20Ud1q5Gd2N,"0Wkm45quqfx3NepJpXDvwE","Everybody Wants To Be Famous","Superorganism","Superorganism",2018-03-02,184986,43,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-07-30T09:46:11Z,"art pop",0.665,0.842,6,-4.06,0,0.255,0.0235,0,0.0763,0.629,86.993,4
73MYXXOV9DKwq8MVuSOpMT,"0Wkm45quqfx3NepJpXDvwE","SPRORGNSM","Superorganism","Superorganism",2018-03-02,200170,34,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-07-30T09:46:29Z,"art pop",0.494,0.815,9,-4.494,1,0.246,0.0175,0,0.105,0.513,178.134,4
4rCKRVJZKVysScn2piDuOT,"0Wkm45quqfx3NepJpXDvwE","Something For Your M.I.N.D.","Superorganism","Superorganism",2018-03-02,165391,56,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-07-30T09:46:33Z,"art pop",0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,0.199,0.664,140.096,4
4F3lU1XZ2X55yUsBB0nz7W,"5WHKBKrvTBMPoQX3v3Bq8J","Coffee Sunday NYT","Coffee Sunday NYT","Leah Nobel",2018-07-13,174738,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-08T21:52:05Z,"nashville singer-songwriter",0.512,0.518,4,-9.202,1,0.232,0.315,0.0000031,0.176,0.618,179.993,4
1sotD6Cn8aOtUsL0bd5HTJ,"3Gaqw2nGyE7yM3rcRSzE3U","Never Mess With Sunday","Ninja Tune XX (Volume 2)","Yppah",2010-09-20,196000,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-09T12:14:15Z,"ambient idm,downtempo fusion,substep",0.52,0.561,5,-7.95,1,0.0255,0.00807,0.485,0.142,0.421,92.999,4
4iCGSi1RonREsPtfEKYj5b,"40Yq4vzPs9VNUrIBG5Jr2i","Tonight, Tonight - Remastered 2012","Mellon Collie And The Infinite Sadness (Remastered)","The Smashing Pumpkins",1995-12-12,254626,54,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-09T12:25:34Z,"alternative metal,alternative rock,grunge,permanent wave,rock,spacegrunge",0.277,0.67,6,-9.381,1,0.0376,0.0000628,0.751,0.237,0.217,148.342,4
0RUpgzacb8DwZB5B3IPO23,"3EMSpwRtkvUTxfB4aS5xnA","Atlas","Mirrored","Battles",2007-05-14,427200,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-09T12:44:10Z,"experimental pop,experimental rock,instrumental math rock,math rock,noise pop,post-rock",0.761,0.721,2,-5.529,1,0.0392,0.000103,0.0761,0.103,0.39,135.181,4
0IJjl2dNzs4gw77jfDR7ex,"5g3uG8zZZANGT6YOssgjfC","Skipalong","Lenka","Lenka",2008-09-22,232773,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-09T12:49:21Z,"",0.665,0.427,11,-7.807,1,0.0298,0.307,0.0000192,0.107,0.477,130.077,4
1H51O1JxFpIA24y9GdwGBr,"3Ll9XtFmamn11X3UgjNnpJ","Men Of Station","13 & God","13 & God",2005-04-26,228360,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-09T12:57:17Z,"abstract hip hop",0.671,0.653,2,-10.158,1,0.033,0.333,0.784,0.171,0.167,124.987,4
4ztPah3U03EQ6SZUrSV27g,"7A0awCXkE1FtSU8B0qwOJQ","All Under One Roof Raving","All Under One Roof Raving","Jamie xx",2014-06-23,359929,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-10T13:43:59Z,"electronica,future garage,indie soul,indietronica",0.815,0.798,1,-11.179,1,0.168,0.0437,0.38,0.117,0.0617,116.824,4
1Sm3U3B5XoidYQEZQZrh3i,"5X2XAU0eSvRPWUl9hUb9mV","Heaven Is a Halfpipe (If I Die)","Menace To Sobriety","OPM",2000-01-01,257426,53,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-11T14:43:29Z,"rap rock",0.743,0.894,8,-6.886,1,0.0349,0.0755,0.00283,0.367,0.77,95.9,4
4BggEwLhGfrbrl7JBhC8EC,"4iSKnRZAxkmqNok6tv10Se","Butterfly","The Gift Of Game","Crazy Town",1999-11-04,216733,73,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-11T14:54:28Z,"alternative metal,funk metal,nu metal,post-grunge,rap rock",0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4
1RKUoGiLEbcXN4GY4spQDx,"3AA28KZvwAUcZuOKwyblJQ","Clint Eastwood","Gorillaz","Gorillaz",2001-03-26,340920,74,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-11T18:33:57Z,"alternative hip hop,modern rock,rock",0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,4
3Dv1eDb0MEgF93GpLXlucZ,"5cj0lLjcoR7YOSnhnX0Po5","Say So","Hot Pink","Doja Cat",2019-11-07,237893,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T08:27:17Z,"dance pop,pop",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
4BtaPciwVOkH7eFC59i27G,"439RqyQhzmvM2TG7hn4KVs","Built This Way - (Slow Remix)","Mean Girls (Original Motion Picture Soundtrack)","Samantha Ronson",2004-01-01,256293,53,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-22T15:32:19Z,"candy pop",0.422,0.789,11,-6.105,1,0.082,0.136,0,0.0859,0.668,94.488,4
