Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1bhjMY5O0ZjB41OHcdRH0a,"5ND0mGcL9SKSjWIjPd0xIb","High School Never Ends - Main Version - Explicit","The Great Burrito Extortion Case","Bowling For Soup",2006,209040,59,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T11:42:34Z,"neon pop punk,pop punk,pop rock,texas pop punk",0.536,0.923,2,-3.494,1,0.125,0.0122,0,0.142,0.77,160.03,4
5oQcOu1omDykbIPSdSQQNJ,"5ND0mGcL9SKSjWIjPd0xIb","1985","A Hangover You Don't Deserve","Bowling For Soup",2004,193000,70,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T11:42:58Z,"neon pop punk,pop punk,pop rock,texas pop punk",0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974,4
0KqyBk4aVT88TEqBIC8mAP,"5ND0mGcL9SKSjWIjPd0xIb","Girl All the Bad Guys Want","Drunk Enough To Dance","Bowling For Soup",2002,197800,61,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T11:46:48Z,"neon pop punk,pop punk,pop rock,texas pop punk",0.582,0.829,2,-5.688,1,0.0465,0.000517,0,0.266,0.867,130.969,4
27L8sESb3KR79asDUBu8nW,"1pgtr4nhBQjp9oCUBPyYWh","Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,72,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T11:50:52Z,"pop rock,power pop",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
23oxJmDc1V9uLUSmN2LIvx,"3zxKH0qp3nBCuPZCZT5Vaf","Ocean Avenue","Ocean Avenue","Yellowcard",2003-01-01,198266,71,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T11:51:11Z,"alternative metal,pop punk,post-grunge,socal pop punk",0.486,0.904,6,-3.751,0,0.0638,0.0000343,0.0000283,0.0947,0.786,173.734,4
7lRlq939cDG4SzWOF4VAnd,"7FBcuc1gsnv6Y1nwFtNRCb","I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,186480,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T11:53:31Z,"emo,modern rock,pop punk,pov: indie,rock",0.21,0.94,9,-3.427,1,0.123,0.00602,0,0.269,0.255,179.722,4
5kD9T7GForh8LnRz5ClbL8,"3Ayl7mCk0nScecqOzvNp6s","The Middle","Bleed American (Deluxe Edition)","Jimmy Eat World",2001,168253,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:00:13Z,"alternative metal,alternative rock,emo,modern power pop,modern rock,neon pop punk,pop punk,pop rock,post-grunge,punk,rock",0.634,0.886,2,-3.466,1,0.0517,0.0291,0,0.342,0.922,161.933,4
2TfSHkHiFO4gRztVIkggkE,"4UXqAaa6dQYAk18Lv7PEgX","Sugar, We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-05-03,229093,77,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:03:35Z,"emo,modern rock,pop,pop punk,rock",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
4bPQs0PHn4xbipzdPfn6du,"20JZFwl6HVl6yg8a4H3ZqK","I Write Sins Not Tragedies","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,186634,72,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:03:38Z,"pop",0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094,4
6SpLc7EXZIPpy0sVko0aoU,"74XFHRwlV6OrjEM0A2NCMF","Misery Business","Riot!","Paramore",2007-06-11,211520,73,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:07:07Z,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock",0.517,0.906,1,-3.677,1,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
0Ti2dlF2xLjXblvdU5fCxM,"19I4tYiChJoxEO5EuviXpz","Miss Murder","DECEMBERUNDERGROUND","AFI",2006-06-06,206586,70,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:17:42Z,"alternative metal,nu metal,pop punk,post-grunge,punk,screamo",0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,4
6GIrIt2M39wEGwjCQjGChX,"0vWCyXMrrvMlCcepuOJaGI","The Great Escape","Boys Like Girls","BOYS LIKE GIRLS",2007-08-31,206520,58,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:18:00Z,"neon pop punk,pop punk",0.423,0.94,1,-4.012,0,0.0635,0.00166,0,0.178,0.505,149.934,4
0JJP0IS4w0fJx01EcrfkDe,"46gyXjRIvN1NL1eCB8GBxo","Dear Maria, Count Me In","So Wrong, It's Right","All Time Low",2007-09-25,182826,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:27:50Z,"modern rock,neon pop punk,pop emo,pop punk",0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4
5gb9UJkh8TfrNMRYOJNbew,"3vAaWhdBR38Q02ohXqaNHT","Gives You Hell","When The World Comes Down","The All-American Rejects",2008-01-01,213106,66,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-01-30T12:31:04Z,"alternative metal,modern rock,neo mellow,neon pop punk,pop punk,pop rock,post-grunge",0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
6I1HRAkeErdwrOJIfRrfIO,"4ERtgeBbWRkFzIz6LaFCeY","Hands Down","A Mark, A Mission, A Brand, A Scar","Dashboard Confessional",2003-01-01,186866,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-02-06T20:47:19Z,"emo,neon pop punk,pop punk,pop rock",0.485,0.82,3,-4.085,1,0.0493,0.015,0.0000281,0.112,0.219,94.063,4
1UVffD20CfHJ2wD0x0as8L,"5cCgzhFyRJVydeO23BqgLG","Monsters","Voices","Matchbook Romance",2006-02-14,243746,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-02-06T21:22:47Z,"emo,neon pop punk,pop punk,screamo",0.362,0.945,10,-2.651,0,0.0575,0.00131,0.0000251,0.154,0.487,114.797,4
6Jub05dvpbF4Im83NqMCUg,"4NlzjQkGReI7SiSeMNHbWP","United States Of Whatever","Fake Songs","Liam Lynch",2003-01-01,91226,54,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-09T19:14:50Z,"novelty",0.452,0.817,7,-2.27,1,0.273,0.00383,0,0.138,0.867,161.362,4
0E0bZtTG39K95uRjqBo1Mx,"4YJR4xviDKHoelt9WKHlBa","Party Hard","I Get Wet","Andrew W.K.",2001-01-01,184906,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-10-25T12:53:07Z,"modern hard rock",0.461,0.994,4,-3.413,1,0.0429,0.0000308,0.00000992,0.156,0.751,162.171,4
4X3qGigyU6ARi3HP4lWD95,"7sVQKNtdP2NylxMgbNOJMM","Superman","Hang-Ups","Goldfinger",1998-06-01,185026,61,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-10-25T13:09:10Z,"pop punk,punk,ska,skate punk,socal pop punk",0.429,0.937,2,-3.986,1,0.0573,0.000131,0.0002,0.0807,0.894,194.838,4
1OSm509RxY5oEQwSZEPeF6,"5p3WimI9yquAF6Lqhlm4Ol","Dumb Reminders","Hard Rock Bottom","No Use For A Name",2002-06-18,169000,41,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:24:53Z,"punk,ska,skate punk",0.494,0.934,2,-4.785,1,0.0655,0.00285,0.00000178,0.352,0.811,89.945,4
5z7S8ITmKjMG9BztxgCf2s,"7gkRNHOOt7QfhhXf0rEnmj","When Your Heart Stops Beating","When Your Heart Stops Beating","+44",2006-01-01,192786,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:25:28Z,"pop punk",0.411,0.967,9,-2.28,0,0.102,0.000286,0,0.0925,0.444,170.913,4
2jYmE3Xg0iNDySUm4mqy6Q,"3vAaWhdBR38Q02ohXqaNHT","Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,194333,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:43:27Z,"alternative metal,modern rock,neo mellow,neon pop punk,pop punk,pop rock,post-grunge",0.467,0.957,10,-4.846,1,0.0454,0.000241,0.00000562,0.595,0.445,143.832,4
1HNE2PX70ztbEl6MLxrpNL,"0qT79UgT5tY4yudH9VfsdT","In Too Deep","All Killer, No Filler","Sum 41",2001-01-01,207093,73,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:44:20Z,"alternative metal,canadian pop punk,canadian punk,modern rock,pop punk,post-grunge,punk,rock",0.569,0.843,9,-5.875,1,0.0503,0.000189,0,0.0607,0.76,116.045,4
4yZexjpbKCRfK4jcXSUZfp,"0qT79UgT5tY4yudH9VfsdT","Still Waiting","Does This Look Infected?","Sum 41",2002-01-01,158733,54,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:44:24Z,"alternative metal,canadian pop punk,canadian punk,modern rock,pop punk,post-grunge,punk,rock",0.435,0.938,7,-5.698,1,0.246,0.00102,0.000212,0.279,0.54,191.979,4
5W8YXBz9MTIDyrpYaCg2Ky,"4RddZ3iHvSpGV4dvATac9X","Last Resort","Infest","Papa Roach",2001-04-25,199906,80,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:44:50Z,"alternative metal,nu metal,rap metal,rap rock,rock",0.589,0.89,4,-3.719,0,0.06,0.000481,0.00082,0.201,0.687,90.586,4
0BRHnOFm6sjxN1i9LJrUDu,"5aYyPjAsLj7UzANzdupwnS","The Anthem","The Young and The Hopeless","Good Charlotte",2002-10-04,175093,73,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:45:11Z,"alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge",0.494,0.939,1,-3.127,1,0.126,0.00666,0,0.139,0.893,177.751,4
0lP4HYLmvowOKdsQ7CVkuq,"0RqtSIYZmd4fiBKVFqyIqD","The Kill","A Beautiful Lie","Thirty Seconds To Mars",2005-01-01,231533,76,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:45:28Z,"modern rock,post-grunge",0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,3
0a7BloCiNzLDD9qSQHh5m7,"4UXqAaa6dQYAk18Lv7PEgX","Dance, Dance","From Under The Cork Tree","Fall Out Boy",2005-05-03,180266,77,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:45:40Z,"emo,modern rock,pop,pop punk,rock",0.621,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.451,4
7yCPwWs66K8Ba5lFuU2bcx,"6FBDaR13swtiWwGhX1WQsP","All The Small Things","Enema Of The State","blink-182",1999-01-01,168000,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:45:47Z,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk",0.439,0.891,0,-4.764,1,0.057,0.0122,0,0.547,0.695,148.599,4
3RlsVPIIs5KFhLFhxZ4iDF,"6deZN1bslXzeGvOLaLMOIF","Rockstar","All the Right Reasons (Walmart Exclusive Edition)","Nickelback",2005-09-26,252040,64,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:46:18Z,"alternative metal,canadian rock,post-grunge",0.616,0.91,0,-3.004,1,0.0386,0.0459,0,0.343,0.693,144.072,4
6fTgbkBiMITtHUmik95ClX,"24XtlMhEMNdi822vi0MhY1","MakeDamnSure","Louder Now (Deluxe Edition)","Taking Back Sunday",2006-04-25,208280,66,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T16:47:13Z,"emo,neon pop punk,pop punk,post-hardcore,screamo",0.552,0.836,6,-5.608,1,0.0453,0.00942,0,0.372,0.432,140.496,4
40rvBMQizxkIqnjPdEWY1v,"3TOqt5oJwL9BE2NG9MEwDa","Down with the Sickness","The Sickness","Disturbed",2000-03-07,279213,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-12T17:02:30Z,"alternative metal,nu metal,rap metal,rock",0.695,0.876,3,-4.262,0,0.0553,0.000996,0.00000689,0.106,0.941,89.954,4
212ZyYwPDwSR6Y9dA26b3P,"5aYyPjAsLj7UzANzdupwnS","Last December","Last December","Good Charlotte",2020-12-18,189060,37,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-02-09T10:01:01Z,"alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge",0.407,0.948,8,-3.165,0,0.164,0.000141,0.00000622,0.26,0.364,155.046,4
7v7cbPcOZU1izO4g5Uic2x,"3M4ThdJR28z9eSMcQHAZ5G","Six Days in June","Half Drunk Under a Full Moon","The Fratellis",2021-04-02,221098,26,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-02-09T10:01:01Z,"garage rock,modern rock,scottish rock",0.51,0.885,0,-4.809,1,0.0417,0.0076,0,0.196,0.76,120.009,4
6AW7A6Z0HPhR5aO6k0zvtz,"19I4tYiChJoxEO5EuviXpz","Far Too Near","Bodies","AFI",2021-06-11,168574,30,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-02-09T10:01:01Z,"alternative metal,nu metal,pop punk,post-grunge,punk,screamo",0.49,0.906,11,-2.591,0,0.0459,0.0000177,0.302,0.231,0.429,92.047,4
2nG54Y4a3sH9YpfxMolOyi,"3YQKmKGau1PzlVlkL1iodx","Shy Away","Scaled And Icy","Twenty One Pilots",2021-05-21,175044,65,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-02-09T10:01:01Z,"modern rock,pop,pov: indie,rock",0.588,0.856,9,-5.242,0,0.0316,0.000818,0.0739,0.238,0.635,96.966,4
1D7UBHqaPWDbBHs2S5YXge,"3jOstUTkEu2JkjvRdBA5Gu","Perfect Situation","Make Believe","Weezer",2005-05-10,254333,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-02-09T10:01:01Z,"alternative rock,modern power pop,modern rock,permanent wave,rock",0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,4
