Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1dgWTMoHwTUnQhOQ8SR5fV,"3grHWM9bx2E9vwJCdlRv9O","American Kids","The Big Revival","Kenny Chesney",2014-09-22,182960,77,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-01T15:33:07Z,"contemporary country,country,country road,modern country rock",0.782,0.589,0,-7.37,1,0.0803,0.0476,0.00000584,0.0366,0.849,85.022,4
38CnG9HxpVtqXVqpESBr6H,"1mQ9wgWshECdFsDbT7ATzT","Too Much Fun","Daryle Singletary","Daryle Singletary",1995-05-20,165600,53,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-01T15:33:28Z,"country,country road",0.681,0.888,7,-4.635,1,0.0656,0.124,0.00000146,0.573,0.797,151.785,4
77lC0N7M07wmeozHWjNKts,"13YmWQJFwgZrd4bf5IjMY4","Online","5th Gear","Brad Paisley",2007,296013,41,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-01T15:33:55Z,"contemporary country,country,country road",0.587,0.824,7,-5.54,1,0.0521,0.133,0.126,0.392,0.91,133.476,4
2p07VcUwRZ5sru3mJ0JogS,"7vCtweS8UVAXTyau2j0rDT","Why Don't We Just Dance","Haywire","Josh Turner",2010,192800,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-01T15:42:56Z,"contemporary country,country,country road",0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.832,4
1KhrAWvLIjRlQIJtSTgvsi,"7vCtweS8UVAXTyau2j0rDT","Would You Go With Me","Your Man","Josh Turner",2006,228186,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-05-01T15:46:38Z,"contemporary country,country,country road",0.605,0.864,6,-5.365,1,0.0292,0.13,0.000803,0.113,0.736,122.919,4
383Xl5QTigwj3QiA3Qc6S7,"12d4iIvTOk7JkI6ecvc3ca","The Devil Went Down to Georgia","A Decade Of Hits","The Charlie Daniels Band",1973,214866,67,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-11-07T14:35:15Z,"album rock,classic rock,country,country rock,southern rock",0.523,0.626,0,-9.425,1,0.0523,0.155,0,0.0869,0.917,134.127,4
0zvNHIL7ci0ZzIoWU6RO2u,"0jgAONnsHxrwAlhkMUVS78","I Love a Rainy Night","All Time Greatest Hits","Eddie Rabbitt",1991,191066,62,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-11-07T14:41:02Z,"classic country pop,country,country rock,mellow gold,soft rock",0.685,0.718,0,-7.724,1,0.0521,0.122,0,0.0556,0.958,131.463,4
0zguOtmQBHtdzIG35vZilH,"4mxWe1mtYIYfP040G38yvS","Chattahoochee","A Lot About Livin' (And A Little 'Bout Love)","Alan Jackson",1992-10-24,148160,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-24T10:30:54Z,"country",0.606,0.706,0,-9.665,1,0.0379,0.362,0,0.16,0.819,174.533,4
36Ks1vifqOUoeJaMwGQPrt,"13YmWQJFwgZrd4bf5IjMY4","Time Well Wasted","Time Well Wasted","Brad Paisley",2005-08-16,234480,29,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:29Z,"contemporary country,country,country road",0.521,0.629,5,-7.716,1,0.0279,0.236,0,0.358,0.505,76.421,4
3JrD5PQbOAgGTKhts9Te6d,"7x8nK0m0cP2ksQf0mjWdPS","Free And Easy (Down The Road I Go)","Long Trip Alone","Dierks Bentley",2006-01-01,199560,58,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-06-05T09:19:41Z,"contemporary country,country,country road,modern country rock",0.583,0.782,6,-5.328,1,0.027,0.00499,0.000131,0.145,0.682,120.024,4
1YhFtqwcN138S6ng3MT1nN,"0BvkDsjIUla7X0k6CSWh1I","Rain Is A Good Thing","Doin' My Thing","Luke Bryan",2009-01-01,176160,68,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-06-05T09:26:33Z,"contemporary country,country,country road,modern country rock",0.622,0.931,11,-4.66,0,0.0507,0.106,0.00000245,0.328,0.521,108.051,4
5JTCdbn2KE4vx1vt8HJ3pZ,"13YmWQJFwgZrd4bf5IjMY4","The World","Time Well Wasted","Brad Paisley",2005-08-16,241653,43,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.444,0.95,4,-6.018,1,0.0534,0.358,0.00161,0.101,0.886,176.78,4
5wKaxpvqXq95IaoAVPLgoi,"13YmWQJFwgZrd4bf5IjMY4","Alcohol","Time Well Wasted","Brad Paisley",2005-08-16,290933,51,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.553,0.752,11,-5.888,1,0.0302,0.373,0.000032,0.208,0.595,141.67,3
3uJggzf2q1lCOl8EiQHFvN,"13YmWQJFwgZrd4bf5IjMY4","Waitin' On a Woman","Time Well Wasted","Brad Paisley",2005-08-16,272586,51,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.548,0.617,0,-7.093,1,0.0284,0.0848,0.0000513,0.113,0.339,76.367,4
6qoKLEQ9pgxf0A7L0l2z53,"13YmWQJFwgZrd4bf5IjMY4","I'll Take You Back","Time Well Wasted","Brad Paisley",2005-08-16,263173,28,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.61,0.846,2,-6.951,1,0.0319,0.216,0.000017,0.293,0.872,122.651,4
3dAgQFdruU8ufWc5GE05xC,"13YmWQJFwgZrd4bf5IjMY4","She's Everything","Time Well Wasted","Brad Paisley",2005-08-16,266920,62,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.355,0.478,0,-8.323,1,0.0334,0.569,0.00000288,0.194,0.271,102.967,4
5iVTNZ97MoxRdA7drSqTWX,"13YmWQJFwgZrd4bf5IjMY4","You Need a Man Around Here","Time Well Wasted","Brad Paisley",2005-08-16,213280,28,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.626,0.797,10,-6.999,1,0.0296,0.071,0.0000138,0.0814,0.848,131.703,4
032OLCivitT2axraBZ3nX9,"13YmWQJFwgZrd4bf5IjMY4,4mxWe1mtYIYfP040G38yvS","Out in the Parkin' Lot (with Alan Jackson)","Time Well Wasted","Brad Paisley,Alan Jackson",2005-08-16,283080,28,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:35:54Z,"contemporary country,country,country road",0.582,0.673,2,-7.252,1,0.0243,0.0629,0.0000409,0.328,0.356,91.496,4
0tRiaGOtJExVFk2vcSxdUL,"13YmWQJFwgZrd4bf5IjMY4","Love Is Never-Ending","Time Well Wasted","Brad Paisley",2005-08-16,238746,23,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:36:11Z,"contemporary country,country,country road",0.617,0.676,7,-8.934,1,0.027,0.21,0.0000277,0.124,0.466,104.584,4
3VLCtStwYsAL4LKZgeUvy3,"13YmWQJFwgZrd4bf5IjMY4,32vWCbZh0xZ4o9gkz4PsEU","When I Get Where I'm Going (feat. Dolly Parton)","Time Well Wasted","Brad Paisley,Dolly Parton",2005-08-16,247053,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:36:22Z,"contemporary country,country,country road,classic country pop,country dawn",0.519,0.379,0,-9.906,1,0.0279,0.619,0.00000185,0.108,0.208,85.929,4
3ijNukFpNMNXC4GNY5EGwp,"13YmWQJFwgZrd4bf5IjMY4","Easy Money","Time Well Wasted","Brad Paisley",2005-08-16,253466,25,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-12-20T23:36:29Z,"contemporary country,country,country road",0.685,0.855,7,-7.279,1,0.0287,0.0486,0.00000293,0.176,0.962,125.62,4
2SpEHTbUuebeLkgs9QB7Ue,"32vWCbZh0xZ4o9gkz4PsEU","Jolene","Jolene","Dolly Parton",1974-02-04,161533,71,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-07-21T11:09:02Z,"classic country pop,country,country dawn",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
