Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6fTgbkBiMITtHUmik95ClX,"24XtlMhEMNdi822vi0MhY1","MakeDamnSure","Louder Now (Deluxe Edition)","Taking Back Sunday",2006-04-25,208280,66,spotify:user:,2024-06-04T02:39:05Z,"emo,neon pop punk,pop punk,post-hardcore,screamo",0.552,0.836,6,-5.608,1,0.0453,0.00942,0,0.372,0.432,140.496,4
3l9CW99AHtExIRV4hW2N5m,"74XFHRwlV6OrjEM0A2NCMF","Misery Business","Riot!","Paramore",2007-06-11,211520,73,spotify:user:,2024-06-04T02:39:05Z,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock",0.517,0.906,1,-3.677,1,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
23DHUWJ7iEieNPMPKvjzBV,"126FigDBtqwS2YsOYMTPQe","Ohio Is For Lovers","The Silence In Black And White (Re-Issue)","Hawthorne Heights",2004-06-08,244480,64,spotify:user:,2024-06-04T02:39:05Z,"dayton indie,neon pop punk,pop punk,screamo",0.566,0.835,8,-6.87,0,0.0742,0.0356,0,0.241,0.606,170.066,4
2jYmE3Xg0iNDySUm4mqy6Q,"3vAaWhdBR38Q02ohXqaNHT","Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,194333,55,spotify:user:,2024-06-04T02:39:05Z,"alternative metal,modern rock,neo mellow,neon pop punk,pop punk,pop rock,post-grunge",0.467,0.957,10,-4.846,1,0.0454,0.000241,0.00000562,0.595,0.445,143.832,4
5Xbx9mAWoTiLbMOMQofoE6,"4UXqAaa6dQYAk18Lv7PEgX","Dance, Dance","From Under The Cork Tree Limited Tour Edition","Fall Out Boy",2006-01-01,180266,50,spotify:user:,2024-06-04T02:39:05Z,"emo,modern rock,pop,pop punk,rock",0.622,0.957,11,-3.176,0,0.131,0.00485,0,0.0863,0.517,114.471,4
1IT0WQk5J8NsaeII8ktdlZ,"4iJLPqClelZOBCBifm8Fzv,3M9XAM57a4qFz3v6Lq27t2","King For A Day","Collide With The Sky","Pierce The Veil,Kellin Quinn",2012-07-17,236293,75,spotify:user:,2024-06-04T02:39:05Z,"modern rock,pop punk,screamo",0.403,0.965,6,-2.238,1,0.0964,0.0000381,0.000276,0.341,0.431,112.363,4
4G21jWo0Cm6lOIUNnZ2mUI,"5yV1qdnmxyIYiSFB02wpDj","Such Great Heights - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,266506,63,spotify:user:,2024-06-04T02:39:05Z,"chamber pop,indie rock,indietronica,seattle indie",0.644,0.808,5,-7.268,1,0.0513,0.0467,0.187,0.0652,0.175,174.98,4
5jZ1Z2GFTf2gwmFc3qiUxs,"55VydwMyCuGcavwPuhutPL","The Taste of Ink","The Used","The Used",2002-06-25,208693,63,spotify:user:,2024-06-04T02:39:05Z,"alternative metal,neon pop punk,pop emo,post-grunge,post-hardcore,screamo",0.541,0.904,7,-3.001,1,0.0435,0.00143,0,0.193,0.541,98.122,4
5cY8y2XgOfkAh4kSWLFKkz,"20JZFwl6HVl6yg8a4H3ZqK","I Write Sins Not Tragedies","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,185586,69,spotify:user:,2024-06-04T02:39:05Z,"pop"
6GG73Jik4jUlQCkKg9JuGO,"3Ayl7mCk0nScecqOzvNp6s","The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,82,spotify:user:,2024-06-04T02:39:05Z,"alternative metal,alternative rock,emo,modern power pop,modern rock,neon pop punk,pop punk,pop rock,post-grunge,punk,rock",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
6otiaV2fagE3s8IvP6WkwG,"2p4FqHnazRucYQHyDCdBrJ","I'm Just a Kid","No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)","Simple Plan",2002-03-19,198333,71,spotify:user:,2024-06-04T02:39:05Z,"canadian pop punk,canadian punk,canadian rock,modern rock,neon pop punk,pop punk,pop rock",0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,4
7j31rVgGX9Q2blT92VBEA0,"7FBcuc1gsnv6Y1nwFtNRCb","Teenagers","The Black Parade","My Chemical Romance",2006-10-23,161920,79,spotify:user:,2024-06-04T02:39:05Z,"emo,modern rock,pop punk,pov: indie,rock",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
2TfSHkHiFO4gRztVIkggkE,"4UXqAaa6dQYAk18Lv7PEgX","Sugar, We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-05-03,229093,77,spotify:user:,2024-06-04T02:39:05Z,"emo,modern rock,pop,pop punk,rock",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
6GIrIt2M39wEGwjCQjGChX,"0vWCyXMrrvMlCcepuOJaGI","The Great Escape","Boys Like Girls","BOYS LIKE GIRLS",2007-08-31,206520,58,spotify:user:,2024-06-04T02:39:05Z,"neon pop punk,pop punk",0.423,0.94,1,-4.012,0,0.0635,0.00166,0,0.178,0.505,149.934,4
1oTo3ijRbaDAtrjJrGAPSw,"6FBDaR13swtiWwGhX1WQsP","I Miss You","blink-182","blink-182",2003-01-01,227240,75,spotify:user:,2024-06-04T02:39:05Z,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk",0.655,0.781,11,-6.547,1,0.034,0.00103,0.00000533,0.0867,0.584,110.024,4
0BRHnOFm6sjxN1i9LJrUDu,"5aYyPjAsLj7UzANzdupwnS","The Anthem","The Young and The Hopeless","Good Charlotte",2002-10-04,175093,73,spotify:user:,2024-06-04T02:39:05Z,"alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge",0.494,0.939,1,-3.127,1,0.126,0.00666,0,0.139,0.893,177.751,4
1AMADyXgIWayh5vXLZo2qF,"4DUQBYAyOTZotSEdKhaf6c","Covet","Colourmeinkindness","Basement",2012-10-23,227340,72,spotify:user:,2024-06-04T02:39:05Z,"alternative emo,dreamo,emo",0.428,0.799,4,-6.265,1,0.0468,0.00139,0.0742,0.0788,0.228,139.052,4
