Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5xtBRnNNSUihY0J6zi4Ytc,"37M5pPGs6V1fchFJSgCguX","New Girl","New Girl","FINNEAS",2016-08-12,181437,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:25:33Z,"alt z,la indie,pop,pov: indie",0.71,0.386,8,-7.374,0,0.0476,0.653,0.0000198,0.163,0.351,75.001,4
6ee7CHWggDCiHtZdgzqnJG,"37M5pPGs6V1fchFJSgCguX","I Don't Miss You at All","Blood Harmony (Deluxe)","FINNEAS",2020-08-07,128916,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:27:34Z,"alt z,la indie,pop,pov: indie",0.839,0.316,1,-7.57,0,0.224,0.609,0.0004,0.103,0.531,148.094,4
04oG24PjVs59q72Id8wXFK,"37M5pPGs6V1fchFJSgCguX","Claudia","Claudia","FINNEAS",2019-02-22,161876,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:27:43Z,"alt z,la indie,pop,pov: indie",0.812,0.447,11,-7.629,0,0.0765,0.552,0,0.323,0.703,125.075,4
3n5te2xbUAPjzAnhLgA42z,"37M5pPGs6V1fchFJSgCguX","Let's Fall in Love for the Night","Blood Harmony (Deluxe)","FINNEAS",2020-08-07,190348,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:27:45Z,"alt z,la indie,pop,pov: indie",0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.918,4
3wA4ronkc8ZcPXUP0fDgYA,"4PcesEvU9iICf7dwNt5B3l","Bad Day","Bad Day","Justus Bennetts",2021-09-07,108800,54,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:36:48Z,"gen z singer-songwriter",0.883,0.713,9,-4.684,1,0.307,0.0125,0,0.45,0.855,89.025,4
19VgR6RNUxPlZdQm08CZIs,"2cAXhrWAztXGwk6r15ibW2","Dress","Dress","Charlotte Sands",2020-12-02,143500,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:37:05Z,"alt z",0.807,0.438,5,-9.596,1,0.182,0.028,0,0.454,0.793,114.994,4
1BPBwKueIEMnUcbbs2te7B,"0OEYE03fBF2VoTBxGuaUxL","NUMB","NUMB","Chri$tian Gate$",2021-06-04,112500,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:37:18Z,"sad rap,singer-songwriter pop",0.682,0.598,8,-5.694,1,0.264,0.0575,0,0.299,0.823,103.791,4
656neoAxvwrA9812K99kTO,"3p2pMpzDerhMR4w2xZyHWg","Body","Body","Rosenfeld",2021-07-30,147413,52,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:44:06Z,"dark r&b",0.567,0.481,11,-8.787,1,0.033,0.292,0,0.254,0.242,103.945,4
3WsRuvMAGIUGSQ3L5TKetf,"1AaSeUFzwt47HhkGtWE1xn","Fuck My Friends","Fuck My Friends","Eddie Benjamin",2020-04-03,123770,31,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:46:58Z,"modern indie pop",0.728,0.305,7,-8.922,0,0.176,0.186,0.000299,0.161,0.558,99.967,4
1M4Ud66z18wuIq3oOxqVHa,"3uwAm6vQy7kWPS2bciKWx9","bad idea!","bad idea!","girl in red",2019-09-03,219638,1,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:48:13Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.511,0.806,1,-6.093,1,0.0481,0.03,0.0465,0.252,0.41,162.04,4
3h3pOvw6hjOvZxRUseB7h9,"3uwAm6vQy7kWPS2bciKWx9","i wanna be your girlfriend","i wanna be your girlfriend","girl in red",2018-03-02,204990,1,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:48:38Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,4
6TMbGrU3ahGh0BaNI1ESWi,"3uwAm6vQy7kWPS2bciKWx9","say anything","say anything","girl in red",2018-03-03,142700,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:49:10Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.552,0.585,1,-14.538,1,0.0345,0.0206,0.976,0.144,0.352,150.07,4
2Rmw7J0krEU75ffhkaK93D,"3QaxveoTiMetZCMp1sftiu","I Miss Having Sex But At Least I Don't Wanna Die Anymore","FANDOM","Waterparks",2019-10-11,133351,60,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:49:39Z,"neon pop punk,pixie,pop punk,pov: indie,texas pop punk",0.582,0.81,5,-4.104,0,0.106,0.0763,0,0.351,0.874,73.954,4
0NuWgxEp51CutD2pJoF4OM,"1dy5WNgIKQU6ezkpZs4y8z","blind","our little angel - EP","ROLE MODEL",2020-10-21,153293,60,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:49:59Z,"alt z,bedroom pop,pov: indie",0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,4
480aVmwDIBeTSpSZORyhO0,"1h1CNvurvYYLyzLbpeqaLq","could this be love?","could this be love?","saturn 17",2019-08-25,208000,43,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:50:16Z,"",0.553,0.892,10,-6.622,1,0.0445,0.000117,0,0.0792,0.651,150.052,4
32zkKx35Et6A515oZKxDkD,"4yvcSjfu4PC0CYQyLy4wSq","Life Itself","How To Be A Human Being","Glass Animals",2016-08-26,281406,61,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:50:46Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.699,0.67,1,-6.219,1,0.0347,0.0147,0.22,0.356,0.556,111.988,4
0rRjGruFonCGOt0S5zAJNQ,"4yvcSjfu4PC0CYQyLy4wSq","The Other Side Of Paradise","How To Be A Human Being","Glass Animals",2016-08-26,320654,68,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:51:03Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.689,0.338,11,-7.634,0,0.0629,0.349,0.000057,0.0649,0.568,128.012,4
0g21KZ1XJuhwexWPLpuEt1,"5vBrKGOjN10BMwB0cJADj4","You & Jennifer","Damaged Vol. 2","bülow",2018-06-08,159453,52,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:52:01Z,"alt z,indietronica",0.752,0.698,11,-6.53,1,0.306,0.52,0,0.211,0.347,132.058,4
2dW3ZWlCrV4T1SBR1u1ttz,"5bmqhxWk9SEFDGIzWpSjVJ","A Kiss","Girlfriend","THE DRIVER ERA",2021-10-15,271854,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T22:55:22Z,"modern alternative rock",0.697,0.923,6,-4.646,1,0.272,0.208,0.000736,0.158,0.635,169.999,4
1LPGwuFgIzbJoShfDdw7MY,"4yvcSjfu4PC0CYQyLy4wSq","Youth","How To Be A Human Being","Glass Animals",2016-08-26,230693,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-16T23:41:22Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.648,0.718,9,-7.765,0,0.0298,0.129,0.00156,0.112,0.785,96.017,4
75ls0gurX68lUmMjE7QcsE,"3gIRvgZssIb9aiirIg0nI3","all the kids are depressed","glisten","Jeremy Zucker",2018-05-04,169973,66,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:11:15Z,"alt z,electropop,pop",0.773,0.437,9,-8.281,1,0.0976,0.835,0.0000217,0.544,0.708,103.857,4
7vXtuHrqgzQi58ihUO7L2d,"3u2R8st1bb6zfBqNWceRXG","Karma","Internet Killed The Rockstar","MOD SUN",2021-02-12,159393,50,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:13:57Z,"indie pop rap,minnesota hip hop",0.461,0.825,8,-3.583,1,0.115,0.0246,0,0.224,0.412,198.045,4
11IJA30efHAJLO3qroPh5L,"0Ya43ZKWHTKkAbkoJJkwIB","Turn","Beautiful People Will Ruin Your Life","The Wombats",2018-02-09,207679,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:24:57Z,"liverpool indie,modern alternative rock,modern rock",0.531,0.847,1,-3.907,1,0.0529,0.00743,0,0.0916,0.38,105.03,4
1BYZxKSf0aTxp8ZFoeyM3d,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / forget her","girl in red",2018-11-21,184153,23,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:31:48Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,4
3Wu6MhnZuLuzfH5wFC2g9i,"3XHO7cRUPCLOr6jwp8vsx5","Breezeblocks","An Awesome Wave","alt-J",2012-05-28,227080,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:38:54Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.611,0.643,5,-7.372,1,0.037,0.117,0.00101,0.131,0.258,74.991,4
4AewKenHXKBt643p473xCk,"1KP6TWI40m7p3QBTU6u2xo","American Money","Dopamine","BØRNS",2015-10-16,260986,61,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:40:54Z,"indie poptimism,modern alternative rock,modern rock,pov: indie",0.542,0.867,6,-5.26,0,0.0813,0.0226,0.00347,0.116,0.326,134.984,4
0Sjz8pTu8vcVvGP5rtyh3Q,"6hQS54VPpxunuwR0W7usuo","Tonight You Are Mine","Ultraviolet Disguise (Deluxe Edition)","The Technicolors",2015-10-16,230000,53,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:45:45Z,"phoenix indie",0.634,0.6,11,-6.662,1,0.0265,0.00203,0.00569,0.0796,0.64,90.017,4
2VgQLPaAPaJRIXeL0FIW2q,"7sOR7gk6XUlGnxj3p9F54k","The Fall","3","half•alive",2017-04-24,186945,54,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:51:52Z,"alt z,pov: indie",0.656,0.741,0,-6.135,1,0.0505,0.0307,0.000147,0.0709,0.549,82.988,4
1tTV7mRV9uB2Nr9VcwkuFX,"0Ya43ZKWHTKkAbkoJJkwIB","Greek Tragedy","Glitterbug","The Wombats",2015-01-13,209557,55,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:56:05Z,"liverpool indie,modern alternative rock,modern rock",0.515,0.869,11,-4.732,1,0.0672,0.00257,0.00000201,0.21,0.452,93.24,4
0EfsDEYaSjGYd66Pr881nq,"77SW9BnxLY8rJ0RciFqkHh","Cry Baby","Wiped Out!","The Neighbourhood",2015-10-30,235160,71,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T17:58:33Z,"modern alternative rock,modern rock,pop",0.581,0.656,4,-4.891,0,0.0294,0.00269,0.00000278,0.101,0.338,108.033,4
5E30LdtzQTGqRvNd7l6kG5,"77SW9BnxLY8rJ0RciFqkHh","Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T18:04:35Z,"modern alternative rock,modern rock,pop",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
0KpAm8TtyHPZmxdPO7npYO,"0IErJSgNHRD1DAH0X7yHvn","we made it.","Blossom Hill","david hugo",2021-07-09,164662,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-17T23:20:59Z,"modern indie pop",0.653,0.515,5,-7.906,1,0.267,0.0706,0,0.0756,0.674,176.05,4
5shKghzmNjbpnCV74FPigi,"3EBe4S0IH48BphMnrdUzxk","Two Nights","Two Nights","Javailin",2020-02-14,208320,30,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T20:51:20Z,"",0.658,0.517,8,-5.691,0,0.03,0.169,0,0.283,0.576,112.083,4
7uqqqaDU0TjjEQDeZnbber,"2EuJ1FVQxyGyE5aHSMGjzO","Punchdrunk","Punchdrunk","Vaines",2019-11-21,197810,33,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T20:52:19Z,"modern alternative pop",0.86,0.55,2,-5.269,0,0.0739,0.502,0,0.269,0.764,91.536,4
1Ey7PyLGNxvJNvzrxPMLMV,"7cYEt1pqMgXJdq00hAwVpT","Falling","Paradise EP","Chase Atlantic",2016-12-20,223240,2,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:26:33Z,"alternative r&b",0.544,0.796,3,-5.283,1,0.0356,0.000805,0.00000862,0.126,0.7,98.977,4
2KKBlK4IZUdjlJ7F0WGzU6,"5bmqhxWk9SEFDGIzWpSjVJ","Afterglow","X","THE DRIVER ERA",2019-06-28,191008,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:31:13Z,"modern alternative rock",0.704,0.599,6,-7.349,1,0.0536,0.443,0,0.147,0.789,128.023,4
6wNJDdIFnD9bMwkEXewKbq,"2CXVeT982HeechgvKI3f2v","I DONT WANT 2 B UR FRIEND","I DONT WANT 2 B UR FRIEND","Devon",2019-08-23,130666,40,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:31:59Z,"",0.392,0.96,5,-5.684,0,0.138,0.00664,0,0.088,0.543,89.811,4
1Po2n7GxUAf6snaUxYekd5,"58eJhHRICp87T2IFcP0bYh","Juliette","Juliette","Slush Puppy",2021-03-26,170624,39,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:33:23Z,"socal indie",0.463,0.473,2,-9.581,1,0.0493,0.0302,0,0.213,0.499,165.305,4
4LK36kV9w3KBD2GYL26ZBq,"3P4vW5tzQvmuoNaFQqzy9q","I Want To Be With You","Blood Bunny","chloe moriondo",2021-05-07,179573,55,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:36:35Z,"alt z,bedroom pop,indie pop,pov: indie",0.743,0.443,4,-6.968,1,0.0382,0.0225,0.00000676,0.099,0.37,119.984,4
58sImTvRzYPn6hLNQol2a5,"20mG4NVCankcytn70YIplV","HOODIES","Toxic Trait Sandwich","JayXander",2021-09-17,180313,34,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:38:51Z,"gen z singer-songwriter",0.608,0.79,6,-6.086,1,0.156,0.0666,0.0000838,0.325,0.851,155.18,4
2yfu1w0yFYHAHnr4p5JS7V,"5rebfYbZVIhbRVcRKWVOAh","Vowels (and the Importance of Being Me)","Vowels (and the Importance of Being Me)","HUNNY",2016-04-08,184435,50,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:45:27Z,"indie pop,pov: indie",0.484,0.875,4,-5.237,1,0.0541,0.00154,0.0000964,0.169,0.724,150.021,4
4nlT0Ch4qpqoS8O1RsdzjH,"3uwAm6vQy7kWPS2bciKWx9","You Stupid Bitch","if i could make it go quiet","girl in red",2021-04-30,195951,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:50:10Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.521,0.833,11,-5.661,0,0.053,0.00721,0.00119,0.272,0.764,149.006,4
1qf4LTrblgyq5gKli14LqM,"2Zgc1KUqd7A9wmQ7mQHuwY","Bad Texter","King of the Basement","Ryan Woods",2021-04-16,193208,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:50:11Z,"modern indie pop",0.611,0.632,11,-7.25,1,0.0428,0.0455,0.0000747,0.339,0.619,95.076,4
7byGwLkiIzJdHOZKZMS8nd,"2vlC4o7h61xlMUop6QCuvK","Something Super Sweet","Are You Scared Yet?","Rory Webley",2020-07-10,172613,51,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:51:11Z,"pov: indie,social media pop",0.723,0.491,0,-9.675,1,0.0405,0.304,0,0.118,0.585,102.005,4
09akcdeCiV2jIl6x9WpmxA,"4KJ6jujcNPzOyhdNoiNftp","don't worry, you will","everything i could never say...","lovelytheband",2017-09-22,197000,43,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:53:00Z,"modern alternative rock,modern rock,pov: indie",0.751,0.702,9,-4.382,0,0.0515,0.0931,0,0.141,0.851,120.048,4
2g0Bmi3kYEntusDP6xlAGZ,"53k2km8u55n9YaJJB7scjX","striptease","striptease","carwash",2019-11-05,160659,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:55:14Z,"",0.693,0.572,8,-8.89,1,0.0749,0.127,0.952,0.102,0.732,130.05,4
0zePbRMJ9sd7wsZRlbPQua,"6eJa3zG1QZLRB3xgRuyxbm","Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,1,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:57:03Z,"austindie,indie rock,pov: indie",0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,4
3bFB77vfQUiM9KgsE4rbt7,"2Sf3JoQvmbE3hi7hfwzofq","Drama Queen","Drama Queen","milk.",2019-02-08,246000,1,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-19T23:59:38Z,"",0.528,0.779,9,-8.289,1,0.041,0.00153,0,0.0974,0.614,120.051,4
1170VohRSx6GwE6QDCHPPH,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,73,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-20T00:03:27Z,"pov: indie,slc indie",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
07tbYac108weqzeP7Bhwon,"4vxaQs6vK54nK89J1VtLex","Pretty Face","Let's Remake It","PUBLIC",2015-03-24,230786,52,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-24T23:19:28Z,"indie rockism",0.538,0.89,11,-3.193,1,0.0489,0.00235,0,0.354,0.628,143.022,4
7f9sIbD8IQGixfrJW9J2nI,"6Irs7fI5Xuwhx38JhtarDu","Goodbye Bye Bye","Goodbye Bye Bye","Younger Hunger",2020-05-01,155960,30,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-24T23:20:31Z,"modern indie pop",0.647,0.694,10,-4.371,1,0.0919,0.232,0.000816,0.142,0.609,135.979,4
7uncgy1DHcixuyZ3YIEUEi,"2vlC4o7h61xlMUop6QCuvK","Friendly Neighborhood Poltergeist","Are You Scared Yet?","Rory Webley",2020-07-10,181860,47,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-24T23:21:35Z,"pov: indie,social media pop",0.646,0.595,0,-6.12,0,0.0445,0.433,0.000014,0.141,0.134,108.001,4
3HkKACiwPslfBXkEyQp7TM,"3jN7f9X0EmFnsbRS6nl6as","What A Perfect Day For Crying","One Less Year Alive","iamnotshane",2021-04-01,181818,43,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-24T23:26:00Z,"singer-songwriter pop",0.56,0.802,9,-7.231,0,0.0574,0.0129,0.0000337,0.157,0.691,165.01,4
4M3LxaKlYUonvaQMZDDXKB,"5asP5PYlJdyHHpFdVAw9kn","I Wasn't Made to Fall in Love","Credit Cards & Broken Hearts","Koko Love",2021-02-10,161278,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-24T23:50:56Z,"",0.462,0.705,11,-6.747,0,0.0503,0.0497,0,0.2,0.702,183.819,4
5TIyFlLF0EfYOUZH1TYxBq,"4XX9YjNQrHTZfZz3DCX6DP","More Than a Friend","More Than a Friend","girli",2021-05-28,175693,60,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-27T17:25:04Z,"alt z,dark pop,escape room,proto-hyperpop",0.689,0.594,0,-7.645,1,0.0584,0.0301,0,0.102,0.653,137.112,4
2bFGGsScXp2Tu10jKMCKO6,"6NnBBumbcMYsaPTHFhPtXD","Figure You Out","Long Story Short","VOILÀ",2020-05-22,163436,73,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-27T17:34:47Z,"dark r&b,la pop,singer-songwriter pop",0.631,0.491,11,-8.141,0,0.0354,0.508,0.0000318,0.177,0.537,94.912,4
7bEDDsy2LFC0KSqhZp5nPE,"1FgsVeOhRYuSw2ghkIXV0A","Sweet Disaster","This Album Does Not Exist","DREAMERS",2016-08-26,205173,51,spotify:user:b72f0tu1tdydm1jah3vertzwd,2021-12-27T17:34:54Z,"modern alternative rock,modern rock",0.515,0.821,0,-2.333,1,0.0309,0.00794,0,0.0787,0.425,86.995,4
4TayVl5C9dYmXk1baWcfry,"45d8YG3R2DApOMnIZuyK8p","Cigarettes & Feelings","Cigarettes & Feelings","The Haunt",2019-09-27,213204,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-26T19:33:10Z,"",0.688,0.786,7,-4.371,0,0.0562,0.372,0,0.457,0.819,142.048,4
1280ebYtTct0ytDEZdrcvQ,"7I3bkknknQkIiatWiupQgD","Swoon","What a Drag","Beach Weather",2015-08-28,221925,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-26T19:44:37Z,"pov: indie",0.668,0.67,6,-5.919,0,0.0486,0.262,0.00942,0.119,0.654,92.016,4
3XlrbYlaUFnDYGfRcdoYRU,"3P4vW5tzQvmuoNaFQqzy9q","Bodybag","Blood Bunny","chloe moriondo",2021-05-07,158306,47,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-26T19:55:41Z,"alt z,bedroom pop,indie pop,pov: indie",0.783,0.461,9,-4.658,1,0.0363,0.0223,0.0000374,0.0928,0.683,112.98,4
7D4xV0aaK5fsn0Zh2o96ql,"5hNoJE5m6FoCBI0SM6lhia","Are You Lying to Your Therapist About Being Sober Again? Yes.","Are You Lying to Your Therapist About Being Sober Again? Yes.","Chrmng,",2020-04-19,170869,36,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-26T19:58:26Z,"",0.669,0.68,10,-5.355,1,0.0259,0.104,0.0000264,0.0874,0.533,92.039,4
5HIoYblPkVV5DWPTDmb4Jg,"4yvcSjfu4PC0CYQyLy4wSq","Helium","Dreamland (+ Bonus Levels)","Glass Animals",2020-08-06,328232,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-30T14:34:44Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.289,0.307,4,-16.036,1,0.0452,0.854,0.275,0.255,0.0477,96.516,4
0APAKxMXB7jdDs4kw1l30y,"0NIPkIjTV8mB795yEIiPYL","OK","OK","Wallows",2020-03-20,193293,58,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-30T14:35:11Z,"pov: indie",0.72,0.625,7,-6.274,1,0.0362,0.0112,0.0076,0.0999,0.818,102.006,4
3aylN3YRnzcbo7q1l1GLtB,"4ug3P1K8BaCdJXROrqHqhu","CVS","CVS","Winnetka Bowling League",2020-02-28,209173,43,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-30T14:38:08Z,"la pop",0.342,0.709,11,-5.903,1,0.294,0.101,0.000015,0.536,0.673,77.668,4
2OwIGCjx7e7J1HHdAqIv21,"0NIPkIjTV8mB795yEIiPYL","Quarterback","Quarterback","Wallows",2021-02-15,180386,55,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-30T14:40:40Z,"pov: indie",0.689,0.719,11,-3.883,1,0.031,0.0135,0.00000164,0.107,0.557,121.008,4
1BApHcP5TM5DHAq4gyjqjx,"7n0i6RECXvCkOElGs6IP97","She Doesn’t Get It","She Doesn’t Get It","Rec Hall",2021-05-05,211030,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-30T14:43:59Z,"",0.59,0.936,4,-5.226,1,0.0603,0.00751,0.00113,0.0448,0.726,156.105,4
6qqH1B8XnA8WJpSLWdjUFt,"2MJMW3WtQnDq7DKezFn5jO","Last Time","Last Time","Beauty School Dropout",2020-02-17,171162,26,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-01-30T14:44:51Z,"dark r&b",0.74,0.623,0,-8.022,0,0.0464,0.171,0,0.061,0.657,128.972,4
4cqj8FIWkyR5A2XBtcqRMU,"006j2rer9tZJCYniu7SaWS","God Is A Freak","God Is A Freak","Peach PRC",2022-02-03,187229,52,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-02-03T15:09:26Z,"alt z",0.569,0.405,3,-6.697,1,0.0606,0.219,0,0.133,0.648,99.71,4
02qZpv0gLgqnm8KYUVEaFf,"4yvcSjfu4PC0CYQyLy4wSq","Waterfalls Coming Out Your Mouth","Dreamland (+ Bonus Levels)","Glass Animals",2021-09-09,161789,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-02-06T19:28:30Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.649,0.553,11,-7.139,0,0.034,0.194,0.000553,0.178,0.322,149.004,4
68XhCrBajUR64h6wv4eYYW,"5IH6FPUwQTxPSXurCrcIov","I Built A Friend (2020)","I Built A Friend (2020)","Alec Benjamin",2020-07-23,176693,53,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-02-16T22:47:46Z,"alt z,pop,pov: indie",0.6,0.282,9,-8.284,1,0.0302,0.883,0.00000267,0.163,0.424,100.035,4
0uLPKDuIhkIhttiwezNdiG,"5IH6FPUwQTxPSXurCrcIov","Jesus in LA","These Two Windows","Alec Benjamin",2020-05-29,171539,60,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-02-16T22:55:01Z,"alt z,pop,pov: indie",0.787,0.558,0,-5.237,1,0.0414,0.664,0,0.347,0.706,94.049,4
6Jrdb6CFOJEGaHjaa6c4WR,"1Cd373x8qzC7SNUg5IToqp,2cFrymmkijnjDg9SS92EPM","IDGAF (with blackbear)","IDGAF","BoyWithUke,blackbear",2022-03-18,140665,59,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-04-20T18:40:39Z,"sad rap,alt z,pop",0.783,0.75,5,-5.762,1,0.078,0.426,0,0.241,0.88,97.953,4
5GxUKIEkMXXZo1Tif0IzfC,"1Cd373x8qzC7SNUg5IToqp","Two Moons","Fever Dreams","BoyWithUke",2021-06-04,224747,66,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-04-20T18:40:42Z,"sad rap",0.841,0.502,6,-9.068,0,0.211,0.52,0.000187,0.103,0.863,109.965,4
2JIfkiU96Z25ERPoYhWirP,"7I3bkknknQkIiatWiupQgD","Chit Chat","Chit Chat","Beach Weather",2016-11-04,200207,56,spotify:user:b72f0tu1tdydm1jah3vertzwd,2022-08-11T16:16:46Z,"pov: indie",0.515,0.978,11,-2.778,0,0.0556,0.000253,0.16,0.33,0.966,142.116,4
