Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1H7fv0OQXQMzGPYLV4m3Bo,"40uK7RAJlyEALdLWZ1qNmb","Sorry Honey","A Modern Kind Of Blue","Fuzzy Sun",2020-04-22,236714,7,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:20:01Z,"english indie rock,manchester indie",0.606,0.761,11,-4.778,1,0.042,0.429,0.000786,0.3,0.716,139.99,4
1nYeVF5vIBxMxfPoL0SIWg,"6M2wZ9GZgrQXHCFfjv46we","Hallucinate","Future Nostalgia","Dua Lipa",2020-03-27,208505,63,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:33:34Z,"dance pop,pop,uk pop",0.627,0.69,10,-5.396,0,0.139,0.033,0,0.0742,0.627,122.053,4
4jBktGfTrKpGkPHV3PLaA0,"5cj0lLjcoR7YOSnhnX0Po5","Say So / Like That (Mashup)","Say So / Like That (Mashup)","Doja Cat",2020-09-11,212566,49,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:32:46Z,"dance pop,pop",0.61,0.761,11,-4.086,0,0.156,0.107,0,0.128,0.575,109.715,4
1otG6j1WHNvl9WgXLWkHTo,"1U1el3k54VvEUzo3ybLPlM,4V8LLVI7PbaPR0K2TGSxFF,5K0rbdBrs2tNXe5LeWMATT","After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Isolation","Kali Uchis,Tyler, The Creator,Bootsy Collins",2018-04-06,207454,78,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:31:19Z,"colombian pop,hip hop,rap,funk,p funk,soul",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,4
4JSEMSiKPVcIEBQIlmGuI3,"16rCzZOMQX7P8Kmn5YKexI,3wcj11K77LjEY1PkEazffa","Simmer (feat. Burna Boy)","Simmer (feat. Burna Boy)","Mahalia,Burna Boy",2019-07-03,167680,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:32:14Z,"alternative r&b,indie anthem-folk,uk contemporary r&b,afrobeats,azontobeats,dancehall,nigerian hip hop,nigerian pop",0.695,0.746,5,-3.952,0,0.0482,0.227,0,0.254,0.576,91.698,4
6tDDoYIxWvMLTdKpjFkc1B,"1U1el3k54VvEUzo3ybLPlM","telepatía","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,160191,82,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:31:24Z,"colombian pop",0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,4
2GoXtcbzgBUrvYv6ac7zA9,"16rCzZOMQX7P8Kmn5YKexI","Letter To Ur Ex","Letter To Ur Ex","Mahalia",2022-02-17,134626,42,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:33:12Z,"alternative r&b,indie anthem-folk,uk contemporary r&b",0.69,0.494,6,-7.41,0,0.0378,0.572,0.00068,0.129,0.283,79.955,4
74fmYjFwt9CqEFAh8ybeBD,"5he5w2lnU9x7JFhnwcekXX,4oLeXFyACqeem2VImYeBFe,07CimrZi5vs9iEao47TNQ4","Rumble","Quest For Fire","Skrillex,Fred again..,Flowdan",2023-02-17,146571,67,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:08:26Z,"brostep,complextro,edm,electro,pop dance,house,stutter house,grime",0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,4
2IY559smG7SXYk229NA2Vl,"4mxWe1mtYIYfP040G38yvS","Little Bitty","Everything I Love","Alan Jackson",1996-09-30,158626,67,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:57:21Z,"country",0.571,0.818,4,-6.539,1,0.0415,0.151,0,0.348,0.728,163.045,4
09Rv6ctDE0t9z8zk5FINg8,"4oLeXFyACqeem2VImYeBFe,2Y9NuRn4ZPJmokEt5Co7my","Danielle (smile on my face)","Actual Life 3 (January 1 - September 9 2022)","Fred again..,070 Shake",2022-10-28,201230,65,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-04-15T11:08:56Z,"edm,house,stutter house",0.678,0.931,5,-5.813,1,0.0867,0.00159,0.0275,0.091,0.346,130.021,4
