Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0JNRE2AVZvGfJdNNabrVIg,"0IhZsSjGTFJBXIM5unqzdV","Shona","Shona","Jake Chudnow",2015-03-02,315257,36,spotify:user:1122348556,2020-11-29T20:42:17Z,"",0.628,0.583,8,-9.331,1,0.0385,0.0401,0.778,0.0882,0.419,128.013,4
4yIc7iISQCuueEWQMfghBW,"21DtKSgtPS1mEUQsSl6y6Y","Melide","For Better Or For Worse","Leech",2018-09-14,373880,21,spotify:user:1122348556,2020-11-29T20:42:04Z,"german post-rock,instrumental post-rock,post-rock",0.508,0.829,3,-6.368,0,0.0301,0.00588,0.713,0.0801,0.101,143.988,4
0U0ldCRmgCqhVvD6ksG63j,"0UF7XLthtbSF2Eur7559oV","Nightcall","Nightcall","Kavinsky",2010,258413,70,spotify:user:1122348556,2020-11-30T16:00:40Z,"filter house",0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,4
0qG1teoBvooRo7Z5Z8edCk,"23ymPLjbtAMzTJS2qRtQ8Z","La ritournelle","Politics","Sébastien Tellier",2004-01-01,454480,30,spotify:user:1122348556,2020-11-30T16:27:05Z,"downtempo,electrofox,electronica,filter house,french indie pop,french indietronica,french synthpop",0.558,0.723,0,-11.214,0,0.0312,0.00405,0.501,0.0863,0.526,102.833,4
3sF9v2qDFDGTyYismssCFI,"57dN52uHvrHOxijzpIgu3E","Drugs","LP4","Ratatat",2010-06-07,294640,0,spotify:user:1122348556,2020-11-30T17:55:55Z,"brooklyn indie,indietronica",0.723,0.908,10,-5.655,0,0.085,0.099,0.798,0.0968,0.342,120.359,4
4wSmqFg31t6LsQWtzYAJob,"1gR0gsQYfi6joyO1dlp76N","Genesis","Justice","Justice",2007-06-11,234960,60,spotify:user:1122348556,2020-11-30T22:26:59Z,"alternative dance,dance-punk,electronica,filter house,indietronica,new rave",0.693,0.789,9,-5.13,1,0.384,0.0168,0.366,0.0985,0.283,117.055,4
4EBisBBehGON4ESJsNZBsP,"57dN52uHvrHOxijzpIgu3E","Wildcat","Classics","Ratatat",2006-08-22,260173,0,spotify:user:1122348556,2020-12-01T22:44:26Z,"brooklyn indie,indietronica",0.703,0.718,1,-7.522,1,0.0669,0.0479,0.432,0.0415,0.785,115.993,4
0UeYCHOETPfai02uskjJ3x,"6fXEqmGQEt6ONuqVmwrN46","Shooting Stars","Bag Raiders (Deluxe)","Bag Raiders",2011-01-01,235813,67,spotify:user:1122348556,2020-12-01T22:52:23Z,"alternative dance,australian dance,indietronica,nu disco",0.636,0.72,11,-6.195,1,0.0432,0.0893,0.0178,0.0868,0.425,124.944,4
0bXpmJyHHYPk6QBFj25bYF,"3iOvXCl6edW5Um0fXEBRXy","Intro","xx","The xx",2009-08-16,127920,1,spotify:user:1122348556,2020-12-01T23:07:54Z,"downtempo,dream pop,indietronica",0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,4
0q6LuUqGLUiCPP1cbdwFs3,"3AA28KZvwAUcZuOKwyblJQ","On Melancholy Hill","Plastic Beach","Gorillaz",2010-03-03,233866,77,spotify:user:1122348556,2020-12-01T23:10:03Z,"alternative hip hop,modern rock,rock",0.689,0.739,2,-5.81,1,0.026,0.0000151,0.509,0.064,0.578,120.423,4
24upABZ8A0sAepfu91sEYr,"2G7QgTep5IsJHGHm1hXygD,63fbQTZ9yW3SUsBRYcn1Wm","Moon (And It Went Like)","Play Me Again","Kid Francescoli,Julia Minkin",2017-03-03,390638,1,spotify:user:1122348556,2020-12-04T18:49:31Z,"french indie pop,french indietronica",0.662,0.657,7,-10.002,1,0.0345,0.288,0.856,0.102,0.0584,117.986,4
4IlqQhaxrGPxmg35YcXXuS,"77qukKzmdI5BeMBR7WGUrN,6dqohi36avY0M9urnyhITr,17TFSnqADESRM8BPSaM5aB","Dancin - Krono Remix","Ibiza 2019","Aaron Smith,Luvli,Krono",2019-11-11,256000,73,spotify:user:1122348556,2020-12-04T18:58:24Z,"chicago house",0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982,4
