Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1n1B0HUz8e8rp89QWx1IKC,"6jOz2B9qeID4dLP1o8bFGf","Echo","Walk Dance Talk Sing","Crazy P",2015-05-11,425562,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"deep house,electronica,indie soul,nu disco",0.761,0.7,7,-9.494,0,0.0431,0.137,0.58,0.0731,0.689,120.008,4
2tYctbOGPK2OZ2g2wKipgj,"37YzpfBeFju8QRZ3g0Ha1Q","U","Time Spent Away From U","DJ Seinfeld",2017-11-03,368000,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"lo-fi house",0.721,0.838,8,-7.579,1,0.0428,0.0447,0.749,0.0445,0.453,125.999,4
1K6vOWrNbGnb33mPJRQhTV,"7iT223wY8z6eHRvZOU6JTl","Tim's Symphony","The Sound of Benny EP","Younger Rebinds",2018-11-02,472345,17,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"",0.801,0.558,8,-9.048,0,0.2,0.000485,0.874,0.108,0.493,122.001,4
3jqixDunsbZPfKMuIMjgUU,"1stsCjH4vP2aRdIhkxdguc,46O6UPzwYFq1zdb7KvNerU","Unhinged - Original Mix","Westbound EP","Inxec,Droog",2011-09-19,445696,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"",0.84,0.372,0,-12.876,1,0.127,0.12,0.867,0.0884,0.572,121.01,4
48dojgnBKfp3drKOFdwycc,"5FIfw6s4iYUFu6tA3iIIOQ,1kR99O4MgSTasyeJh8UFCg","It'll All Be Over - DJ Koze Remix - Radio Edit","It'll All Be Over (DJ Koze Remix - Radio Edit)","Gerry Read,DJ Koze",2019-04-19,188048,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"future garage,outsider house,electronica,german techno,hamburg electronic,microhouse,minimal techno",0.707,0.788,0,-8.538,1,0.031,0.000126,0.517,0.118,0.594,123.023,4
6setY1NKiIfll4lb7LUScG,"4VjtN4stqJG01LHASZjXxP,3LtBdgNHdH0Ix8hCFZ4NJG,44F8g3iM4NgU5cisocTlTQ,4wPR8PhvdOB0vksHMUWDZY","Big Fat Head - Moscoman & Trikk's Nucat Remix","Big Fat Head","Kincaid,Blancmange,Moscoman,Trikk",2019-03-22,535005,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"uk bass,new romantic,synthpop,dark disco,float house,israeli techno,deep techno,portuguese electronic,portuguese techno",0.808,0.433,11,-12.583,0,0.055,0.00205,0.9,0.173,0.458,119.998,4
0pAtbCegGFVMd4X5WaXgaI,"6vJvFV1A2CpT8s5B1oUN6t","Starck","Gordon Starck","DJ Tennis",2019-05-17,415183,8,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"deep disco house,italian electronica,melodic techno,microhouse,minimal techno",0.686,0.939,10,-9.164,0,0.0419,0.00265,0.906,0.201,0.369,122.968,4
11uFqlWnAlFMeQmjHKY38X,"7Eu1txygG6nJttLHbZdQOh","Teenage Birdsong","Teenage Birdsong","Four Tet",2019-04-17,205421,28,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"electronica,folktronica,indietronica,intelligent dance music,trip hop",0.633,0.866,7,-7.166,1,0.0558,0.475,0.723,0.0955,0.0625,195.986,4
6351qyccfDeVbjSgIR7Yvq,"37YzpfBeFju8QRZ3g0Ha1Q","Electrian","Galazy EP","DJ Seinfeld",2019-05-17,412197,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"lo-fi house",0.673,0.58,6,-6.37,1,0.0471,0.00181,0.854,0.101,0.376,130.998,4
0HpHGti6doPOUBz66MAduf,"36rey1TxHa81Az8CqZpsJ4,75nC6MXUalYZSOd7OfNkwq","Trainmann - Tensnake Franceman Mix","Trainmann (Tensnake Remixes)","Lauer,Tensnake",2012-03-12,456889,31,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"float house,frankfurt electronic,deep house,german house,hamburg electronic,house,nu disco",0.735,0.525,5,-9.567,0,0.0572,0.0271,0.673,0.0779,0.549,123.001,4
2IntGWkWxFftj28tyGzher,"5WI60lKXG4mP2OPyt8pyQ2","Zero Love","Zero Love","Nick Curly",2019-03-08,426890,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"deep disco house,house,minimal tech house,minimal techno",0.771,0.653,0,-7.115,1,0.0654,0.0149,0.914,0.328,0.256,125.996,4
6NH78lyZkS05PotKqg0ZKw,"4nMIbZxtt1kWqUZ8VNKvjU","No Dancers","No Dancers","Cubicolor",2018-10-26,347716,15,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"melodic house",0.577,0.853,6,-11.989,0,0.0384,0.0146,0.438,0.249,0.14,119.988,4
5SpAVsxcAAa2UgwpKdL2Dn,"2wRkaHP7C4xsWDMMPnDPRb","Crossfire","Belmont's Revenge","Alessandro Parisi",2018-01-08,418952,3,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"cyberpunk",0.677,0.849,2,-9.588,1,0.0507,0.000319,0.735,0.108,0.0806,109.999,4
2kKQX7MQ2rY4jDMORT4hvp,"6AF3RoZxs7YtYSpXruqBy7,2wRkaHP7C4xsWDMMPnDPRb","Aim For The Yellow Sector - Alessandro Parisi Remix","Revenge Fantasy","Timothy J. Fairplay,Alessandro Parisi",2017-07-07,363555,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"cyberpunk",0.607,0.781,7,-6.613,1,0.0391,0.00117,0.652,0.0809,0.0368,106.023,4
1CHUojYCChtaZSBZEEHqVy,"48LWLoeY0dhwaiX1FRsn72","Argo","Cocoon Compilation M","Mind Against",2013-07-12,444487,8,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"deep techno,italian techno,melodic techno,minimal techno",0.8,0.769,8,-12.81,1,0.0454,0.00642,0.875,0.0721,0.0691,123.018,4
3orXhmbVn44hjbnLxGUMpG,"6QAXPFWafsrhltnhogrQ1P","Superluminal","The Two of Us","Jesper Ryom",2015-08-07,436477,33,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"indie soul",0.752,0.689,5,-8.947,0,0.0555,0.0114,0.845,0.112,0.707,124.003,4
7q8xVdmpBJHNOA6pZq1Hhw,"08jywfUS0hp8XYlYs0cvz8,50Lr1puweM1hFsF1LpIZLM","Tell Me Are We","They Will EP","Rampa,WhoMadeWho",2019-05-31,413314,48,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-06-09T13:10:51Z,"melodic house,dance-punk,danish indie,electronica,experimental pop",0.62,0.863,6,-8.327,1,0.0377,0.00158,0.705,0.113,0.1,121.995,4
