Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0IEtL7nw7nfcMrmVBOPoxY,"63yl9nDNrHpiAYGlNJxxjc","Your Love","Frankie Knuckles Presents: His Greatest Hits from Trax Records","Frankie Knuckles",2004,405493,0,spotify:user:1120805426,2015-05-29T18:34:30Z,"acid house,chicago house,classic house,deep house,diva house",0.653,0.933,4,-6.362,0,0.0396,0.0125,0.823,0.0743,0.189,117.576,4
2xJINT29JolKT4Zi3uw4c3,"63yl9nDNrHpiAYGlNJxxjc,3TrAOZvW0MzZeKZRFnU7Ul,62hiy2Qa9aNCMm5Ye3hwIE","Tears - Classic Vocal","12 Inch Dance: House","Frankie Knuckles,Satoshi Tomiie,Mixed By: Frankie Knuckles",2014-06-27,405141,0,spotify:user:1120805426,2015-05-29T18:34:55Z,"acid house,chicago house,classic house,deep house,diva house,classic progressive house,japanese electronic,tribal house",0.729,0.713,7,-8.865,1,0.0351,0.0308,0.00197,0.0534,0.562,121.48,4
0DwAc0Z8Td3jv5frUznqu1,"63yl9nDNrHpiAYGlNJxxjc","The Whistle Song","Beyond The Mix","Frankie Knuckles",1991-01-01,417706,42,spotify:user:1120805426,2015-05-29T18:35:38Z,"acid house,chicago house,classic house,deep house,diva house",0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385,4
0ilZMeXHPKDPjUc4Neu04f,"0ELXBCSsRl2m92MgnOsA69,63yl9nDNrHpiAYGlNJxxjc,6CwQfN34JdGHfo0A752Lts","Where Love Lives (Come On In) - Classic Mix","Club Classics","Alison Limerick,Frankie Knuckles,David Morales",1996-07-08,416026,43,spotify:user:1120805426,2015-05-29T18:36:43Z,"classic house,diva house,piano house,acid house,chicago house,deep house,vocal house",0.708,0.566,11,-10.142,0,0.0362,0.000127,0.0338,0.29,0.731,121.997,4
2P6QV6D4E3TxcYoYYz8ANJ,"1WHoAjAWGx5qLsgzpaOk7W","Blind - Frankie Knuckles Remix","Blind","Hercules & Love Affair",2008-02-29,471995,47,spotify:user:1120805426,2015-05-29T18:37:11Z,"alternative dance,electronica,indietronica,neo-synthpop,new rave",0.783,0.781,2,-5.39,0,0.0481,0.0194,0.128,0.0299,0.862,123.995,4
5E6u3mipkLhYFuktFXc7LS,"63yl9nDNrHpiAYGlNJxxjc","Workout","Beyond The Mix","Frankie Knuckles",1991-01-01,255200,19,spotify:user:1120805426,2015-05-29T18:37:32Z,"acid house,chicago house,classic house,deep house,diva house",0.905,0.567,10,-12.667,0,0.114,0.00283,0.0000656,0.321,0.507,118.759,4
2uKsTxJqfV3bC002GJZO5W,"63yl9nDNrHpiAYGlNJxxjc","Baby Wants to Ride (12 Mix) [Remastered]","Greatest - Frankie Knuckles","Frankie Knuckles",2014-04-28,515003,0,spotify:user:1120805426,2015-05-29T18:37:55Z,"acid house,chicago house,classic house,deep house,diva house",0.73,0.83,7,-7.524,1,0.0681,0.091,0.132,0.362,0.85,132.247,4
6DLIYXwI43K8woOWXozdPo,"19QsdloDs09ufKWWfmyhWu","Bring Me Love - Classic Frankie","House Classics IV (Presented by Harley&Muscle)","Andrea Mendez",2014-04-11,377143,3,spotify:user:1120805426,2015-05-29T18:39:09Z,"",0.73,0.764,11,-7.78,0,0.0495,0.0162,0.00327,0.0811,0.718,124.666,4
37PINk6xKR84quzXxEjgxn,"63yl9nDNrHpiAYGlNJxxjc","It's Hard Sometimes","Beyond The Mix","Frankie Knuckles",1991-01-01,256800,26,spotify:user:1120805426,2015-05-29T18:40:40Z,"acid house,chicago house,classic house,deep house,diva house",0.74,0.676,5,-12.297,0,0.0686,0.0321,0,0.0533,0.576,103.742,4
3jy0U6TX0uI4hZOeI9Ei84,"3zSxZFUKZEYmEpHkwZKXzQ","Beautiful Love - 12","Adeva","Adeva",1989,444247,0,spotify:user:1120805426,2015-05-29T18:41:54Z,"diva house,garage house,speed garage",0.739,0.488,7,-12.822,1,0.0712,0.000551,0.0701,0.063,0.745,94.595,4
