Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37cwvKWbzlim74LV27VDxS,"0B9P7RXrukgIdmutz9XMVN,4DdTAu2ze9ocUPqcFg1sKs","Love Can't Turn Around (Original Mix)","Farley Jackmaster Funk","Farley "Jackmaster" Funk,Darryl Pandy",2005,251026,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:57:02Z,"acid house,chicago house,classic house",0.611,0.926,10,-3.323,1,0.405,0.00124,0.0000294,0.827,0.774,122.365,4
5eAymAmVU6CyejjFJxvcMI,"2Di8r9df6xjyj6CVOqbGVz","Move Your Body","Frankie Knuckles Presents: His Greatest Hits from Trax Records","Marshall Jefferson",1998,405760,43,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-03-10T16:29:30Z,"acid house,chicago house,classic house",0.785,0.907,4,-4.15,0,0.118,0.0156,0.00000114,0.513,0.565,122.311,4
0aFzH7Na49IKXmtxfghsth,"06SAdf9QB0xFf5BicN99SV","Let The Music Use You","80s House Classics","The Nightwriters",2009-07-06,475333,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:57:17Z,"acid house",0.656,0.899,1,-5.095,1,0.0303,0.00201,0.0969,0.103,0.544,124.425,4
2Vz2mwELBtMWyrgNDdrJrg,"0dRiUTGvNV17AMIULRYsvn","Can You Feel It?","80s House Classics","Mr. Fingers",2009-07-06,330120,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:57:44Z,"acid house,chicago house,classic house",0.67,0.712,9,-9.959,0,0.14,0.0437,0.285,0.361,0.522,118.526,4
7nQaBI1NTv5kpPyeMruTTK,"3DxtKajg4nhMlf0qBES7sz","No Way Back","No Way Back","Adonis",2018-08-24,295911,33,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:58:27Z,"chicago house,classic house",0.806,0.826,6,-12.77,1,0.0789,0.000759,0.865,0.119,0.427,125.323,4
0vryyKyxCFXT0gg670yNEw,"63yl9nDNrHpiAYGlNJxxjc","Your Love","Baby Wants to Ride / Your Love","Frankie Knuckles",1987,403706,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-03-21T13:32:18Z,"acid house,chicago house,classic house,deep house,diva house",0.7,0.725,4,-11.433,0,0.0492,0.0439,0.851,0.125,0.129,116.824,4
5W3cjX2J3tjhG8zb6u0qHn,"4tZwfgrHOc3mvqYlEYSvVi","Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,224693,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:54:41Z,"electro,filter house,rock",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
303ccTay2FiDTZ9fZ2AdBt,"2w7IutHv5g4e8LumrwtjWR,2XOvFG8pp1XAV1V6ZJABim,24JRvbKfTcF2x7c2kCCJrW,41vv2Tj1knysv6MuFUmdwi","Music Sounds Better With You","Music Sounds Better With You","Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1998-07-20,403293,70,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:55:49Z,"filter house,electrofox",0.735,0.72,1,-7.04,1,0.336,0.00105,0.15,0.382,0.364,124.174,4
5YzBL3vkQnp3JbeDRRSbSQ,"1kR99O4MgSTasyeJh8UFCg","Pick Up","Knock Knock","DJ Koze",2018-05-04,398150,49,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T10:35:55Z,"electronica,future garage,german techno,hamburg electronic,microhouse,minimal techno",0.712,0.601,5,-8.968,1,0.062,0.0000109,0.802,0.0982,0.513,124.912,4
2Za2mUwmQoSxWPscaY2vxl,"2cBh5lVMg222FFuRU7EfDE","Murder On The Dancefloor","Read My Lips","Sophie Ellis-Bextor",2002-01-01,230013,12,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-17T11:00:52Z,"dance pop,europop,new wave pop",0.734,0.848,1,-5.285,0,0.0309,0.00312,0.0000116,0.313,0.863,117.31,4
