Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5FVd6KXrgO9B3JPmC8OPst,"7Ln80lUS6He07XvHI8qqHH","Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,85,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:45:50Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
0cQVqPuHQP4KEwc7ZUQmj6,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I Love You.","The Neighbourhood",2013-04-19,240426,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:44:53Z,"modern alternative rock,modern rock,pop",0.613,0.808,10,-2.851,1,0.0346,0.0426,0.0159,0.102,0.38,124.037,4
5E30LdtzQTGqRvNd7l6kG5,"77SW9BnxLY8rJ0RciFqkHh","Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:44:55Z,"modern alternative rock,modern rock,pop",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
6y6jbcPG4Yn3Du4moXaenr,"2cFrymmkijnjDg9SS92EPM","idfc","deadroses","blackbear",2015-02-14,245172,68,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:44:58Z,"alt z,pop",0.63,0.5,1,-8.755,0,0.0611,0.611,0.0000404,0.114,0.315,144.871,4
0EfsDEYaSjGYd66Pr881nq,"77SW9BnxLY8rJ0RciFqkHh","Cry Baby","Wiped Out!","The Neighbourhood",2015-10-30,235160,71,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:45:10Z,"modern alternative rock,modern rock,pop",0.581,0.656,4,-4.891,0,0.0294,0.00269,0.00000278,0.101,0.338,108.033,4
2AT8iROs4FQueDv2c8q2KE,"7Ln80lUS6He07XvHI8qqHH","R U Mine?","AM","Arctic Monkeys",2013-09-09,201726,79,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:45:55Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,4
5XeFesFbtLpXzIVDNQP22n,"7Ln80lUS6He07XvHI8qqHH","I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,90,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:46:09Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
2LGdO5MtFdyphi2EihANZG,"7Ln80lUS6He07XvHI8qqHH","Knee Socks","AM","Arctic Monkeys",2013-09-09,257563,73,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:46:16Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,4
6UzXz68onk5GR7kO8s5jQc,"77SW9BnxLY8rJ0RciFqkHh","Flawless","I Love You.","The Neighbourhood",2013-04-19,246493,45,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-05T08:46:39Z,"modern alternative rock,modern rock,pop",0.565,0.872,0,-3.452,1,0.0309,0.0558,0.554,0.298,0.352,120.004,4
07VBqWH6NG8L2ad3l84UKk,"77SW9BnxLY8rJ0RciFqkHh","R.I.P. 2 My Youth","Wiped Out!","The Neighbourhood",2015-10-30,205280,62,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:02:25Z,"modern alternative rock,modern rock,pop",0.353,0.686,7,-5.704,0,0.0534,0.00216,0,0.123,0.177,94.47,4
4WiiRw2PHMNQE0ad6y6GdD,"3mIj9lX2MWuHmhNCA7LSCW","Chocolate","The 1975","The 1975",2013-01-01,224673,64,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:02:49Z,"modern alternative rock,modern rock,pop,pov: indie,rock",0.614,0.938,11,-4.46,1,0.0612,0.000532,0,0.368,0.608,100.056,4
0BxE4FqsDD1Ot4YuBXwAPp,"7Ln80lUS6He07XvHI8qqHH","505","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,253586,84,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:07:57Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.526,0.866,0,-5.822,1,0.0568,0.00287,0.0000778,0.0945,0.248,140.266,4
3BJe4B8zGnqEdQPMvfVjuS,"00FQb4jTyendYWaN8pK0wa","Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,265427,83,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:10:35Z,"art pop,pop",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
