Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
47YITQYhJXw79nCor48tnq,"4tvKz56Tr39bkhcQUTO0Xr","Santa Monica Dream","Down the Way","Angus & Julia Stone",2010-03-15,330200,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"australian indie folk,indie folk",0.47,0.264,5,-13.73,1,0.0362,0.912,0.0781,0.107,0.0715,120.385,4
6RIRK4DenyzKkrrROpVteT,"75dQReiBOHN37fQgWQrIAJ","Mt. Washington","Hummingbird","Local Natives",2013,198946,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"chamber pop,indie rock,la indie,modern rock,shimmer pop,stomp and holler",0.483,0.351,6,-10.386,0,0.0306,0.207,0.00361,0.096,0.155,76.808,4
4Y9TDwvffDYIEx0zPaHiWj,"4kDmwaDsfY9hcvz7K0otLJ","To All of You","Someday We Will Foresee Obstacles (Edition 2008)","Syd Matters",2005,283320,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"folktronica,french indie folk",0.309,0.528,1,-11.748,0,0.0345,0.29,0.104,0.102,0.114,104.537,4
2ynCjjrmED5CfiVn2ZLkUk,"4kDmwaDsfY9hcvz7K0otLJ","Obstacles","Someday We Will Foresee Obstacles","Syd Matters",2005,208706,58,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"folktronica,french indie folk",0.395,0.415,3,-8.461,1,0.0338,0.242,0.912,0.134,0.143,126.875,4
3XXLQJEHglT1zeSxSFfD2G,"3XHO7cRUPCLOr6jwp8vsx5","Something Good","An Awesome Wave (Deluxe Version)","alt-J",2012-10-22,218240,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.682,0.582,7,-10.336,1,0.03,0.722,0.476,0.0797,0.503,108.988,4
4E9aIOd0xy78rp9uxtywmA,"38bfc5BSVq6sVAssDmdc8N","Got Well Soon","Got Well Soon","Breton",2013-10-07,293700,44,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"electronic rock,french indie pop",0.721,0.749,1,-7.078,1,0.0375,0.038,0.151,0.111,0.416,113.972,4
22v9ZVkWWAYjderL7ZWuuH,"6MmQrV24zUeieNf027zkh3","Mountains","Folding Leaves","Message To Bears",2012,234000,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"compositional ambient,folktronica",0.569,0.572,6,-11.363,1,0.0265,0.64,0.56,0.0921,0.658,110.031,4
5gf6t8j49qayhwrnd05uLI,"6xrCU6zdcSTsG2hLrojpmI","Crosses","Imperial Recordings Best Of","José González",2011-02-28,161840,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"chamber pop,gothenburg indie,indie folk,stomp and holler,swedish indie folk,swedish indie pop,swedish singer-songwriter",0.666,0.369,11,-9.945,0,0.0295,0.895,0.0268,0.102,0.318,134.633,4
4tcwdkKzXn0Tsyz3WtH3gc,"726Dh6A5VyDfAAQxilT6A0,4jzysywQWe58TTvrWjOqsJ","In My Mind (feat. Brian Viglione)","Goes Down Under","Amanda Palmer,Brian Viglione",2013-03-18,253506,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"dark cabaret,piano rock,steampunk",0.559,0.393,7,-6.172,1,0.0299,0.868,0,0.116,0.458,66.828,4
4PMvRfhHAx5j6Bb3XsFLoq,"5o206eFLx38glA2bb4zqIU","Lua","I'm Wide Awake, It's Morning","Bright Eyes",2005-01-25,271666,0,spotify:user:31hjvse5sy3qeveji4w4ukzq7fda,2020-08-09T01:29:39Z,"chamber pop,indie rock,melancholia,omaha indie,stomp and holler",0.601,0.124,2,-18.301,1,0.083,0.802,0.00003,0.0565,0.314,103.63,4
