Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5F5dA3feOoROfU8VBpnOiy,"0Vr0xxcbllx4JWHHxio088,0BucDI2Jefl98UVU02zM9D,3tUtnhxnXl3zZdQUOpcyq6","Underworld - Tuff City Kids Remix","Underworld","Edu Imbernon,Duologue,Tuff City Kids",2017-04-28,465556,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-06T21:01:15Z,"deep disco house,spanish techno,frankfurt electronic",0.767,0.725,8,-7.403,1,0.0685,0.000336,0.901,0.0784,0.267,123.003,4
6GRVVZYQlQdrL87SCh9jG1,"1hoEcGDMtO6zhujNn7RRUu","Straight Pride","GOTY of the Year 2019","Hard Men Working Hard",2020-02-29,266138,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-06-16T08:53:53Z,"",0.811,0.781,9,-8.074,0,0.158,0.179,0,0.336,0.765,101.008,4
4rERaNiKlILD603GJvdEvm,"5tDjiBYUsTqzd0RkTZxK7u,7iCW4xyVOIklzZ2qc7pS5h","Cappadocia","Cappadocia","Ben Böhmer,Romain Garcia",2020-09-10,282063,54,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-10-07T14:04:42Z,"melodic house",0.349,0.685,8,-9.281,1,0.0421,0.0037,0.893,0.122,0.277,123.025,4
6qnULXVFGfFqPj0Hpj0tIG,"1Zz6NBe8UIZjm88TvehFtx","Underwater","Underwater / Other Voices","Le Youth",2020-11-13,297635,41,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-10-07T14:39:25Z,"house,melodic house,nu disco,uk dance",0.672,0.679,2,-6.068,1,0.0294,0.00745,0.0811,0.0532,0.321,123.019,4
130nTGhbzIhc9wkuXJTICc,"5EmEZjq8eHEC6qFnT63Lza","Light Beam - Mixed","Anjunadeep 12","Tinlicker",2021-02-08,294200,20,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-10-11T12:28:04Z,"melodic house",0.604,0.826,7,-7.57,1,0.0338,0.000328,0.771,0.364,0.128,123.994,4
3I4yuQbur9Q69Yn35u34ex,"4YBd6KAw9jybrEfxPrdlAH","Okka","Okka","Iplu",2022-08-30,300399,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-11-03T10:44:13Z,"",0.681,0.332,2,-21.963,1,0.0383,0.298,0.65,0.143,0.0577,131.981,4
6DKILAX03B9oLWDaLkw1Vp,"2JYMUWD8r1jFFjD1V3WcCX,0g3NiCRhEv7M4SEDMrpItN","Beginning - Totally Enormous Extinct Dinosaurs Remix","Beginning (Totally Enormous Extinct Dinosaurs Remix)","LA Priest,Totally Enormous Extinct Dinosaurs",2020-09-02,350851,35,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-11-12T09:01:21Z,"funktronica,alternative dance,electronica,future garage,indietronica,nu disco,oxford indie",0.835,0.469,8,-10.127,0,0.0666,0.0284,0.0445,0.0731,0.949,120.998,4
0yEaqBr7Q5ncabrRy4Ov8O,"5RAHYRgJdI1D82IANP5yYL","Us - Mixed","Anjunadeep 13","Juno Mamba",2022-03-25,243853,19,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-11-15T16:45:28Z,"",0.601,0.833,2,-4.869,1,0.0326,0.0039,0.862,0.236,0.491,121.994,4
4XqYefkQZ21ZHCHFm9P0Zm,"27gtK7m9vYwCyJ04zz0kIb,67xyhWIvYQK5qr6b0gElst","No Fun - Mixed","Anjunadeep 13","Lane 8,Rae Morris",2022-03-25,322680,20,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-11-15T16:53:26Z,"gauze pop,melodic house,progressive house,art pop,neo-singer-songwriter",0.842,0.621,4,-8.567,0,0.0425,0.0115,0.0219,0.284,0.335,122.003,4
5fZSSrlp21kk0GOMPZ1Mlk,"5srbzu0tyZ1Wb1HgDOqVFj,2uZvZGrM7yOWYMEjzjMraz","To Find You","To Find You / Aura","Modera,KYAND",2022-04-22,258000,33,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-11-30T16:25:33Z,"melodic house",0.581,0.777,4,-10.14,1,0.0313,0.00437,0.658,0.24,0.108,123.009,4
7MV4NBFotO3y7Bpo9S6I2Y,"7pXu47GoqSYRajmBCjxdD6,1kkjXmcMmibTegsw0JtDwv,7vWFpgyWJ9CXisL0x6vYJN","New Guru","New Guru","Vulfpeck,Vulf,Antwaun Stanley",2022-12-09,204174,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2022-12-09T00:29:24Z,"ann arbor indie,funk rock,instrumental funk,praise",0.79,0.574,6,-9.073,0,0.176,0.0202,0,0.152,0.739,132.53,4
