Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
75FEaRjZTKLhTrFGsfMUXR,"1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985,298933,8,spotify:user:otterdarkness,2023-01-21T15:04:20Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4
5YSI1311X8t31PBjkBG4CZ,"1aSxMhuvixZ8h9dK9jIDwL","Wuthering Heights","The Kick Inside","Kate Bush",1978-02-17,269066,65,spotify:user:otterdarkness,2023-01-21T15:04:22Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.484,0.392,1,-11.381,1,0.0313,0.366,0.0452,0.124,0.521,124.564,4
0iluWxTpC9QOdVPg3PROvm,"1aSxMhuvixZ8h9dK9jIDwL","Hounds Of Love","Hounds Of Love","Kate Bush",1985,183266,0,spotify:user:otterdarkness,2023-01-21T15:04:25Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.546,0.748,5,-13.989,1,0.0384,0.505,0,0.16,0.9,145.582,4
03yOjwHoOPDlTUg0NRxN6t,"3yY2gUcIsjMr8hjo51PoJ8","Cemetry Gates - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,161040,61,spotify:user:otterdarkness,2023-01-21T15:06:27Z,"madchester,new wave,permanent wave,rock,uk post-punk",0.55,0.796,7,-7.007,1,0.0306,0.151,0,0.222,0.622,105.354,4
1FvDJ9KGxcqwv1utyPL3JZ,"3yY2gUcIsjMr8hjo51PoJ8","This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,77,spotify:user:otterdarkness,2023-01-21T15:06:32Z,"madchester,new wave,permanent wave,rock,uk post-punk",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
6wVViUl2xSRoDK2T7dMZbR,"0yNLKJebCb8Aueb54LYya3","Bizarre Love Triangle","Brotherhood (Collector's Edition)","New Order",1986-09-29,263213,64,spotify:user:otterdarkness,2023-01-21T15:06:49Z,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.613,0.885,10,-7.463,1,0.052,0.0804,0.746,0.0997,0.919,118.506,4
2EEinN4Zk8MUv4OQuLsTBj,"0yNLKJebCb8Aueb54LYya3","Age of Consent - 2015 Remaster","Power Corruption and Lies","New Order",1983-05-02,315333,62,spotify:user:otterdarkness,2023-01-21T15:06:51Z,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.372,0.91,2,-5.559,1,0.0392,0.00101,0.0944,0.13,0.756,161.964,4
5CRPGdCSOfstyTVK9Ja5EQ,"0yNLKJebCb8Aueb54LYya3","Ceremony","Substance","New Order",1987-08-17,263600,52,spotify:user:otterdarkness,2023-01-21T15:06:57Z,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.558,0.436,5,-13.496,1,0.0269,0.00405,0.742,0.11,0.38,140.757,4
0Ebtln9Wi2ZJC4qr0A4DQ4,"4AQrqVz6BYwy29iMxcGtx7","Everywhere","Young Romance (Deluxe)","Roosevelt",2019-09-19,200351,0,spotify:user:lisa.rayray-de,2023-01-21T15:08:16Z,"indie emo,nu disco,shiver pop",0.614,0.832,8,-3.824,1,0.0301,0.000491,0.114,0.0781,0.311,127,4
1NaDK3atogQEn9glK5fYuy,"35l9BRT7MXmM8bv2WDQiyB","Cologne","Our Extended Play","beabadoobee",2021-06-23,164690,65,spotify:user:lisa.rayray-de,2023-01-21T15:08:20Z,"bedroom pop,bubblegrunge,indie pop,pov: indie",0.55,0.803,2,-3.608,1,0.0347,0.000561,0.000523,0.0266,0.877,130.015,4
