Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1i6N76fftMZhijOzFQ5ZtL,"2x9SpqnPi8rlE9pjHBwmSC","Psycho Killer - 2005 Remaster","Talking Heads '77 (Deluxe Version)","Talking Heads",1977-09-16,261413,74,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,4
6crBy2sODw2HS53xquM6us,"1XpDYCrUJnvCo9Ez6yeMWh","Tribute","Tenacious D","Tenacious D",2001-09-25,248053,64,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"alternative metal,comedy rock,comic,comic metal,parody",0.365,0.767,9,-6.185,0,0.0681,0.181,0.000856,0.0942,0.422,94.174,4
3672j9qcUufXuGwVoXHaeK,"6w7fc6IZlo5zwBaKT5jU1X","Mrs. Robinson","It's A Shame About Ray [Expanded Edition]","The Lemonheads",1992-06-02,224480,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"alternative rock,boston rock,power pop",0.495,0.936,4,-7.196,0,0.0401,0.0111,0.000709,0.276,0.837,107.394,4
0SMzXgUFqcAt0WNCsGm3tM,"0L8ExT028jH3ddEcZwqJJ5","Feasting on the Flowers","The Getaway","Red Hot Chili Peppers",2016-06-17,202933,49,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.67,0.75,6,-5.502,0,0.0583,0.137,0.00000353,0.197,0.88,82.041,4
2VmyLy2HQlkevZYboXHM5O,"2uH0RyPcX7fnCcT90HFDQX","If You Tolerate This Your Children Will Be Next","This Is My Truth Tell Me Yours","Manic Street Preachers",1998-09-14,290960,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"britpop,permanent wave,rock,welsh rock",0.267,0.81,0,-6.189,1,0.0418,0.00019,0.018,0.084,0.267,127.673,5
1GIV1YzfuFzYAoUjwx3r7W,"4qmHkMxr6pTWh5Zo74odpH","Oliver's Army","Armed Forces","Elvis Costello & The Attractions",1979,179613,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"art rock,new romantic,new wave,new wave pop,power pop",0.523,0.735,4,-9.199,1,0.0292,0.137,0,0.199,0.903,143.182,4
0Jiw6lq0TldEPKYyFElUDd,"0KtaCKmTMIQZsxlOgyNa04","Scott Green","The Kids Will Know It's Bullshit","Dune Rats",2017-01-20,130579,41,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"australian garage punk,australian indie,brisbane punk",0.564,0.92,0,-5.967,1,0.182,0.000247,0.000031,0.152,0.511,140.011,4
3yI282DoIJyERd0vGukMoB,"3IYUhFvPQItj6xySrBmZkd","Fortunate Son","Willy And The Poor Boys (40th Anniversary Edition)","Creedence Clearwater Revival",1969-11-02,140773,2,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"album rock,classic rock,country rock,mellow gold,rock,southern rock,swamp rock",0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709,4
4PXH3g9qGgMqDlC52dJw07,"0rpMdBzQXf7aYRnu5fDBJy","Blister In The Sun","Violent Femmes: Deluxe Edition","Violent Femmes",1982,144946,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"acoustic punk,alternative rock,punk",0.725,0.558,0,-8.557,1,0.125,0.318,0,0.0976,0.88,96.969,4
1ndGB6rvxKYN9seCYO1dTF,"0L8ExT028jH3ddEcZwqJJ5","The Zephyr Song","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,231933,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.725,0.803,2,-4.083,1,0.0337,0.013,0.0000366,0.0891,0.403,117.391,4
3CAX47TnPqTujLIQTw8nwI,"5schNIzWdI9gJ1QRK8SBnc","Old Pine","Every Kingdom","Ben Howard",2011-01-01,328506,65,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"british singer-songwriter,folk-pop,indie folk",0.402,0.364,5,-10.836,1,0.033,0.449,0.0508,0.162,0.224,129.568,4
5eqzXinSklkN4gId6EQUAR,"2O9XW1nnGRMkMV1wpK8IiS","1998 (Delicious)","EP Delicious","Peace",2012-09-07,608280,35,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"birmingham indie,english indie rock",0.47,0.707,1,-7.477,0,0.0419,0.01,0.677,0.37,0.165,122.042,4
3OfGgZi3yzYaIAu9EhU3ON,"5iCqqgYu0T23xUwnBFGpU1,7si9pFZZlPdZPeOclH9vgm,3QFCVNPqeV1hpZRh0dbLat,2OWQQKizLqny2GKSvqfV9h","They Call Me Jack - Tapesh & Dayne S Remix","They Call Me Jack","Amine Edge,Amine Edge & DANCE,Tapesh,Dayne S",2013-08-12,404500,2,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-11-01T10:15:37Z,"deep disco house,french tech house,dusseldorf electronic,german house",0.816,0.521,5,-9.637,0,0.0742,0.0102,0.115,0.34,0.489,121.009,4
