Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
15JINEqzVMv3SvJTAXAKED,"7dGJo4pcD2V6oG8kP0tJRR,5pKCCKE2ajJHZ9KAiaK11H","Love The Way You Lie","Recovery","Eminem,Rihanna",2010-06-18,263373,84,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"detroit hip hop,hip hop,rap,barbadian pop,pop,urban contemporary",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
47Slg6LuqLaX0VodpSCvPt,"0du5cEVh5yTK9QJze8zA0C","Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,80,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"dance pop,pop",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
0AH6WMe3OlAlUb5miXt2FQ,"5pKCCKE2ajJHZ9KAiaK11H","Only Girl (In The World)","Loud","Rihanna",2010-11-16,235493,71,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"barbadian pop,pop,urban contemporary",0.789,0.716,11,-4.241,0,0.0432,0.129,0.0000107,0.069,0.611,125.906,4
3DamFFqW32WihKkTVlwTYQ,"07QEuhtrNmmZ0zEcqE9SF6","Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,77,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"indietronica,pop",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
1zneM1cLjM6w8BFmukl2Lr,"5nLYd9ST4Cnwy6NHaCxbj8","Fuck You","The Lady Killer (The Platinum Edition)","CeeLo Green",2010-11-09,223066,57,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"atl hip hop,pop rap",0.689,0.836,0,-6.058,1,0.0559,0.187,0,0.162,0.749,127.411,4
2CEgGE6aESpnmtfiZwYlbV,"6MF9fzBmfXghAz953czmBC","Dynamite","The Rokstarr Hits Collection","Taio Cruz",2010-01-01,202613,74,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"dance pop,pop,pop rap",0.751,0.781,4,-3.724,1,0.0862,0.0039,0,0.036,0.814,119.977,4
4E5P1XyAFtrjpiIxkydly4,"5tKXB9uuebKE34yowVaU3C","Replay","Replay","Iyaz",2009-08-18,182306,79,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"dance pop,pop rap,post-teen pop",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
4TVuirwgzxe9fWRBoWtPpq,"6jJ0s89eD6GaHleKKya26X","Firework","Teenage Dream","Katy Perry",2010-01-01,227893,60,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"pop",0.638,0.831,8,-5.039,1,0.049,0.142,0,0.113,0.649,124.071,4
6ebkx7Q5tTxrCxKq4GYj0Y,"0jnsk9HBra6NMjO2oANoPY,1Cs0zKBU1kc0i8ypK3B9ai","Club Can't Handle Me (feat. David Guetta)","Only One Flo (Part 1)","Flo Rida,David Guetta",2010-11-24,234560,77,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"dance pop,miami hip hop,pop,pop rap,big room,edm,pop dance",0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,4
0SiywuOBRcynK0uKGWdCnn,"1HY2Jd0NmPuamShAr6KMms","Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,82,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"art pop,dance pop,pop",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
244AvzGQ4Ksa5637JQu5Gy,"1moxjboGR7GNWYIMWsRjgG","You've Got The Love","Lungs (Deluxe Version)","Florence + The Machine",2009,168666,73,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"baroque pop,modern rock,neo mellow,uk alternative pop",0.574,0.694,6,-4.697,1,0.0327,0.00481,0,0.102,0.401,109.85,4
5iY4ME9owPdS6R99Kcz5Gr,"1h6Cn3P4NGzXbaXidqURXs,0Tob4H0FLtEONHU1MjpUEp","Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah","Disc-Overy","Swedish House Mafia,Tinie Tempah",2010,204666,52,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:20:25Z,"dance pop,edm,pop dance,progressive electro house,grime,pop rap",0.73,0.937,7,-5.303,0,0.0675,0.00466,0.0000498,0.573,0.669,125.001,4
5XaJydtltOhMpNGq0o5Oal,"04gDigrS5kc9YWfZHwBETP,1l7ZsJRRS8wlW3WfJfPfNS","Moves Like Jagger","Singles","Maroon 5,Christina Aguilera",2015-11-20,202626,50,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:24:37Z,"pop,dance pop",0.72,0.751,11,-4.485,0,0.0461,0.0113,0,0.353,0.599,128.017,4
2fTsFCKRFQ5M0igJgabnLA,"2gsggkzM5R49q6jpPvazou,5ndkK3dpZLKtBklKjxNQwT","Price Tag","Who You Are (Platinum Edition)","Jessie J,B.o.B",2011-01-01,223053,72,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:24:37Z,"dance pop,pop,atl hip hop,pop rap,rap,southern hip hop",0.636,0.831,5,-3.945,1,0.182,0.0294,0.00000385,0.272,0.668,175.015,4
0U10zFw4GlBacOy9VDGfGL,"5pKCCKE2ajJHZ9KAiaK11H,7CajNmpbOovFoOoasH2HaY","We Found Love","Talk That Talk","Rihanna,Calvin Harris",2011-11-19,215226,77,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:24:37Z,"barbadian pop,pop,urban contemporary,dance pop,edm,electro house,house,pop dance,progressive house,uk dance",0.735,0.766,1,-4.485,1,0.0383,0.025,0.00141,0.108,0.6,127.975,4
1VdZ0vKfR5jneCmWIUAMxK,"6eUKZXaKkcviH0Ku9w2n3V","The A Team","+","Ed Sheeran",2011-09-09,258373,71,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:24:37Z,"pop,singer-songwriter pop,uk pop",0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
1eq1wUnLVLg4pdEfx9kajC,"4dpARuHxo51G3z768sgnrY","Rolling in the Deep","21","Adele",2011-01-19,228093,1,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:24:37Z,"british soul,pop,pop soul,uk pop",0.73,0.77,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
30XU4suKzCeoCK9YFzdufg,"1HY2Jd0NmPuamShAr6KMms","Born This Way","Born This Way (International Special Edition Version)","Lady Gaga",2011-05-23,260252,72,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-01T19:24:37Z,"art pop,dance pop,pop",0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.493,123.907,4
