Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
55YMj9pA2x7CkC3NmDtBkl,"7A0awCXkE1FtSU8B0qwOJQ","Idontknow","Idontknow","Jamie xx",2020-04-15,321502,0,spotify:user:mkb_ind,2020-08-12T23:17:03Z,"electronica,future garage,indie soul,indietronica",0.506,0.714,10,-7.802,0,0.291,0.513,0.871,0.053,0.719,160.065,4
3366LweEwZkEmyNPZHvQcv,"1xKryNto8SDKl2E6lBs23J,5PDEurVJJvitl9PGDjhPgY","Bring U Up - PBR Streetgang Remix","Bring U Up (2012 Remixes)","Romanthony,PBR Streetgang",2012-12-09,491900,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T14:58:41Z,"garage house",0.807,0.708,1,-9.762,1,0.0647,0.00293,0.736,0.127,0.593,120.999,4
6NorO8SVLXBm6Dd9gC8QhF,"6VsiDFMZJlJ053P1uO4A6h","Everest","Inform - Educate - Entertain","Public Service Broadcasting",2013-05-06,227920,15,spotify:user:mkb_ind,2020-08-14T11:25:27Z,"chamber psych,scottish rock",0.584,0.843,3,-6.463,1,0.0279,0.00434,0.399,0.36,0.389,141.978,4
7v9Q0dAb9t7h8gJOkcJHay,"4tZwfgrHOc3mvqYlEYSvVi","Face to Face","Discovery","Daft Punk",2001-03-12,240173,60,spotify:user:mkb_ind,2020-08-12T23:15:53Z,"electro,filter house,rock",0.874,0.437,1,-10.235,0,0.0708,0.00134,0.0296,0.0293,0.962,117.791,4
4ztPah3U03EQ6SZUrSV27g,"7A0awCXkE1FtSU8B0qwOJQ","All Under One Roof Raving","All Under One Roof Raving","Jamie xx",2014-06-23,359929,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T15:58:17Z,"electronica,future garage,indie soul,indietronica",0.815,0.798,1,-11.179,1,0.168,0.0437,0.38,0.117,0.0617,116.824,4
5hM5arv9KDbCHS0k9uqwjr,"5INjqkS1o8h1imAzPqGZBb","Borderline","The Slow Rush","Tame Impala",2020-02-14,237800,80,spotify:user:mkb_ind,2020-08-12T23:16:07Z,"australian psych,modern rock,neo-psychedelic,rock",0.621,0.873,5,-3.067,0,0.0369,0.0406,0.0000091,0.0824,0.873,97.96,4
5JWPUEov2wlX7c0jhYZpeB,"5INjqkS1o8h1imAzPqGZBb","Lost In Yesterday","The Slow Rush","Tame Impala",2020-02-14,249586,66,spotify:user:mkb_ind,2020-08-12T23:16:14Z,"australian psych,modern rock,neo-psychedelic,rock",0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,3
3wI3FUrDbXrLjZ8ShgleJl,"3C8RpaI3Go0yFF9whvKoED","The Leaves Were Falling","Wildflower","The Avalanches",2016-07-08,15080,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.366,0.312,1,-23.068,1,0.0973,0.933,0.248,0.894,0.569,106.977,1
2kXW9JriUNpNJfpBpYzqMM,"3C8RpaI3Go0yFF9whvKoED","Because I'm Me","Wildflower","The Avalanches",2016-07-08,252800,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.472,0.805,8,-5.793,1,0.086,0.0491,0.0162,0.337,0.512,94.922,4
6xeudjD1LO9syJrTNy5pUU,"3C8RpaI3Go0yFF9whvKoED","Frankie Sinatra","Wildflower","The Avalanches",2016-07-08,224013,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.695,0.846,2,-5.874,0,0.329,0.678,0,0.673,0.832,95.515,4
5WMiFgMoNciqWWh2HOI6lZ,"3C8RpaI3Go0yFF9whvKoED","Subways","Wildflower","The Avalanches",2016-07-08,190906,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.485,0.874,5,-6.821,0,0.0827,0.181,0.0166,0.651,0.528,111.74,3
1OHX5m1M54IzWFWgHJOUwL,"3C8RpaI3Go0yFF9whvKoED","Going Home","Wildflower","The Avalanches",2016-07-08,126600,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.59,0.876,6,-8.418,1,0.2,0.767,0.0436,0.505,0.597,113.745,4
2zuCLE3P2NDmDtchyezNRM,"3C8RpaI3Go0yFF9whvKoED","If I Was a Folkstar","Wildflower","The Avalanches",2016-07-08,273253,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.669,0.917,10,-8.06,1,0.0471,0.575,0.801,0.0968,0.923,123.179,4
2s8Kcmtm92EFGCYukT7Dfo,"3C8RpaI3Go0yFF9whvKoED","Colours","Wildflower","The Avalanches",2016-07-08,212213,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.481,0.693,5,-8.466,0,0.0415,0.138,0.0763,0.57,0.395,109.139,4
3iERYGTUBqL9jBjLyS4DAX,"3C8RpaI3Go0yFF9whvKoED","Zap!","Wildflower","The Avalanches",2016-07-08,118706,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.214,0.359,5,-15.555,1,0.0367,0.759,0.000587,0.598,0.289,86.597,4
4jsviyzIo6u9KCFKZpdDTE,"3C8RpaI3Go0yFF9whvKoED","The Noisy Eater","Wildflower","The Avalanches",2016-07-08,194986,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.656,0.804,0,-5.932,0,0.125,0.184,0.0000038,0.797,0.468,102.096,4
2t9hgYyyHIu510C7D96g8y,"3C8RpaI3Go0yFF9whvKoED","Wildflower","Wildflower","The Avalanches",2016-07-08,74706,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.253,0.46,8,-15.326,1,0.119,0.913,0.0565,0.469,0.333,166.689,4
5F4vC4hyMAxs64XLH2guRj,"3C8RpaI3Go0yFF9whvKoED","Harmony","Wildflower","The Avalanches",2016-07-08,228520,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.502,0.76,0,-7.707,1,0.0407,0.269,0.159,0.729,0.42,96.493,4
2iLOV2PUUiGFa0sojC8GhT,"3C8RpaI3Go0yFF9whvKoED","Live a Lifetime Love","Wildflower","The Avalanches",2016-07-08,150786,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.516,0.83,10,-8.539,0,0.196,0.176,0.000132,0.883,0.312,134.276,4
5kBao3LEAo0AbL4ZgkMIYn,"3C8RpaI3Go0yFF9whvKoED","Park Music","Wildflower","The Avalanches",2016-07-08,54000,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.485,0.564,11,-14.2,0,0.038,0.737,0.859,0.345,0.672,142.436,4
2ynOeVErCVuZq7moCrzgMs,"3C8RpaI3Go0yFF9whvKoED","Livin' Underwater (Is Somethin' Wild)","Wildflower","The Avalanches",2016-07-08,116440,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.291,0.441,11,-13.51,0,0.0749,0.879,0.919,0.7,0.426,140.68,4
28KCzoUWHom9VU9k1phpc4,"3C8RpaI3Go0yFF9whvKoED","The Wozard of Iz","Wildflower","The Avalanches",2016-07-08,179880,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.537,0.747,10,-7.297,1,0.0537,0.164,0.000255,0.712,0.65,76.273,4
025rT9FVN0midmqttCck3s,"3C8RpaI3Go0yFF9whvKoED","Over the Turnstiles","Wildflower","The Avalanches",2016-07-08,41866,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.351,0.682,10,-10.534,1,0.0431,0.706,0.643,0.497,0.784,86.348,4
5clVw9rpHMbwZ45ChMDGaz,"3C8RpaI3Go0yFF9whvKoED","Sunshine","Wildflower","The Avalanches",2016-07-08,217013,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.368,0.883,7,-7.557,0,0.0453,0.0991,0.298,0.374,0.658,92.809,4
0qHbE7AfYzwd03PhEtytyQ,"3C8RpaI3Go0yFF9whvKoED","Light Up","Wildflower","The Avalanches",2016-07-08,94680,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.285,0.512,10,-12.786,1,0.052,0.863,0.00182,0.159,0.498,113.358,4
6tFss3uFMHdc9BwcVoswsn,"3C8RpaI3Go0yFF9whvKoED","Kaleidoscopic Lovers","Wildflower","The Avalanches",2016-07-08,235266,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.469,0.74,8,-9.477,1,0.0605,0.591,0.000276,0.449,0.655,120.224,4
4aoxfYT55nnLSsRV4Pl4U2,"3C8RpaI3Go0yFF9whvKoED","Stepkids","Wildflower","The Avalanches",2016-07-08,272680,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.593,0.565,8,-9.641,1,0.0295,0.175,0.267,0.351,0.525,114.235,4
3e6gZ10OIyoCY4sMIBjILp,"3C8RpaI3Go0yFF9whvKoED","Saturday Night Inside Out","Wildflower","The Avalanches",2016-07-08,307238,0,spotify:user:mkb_ind,2020-08-14T11:11:24Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop",0.62,0.818,2,-9.003,0,0.0522,0.485,0.775,0.337,0.57,113.601,4
5iFhkFf9JLA3XiROdYsg1i,"0UK6JkgUMa28b4t8eCtg6P","7 элемент","Философия чуда","Vitas",2001,250000,51,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T15:59:03Z,"meme rap",0.717,0.8,5,-5.794,0,0.0497,0.371,0.158,0.327,0.954,129.642,4
4Vng7f02Hz7XvPFsC1qFjl,"48YxSlb23RAaCd4RyHcV9V","I'm into Something Good","A's, B's & EP's","Herman's Hermits",2004-03-01,153240,50,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:06:18Z,"british invasion,classic rock,folk rock,rock-and-roll,singer-songwriter",0.589,0.451,0,-8.19,1,0.0315,0.822,0.00000125,0.151,0.734,134.082,4
76ICmoJ4PcoMWoooaTxnQs,"0N5PyKJzS3M1XNlaCL7bbE","Land of 1000 Dances","The Exciting Wilson Pickett","Wilson Pickett",1966,146973,63,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:07:21Z,"classic soul,memphis soul,soul,southern soul",0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,4
5t9KYe0Fhd5cW6UYT4qP8f,"3oDbviiivRWhXwIE8hxkVV","Good Vibrations - Remastered 2001","Smiley Smile (Remastered)","The Beach Boys",1967-09-18,219026,70,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:07:21Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop",0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,4
4BP3uh0hFLFRb5cjsgLqDh,"3IYUhFvPQItj6xySrBmZkd","Fortunate Son","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,140773,85,spotify:user:mkb_ind,2020-08-12T23:15:46Z,"album rock,classic rock,country rock,mellow gold,rock,southern rock,swamp rock",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
0RwXCC1iiZEfoKCtuGhrHS,"2Z7UcsdweVlRbAk5wH5fsf,1ctkBmvz80MGyi72Ix055S,3M0H4efyA5YcijrKlaKbYn","The Meeting Place","The Age Of The Understatement","The Last Shadow Puppets,Alex Turner,Miles Kane",2008-04-19,237960,47,spotify:user:mkb_ind,2020-08-12T23:15:58Z,"baroque pop,modern rock,sheffield indie,british indie rock,garage rock",0.262,0.624,9,-8.486,0,0.0388,0.0224,0.000403,0.235,0.303,81.555,4
5WmFu705RnlgskAGw43211,"4Yg38CnYMoN09sMLf6KDdW","There's A Ghost In My House","Northern Soul: 20 Original Classics","R. Dean Taylor",2010-01-01,143586,30,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:04:30Z,"northern soul",0.487,0.882,6,-4.759,0,0.0368,0.151,0,0.144,0.853,81.046,4
0UdYkM8rQeOV9B8n65fsfN,"3C8RpaI3Go0yFF9whvKoED,4LAz9VRX8Nat9kvIzgkg2v,40ZElxHldNyvn7x8WRC6fh","Running Red Lights (feat. Rivers Cuomo & Pink Siifu)","Running Red Lights (feat. Rivers Cuomo & Pink Siifu)","The Avalanches,Rivers Cuomo,Pink Siifu",2020-03-18,279613,36,spotify:user:mkb_ind,2020-08-13T21:00:25Z,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,psychedelic hip hop,alternative rock,drumless hip hop,experimental hip hop",0.672,0.684,2,-6.084,1,0.0235,0.258,0,0.393,0.664,100.51,4
6vpnxcJHN96uL0I8twLqRG,"08BQmH2M3Ew9XjMHaHsl1l","Tainted Love - Single Version","Northern Soul: 20 Original Classics","Gloria Jones",2010-01-01,131200,1,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:04:30Z,"northern soul",0.597,0.686,8,-5.667,1,0.0547,0.699,0,0.705,0.832,80.566,4
4KFM3A5QF2IMcc6nHsu3Wp,"0Ty63ceoRnnJKVEYP0VQpk","Englishman In New York","...Nothing Like The Sun","Sting",1987-01-01,267266,72,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:04:53Z,"permanent wave,soft rock,sophisti-pop",0.674,0.347,9,-17.707,1,0.0364,0.396,0.0000104,0.0916,0.647,102.014,4
3za3bQrlpdEwcT2C4t5Cag,"7d58WZ8qQHy2Sm5p52V2NP","Still Alive","Portal 2: Songs to Test By (Collectors Edition)","Aperture Science Psychoacoustic Laboratories",2011,177212,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-15T07:27:44Z,"video game music",0.775,0.458,2,-8.814,1,0.034,0.851,0.0000963,0.166,0.88,120.029,4
7DbreVo6L52z1RpplC9mPz,"4aEnNH9PuU1HF3TsZTru54,7Eu1txygG6nJttLHbZdQOh","Never Come Back - Four Tet Remix","Never Come Back (Four Tet Remix)","Caribou,Four Tet",2020-05-14,465937,0,spotify:user:mkb_ind,2020-08-12T23:17:01Z,"alternative dance,art pop,electronica,folktronica,indietronica,intelligent dance music,trip hop",0.754,0.955,11,-8.795,1,0.0402,0.613,0.863,0.105,0.461,128.005,4
3Iw9Nr3rmMM7L4FjSV7DEB,"5sm0jQ1mq0dusiLtDJ2b4R,7Eu1txygG6nJttLHbZdQOh","Opus - Four Tet Remix","Opus (Four Tet Remix)","Eric Prydz,Four Tet",2015-09-16,598928,35,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-12T22:26:12Z,"edm,electro house,house,pop dance,progressive electro house,progressive house,electronica,folktronica,indietronica,intelligent dance music,trip hop",0.602,0.764,6,-8.928,0,0.0344,0.00202,0.904,0.12,0.141,125.978,4
3YXIVMQLRRq2K7kxC7UYx6,"2Di8r9df6xjyj6CVOqbGVz,0oO1IaDOBSeI96HbnCa5pZ","Move Your Body","Move Your Body","Marshall Jefferson,Solardo",2019-10-18,196109,3,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T14:36:53Z,"acid house,chicago house,classic house,house,tech house,uk dance",0.791,0.801,4,-6.344,0,0.07,0.00531,0.189,0.509,0.609,124.985,4
6u4xZnL4W0YSLXw24k2zlJ,"6OqhFYFJDnBBHas02HopPT","Break","Bonito Generation","Kero Kero Bonito",2016-10-21,196875,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:07:07Z,"escape room,hyper-rock,japanese electropop",0.848,0.734,11,-5.072,1,0.0506,0.168,0.00331,0.0512,0.859,96.009,4
5p7GiBZNL1afJJDUrOA6C8,"4LLpKhyESsyAXpc4laK94U","Hurt Feelings","Swimming","Mac Miller",2018-08-03,245640,68,spotify:user:mkb_ind,2020-08-14T11:16:11Z,"hip hop,pittsburgh rap,rap",0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,4
2dgrYdgguVZKeCsrVb9XEs,"4LLpKhyESsyAXpc4laK94U","What's the Use?","Swimming","Mac Miller",2018-08-03,288640,68,spotify:user:mkb_ind,2020-08-12T23:14:38Z,"hip hop,pittsburgh rap,rap",0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,4
0Xcy81PsJCOO6mhLZaQyQ4,"4LLpKhyESsyAXpc4laK94U","Perfecto","Swimming","Mac Miller",2018-08-03,215413,58,spotify:user:mkb_ind,2020-08-14T11:16:40Z,"hip hop,pittsburgh rap,rap",0.599,0.317,1,-11.212,1,0.174,0.748,0,0.111,0.203,148.09,4
5bJ1DrEM4hNCafcDd1oxHx,"4LLpKhyESsyAXpc4laK94U","Self Care","Swimming","Mac Miller",2018-08-03,345133,74,spotify:user:mkb_ind,2020-08-12T23:14:38Z,"hip hop,pittsburgh rap,rap",0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,4
2iRniYXjMHKmwXqA2jYXP7,"3Hb64DQZIhDCgyHKrzBXOL","Think About Things","Think About Things","Daði Freyr",2020-04-09,173385,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-14T09:57:11Z,"icelandic pop,sunnlensk tonlist",0.871,0.341,3,-8.932,0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,4
0xE4LEFzSNGsz1F6kvXsHU,"4LLpKhyESsyAXpc4laK94U","Circles","Circles (Deluxe)","Mac Miller",2020-03-19,170360,50,spotify:user:mkb_ind,2020-08-12T23:14:23Z,"hip hop,pittsburgh rap,rap",0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964,4
2GgG5EVjKccjAwCDJM0ogG,"4LLpKhyESsyAXpc4laK94U","Complicated","Circles (Deluxe)","Mac Miller",2020-03-19,232211,48,spotify:user:mkb_ind,2020-08-12T23:14:23Z,"hip hop,pittsburgh rap,rap",0.831,0.36,0,-8.073,1,0.052,0.136,0.00217,0.0703,0.601,75.014,4
7Ar4G7Ci11gpt6sfH9Cgz5,"39T6qqI0jDtSWWioX8eGJz","Listen to the Music","Toulouse Street","The Doobie Brothers",1972,227266,79,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-15T07:43:49Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.645,0.598,1,-13.18,0,0.0334,0.221,0.00000353,0.0721,0.913,105.929,4
44aTAUBF0g6sMkMNE8I5kd,"5NGO30tJxFlKixkPSgXcFE","Every Little Thing She Does Is Magic","Ghost In The Machine (Remastered 2003)","The Police",1981-10-02,260573,73,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-15T07:43:17Z,"album rock,classic rock,permanent wave,rock",0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,4
31DvHUCSioX0JD7B4kZMJ9,"0WwSkZ7LtFUFjGjMZBMt6T","Money For Nothing","Brothers In Arms","Dire Straits",1985-05-13,510933,2,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-15T07:43:38Z,"album rock,classic rock,mellow gold,rock",0.666,0.667,2,-9.305,0,0.0371,0.043,0.0005,0.074,0.679,134.219,4
2Fii5F4XnVdWmWEVneqzLy,"4LLpKhyESsyAXpc4laK94U","Blue World","Circles (Deluxe)","Mac Miller",2020-03-19,209440,49,spotify:user:mkb_ind,2020-08-12T23:14:23Z,"hip hop,pittsburgh rap,rap",0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931,4
5rhMc6IqSdVsyF7bRieSTc,"4LLpKhyESsyAXpc4laK94U","Good News","Circles (Deluxe)","Mac Miller",2020-03-19,342040,50,spotify:user:mkb_ind,2020-08-12T23:14:23Z,"hip hop,pittsburgh rap,rap",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
6Bpxv5xnrvR4O0NNyKnFNL,"6jOz2B9qeID4dLP1o8bFGf","Stop Space Return","Stop Space Return (Bonus Track Version)","Crazy P",2011-01-23,319520,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T15:36:48Z,"deep house,electronica,indie soul,nu disco",0.807,0.795,9,-9.472,0,0.0528,0.000556,0.114,0.0818,0.769,115.049,4
4BVFVaa1fDo20Ud1q5Gd2N,"0Wkm45quqfx3NepJpXDvwE","Everybody Wants To Be Famous","Superorganism","Superorganism",2018-03-02,184986,43,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T15:51:15Z,"art pop",0.665,0.842,6,-4.06,0,0.255,0.0235,0,0.0763,0.629,86.993,4
4rCKRVJZKVysScn2piDuOT,"0Wkm45quqfx3NepJpXDvwE","Something For Your M.I.N.D.","Superorganism","Superorganism",2018-03-02,165391,56,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T15:51:15Z,"art pop",0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,0.199,0.664,140.096,4
0GrhBz0am9KFJ20MN9o6Lp,"6O3ZB5Cz5CNT3wQWouKcNJ,0zp9qNDSeYi3QEodhcKAAA","Circle of Life","The Lion King: Special Edition Original Soundtrack (English Version)","Carmen Twillie,Lebo M.",2003-01-01,239853,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-08-13T17:06:52Z,"movie tunes",0.424,0.503,10,-11.695,1,0.039,0.0862,0,0.261,0.579,83.915,4
