Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2a2waMRtDcYwKTtGuaYyjT,"5anuJnKgLeo47v0AbUJA7S,0Hxv8okKsHTm2PUPemyqhF","Feeling Good - Original Mix","Feeling Good","Sergio Matina,Gabry Sangineto",2018-09-21,449034,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T09:30:17Z,"",0.773,0.889,6,-4.994,0,0.0669,0.000255,0.00324,0.0357,0.835,124,4
49X0LAl6faAusYq02PRAY6,"0AkpPlFLnr0VQwZQeMGht0","Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,79,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T09:36:44Z,"disco house,filter house",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
0RySHJbXmnHcAuGDOOTpjR,"3Vm0BsJPeOfMq4KG9jOfVN","How Do I Love Thee","Dream 2 Science EP","Dream 2 Science",2012-04-23,462964,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T17:51:27Z,"garage house",0.639,0.716,0,-9.57,1,0.0346,0.00149,0.866,0.0941,0.315,120.97,4
13T8SvWHczyBPzOemKtEe7,"5yP54uGWok9LAIYdH7tz5p","Love Shy - Subjoi's Tuff Jam Rework","Love Shy","Subjoi",2018-11-16,381764,43,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T19:05:55Z,"",0.823,0.731,5,-8.544,0,0.269,0.537,0.00308,0.154,0.533,121.028,4
5YzBL3vkQnp3JbeDRRSbSQ,"1kR99O4MgSTasyeJh8UFCg","Pick Up","Knock Knock","DJ Koze",2018-05-04,398150,49,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T20:47:55Z,"electronica,future garage,german techno,hamburg electronic,microhouse,minimal techno",0.712,0.601,5,-8.968,1,0.062,0.0000109,0.802,0.0982,0.513,124.912,4
0M2dqeUpxBGm8vujMTMhMV,"6hJtgCB3L5cnJSND7sp6GU","The Break Up - Original Mix","Break Up To Make Up","Dam Swindle",2013-06-24,476050,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T20:54:19Z,"deep house,float house,future garage,minimal tech house",0.707,0.808,8,-9.887,0,0.0503,0.0355,0.0335,0.671,0.241,119.996,4
6BlQZAp3rGiVJbSSjJ6LEJ,"6pJY5At9SiMpAOBrw9YosS,73LminGpr0A0bVpO5MBwdj","Ivoire (feat. Kio Amachree)","Umami","Folamour,Kio Amachree",2017-11-10,495872,36,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-22T21:15:28Z,"jazz house,lo-fi house",0.84,0.923,7,-6.951,0,0.0587,0.0125,0.607,0.101,0.922,122.014,4
52xrIONMfvxU75K3uRHU2V,"6etdAWVQlwIiVg13V6wPeq","Heard It","Deuxième Virage","Madcat",2018-04-16,424263,26,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-28T19:41:01Z,"jazz house",0.809,0.565,5,-10.871,0,0.0748,0.00469,0.813,0.0758,0.65,126.01,4
0hhXziDUO0wNYPsstDQWN6,"3oKRxpszQKUjjaHz388fVA","Overnight","Overnight","Parcels",2017-06-21,219604,69,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-11-18T21:02:29Z,"aussietronica,indie soul",0.815,0.819,8,-9.494,0,0.0521,0.364,0.0555,0.115,0.864,119.986,4
4n8JDuLWUnkn1huTL0Y0KC,"1Fjmcmithm1OxdtPNxkhI7","Coincidance","Coincidance","Handsome Dancer",2017-04-11,144230,43,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-12-08T20:13:47Z,"",0.931,0.608,7,-8.326,1,0.232,0.0309,0.0000422,0.0497,0.831,129.981,4
1oVW2OSHLFo01CUih7sonk,"3NyNPJaemMYsL14DK2tO01,085pc2PYOi8bGKj0PNjekA","3 Words","3 Words","Cheryl,will.i.am",2009-01-01,273560,38,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-01-01T18:00:50Z,"dance pop,post-teen pop,talent show,pop",0.75,0.58,9,-7.505,1,0.0319,0.713,0.00318,0.0986,0.51,130.024,4
7o7E1nrHWncYY7PY94gCiX,"057gc1fxmJ2vkctjQJ7Tal","Video Killed The Radio Star","The Age Of Plastic","The Buggles",1980-01-10,252773,68,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-09T00:57:26Z,"early synthpop,new wave pop,zolo",0.682,0.679,1,-11.548,1,0.0755,0.103,0.00831,0.204,0.251,131.157,4
6HA97v4wEGQ5TUClRM0XLc,"6Tz0QRoe083BcOo2YbG9lV","99 Luftballons","99 Luftballons","Nena",1984-08-21,233000,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-09T02:01:10Z,"german pop,new wave pop",0.466,0.438,4,-12.858,1,0.0608,0.089,0.00000562,0.113,0.587,193.1,4
0uRzka6sn4LVUj8sHQELYz,"4JCt4xrbbBB9blkKwNlcJ7","Shame","Legends","Evelyn "Champagne" King",2005-02-05,393240,40,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2020-02-09T12:36:34Z,"classic soul,disco,funk,minneapolis sound,new jack swing,post-disco,quiet storm,soul,urban contemporary",0.679,0.85,11,-6.131,0,0.0371,0.00289,0.115,0.0633,0.822,134.49,4
