Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0c2E2zcsp8EoWmfw8YQphH,"3Nrfpe0tUJi4K4DXYWgMUX","Autumn Leaves","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,267150,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.394,0.799,6,-3.54,1,0.0914,0.0107,0,0.144,0.297,104.999,4
0YVsrgp4OOUhFuYMAVQazV,"4Kxlr1PRlDKEB0ekOCyHgX","FXXK IT","MADE","BIGBANG",2016-12-13,231810,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:31:09Z,"k-pop,k-pop boy group",0.72,0.746,0,-3.143,0,0.107,0.152,0,0.276,0.587,90.026,4
7fMlxVFAUsUilPFQnlX6kR,"1z4g3DjTBBZKhvAroFlhOM","Happily Ever After","Rookie - The 4th Mini Album","Red Velvet",2017-02-01,201644,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:33:19Z,"k-pop,k-pop girl group",0.665,0.651,8,-6.435,1,0.0801,0.0399,0.0000302,0.0504,0.906,155.984,4
6Ll1RdbPggJRm6qdhF1YrC,"2hRQKC0gqlZGPrmUKbcchR","1 of 1","1 and 1 - The 5th Album Repackage","SHINee",2016-11-15,203884,24,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:37:03Z,"k-pop,k-pop boy group",0.694,0.879,5,-3.765,0,0.0515,0.0635,0,0.0478,0.84,108.045,4
3CYH422oy1cZNoo0GTG1TK,"1z4g3DjTBBZKhvAroFlhOM","Psycho","‘The ReVe Festival’ Finale","Red Velvet",2019-12-23,210560,70,spotify:user:b72f0tu1tdydm1jah3vertzwd,2020-07-30T15:40:34Z,"k-pop,k-pop girl group",0.664,0.666,8,-2.203,1,0.0446,0.193,0,0.0854,0.405,139.987,4
5K8PXCcGsQ8XZLYKjD3sGj,"1l0mKo96Jh9HVYONcRl3Yp","I Am The Best","I Am The Best","2NE1",2014-12-09,208730,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:25:54Z,"dance pop,k-pop,k-pop girl group",0.818,0.833,0,-3.728,1,0.0389,0.00825,0.00322,0.0553,0.712,127.983,4
481yYUbtfs67PaKYKxJOeF,"78sJswwVn4P8aEhkF4K6fQ","SEE SEA","SEE SEA","HYOLYN",2018-07-20,200125,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:24:24Z,"k-pop,korean r&b",0.648,0.819,10,-2.976,0,0.0345,0.0754,0,0.0837,0.575,117.997,4
68vMDFui7uTbw9OQcyB0gD,"4XDi67ZENZcbfKnvMnTYsI","V","V","Jay Park",2018-09-10,227040,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:24:06Z,"k-pop,k-rap,korean r&b",0.83,0.569,10,-7.737,1,0.165,0.419,0,0.156,0.858,129.968,4
4mwzUFtpBHJVyBs16YjjPN,"4XDi67ZENZcbfKnvMnTYsI,0Qr4St9aCOLu41Nt5QZIz1","몸매 Mommae (feat. Ugly Duck)","Worldwide","Jay Park,Ugly Duck",2015-11-05,204326,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2020-07-30T15:45:45Z,"k-pop,k-rap,korean r&b",0.745,0.669,9,-5.362,0,0.242,0.218,0,0.104,0.681,94.089,4
0oSNOJEcBIKNcQzRc5TfyR,"3Nrfpe0tUJi4K4DXYWgMUX","Blood Sweat & Tears","WINGS","BTS",2016-10-10,217078,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:25:50Z,"k-pop,k-pop boy group,pop",0.585,0.887,0,-3.825,0,0.089,0.0244,0,0.361,0.528,92.971,4
3hfN1wQSiLPa6b1RX5Kfbj,"41MozSoPIsD1dJM0CLPjZF","WHISTLE","SQUARE ONE","BLACKPINK",2016-08-08,211696,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:02Z,"k-pop,k-pop girl group,pop",0.822,0.712,11,-4.877,1,0.15,0.00682,0,0.0955,0.647,102.874,4
0NeNAcCVtGqLAAmf4FhWWT,"41MozSoPIsD1dJM0CLPjZF","BOOMBAYAH","SQUARE ONE","BLACKPINK",2016-08-08,240848,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:08Z,"k-pop,k-pop girl group,pop",0.658,0.836,5,-3.282,0,0.0549,0.00264,0.00000102,0.507,0.387,124.969,4
0gArhrjoVq0RY4Ts0cmH2B,"1l0mKo96Jh9HVYONcRl3Yp","CRUSH","CRUSH","2NE1",2014-02-27,194235,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:12Z,"dance pop,k-pop,k-pop girl group",0.711,0.91,1,-1.204,1,0.0467,0.568,0,0.157,0.556,130.144,4
2ySKRXKN58cbIlY1cxd80y,"3Nrfpe0tUJi4K4DXYWgMUX","I NEED U","화양연화 The Most Beautiful Moment In Life, Pt. 1","BTS",2015-04-29,210986,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:15Z,"k-pop,k-pop boy group,pop",0.486,0.88,5,-3.097,0,0.0706,0.0215,0,0.24,0.71,158.043,4
6dnSJJpkcWo9BHirqFDuQy,"1l0mKo96Jh9HVYONcRl3Yp","COME BACK HOME","CRUSH","2NE1",2014-02-27,229627,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:21Z,"dance pop,k-pop,k-pop girl group",0.585,0.84,0,-3.349,0,0.0957,0.155,0,0.638,0.149,149.855,4
4WJ8znYJSyggjnfm4sGPqY,"1l0mKo96Jh9HVYONcRl3Yp","GOTTA BE YOU","CRUSH","2NE1",2014-02-27,231518,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:34Z,"dance pop,k-pop,k-pop girl group",0.584,0.901,8,-2.22,0,0.155,0.152,0,0.184,0.612,130.178,4
3ROFgxvjni5xjdOLUSTLlq,"3Nrfpe0tUJi4K4DXYWgMUX","21st Century Girl","WINGS","BTS",2016-10-10,192601,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:38Z,"k-pop,k-pop boy group,pop",0.716,0.887,2,-3.802,1,0.0853,0.00402,0,0.0566,0.782,101.025,4
3SESmwaRfVQddNhwCSKQur,"3Nrfpe0tUJi4K4DXYWgMUX","Run","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,236334,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.577,0.875,6,-2.944,0,0.0445,0.00165,0,0.0892,0.522,132.943,4
2VgPA0WnwvE2nbltxa3BHz,"3Nrfpe0tUJi4K4DXYWgMUX","Silver Spoon","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,233184,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.649,0.875,9,-2.88,1,0.0696,0.00128,0,0.0486,0.557,166.927,4
4TiKZrN7gtc62SUiufpFCM,"3Nrfpe0tUJi4K4DXYWgMUX","Dope","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,240020,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.579,0.896,10,-2.781,0,0.224,0.0272,0.00000102,0.352,0.678,153.991,4
4z9gBZQjGS4QLb4LOvmeuA,"3Nrfpe0tUJi4K4DXYWgMUX","Burning Up (Fire)","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,203351,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.627,0.706,10,-3.201,0,0.0597,0.00227,0,0.122,0.536,99.93,4
54s6sdPuMjVtdB5d5KFzTC,"3Nrfpe0tUJi4K4DXYWgMUX","Save Me","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,196505,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.614,0.823,1,-3.48,1,0.062,0.0269,0,0.0783,0.539,139.948,4
4BMbbfwW9GLl9b05ecYKVa,"3Nrfpe0tUJi4K4DXYWgMUX","House of Cards (Full Length Edition)","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,226212,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.367,0.67,2,-4.485,0,0.0517,0.334,0,0.147,0.386,104.96,4
6dLD5Ri5tcYfH4L2GoITij,"3Nrfpe0tUJi4K4DXYWgMUX","I Need U (Remix)","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,223012,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:48Z,"k-pop,k-pop boy group,pop",0.518,0.918,5,-2.843,0,0.207,0.00258,0.00000346,0.448,0.494,158.059,4
2oLLOxkJWJj9BbrsTc4Xql,"1z4g3DjTBBZKhvAroFlhOM","Ice Cream Cake","The 1st Mini Album ‘Ice Cream Cake’","Red Velvet",2015-03-17,191440,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:26:52Z,"k-pop,k-pop girl group",0.58,0.935,9,-3.348,1,0.189,0.0318,0,0.0977,0.603,172.023,4
28AuxtWX8NjHy9aTHNTNIG,"1l0mKo96Jh9HVYONcRl3Yp","Hate You","2NE1 2nd Mini Album","2NE1",2011,213146,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:18Z,"dance pop,k-pop,k-pop girl group",0.703,0.85,4,-2.244,0,0.0353,0.00331,0,0.135,0.727,125.06,4
5ANbXf5qR48a4jfFnSq80w,"41MozSoPIsD1dJM0CLPjZF","PLAYING WITH FIRE","SQUARE TWO","BLACKPINK",2016-11-01,197355,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:23Z,"k-pop,k-pop girl group,pop",0.707,0.758,4,-4.511,0,0.0917,0.0399,0,0.141,0.674,97.037,4
1EBA71Up4r13q6ggBCwBdJ,"6gzXCdfYfFe5XKhPKkYqxV","Mr. Simple","Mr. Simple","SUPER JUNIOR",2011-08-02,241826,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:29Z,"k-pop,k-pop boy group",0.913,0.745,1,-2.837,1,0.0506,0.000219,0.00208,0.0622,0.795,127.996,4
0RhbQOahoOBgBE7Qx4AoSy,"1z4g3DjTBBZKhvAroFlhOM","Dumb Dumb","The Red - The 1st Album","Red Velvet",2015-09-09,202543,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:35Z,"k-pop,k-pop girl group",0.778,0.789,7,-4.297,0,0.0503,0.0334,0.00000205,0.225,0.799,145.99,4
6BKOhvRPY54uvfqWwg7MKi,"1xs6WFotNQSXweo0GXrS0O","Up & Down","AH YEAH","EXID",2015-04-14,189882,58,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:39Z,"k-pop,k-pop girl group",0.714,0.812,7,-2.703,1,0.0351,0.00189,0.00000196,0.229,0.377,112.018,4
4jdiqVbH1eUwc4MzDV7GMu,"3cjEqqelV9zb4BYE3qDQ4O","CALL ME BABY","The 2nd Album ‘EXODUS’","EXO",2015-03-30,211013,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:43Z,"k-pop,k-pop boy group",0.692,0.886,1,-2.519,1,0.0519,0.284,0,0.341,0.879,100.03,4
3F1mueW8iouZUgjmawhVhe,"3HJVw8aEtFqoc3raJVE8am","GOOD BOY","GOOD BOY","GD X TAEYANG",2014-11-21,245192,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:52Z,"k-pop,k-pop boy group",0.745,0.825,1,-3.162,0,0.0352,0.000875,0.000218,0.0828,0.242,95.001,4
6lM6yIDZ7kxFsgQCCfaLE2,"3cjEqqelV9zb4BYE3qDQ4O","Monster","EX'ACT - The 3rd Album","EXO",2016-06-09,221341,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:29:58Z,"k-pop,k-pop boy group",0.618,0.76,6,-4.312,1,0.0596,0.0066,0,0.127,0.541,150,4
6gorwqDJ7bsdCHcVs5uS9u,"4TnGh5PKbSjpYqpIdlW5nz","HERO","RUSH","MONSTA X",2015-09-07,231951,39,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-11T15:30:01Z,"k-pop,k-pop boy group",0.683,0.893,5,-3.086,0,0.162,0.0754,0,0.226,0.909,146.082,4
