Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3olgZmF1O7MHpv76iHmDDf,"11chB4Th19iMA7j65oGMk1","Joi","Joi","Funkin Matt",2021-03-19,216340,38,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:34:21Z,"",0.819,0.427,0,-10.288,1,0.132,0.0127,0.386,0.218,0.0384,124.98,4
1wJXjJlX2bgcNTlqR1N8Ss,"1tJuVa4e8TF5YrJhwHBZaE,412wG46pUp52x0jvVZ0epQ","So Fucked Up","So Fucked Up","Aspen King,44stance",2022-03-04,204321,0,spotify:user:89r9oco036xt1xjjerble3rz0,2022-09-30T21:22:04Z,"",0.734,0.558,0,-6.685,1,0.0436,0.00422,0.886,0.109,0.228,99.999,4
0jT25u5GLiQtqX8k25Rjup,"1VBAKMui4zm5MnBWNn3NbL,1bEvuUxdYlGYGq5WvDAE1u,4EukMPjtYsdi87lkU1hIxN","HEAVEN'S GATES (feat. Izzy Camina) - Manila Killa Remix","HEAVEN'S GATES (feat. Izzy Camina) [Manila Killa Remix]","Devault,Izzy Camina,Manila Killa",2022-09-02,240000,39,spotify:user:89r9oco036xt1xjjerble3rz0,2023-01-23T08:32:28Z,"vapor twitch,future bass,pop edm",0.7,0.892,2,-6.667,1,0.0521,0.0308,0.455,0.0637,0.387,124.99,4
45QRO5RBDOSqWTyQyFLLlI,"26fsavNxrXVdRK7wL3jZKb,3NKKngINK1tP6BFy0WOyWk","Lick That - Max Styler Remix","Lick That (The Remixes)","Imanos,Max Styler",2019-02-22,220645,33,spotify:user:89r9oco036xt1xjjerble3rz0,2023-04-25T21:51:24Z,"brostep,tech house",0.822,0.787,11,-4.411,0,0.063,0.00453,0.0108,0.0985,0.545,124.015,3
41Tga6Vsk12dWD9GZEVtSK,"7kABWMhjA5GIl9PBEasBPt,0dPvgsYtDUI9Wcr0WREIJK,3leOdlQnLg9bSTFJY9WCSP","You Got Me Calling","Fundamentals","Sunnery James & Ryan Marciano,YAX.X,SABRI",2022-10-07,159344,17,spotify:user:89r9oco036xt1xjjerble3rz0,2023-01-07T10:18:01Z,"circuit,dutch house,progressive electro house",0.824,0.633,8,-6.675,0,0.045,0.00616,0.0635,0.0788,0.821,121.985,4
6Nt5plUpUDbsZpnOFMroOk,"1r59KUMNZRw0M8FDnrHq0o","Talkin' French","Talkin' French","FETISH",2021-11-05,190476,0,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-26T02:37:57Z,"",0.761,0.746,7,-9.107,1,0.055,0.0186,0.737,0.121,0.167,126.064,4
3PUytB5YazSdeqWyNdl6Pj,"1r59KUMNZRw0M8FDnrHq0o","Orgy","Orgy","FETISH",2022-03-02,193548,27,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T22:53:44Z,"",0.719,0.865,2,-4.833,1,0.0554,0.00249,0.813,0.234,0.555,123.999,4
0dlP9SnqQa5k1A9mReybFb,"3Xt3RrJMFv5SZkCfUE8C1J","Treat Me Like A Slut","Slut Pop","Kim Petras",2022-02-11,118153,62,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T20:27:14Z,"alt z,dance pop,pop,transpop",0.914,0.696,11,-4.482,0,0.134,0.00225,0.0000797,0.0979,0.572,130.028,4
742VGSXqW7Ed1d2V8cvhlk,"0uDJS3oEIxgZeqAPi7REq6,26IxTtm8a5LVc0qucWLuxk","Pleasure","Pleasure","Dominus,Sage",2019-06-26,193886,35,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:17:10Z,"dark clubbing",0.637,0.312,11,-14.82,0,0.0552,0.279,0.845,0.341,0.401,99.972,4
7Fbx8mVJy36dsVq9IYTRXu,"5czbzNZZfWpyFgZyfT3Mkk","Sextacy","Sextacy","SIDEPIECE",2022-01-14,153600,53,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:21:32Z,"bass house,edm,house,tech house",0.809,0.953,1,-4.793,0,0.048,0.00439,0.312,0.312,0.873,125.008,4
4FoHmnlQPesxK7ZT1QCnd6,"4uRYpUQZrNrY5t8tAv3XrD","Satisfy","Between II Worlds","NERO",2015-09-04,243870,39,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:08:12Z,"complextro,edm,electro house,melodic dubstep",0.421,0.953,7,-4.154,0,0.13,0.00259,0.41,0.186,0.0477,123.937,4
2GQEM9JuHu30sGFvRYeCxz,"28j8lBWDdDSHSSt5oPlsX2","Faded","THE NIGHTDAY","ZHU",2014-09-11,223480,57,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T21:52:48Z,"edm,electro house",0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,124.979,4
1rGd2CoMxEg2dnaytLY5ZG,"5R3Hr2cnCCjt220Jmt2xLf","Goodies","Goodies","Dillon Francis",2022-09-02,121904,53,spotify:user:89r9oco036xt1xjjerble3rz0,2022-09-03T17:50:40Z,"brostep,edm,electro house,moombahton,pop dance,progressive electro house,slap house",0.837,0.865,5,-3.639,0,0.04,0.0176,0.0174,0.0936,0.631,126.009,4
7k6IzwMGpxnRghE7YosnXT,"27FGXRNruFoOdf1vP8dqcH","Me & U","Cassie (U.S. Version)","Cassie",2006-08-07,192213,77,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T21:40:12Z,"dance pop,hip pop,pop rap,r&b,urban contemporary",0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,4
3VBWOEqwknZm2NQjuvCPUd,"1AHswQqsDNmu1xaE8KpBne","GOOD PUSS","COBRAH","COBRAH",2021-05-12,220223,38,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-26T00:13:32Z,"escape room,pink noise",0.87,0.651,5,-6.997,1,0.0483,0.084,0.6,0.133,0.349,125.027,4
0k3znFeDe0kIfa40fEjG5E,"1ic0FHNGIjXZAWH6O6Reif","Dance With Me","Jauz Presents: This Is Off The Deep End","Ship Wrek",2019-07-26,185714,3,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:32:16Z,"stutter house,tech house",0.835,0.805,2,-4.518,0,0.0613,0.00478,0.0651,0.0567,0.837,126.027,4
06U3tIapsJ0X6dZx5nhLtt,"1O10apSOoAPjOu6UhUNmeI,6Tyzp9KzpiZ04DABQoedps","Wildfire","SBTRKT","SBTRKT,Little Dragon",2011-06-27,201000,43,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T21:39:53Z,"chillwave,electronica,future garage,indie soul,indietronica,art pop,downtempo,gothenburg indie,neo-synthpop,swedish electropop,swedish synthpop,trip hop",0.841,0.481,0,-7.188,0,0.387,0.0308,0.000515,0.0896,0.341,139.574,4
6YjRsyEcSOLKYIT5MIkKYT,"4VA3EAvncrTucjTmrvd4GE","Hot In Herre","Hot In Herre","LION BABE",2020-01-22,185786,36,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-26T00:39:24Z,"alternative r&b,indie soul",0.795,0.774,5,-6.166,0,0.0596,0.0232,0.000453,0.139,0.568,117.978,4
5wnYY4Hdgp8ejq1OrariiN,"1r59KUMNZRw0M8FDnrHq0o","What You Want","What You Want","FETISH",2019-07-05,198906,31,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T22:59:44Z,"",0.773,0.788,7,-8.005,1,0.0917,0.119,0.788,0.254,0.112,123.951,4
2AUHVjR5lhg6GcztbGvRkc,"0deIjoDjl9g9Zpw0sCIOHh","Lick It","Lick It","Valentino Khan",2018-03-16,215040,40,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T22:28:12Z,"brostep,edm,electro house,electronic trap,fidget house,moombahton",0.798,0.837,4,-2.531,1,0.0582,0.00737,0.121,0.0942,0.662,124.994,4
1PRpJKvfeaOPhJW39ecgw2,"35Of0m0cvpLYrmQ6qd5ocp,7wgs0d144iA6OnyYE629qE","Misbehave","Misbehave","One True God,ARIUS",2021-07-16,163298,31,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T21:47:21Z,"dark clubbing,experimental bass",0.677,0.697,5,-4.2,0,0.0346,0.0428,0.024,0.167,0.213,96.987,4
2ggU3x796DgIcFlehKjP7H,"4AzCRy6fsTvmfptROwjjCZ","Hard","Hard","Jvles",2017-04-05,267317,4,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T23:12:12Z,"",0.732,0.827,7,-7.723,1,0.0376,0.0000345,0.763,0.131,0.152,123.018,4
4mn2fAMJANNwNehlBMYgfc,"1r59KUMNZRw0M8FDnrHq0o","Latex","Latex","FETISH",2021-03-15,186666,0,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-26T02:34:57Z,"",0.805,0.906,2,-6.561,1,0.0711,0.0324,0.556,0.0667,0.507,125.997,4
2NJZkoOF5twFoZJmeqnC4v,"052B9SONfhoScw7dgYWw5o,6UZAR4NCq8pcvxGZVlfuf2","I Confess (feat. ROMÉO)","Play Me (feat. Everyone You Know)","Biscits,ROMÉO",2022-07-20,157875,10,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-26T01:59:22Z,"bass house,house,tech house,uk dance,uk tech house",0.779,0.854,6,-5.612,0,0.118,0.22,0.000438,0.396,0.382,126.996,4
4wmeLB1RhmbHNv2G0L8jXi,"5MTN31B0DYG43RQJ9zT5fq","Transmissions","Transmissions","Social Kid",2017-05-19,240300,32,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T22:23:02Z,"dark clubbing",0.756,0.673,8,-5.866,1,0.264,0.11,0.518,0.26,0.437,100,4
5kn2FMZoBVClbA9CV7w3k5,"4aKdmOXdUKX07HVd3sGgzw,09C3CKFxKEw1n1Z7kvT3jb","Chemical Bond","Chemical Bond","Rezz,Deathpact",2021-09-03,142702,48,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T21:33:17Z,"brostep,canadian electronic,edm,electra,electro house,dark clubbing",0.635,0.93,2,-2.061,1,0.0583,0.000241,0.775,0.0918,0.0688,73.981,4
2NjljSTMMopdS3rYsJxGAa,"62R6OE0R9RB43aSCyzVOxs,18UrIT17pqz5fG7J85iwSh","BODY","DARK VIBE ORDER","LICK,LUNA AURA",2019-08-02,208941,34,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:35:46Z,"dark clubbing,experimental bass",0.488,0.674,9,-6.344,0,0.0729,0.0129,0.00785,0.125,0.37,170.046,4
5tdLu9B3BMWeE6zy36P4zn,"4JIeLfcNRkL7wlCcszOjyj","Bilingual - Dirty Mix","Bilingual","Jose Nunez",2004-10-05,445570,25,spotify:user:89r9oco036xt1xjjerble3rz0,2022-08-25T19:42:32Z,"",0.843,0.482,0,-10.989,1,0.11,0.0109,0.228,0.106,0.688,129.028,4
