Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1e7EdcxkUPFZWfuY4VI3rh,"4yvcSjfu4PC0CYQyLy4wSq","Creatures in Heaven","Creatures In Heaven","Glass Animals",2024-04-03,221670,71,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-03T19:37:52Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.513,0.687,2,-6.63,1,0.0611,0.47,0,0.293,0.409,160.052,4
474uVhyGgK5MtY9gMcDgGl,"4hz8tIajF2INpgM0qzPJz2","It's Called: Freefall","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,152293,78,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-03T19:38:40Z,"pov: indie",0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,4
5Z0UnEtpLDQyYlWwgi8m9C,"2FXC3k01G6Gw61bmprjgqS","Too Sweet","Unreal Unearth: Unheard","Hozier",2024-03-22,251424,89,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-04T08:36:04Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
6FfLg6FFqhCsrFOaHIGkg0,"25pd339V2rRJo84USlcSRP","Honeypie","For Abby","JAWNY",2020-10-27,135581,75,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-04T08:40:34Z,"bedroom pop,pov: indie",0.74,0.688,5,-4.361,0,0.0916,0.061,0,0.138,0.935,115.035,4
5P8EHRl1ANXNPEqiy0JoH1,"4hz8tIajF2INpgM0qzPJz2,70kkdajctXSbqSMJbQO424","Overtime (feat. Kacey Musgraves)","Overtime (feat. Kacey Musgraves)","Rainbow Kitten Surprise,Kacey Musgraves",2024-04-05,173610,54,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"pov: indie,classic texas country,contemporary country,country dawn",0.672,0.608,4,-10.98,1,0.0485,0.621,0,0.434,0.759,135.92,4
75IQVo8hqI1iwVZyvkN2VT,"3zmfs9cQwzJl575W1ZYXeT","Show Me How","Show Me How","Men I Trust",2018-02-28,215110,79,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"indie pop,pov: indie",0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,4
6IPwKM3fUUzlElbvKw2sKl,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,81,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
4sXwt3StCVkgLyxxvgVXrq,"0JqRJZzARcjmH60HwUenow","lavender blood","Luxury Beverage","Fox Academy",2015-01-06,158785,48,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"indie garage rock,lo-fi indie",0.356,0.162,1,-16.848,1,0.0372,0.986,0.0337,0.11,0.205,83.283,4
3yy1OnN0D8Zlq6rfHfJ5UK,"4hz8tIajF2INpgM0qzPJz2","Cocaine Jesus","RKS","Rainbow Kitten Surprise",2015-04-25,229666,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"pov: indie",0.823,0.361,2,-7.682,1,0.0409,0.142,0,0.303,0.169,119.932,4
7n6QMW76A5qgfn0Mb4aL7i,"3pIwImfumJioKb0zHHP61x","Off My Mind","Emily Can't Sing","Joe P",2021-10-22,213855,56,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"asbury park indie",0.574,0.664,0,-7.713,1,0.0334,0.305,0.0000229,0.143,0.727,111.933,4
7asyVbwQE7IbA3x2be7bdI,"2hR4h1Cao2ueuI7Cx9c7V8","Fool","Lemon Boy","Cavetown",2018-01-01,233785,59,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop,indie pop,pov: indie",0.675,0.464,1,-9.277,1,0.151,0.0635,0.073,0.0711,0.129,79.55,4
3hRV0jL3vUpRrcy398teAU,"6ltzsmQQbmdoHHbLZ4ZN25","The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,88,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"indie folk,stomp and holler",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
2bsC6KLZ6a9v6zdoDkziBL,"69tiO1fG8VWduDl3ji2qhI","Dirty Love","Mt. Joy","Mt. Joy",2018-03-02,164626,72,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"pov: indie,stomp and holler",0.774,0.439,5,-7.612,0,0.0364,0.595,0.00127,0.109,0.661,125.088,4
7B3z0ySL9Rr0XvZEAjWZzM,"3l0CmX0FuQjFxr8SK7Vqag","Sofia","Immunity","Clairo",2019-08-02,188386,78,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop,indie pop,pov: indie",0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
4XCpDE4pLTkkQ0kudqBLdS,"4yvcSjfu4PC0CYQyLy4wSq","Psylla","Glass Animals","Glass Animals",2013-01-01,211194,47,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.788,0.577,4,-9.223,1,0.0365,0.0933,0.000327,0.17,0.484,124.498,4
0ZP3E9L1I0C6rmD0CAKqDc,"3P4vW5tzQvmuoNaFQqzy9q","Silly Girl","Rabbit Hearted.","chloe moriondo",2018-07-31,198807,53,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"alt z,bedroom pop,indie pop,pov: indie",0.479,0.0436,0,-22.849,1,0.0639,0.944,0.0000942,0.126,0.133,79.141,1
2K7xn816oNHJZ0aVqdQsha,"77SW9BnxLY8rJ0RciFqkHh","Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,85,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"modern alternative rock,modern rock,pop",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
6dpLxbF7lfCAnC9QRTjNLK,"52N3KGrTWDRhdQJrgBTofE","Home","Home","Good Neighbours",2024-01-17,157485,77,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"",0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,4
09NibQcboHT4aqZbkvRa2w,"0HthCchcL0kVLHTr113Vk1","feelings are fatal","plum blossom","mxmtoon",2018-12-07,124853,54,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"alt z,bedroom pop,indie pop,pov: indie",0.547,0.169,0,-16.25,1,0.138,0.908,0,0.0942,0.487,96.221,3
7yNf9YjeO5JXUE3JEBgnYc,"6USv9qhCn6zfxlBQIYJ9qs","Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,85,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"alternative pop rock,pov: indie",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
2B664ulJSVBd6B8SAY3Wux,"5b5bt4mZQpJMoCRbiQ7diH","Oysters In My Pocket","Oysters In My Pocket","Royel Otis",2022-03-10,162338,76,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"australian indie rock",0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017,4
2vWBUC9djv6BtiGlmKiQaH,"6FugQjLquBF4JzATRN70bR","YKWIM?","Bipolar","Yot Club",2019-05-31,212750,79,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop",0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3
78LMazmfqncADjyJVae8dN,"25pd339V2rRJo84USlcSRP","Anything You Want","Anything You Want","JAWNY",2020-02-27,123556,58,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop,pov: indie",0.798,0.78,6,-4.75,0,0.0554,0.145,0,0.1,0.929,112.025,4
3flgdcFBWI84DPi4s1jhhd,"7FKTg75ADVMZgY3P9ZMRtH","Savannah","Something You Needed","flipturn",2020-02-07,69071,59,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"jacksonville indie,pov: indie",0.537,0.127,4,-15.827,1,0.0333,0.924,0.0528,0.369,0.418,103.289,4
0qOCy2LqvdkMora7eZsJhQ,"6ft7JnxMyZhp7N52qzHymY","From the Subway Train","Angel Youth","Vansire",2018-04-26,57370,77,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop,rochester mn indie",0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,4
11iIikXxC6NP0Ma8vMD27x,"1W4itxt3vwhmrgLEBuVHJ6","Alien Blues","Gawk","Vundabar",2015-07-24,155933,78,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"boston indie,indie garage rock,pov: indie",0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,4
6mSnSuOhgHHohqeBw76jRV,"0pg0Zm8FsGAYy5kdHuBnSo","i was all over her","melanchole","salvia palth",2013-05-06,161422,81,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"countrygaze,lo-fi emo,lo-fi indie,pov: indie,slowcore,small room",0.537,0.366,7,-12.774,1,0.0303,0.775,0.883,0.113,0.0538,104.572,4
3SEZEyvEALlomED5xFeqOs,"3uwAm6vQy7kWPS2bciKWx9","summer depression","summer depression","girl in red",2018-03-03,151693,63,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.693,0.308,9,-15.635,1,0.0442,0.645,0.476,0.127,0.677,129.943,4
3DCU0R5FFaB9GKxZERb5wr,"6yrtCy4XJHXM6tczo4RlTs","Temper Temper","Permanent Vacation","Lime Cordiale",2017-10-13,208980,63,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"australian surf rock",0.713,0.565,7,-7.8,0,0.0351,0.0252,0.0000032,0.633,0.705,130.047,4
4rRU8wku7wWlwcpqW4ygFj,"2FXC3k01G6Gw61bmprjgqS","Empire Now","Unreal Unearth: Unheard","Hozier",2024-03-22,178196,58,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.448,0.451,9,-6.483,0,0.0298,0.685,0,0.11,0.368,89.938,4
7sIx70dGj3VBiHWr0KZXfD,"0m5FakHKCQdA7UN0PIzMcL","Blondie","Wild Heart","Current Joys",2013-01-02,194733,74,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-10T19:45:52Z,"lo-fi indie,pov: indie",0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,4
0tduSYti0mY7p8j5AIO4Pg,"3uwAm6vQy7kWPS2bciKWx9","I'm Back","I'M DOING IT AGAIN BABY!","girl in red",2024-04-12,179791,57,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.584,0.463,0,-10.142,1,0.0379,0.919,0.00112,0.0952,0.348,131.032,4
0elCmyfISzkP5tAYTVuYjS,"7FKTg75ADVMZgY3P9ZMRtH","August","Citrona","flipturn",2018-04-20,261734,62,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"jacksonville indie,pov: indie",0.45,0.602,6,-4.301,1,0.0273,0.0892,0.00625,0.107,0.16,172.161,4
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,99,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
2GxrNKugF82CnoRFbQfzPf,"0PCCGZ0wGLizHt2KZ7hhA2","i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,95,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
43bVi48NVZVDClxsXksTtC,"3uwAm6vQy7kWPS2bciKWx9","Ugly Side","I'M DOING IT AGAIN BABY!","girl in red",2024-04-12,174847,49,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.622,0.593,0,-7.464,1,0.0472,0.0996,0.00565,0.115,0.688,89.962,4
6twjuBZfRJIZnoHrghzWLk,"6ws5XBA70XgeBpnLZhQBoy","Blame Brett","Blame My Ex","The Beaches",2023-09-15,177003,72,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"canadian indie rock,toronto indie",0.472,0.867,1,-3.159,0,0.0409,0.0063,0.00000456,0.326,0.792,155.996,4
1dh5DUke1yHJzIF3Sa7nXC,"2hUYKu1x0UZQXvzCmggvSn","Pretty Girls","Snow Angel","Reneé Rapp",2023-08-18,146234,72,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"alt z,singer-songwriter pop",0.648,0.521,10,-9.062,1,0.0903,0.302,0.0000101,0.106,0.264,109.775,4
5hlPrSCx9BvnQ3rCTkblMZ,"5XKFrudbV4IiuE5WuTPRmT","High","Angel Face","Stephen Sanchez",2023-09-22,161567,76,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T13:53:21Z,"gen z singer-songwriter",0.432,0.714,6,-7.933,0,0.0384,0.0876,0.000788,0.27,0.322,176.009,4
18dlAFKaajLjRgBNZZ4ThU,"2hUYKu1x0UZQXvzCmggvSn,181bsRPaVXVlUKXrxwZfHK","Not My Fault (with Megan Thee Stallion)","Mean Girls (Music From The Motion Picture)","Reneé Rapp,Megan Thee Stallion",2024-01-12,170528,74,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:23:57Z,"alt z,singer-songwriter pop,houston rap,pop,r&b,rap,trap queen",0.811,0.792,1,-6.081,0,0.175,0.1,0,0.395,0.854,124.01,4
5naar7XewEOAjOywIp6Jjq,"0NIPkIjTV8mB795yEIiPYL","Remember When","Nothing Happens","Wallows",2019-03-22,155146,70,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:27:06Z,"pov: indie",0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,4
1170VohRSx6GwE6QDCHPPH,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,73,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:30:19Z,"pov: indie,slc indie",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
57RA3JGafJm5zRtKJiKPIm,"0NIPkIjTV8mB795yEIiPYL,3l0CmX0FuQjFxr8SK7Vqag","Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows,Clairo",2019-03-22,178000,80,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:30:22Z,"pov: indie,bedroom pop,indie pop",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
5xo8RrjJ9CVNrtRg2S3B1R,"1r1uxoy19fzMxunt3ONAkG","Motion Sickness","Stranger in the Alps","Phoebe Bridgers",2017-09-22,229760,73,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:30:25Z,"indie pop,la indie,pov: indie",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
6UFivO2zqqPFPoQYsEMuCc,"3l0CmX0FuQjFxr8SK7Vqag","Bags","Immunity","Clairo",2019-08-02,260519,76,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:30:27Z,"bedroom pop,indie pop,pov: indie",0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
0L3oQdYUvVbsOOPJSkZ3C3,"2FXC3k01G6Gw61bmprjgqS","Would That I","Wasteland, Baby!","Hozier",2019-03-01,268293,69,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:31:43Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.397,0.526,5,-6.032,1,0.0288,0.242,0.00537,0.108,0.497,64.895,4
2MvvoeRt8NcOXWESkxWn3g,"163tK9Wjr9P9DmM0AVK7lm","Ribs","Pure Heroine","Lorde",2013-09-27,258969,76,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:36:42Z,"art pop,metropopolis,nz pop,pop",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
0i5spxZKedPA2TgGuvJ3AL,"4AcHt3JxKy59IX7JNNlZn4","Out of My League","More Than Just a Dream","Fitz and The Tantrums",2013-05-07,209386,61,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:36:43Z,"la indie,modern alternative rock,modern rock,pop rock,pov: indie",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
0UV5zxRMz6AO4ZwUOZNIKI,"4mLJ3XfOM5FPjSAWdQ2Jk7","Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,77,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:43:33Z,"chamber pop,indie rock,modern folk rock,philly indie,pov: indie,seattle indie,stomp and holler",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
57j65yC2HggQfmYNc6rdOK,"3uwAm6vQy7kWPS2bciKWx9","bad idea!","bad idea!","girl in red",2019-09-03,219638,71,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:43:42Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.513,0.807,1,-6.095,1,0.0481,0.0289,0.0548,0.246,0.419,162.026,4
51Lf3l6wx008NdBxCQnD6B,"0xPoVNPnxIIUS1vrxAYV00","Ode to a Conversation Stuck in Your Throat","Del Water Gap","Del Water Gap",2021-10-08,199232,69,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:44:03Z,"deep new americana,indie pop,pov: indie",0.57,0.804,11,-6.782,1,0.0701,0.0598,0.0000896,0.187,0.624,87.533,4
0awZwmlC6pxH65KTZpadmX,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Freakin' Out On The Interstate (Acoustic Version [Live])","Briston Maroney",2020-07-10,251906,69,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:44:08Z,"nashville indie,pov: indie",0.45,0.794,4,-5.015,1,0.0538,0.388,0,0.303,0.362,143.861,4
74f0dpqHhTeTJzs4pmZ1yq,"6p2HnfM955TI1bX34dkLnI","Pool House","When We Were Friends","The Backseat Lovers",2019-01-27,269411,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:44:19Z,"pov: indie,slc indie",0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,4
5PlGxNgE62io6OBc1BsIaq,"3PyJHH2wyfQK3WZrk9rpmP","Worms","Worms","Ashnikko",2023-03-02,148690,55,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-04-24T14:53:08Z,"alt z,escape room",0.825,0.716,7,-3.236,0,0.0598,0.26,0,0.284,0.834,140.038,4
