Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
35OjjtMHKnPdOAsEZ6M9OA,"3qNVuliS40BLgXGxhdBdqu","The Magic of Christmas Time","This Christmas – Winter is Coming","TAEYEON",2017-12-12,167456,25,spotify:user:newkpop,2017-12-12T12:25:48Z,"k-pop",0.575,0.33,3,-7.95,1,0.0274,0.898,0.00000219,0.204,0.396,91.689,3
3I4pgDhMKp6Sww3lTxyg8X,"1gBUSTR3TyDdTVFIaQnc02","JOY","JOY - SM STATION","NCT DREAM",2017-12-15,178534,37,spotify:user:newkpop,2017-12-15T09:09:37Z,"k-pop,k-pop boy group",0.674,0.892,6,-3.498,1,0.0439,0.0563,0,0.067,0.725,109.909,4
7ra9FZOGKDhiodoH5fuYsy,"28ot3wh4oNmoFOdVajibBl","Funky Glitter Christmas","1st Intermixxion Single <Funky Glitter Christmas>","NMIXX",2022-11-23,190306,0,spotify:user:newkpop,2022-11-24T16:32:28Z,"k-pop,k-pop girl group",0.681,0.824,9,-0.681,1,0.0477,0.115,0,0.0221,0.881,113.956,4
3k7FTBQkstaBcYHamx9jqe,"1z4g3DjTBBZKhvAroFlhOM,6YVMFz59CuY7ngCxTxjpxE","Beautiful Christmas","Beautiful Christmas","Red Velvet,aespa",2022-12-14,209800,49,spotify:user:newkpop,2022-12-16T16:00:33Z,"k-pop,k-pop girl group",0.719,0.792,1,-2.549,1,0.0311,0.0365,0,0.33,0.727,109.98,4
1KMc5CXwEkjklwSqPMQjB1,"0CmvFWTX9zmMNCUi6fHtAx","Christmassy!","THE BOYZ Special Single 'Christmassy!'","THE BOYZ",2020-12-07,205533,30,spotify:user:newkpop,2020-12-08T18:16:36Z,"k-pop,k-pop boy group",0.702,0.911,2,-3.521,1,0.0772,0.0559,0,0.0482,0.607,107.94,4
2VNpT9fRk1kyksT0S4coZR,"3cjEqqelV9zb4BYE3qDQ4O","The First Snow","Miracles in December","EXO",2013-12-09,207667,60,spotify:user:newkpop,2023-12-29T15:39:54Z,"k-pop,k-pop boy group",0.636,0.674,7,-6.623,0,0.0444,0.00542,0,0.145,0.814,82.985,4
4BU2J7VTrm2TvzaYUX7GXb,"2uWcrwgWmZcQc3IPBs3tfU","PINK CHRISTMAS","PINK CHRISTMAS","Apink",2023-12-11,194866,25,spotify:user:newkpop,2023-12-14T18:52:31Z,"k-pop,k-pop girl group",0.747,0.733,2,-3.883,1,0.0936,0.54,0,0.0937,0.605,133.012,4
07RqTH1eogXDP6lvfkpTgr,"25KT93FeotUTHC1dbLasxi","Christmas Love","Christmas Love","A.C.E",2023-12-18,192533,17,spotify:user:newkpop,2023-12-19T20:29:01Z,"k-pop,k-pop boy group",0.478,0.801,5,-3.506,1,0.18,0.067,0,0.309,0.382,114.958,4
5wy21ZeTCwveMpA5cktc7S,"2YXlVLKq3X3soXd2aXUtIT","5 Christmas Languages","5 Christmas Languages","JAMIE",2020-12-09,204906,14,spotify:user:newkpop,2020-12-11T20:06:39Z,"k-pop",0.602,0.65,7,-3.379,1,0.0278,0.0732,0,0.304,0.339,147.995,4
1AXG1jQXUjExFWRJYt9tPG,"213zHiFZwtDVEqyxeCbk07","The Carol 3.0","The Carol 3.0","ARTMS",2023-12-01,222786,0,spotify:user:newkpop,2023-12-02T18:53:22Z,"5th gen k-pop",0.505,0.889,7,-3.707,1,0.0804,0.259,0,0.082,0.347,144.901,4
3yVUAgXBPozhKKeXphiTY3,"4muJrGMndyYWqZtfk8OWy4","Merry-Chri","Merry-Chri","BoA",2004-12-01,332666,20,spotify:user:newkpop,2020-12-03T16:33:17Z,"k-pop",0.498,0.574,1,-4.27,1,0.0309,0.389,0,0.0598,0.235,121.383,3
1f8y9dfpCSBW7BJRfOjop7,"3cjEqqelV9zb4BYE3qDQ4O","What I Want For Christmas","For Life - Winter Special Album, 2016","EXO",2016-12-19,202058,0,spotify:user:newkpop,2016-12-18T18:05:44Z,"k-pop,k-pop boy group",0.327,0.527,4,-4.485,0,0.0522,0.417,0,0.362,0.142,189.052,3
0ijCESscFXtRc0dtDgu1Uv,"6YVMFz59CuY7ngCxTxjpxE","Jingle Bell Rock","Jingle Bell Rock","aespa",2023-11-24,130613,50,spotify:user:newkpop,2023-12-22T21:49:08Z,"k-pop girl group",0.791,0.725,6,-4.154,1,0.158,0.0987,0,0.118,0.678,140.06,4
3fixP4VxUKRRg7i8WeViuL,"3bwO3gNZVmHwaBttv739g7","Must Have Love","MUST HAVE","ATBO",2023-11-27,196920,20,spotify:user:newkpop,2023-12-23T14:21:14Z,"k-pop boy group",0.563,0.947,1,-3.069,1,0.112,0.0569,0,0.0949,0.684,79.028,4
2gAeC9cZY154LvRWhCck04,"1Yhs3H3tkZhk4mSQgzECWb","FIRST SNOW","FIRST SNOW","XODIAC",2023-12-11,195466,32,spotify:user:newkpop,2023-12-14T18:54:40Z,"5th gen k-pop,k-pop boy group",0.512,0.772,1,-4.458,1,0.0503,0.379,0,0.0916,0.463,80.028,4
4hBJo6CrJTFjKEhIDXRWC0,"62T5PGHWJ9sxP2SJq20IHq","My My","My My","PURPLE KISS",2021-12-18,208226,24,spotify:user:newkpop,2022-11-20T18:46:36Z,"k-pop",0.566,0.895,10,-3.976,0,0.121,0.113,0,0.284,0.486,180.098,4
7gXnTPv4oIeupUnvLopwsE,"6nVMMEywS5Y4tsHPKx1nIo","Santa Claus Is Comin' To Town","Christmas gift from TVXQ!","TVXQ!",2004-12-06,110706,7,spotify:user:newkpop,2020-12-11T20:08:23Z,"k-pop,k-pop boy group",0.651,0.277,5,-10.716,1,0.0384,0.733,0,0.107,0.562,119.846,4
13VPcbJ3rqqkeJxnuvm47l,"3vhZuZdMksbnJwoE3AwpXq,6RzEJR9Jz1DFFjZOVm8Xtg,5DnjOSzLCfn4hDbLECq8pt,2AZgVjkPB4a4ULepFyPPgZ,7HkRTmxvjlJxL3lEOSxpqN,5j4ZfrjfKJhMBbDgTFxIwB,4HnerCMoSDbXBdfODegZbL,23oRZ1WSV1YCPk3Ra7ivzJ","White Christmas","BRANDNEW YEAR 2023 'White Christmas'","BUMKEY,Muzie,Yang Da Il,Vincent Blue,JEON WOONG,LEE DAE HWI,Eunho,EUNSANG",2023-12-11,265033,1,spotify:user:newkpop,2023-12-14T18:53:16Z,"k-rap,korean pop,korean city pop,k-pop",0.327,0.498,0,-6.851,1,0.0287,0.357,0,0.218,0.175,97.681,3
