Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1PtQJZVZIdWIYdARpZRDFO,"1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,80,spotify:user:,2022-11-17T20:08:09Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
4NnWuGQujzWUEg0uZokO5M,"7bu3H8JO7d0UbMoVzbo70s","Just Like Heaven","Kiss Me, Kiss Me, Kiss Me","The Cure",1987-01-01,212013,71,spotify:user:,2022-11-17T20:08:09Z,"new wave,permanent wave,rock,uk post-punk",0.437,0.94,9,-6.946,1,0.0426,0.0524,0.000573,0.222,0.48,151.417,4
4IvZLDtwBHmBmwgDIUbuwa,"6zvul52xwTWzilBZl6BUbT","Here Comes Your Man","Doolittle","Pixies",1989-04-17,201186,69,spotify:user:,2022-11-17T20:08:09Z,"alternative rock,boston rock,permanent wave,rock",0.669,0.795,2,-10.865,1,0.0285,0.00772,0.0781,0.401,0.882,124.594,4
0WQiDwKJclirSYG9v5tayI,"3yY2gUcIsjMr8hjo51PoJ8","There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,79,spotify:user:,2022-11-17T20:08:09Z,"madchester,new wave,permanent wave,rock,uk post-punk",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
7jIAttgQTpLDoNtykIQXjH,"0rpMdBzQXf7aYRnu5fDBJy","Blister In The Sun","Violent Femmes","Violent Femmes",1983-01-01,145706,71,spotify:user:,2022-11-17T20:08:09Z,"acoustic punk,alternative rock,punk",0.726,0.537,0,-8.896,1,0.114,0.316,0,0.0707,0.882,96.889,4
5O7RVmqK3AYoFfyeafxOqH,"7cKtqv9cYVlOwnuCFH95ce","This Is the Day","London Town 1983-1993","The The",2001-11-22,297066,49,spotify:user:,2022-11-17T20:08:09Z,"new romantic,new wave,post-punk,uk post-punk",0.56,0.875,10,-4.483,1,0.0518,0.0131,0.000693,0.063,0.538,141.661,4
2JO3HwMRPeya8bXbtbyPcf,"432R46LaYsJZV2Gmc4jUV5","Love Will Tear Us Apart","The Best Of","Joy Division",2008-03-20,206866,62,spotify:user:,2022-11-17T20:08:09Z,"alternative rock,indie rock,madchester,new wave,post-punk,punk,rock,uk post-punk",0.443,0.956,2,-6.198,1,0.0511,0.0000524,0.825,0.135,0.909,146.754,4
38Ngied9rBORlAbLYNCl4k,"2x9SpqnPi8rlE9pjHBwmSC","Once in a Lifetime - 2005 Remaster","Remain in Light (Deluxe Version)","Talking Heads",1980-10-08,259906,65,spotify:user:,2022-11-17T20:08:09Z,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,4
3gxEZXUjrNbl3TlSrTGbR5,"0oSGxfWSnnOXhD2fKuz2Gy","Modern Love - 2018 Remaster","Let's Dance (2018 Remaster)","David Bowie",1983-04-14,288339,67,spotify:user:,2022-11-17T20:08:09Z,"art rock,classic rock,glam rock,permanent wave,rock",0.358,0.938,0,-5.577,1,0.0483,0.00375,0.0000092,0.117,0.944,182.836,4
1QFh8OH1e78dGd3VyJZCAC,"7bu3H8JO7d0UbMoVzbo70s","Boys Don't Cry","Three Imaginary Boys","The Cure",1979-05-11,155973,76,spotify:user:,2022-11-17T20:08:09Z,"new wave,permanent wave,rock,uk post-punk",0.462,0.836,11,-5.766,0,0.0621,0.00517,0,0.18,0.671,168.766,4
56KqaFSGTb7ifpt16t5Y1N,"3RGLhK1IP9jnYFH4BRFJBS","Rock the Casbah - Remastered","Combat Rock (Remastered)","The Clash",1982,222426,71,spotify:user:,2022-11-17T20:08:09Z,"alternative rock,permanent wave,punk,rock",0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,4
6VpNGCU2ig4NQmsLfALdJU,"1aSxMhuvixZ8h9dK9jIDwL","Babooshka - 2018 Remaster","Never for Ever (2018 Remaster)","Kate Bush",1980-09-07,199226,62,spotify:user:,2022-11-17T20:08:09Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.49,0.362,5,-12.047,0,0.0382,0.762,0.0000114,0.0671,0.292,108.866,4
1FvDJ9KGxcqwv1utyPL3JZ,"3yY2gUcIsjMr8hjo51PoJ8","This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,77,spotify:user:,2022-11-17T20:08:09Z,"madchester,new wave,permanent wave,rock,uk post-punk",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
15049rGLXHwrWtE4euUb5C,"0fgYKF9Avljex0L9Wt5b8Z","The Killing Moon","Songs to Learn & Sing","Echo & the Bunnymen",1985-11-11,346280,55,spotify:user:,2022-11-17T20:08:09Z,"alternative rock,new romantic,new wave,permanent wave,uk post-punk",0.522,0.85,7,-4.769,1,0.0361,0.132,0.0329,0.295,0.71,124.216,4
