Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6KLUXJSgkLFyWJJmwKLi0I,"6jZ18ATjOFUAgDXX3H9x5w","Expansion","Say Again","Deborah Aime La Bagarre",2024-07-10,335857,3,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"",0.649,0.939,7,-6.817,0,0.0494,0.00501,0.827,0.107,0.929,130.992,4
3wTLRYU9ZALPX6vxflvo3x,"55V8bcpuStLufEK3xFIwyy,2YTa2kPiPzJ6K8JJlGZTBU","Snap Talk","Snap Talk","Hilit Kolet,Kameelah Waheed",2024-07-12,325027,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"",0.791,0.849,0,-6.112,1,0.0692,0.0000136,0.449,0.0596,0.813,133.019,4
1SfSKbd22KCVBBZzvesT2d,"6mU76NVrD4mcmA5WIoiUMV","Everytime - Extended Mix","Everytime / Let It Be","Daniel Steinberg",2024-07-12,413688,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"german tech house,minimal techno",0.802,0.642,3,-6.623,1,0.106,0.000113,0.598,0.0553,0.24,130.021,4
3dqBvFuTFGnGXzDax8QEBy,"3MUGWsOTNoR1OmZjgdQS3H","Ready To Flow","Red House EP","Reboot",2024-07-12,446743,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"frankfurt electronic,minimal tech house",0.801,0.782,2,-10.569,1,0.0508,0.000295,0.895,0.0655,0.198,127.006,4
4rdxC9g0g6Ohp3E5AUnvhi,"6mVOQan1tOCXwFuyrAffOK","Gate","Sweat Weapon EP","Rob Black",2024-07-12,219204,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"",0.705,0.804,5,-8.489,0,0.0378,0.0000508,0.899,0.0901,0.038,132.018,4
61KJEtdaQi7y9SLtiIdiq1,"2W6wcKjaQ6LbOAEOvGnTwv,0aWG9QV2R47xsBMYaDSaPj","I Wasn't Finished","SPLIT EP4","The Checkup,DJ Merci",2024-07-12,410738,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"",0.915,0.985,7,-7.165,1,0.148,0.00165,0.922,0.338,0.407,127.332,4
5qWFNZ1e3zi0qTYiEmjhNI,"1LfqhJiCiHfVzrBOVaBXc1","Solid Pleasure","Plant On Canvas","Demuja",2024-07-12,358185,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"lo-fi house",0.724,0.98,9,-7.965,0,0.04,0.00327,0.905,0.0738,0.207,130.011,3
5rAf2c3RiulJMVWGDrWUMo,"36AJmodiIrwV9U3QOiLMYM","Paradise II","Paradise II","Harry Romero",2024-07-12,195394,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"classic house,deep house,funky tech house,house,tribal house",0.744,0.913,11,-7.133,0,0.0391,0.000591,0.387,0.0795,0.503,127.999,4
5DuYUQO1VPDM5vfcb6esuP,"0Dc2rdPzleezxhvQhQbXuS,0R9J43uwcbEaNfTb9y3FAS","Go Deeper","Go Deeper","IDRIS,Una Rams",2024-07-12,189697,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"uk tech house,south african pop,south african r&b,venda pop",0.893,0.784,11,-5.234,1,0.195,0.0156,0.0813,0.0397,0.497,123.977,4
4CHISiCtpN1CP9Gmn5CWEO,"5dncbrnveDMX9DgxcedeUg,4VaFWblR1Rv24L8kAfhtxm,5cWh5zsmOIFhuPL0Ay1e7f","Music Is My Life - Dave Lee Remix","Music Is My Life (Remixes)","Louie Vega,Unlimited Touch,Dave Lee",2024-07-12,228368,0,spotify:user:beatportprofile,2024-07-12T10:45:54Z,"chicago house,classic house,deep house,latin house,soulful house,post-disco,disco house",0.849,0.664,5,-8.226,0,0.0398,0.0614,0.00226,0.315,0.875,124.991,4
