Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3EgxB3djDrnGIZrdPKSEaQ,"0zmnkCTbAxYsZAMIqXEzfS,0gUsjVKHygvZgi27L2QViK","Answer","Answer","Dosem,SOHMI",2024-07-05,218880,35,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"house,latin tech house,melodic house,minimal techno,progressive house,spanish techno",0.664,0.752,1,-7.851,1,0.0354,0.0248,0.775,0.111,0.57,124.979,4
2nvWrsLL3e2MNbj3orxpHy,"2LRGIZMAT8HDCNQvMqgcFg","Drooping - Original Mix","Drooping","John Cosani",2024-07-05,392727,14,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"dark progressive house,deep progressive house,focus trance",0.785,0.942,1,-8.651,1,0.0414,0.00529,0.887,0.0844,0.473,120.998,4
1aPlNOB4sunK4bUgRiRQIM,"2jtEP3ZWQNoXeWQvjF86xU","Boundless","Boundless / Ebb Flow","GMJ",2024-07-05,439322,18,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"dark progressive house,deep progressive house,focus trance,organic house",0.8,0.724,1,-7.081,1,0.0527,0.00284,0.824,0.313,0.301,117.999,4
08AQZ14JDQUwWND9I5tRs2,"69kbOcNq0KLPxQyE9mxWxy","Spacialised","Spacialised","Sean Harvey",2024-07-04,385000,8,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"",0.613,0.798,7,-9.566,1,0.0403,0.00558,0.848,0.109,0.357,123.014,4
1wyk3HUmGXOqSb7SSpc3gA,"7dNq5rMDpRwBP2smtt1DYl","Dervish","Inside The Univack, Vol.15","Kayinda",2024-07-05,489756,5,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"",0.755,0.847,7,-7.159,1,0.0413,0.000392,0.919,0.0726,0.465,120.007,4
3QViMK8F0lfwPQFO94KBnS,"1qRPzNqWxaXA0kLCvK34oM","Back In Trance","Back In Trance","Mike Griego",2024-07-05,580844,15,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"dark progressive house,deep progressive house,focus trance,house argentino",0.683,0.842,0,-8.992,1,0.0389,0.014,0.839,0.417,0.323,126.024,4
2sM6wvNiYzwFNcJQFRL83L,"4SSiYxLEeiUoQT2nZN6j6n,2KOqQU8pfhrMSK3YpfQ6YC,0S010c71gXHvOSbGLaWsxZ","Our World Symphony - TekniQ & Aluku's Odyssey Remix","Our World Symphony","ASKAR,Aluku Rebels,Mikalai Skrobat",2024-07-05,400460,6,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"",0.796,0.779,7,-9.44,0,0.0448,0.000102,0.858,0.0634,0.221,120.014,4
3UDUGegejoSGICYgNycmGR,"48KALXBf9Ookq2j30lSKBf","Dudo","Dudo","Layer J",2024-07-05,390790,21,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"swedish techno",0.794,0.784,10,-9.521,0,0.0415,0.00825,0.903,0.0838,0.0551,126.001,4
3DAcXM6FUGFpOCCwpudlmo,"7MYesd8Dr5AszsO2SLCZWm","Pherrum","Pherrum","Oneiro",2024-07-05,197000,4,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"",0.675,0.963,2,-5.695,1,0.0395,0.00174,0.409,0.227,0.0557,120.025,4
0DzDMaPxiQYUerQuejSVdy,"2R0VMVDu2VaFJYnIufkLVh","Bad Option","LWR VA, Vol. 1","Ariel Stamile",2024-07-05,429312,4,spotify:user:beatportprofile,2024-07-05T15:31:48Z,"",0.806,0.714,1,-10.122,0,0.0552,0.000279,0.822,0.267,0.0883,123.011,4
