Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1BJJbSX6muJVF2AK7uH1x4,"2loEsOijJ6XiGzWYFXMIRk,6XjgqvaVLUib6lCerbZrYD,26WKgv73kRHD0gEDKD1i8j,2yyaNPcdxZcn4iutCcLMaC,37lTKHi901VnwngQ7C8noT","Move","Move","Adam Port,Stryv,Keinemusik,Orso,Malachiii",2024-06-07,177598,86,spotify:user:1112337683,2024-06-10T12:29:23Z,"melodic house",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
3GiORO0zRwRT3g9CCklzkQ,"0HHa7ZJZxUQlg5l2mB0N0f,1VJ0briNOlXRtJUAzoUJdt","It's That Time - FISHER Remix","It's That Time (FISHER Remix)","Marlon Hoffstadt,FISHER",2024-06-21,171717,66,spotify:user:1112337683,2024-07-08T13:28:48Z,"deep euro house,australian house,house",0.865,0.978,0,-4.29,1,0.0471,0.00136,0.381,0.0766,0.936,130.008,4
6KqM3xmPIDonsTjCSGrrr5,"4E0HD2PMY8kQJIjlShrLUS","TOO COOL TO BE CARELESS","TOO COOL TO BE CARELESS","PAWSA",2024-07-05,220046,59,spotify:user:1112337683,2024-07-08T13:29:25Z,"",0.805,0.781,1,-7.225,0,0.0434,0.002,0.302,0.0598,0.818,128.001,4
0iPwcwbrS0ZMIvqvyQw1Qs,"68fI3XKiTlRMJBYuxKJFU3,7bU8y1gp9Kz9zpoMCVENvD,4KvIoQiPcOkNMzHfBGO5Oa","Who's That Girl - JL & Afterman Mix","Who's That Girl (JL & Afterman Mix)","Yvvan Back,Afterman,Jl & Afterman",2001,320624,54,spotify:user:1112337683,2024-05-31T19:21:48Z,"funky tech house",0.801,0.955,11,-5.341,0,0.054,0.00412,0.935,0.0999,0.925,128.013,4
6o0gJtOgimGamRBTS80H5g,"4E0HD2PMY8kQJIjlShrLUS,1Oa0bMld0A3u5OTYfMzp5h","PICK UP THE PHONE (feat. Nate Dogg)","PICK UP THE PHONE (feat. Nate Dogg)","PAWSA,Nate Dogg",2024-05-31,224124,74,spotify:user:1112337683,2024-06-10T12:28:53Z,"g funk,gangster rap,hardcore hip hop,hip hop,west coast rap",0.811,0.688,10,-6.911,1,0.0747,0.00876,0.29,0.0894,0.548,128.975,4
29I9dv9Nq704w0Oc5yFGsR,"6nS5roXSAGhTGr34W6n7Et","She’s Gone, Dance On","She’s Gone, Dance On","Disclosure",2024-05-29,226773,77,spotify:user:1112337683,2024-06-10T12:30:48Z,"edm,electropop,house,indietronica,uk dance",0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4
46N3FCKFABRjNoNBVq4osr,"205i7E8fNVfojowcQSfK9m","girl$","girl$","Dom Dolla",2024-06-07,209552,73,spotify:user:1112337683,2024-06-10T12:29:52Z,"australian house,deep groove house,house",0.755,0.945,0,-5.695,1,0.0533,0.00961,0.195,0.862,0.797,133.987,4
0cgODPSGPfVKvJ3ZarsK70,"5PlfkPxwCpRRWQJBxCa0By,26BL0aeVS96sje8JfCNfUk","La Verdolaga (feat. Totó La Momposina)","La Verdolaga (feat. Totó La Momposina)","HUGEL,Totó La Momposina",2024-06-28,150987,56,spotify:user:1112337683,2024-07-08T13:30:59Z,"deep house,bullerengue,chicha,cumbia,folclor afrocolombiano,porro",0.772,0.954,4,-6.176,1,0.0801,0.00444,0.521,0.193,0.396,123.943,4
76UVi3tz2rpTOPtvstIoK2,"3Isy6kedDrgPYoTS1dazA9,4qLwtWhlhyAoQ4S9mSrDW9","Get Busy - Odd Mob Club Mix","Get Busy (Odd Mob Club Mix)","Sean Paul,Odd Mob",2024-05-24,165909,61,spotify:user:1112337683,2024-05-31T18:52:38Z,"dance pop,dancehall,pop,pop rap,aussietronica,bass house,tech house",0.77,0.942,11,-5.548,0,0.192,0.00472,0,0.101,0.615,132.08,4
480j122Gpi252OIfy4SNzm,"6Je4hal6B5wiRd46aeswrs,0VVnWF3KNaa5O7ESohKhAx,0CX4q2v1TeyeskG7GgAyxI,0FSasrFTs0AQBrJkcFE6vB,0Nks3cFWU2a7rooAlFQYgn","Yamore","Yamore","MoBlack,Salif Keita,Benja (NL),Franc Fala,Cesária Evora",2024-06-07,248000,66,spotify:user:1112337683,2024-06-10T12:46:20Z,"afro house,afropop,malian blues,mande pop,world,cape verdean folk,morna,musica cabo-verdiana,twoubadou",0.795,0.577,1,-9.638,0,0.0648,0.00263,0.147,0.051,0.206,119.986,4
