Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
71vqZFDzzvwt7tsTYy1g01,"7gLis8CQkAQ7fJJNTWQNU1,6UZpnBnk8Ubc6fflLAb6qg","Fresh - House of Prayers Poolside Edit","Fresh","Crazibiza,House of Prayers",2023-05-05,284886,56,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:36:00Z,"funky tech house,jackin' house,funky house",0.793,0.879,7,-3.953,1,0.0506,0.00676,0.84,0.0771,0.72,123.001,4
0Ykdq9BLJqxLmEGobCkaix,"0w1sbtZVQoK6GzV4A4OkCv","Your Mind Is Dirty","Your Mind Is Dirty","Mau P",2023-05-19,198799,50,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:36:51Z,"tech house",0.652,0.976,6,-5.009,0,0.0604,0.453,0.888,0.403,0.554,128.012,4
5VAsZZAbjL4HOJplpXl28r,"2ucdZN7GyBGxIKHIzksnXc","Sweat - Extended Mix","Sweat","ESSEL",2023-04-21,304724,22,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:25Z,"tech house",0.797,0.934,8,-4.534,1,0.0559,0.00219,0.804,0.0916,0.433,127.005,4
3D0LkP3sKoCuwPihiRtJfr,"28uJnu5EsrGml2tBd7y8ts","Rock The Casbah","Rock The Casbah","Vintage Culture",2023-04-21,185625,44,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"brazilian edm",0.867,0.696,9,-7.641,0,0.0729,0.000385,0.659,0.063,0.962,127.993,4
7xF4m3N4NhUeLVbMnnwOnk,"4j9yrmRQGfRicLiUdcvPjt,3xwLNvmLpu3mDKzCoht2lp","Losing My Religion","Losing My Religion","Samantha Loveridge,Treetalk",2023-04-28,268032,53,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"melodic house",0.625,0.774,7,-7.614,1,0.034,0.00994,0.0331,0.0358,0.408,122.032,4
6PSArspq6JShGfIiE0kGWJ,"3IFgjVPT8yeB4UnJCWOpZA,4C3vrP3HDWOph3a6XSAVWR,4LQoXe8NEzb0WSvAhQSFbD","Dark Clouds (feat. Heerhorst & Peter Pahn)","Dark Clouds (feat. Heerhorst & Peter Pahn)","Teenage Mutants,Heerhorst,PETER PAHN",2023-05-05,271111,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"dark techno,hamburg electronic",0.648,0.977,2,-5.126,1,0.0467,0.00428,0.894,0.106,0.0369,134.975,4
74nEGIzIefJhJ5qX7NeIAz,"5Igpc9iLZ3YGtKeYfSrrOE,5ITI6SEoUZMIXXkzCfr4oE","Beggin'","Beggin'","Chris Lake,Aluna",2023-04-20,183397,72,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"bass house,edm,electro house,house,melbourne bounce,pop dance,progressive house,tech house,uk dance,dance pop",0.801,0.691,8,-5.971,0,0.051,0.161,0.298,0.119,0.715,125.976,4
3DLWVhaowApIGw1JnJj6GS,"43BxCL6t4c73BQnIJtry5v","Lose Control","Lose Control","James Hype",2023-05-12,173437,70,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"deep groove house,house,pop dance,uk dance",0.714,0.936,9,-3.693,1,0.0426,0.0338,0.0239,0.244,0.243,128.011,4
28r1xYNakXXwcQKIXu9Wjw,"1QMgre3BHX161ZHtWMUu6S","DJ Turn It Up","DJ Turn It Up","Dimension",2023-05-19,177931,64,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"dancefloor dnb,drum and bass,uk dnb",0.768,0.995,0,0.08,1,0.165,0.115,0.542,0.601,0.834,174.054,4
2arAYoniFUo3ojtcDEIhdl,"1q85MRE0aEF6NfZQdlMrl1","Ain't No Other Man - Rework","Ain't No Other Man (Rework)","Murphy's Law (UK)",2023-05-19,154560,56,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"",0.891,0.741,6,-6.458,1,0.0645,0.00111,0.0127,0.0723,0.454,127.979,4
7i0oU5QCrYys4TskABAvCz,"44VYaq2KjuU7hFvtD4Darm,1TRFAJu3Cw64APToZaGk9D","A Part Of - Riva Starr Extended Saturn Mix","A Part Of (Riva Starr Saturn Mix)","Larse,Riva Starr",2023-03-24,347650,19,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"deep disco house,deep house,house,tech house",0.821,0.99,0,-4.678,1,0.0526,0.0142,0.903,0.372,0.766,126.008,4
73Aj6vBOimEVHMMm67YmcU,"052B9SONfhoScw7dgYWw5o","Don't Stop","Don't Stop","Biscits",2023-04-28,170196,63,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"bass house,house,tech house,uk dance,uk tech house",0.824,0.608,1,-8.51,1,0.0541,0.0541,0.241,0.0747,0.48,127.028,4
4kwbbhuemSkRWvtN5dkWmb,"0xRXCcSX89eobfrshSVdyu","Friends","Friends","MEDUZA",2023-05-12,157673,48,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"edm,pop dance,pop house,uk dance",0.681,0.817,4,-5.171,1,0.0587,0.00743,0.0000038,0.215,0.307,124.976,4
460XCntyhpuFVDyPfDGPXn,"1mPUNeOkJql5onhKwqiLMj","Bamboleo","Bamboleo","Sllash & Doppe",2023-04-27,200322,57,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"deep tech house,funky tech house,tech house",0.798,0.945,6,-8.586,0,0.0524,0.0225,0.408,0.245,0.158,123.99,4
2hPml4nxMwlyKzdG9hRHmZ,"07VdEUK5mf0rifGeNqs0Wg","Tom's Diner - Extended Mix","Tom's Diner","Kevin McKay",2023-04-07,286451,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"tech house",0.813,0.718,10,-6.084,0,0.057,0.000554,0.352,0.393,0.657,123.992,4
53o4CYK4YtTKmrnnWV6mFP,"60FV7KyxIH9FH1uq7u8inP","Lola’s Theme - VIP","Lola’s Theme (VIP)","The Shapeshifters",2023-05-05,438260,30,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2023-05-25T12:41:32Z,"disco house,diva house,vocal house",0.819,0.818,5,-7.532,1,0.107,0.00236,0.729,0.601,0.616,125,4
