Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
07S4ihGvHe1jcWfagHL83s,"14MtSANT6PClR71nsqXhy3,5nQ7llwdZYT6MWMeLLe8dc","Odyssey","Odyssey","Angara,Bound to Divide",2024-04-02,255624,31,spotify:user:empmusicuk,2024-04-03T08:27:14Z,"melodic house,new french touch",0.648,0.887,0,-11.304,1,0.0364,0.002,0.829,0.081,0.328,122.995,4
7lq0rAIgcnidrxl0GJ8lkE,"0nUF7iT0e6D5xEl743Jfu3","Change","Change","Icarus",2023-10-27,293500,21,spotify:user:empmusicuk,2023-10-27T11:40:13Z,"house,melodic house,uk dance",0.645,0.871,9,-5.569,0,0.0409,0.216,0.593,0.0944,0.19,127.981,4
0Lr47YzMdIIIyD99V2FhWD,"5nQ7llwdZYT6MWMeLLe8dc,5ctD2yNFX7W8uWIxTvirkx","Where the Fern Meets the Leaves","Where the Fern Meets the Leaves","Bound to Divide,Luke Coulson",2024-03-20,318292,16,spotify:user:empmusicuk,2024-03-20T09:11:05Z,"melodic house",0.704,0.923,6,-6.717,0,0.0384,0.00588,0.842,0.093,0.0346,123.016,4
0LM3GHdkhG3fXUwBL8ETjo,"7rgcAsQrCXfkQ4c7T0qF4n,4dHGNdVhBxCJUyMk9dR727,5nQ7llwdZYT6MWMeLLe8dc","Lullaby - Bound To Divide Remix","Lullaby (Bound To Divide Remix)","PRAANA,Julia Church,Bound to Divide",2024-02-21,234193,24,spotify:user:empmusicuk,2024-02-21T07:47:33Z,"melodic house",0.613,0.85,5,-7.844,0,0.0333,0.0255,0.225,0.146,0.0676,123.958,4
3wQwuZ2mm88g12sCsEmJr6,"3jAosRBCdrybxqTnrI4Sld,5npQtVJFrkqX1Se1xvUDgk","Three Sisters - Ambient Version","Three Sisters","PROFF,Taisia Krasnopevtseva",2023-10-27,332500,4,spotify:user:empmusicuk,2023-11-16T15:50:38Z,"melodic house,progressive house,progressive trance,progressive trance house",0.371,0.33,4,-13.403,0,0.0347,0.955,0.729,0.078,0.0369,122.13,3
3W6avHBnuUevxYEDhOkzHz,"5nQ7llwdZYT6MWMeLLe8dc","Echoes of the Unseen","Echoes of the Unseen","Bound to Divide",2023-08-18,328500,15,spotify:user:empmusicuk,2023-08-17T23:10:03Z,"melodic house",0.745,0.884,11,-8.803,0,0.0433,0.227,0.796,0.174,0.108,119.993,4
5Hw4N4ErnNOQGAQUbfcI2I,"0nUF7iT0e6D5xEl743Jfu3","Always Run","Change","Icarus",2023-10-27,212500,19,spotify:user:empmusicuk,2023-10-27T11:40:33Z,"house,melodic house,uk dance",0.579,0.887,1,-5.835,1,0.0546,0.00576,0.63,0.0787,0.0388,126.018,4
1XAj4avrKWGc3Yqx7SKXeV,"5nQ7llwdZYT6MWMeLLe8dc,2M2QzPADSybcVig2CBTcFJ","Fall from Grace - Radio Edit","Fall from Grace","Bound to Divide,Lauren L'aimant",2023-11-17,265573,19,spotify:user:empmusicuk,2023-11-17T06:51:02Z,"melodic house",0.624,0.861,5,-7.03,0,0.0339,0.00028,0.846,0.32,0.306,122,4
3Mzq9em0k0GSdlKQBpIVB6,"2w3NdJswSn39l3TU9vIRq0,4yzrGOiPCcssfpKBT0bnHR,5nQ7llwdZYT6MWMeLLe8dc","Erase - Bound To Divide Remix","Erase (Bound To Divide Remix)","LAR,Nu-La,Bound to Divide",2023-12-01,222875,11,spotify:user:empmusicuk,2023-12-01T08:10:17Z,"melodic house",0.606,0.881,6,-8.315,0,0.0382,0.0154,0.665,0.24,0.553,124.999,4
12vVagVxsTg34LgxVxOSuS,"3YRLUjgMJ1xg1TIcknIxlv","Harmonie","Harmonie / Inside","Rampue",2023-07-07,421576,22,spotify:user:empmusicuk,2023-07-14T06:51:28Z,"elektropunk,german house,german indie,organic electronic",0.528,0.905,0,-9.428,1,0.0365,0.000669,0.861,0.0703,0.218,120.006,4
