Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0WbMK4wrZ1wFSty9F7FCgu,"7GlBOeep6PqTfFi59PTUUN","Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,94,spotify:user:1122348556,2024-07-11T18:14:07Z,"indie pop,pov: indie",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
1e7EdcxkUPFZWfuY4VI3rh,"4yvcSjfu4PC0CYQyLy4wSq","Creatures in Heaven","Creatures In Heaven","Glass Animals",2024-04-03,221670,71,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-11T18:14:07Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.513,0.687,2,-6.63,1,0.0611,0.47,0,0.293,0.409,160.052,4
7fd3aMiuwHWKsTdZafjOfZ,"2uYWxilOVlUdk4oV9DvwqK","A Pearl","Be the Cowboy","Mitski",2018-08-17,156145,71,spotify:user:ccam,2024-07-11T18:14:07Z,"brooklyn indie,pov: indie",0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,4
7ddVpLW467CLYffbPRQNmH,"35l9BRT7MXmM8bv2WDQiyB","Take A Bite","Take A Bite","beabadoobee",2024-05-09,158866,74,spotify:user:1122348556,2024-07-11T18:14:07Z,"bedroom pop,bubblegrunge,indie pop,pov: indie",0.537,0.631,0,-6.558,1,0.0263,0.0453,0.003,0.325,0.491,91.007,4
629DixmZGHc7ILtEntuiWE,"6qqNVTkY8uBg9cP3Jd7DAH","LUNCH","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,179586,94,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-11T18:14:07Z,"art pop,pop",0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
77DRzu7ERs0TX3roZcre7Q,"2YZyLoL8N0Wb9xBt1NhZWg","euphoria","euphoria","Kendrick Lamar",2024-04-30,383639,88,spotify:user:ccam,2024-07-11T18:14:07Z,"conscious hip hop,hip hop,rap,west coast rap",0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,4
6UFivO2zqqPFPoQYsEMuCc,"3l0CmX0FuQjFxr8SK7Vqag","Bags","Immunity","Clairo",2019-08-02,260519,76,spotify:user:1122348556,2024-07-11T18:14:07Z,"bedroom pop,indie pop,pov: indie",0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
5EV4bGHxVN0kHpcAFvgnTt,"7wbkl3zgDZEoZer357mVIw","Dance, Baby!","Roy Pablo","boy pablo",2017-05-19,198000,61,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-11T18:14:07Z,"bedroom pop,bergen indie,norwegian indie,pov: indie",0.602,0.601,9,-8.521,1,0.0411,0.037,0.0046,0.312,0.856,122.017,4
5xo8RrjJ9CVNrtRg2S3B1R,"1r1uxoy19fzMxunt3ONAkG","Motion Sickness","Stranger in the Alps","Phoebe Bridgers",2017-09-22,229760,73,spotify:user:ccam,2024-07-11T18:14:07Z,"indie pop,la indie,pov: indie",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
1TgCchWmdmmhGrtsa8NHwY,"4aEuFytRb43SAgjchJDk5e","touch tank","flounder","quinnie",2023-02-24,179120,63,spotify:user:1122348556,2024-07-11T18:14:07Z,"bedroom pop,indie pop",0.673,0.497,4,-6.54,1,0.0417,0.358,0.00000852,0.433,0.476,101.905,4
