Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3RZ1644OkCh2S412K9z8VB,"0HNGrIbq1ZNO2mTp3tMW4L","Perfect Christmas","Ultimate Pop Christmas","S Club",2007-01-01,275613,9,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"australian pop,dance pop,europop,talent show",0.589,0.581,2,-8.718,1,0.0459,0.393,0,0.124,0.541,99.94,4
4OFYgzWbOmaZH2D6qblLRv,"422bFDqxTIZF6HrsneK0xO","This Christmas","This Christmas - Single","Jyp Nation",2010-12-01,227825,17,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"",0.769,0.771,8,-6.487,1,0.0407,0.0525,0,0.153,0.747,119.997,4
350kB1WBpAl9bxAIlQJXU0,"2QHTtUsN6Q13w3QHdfRqsK,1iQfn1B8V25iQoolQakyAZ","Dashing through the snow in highheels","Dashing through the snow in highheels","Orange Caramel,NU'EST",2012-12-13,216451,11,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"k-pop,k-pop girl group,k-pop boy group",0.721,0.864,1,-2.122,1,0.0387,0.166,0,0.195,0.494,128.04,4
69htRFkHAPd1om0ilQZIiD,"7n2Ycct7Beij7Dj7meI4X0","Merry & Happy","Merry & Happy","TWICE",2017-12-11,192570,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"k-pop,k-pop girl group,pop",0.709,0.62,10,-4.138,1,0.0387,0.425,0,0.0822,0.658,154.026,4
46w8k81V0eSBx64XuVHxT2,"5r1bdqzhgRoHC3YcCV6N5a","Christmas Time (Don't Let the Bells End)","Christmas Time (Don't Let the Bells End)","The Darkness",2004-09-27,211493,27,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"glam metal,hard rock",0.198,0.921,4,-2.027,1,0.0718,0.00153,0.00104,0.175,0.39,82.63,4
4fzyvSu73BhGvi96p2zwjL,"4gzpq5DPGxSnKTe4SA8HAU","Christmas Lights","Christmas Lights","Coldplay",2010-12-01,242495,50,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"permanent wave,pop",0.315,0.418,7,-9.146,1,0.0299,0.131,0.000679,0.0836,0.237,129.116,4
35qB1JU5Pr81bHYaXKVFiF,"4gIdjgLlvgEOz7MexDZzpM","It's Christmas Time","It's Christmas Time","Status Quo",2008-01-01,250880,6,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"blues rock,british blues,glam rock",0.584,0.837,7,-4.526,1,0.0326,0.0163,0,0.0446,0.392,130.162,4
3lV8WAIqXF0WN6CyFRdjF4,"0C0XlULifJtAgn6ZNCW2eu,7ywLsMIT1NHbZS6hxGScvm","Don't Shoot Me Santa","Christmas Rock","The Killers,Ryan Pardey",2017-09-15,244319,19,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.576,0.764,8,-6.774,1,0.071,0.0606,0.00000146,0.0635,0.656,120.004,4
2OrimHz2Xri8igSPaabLQk,"0KH3J6AS6mV7V3uIziZ7FN","Have a Cheeky Christmas","Party Time","The Cheeky Girls",2003,188213,13,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T09:46:42Z,"",0.814,0.853,10,-4.311,1,0.0276,0.139,0,0.63,0.785,132.032,4
0RIiGbGBZzw0VqKSDspTLK,"0iacbW9agthmgWKNnrPAOA","Walking in the Air","Ska of Wonder","Baked A La Ska",2015-11-27,231866,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T14:02:05Z,"",0.583,0.783,2,-5.962,0,0.0983,0.0877,0.00000111,0.265,0.807,133.611,4
4ZA6MBZgNkyyjlG65Qdvqx,"0iacbW9agthmgWKNnrPAOA","We Three Kings","Ska of Wonder","Baked A La Ska",2015-11-27,230346,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T14:10:06Z,"",0.559,0.638,4,-6.383,0,0.0751,0.258,0,0.325,0.508,137.841,4
1XBc4r6ltXjkFJBrsttwIF,"4cPHsZM98sKzmV26wlwD2W","Rockin' Around The Christmas Tree - Single Version","Anthology 1956-1980 (Volume 1 & 2)","Brenda Lee",1991-01-01,125826,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T14:58:31Z,"adult standards,lounge,rockabilly",0.691,0.402,8,-12.149,1,0.0599,0.703,0,0.463,0.844,139.752,4
5a1iz510sv2W9Dt1MvFd5R,"1GxkXlMwML1oSg5eLPiAz3","It's Beginning to Look a Lot like Christmas","Christmas (Deluxe Special Edition)","Michael Bublé",2012-11-09,206639,51,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T15:02:27Z,"adult standards,canadian pop,jazz pop,lounge",0.339,0.214,4,-11.714,1,0.0375,0.908,0.00000747,0.341,0.363,94.775,3
2wCPMWR3y4xclijuCcLJv7,"38EmEgXkgK51MT2tPY0EoC","Jingle Bell Rock","Four Christmases","Bobby Helms",2008-01-01,131546,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T15:04:52Z,"",0.709,0.506,2,-5.628,1,0.0377,0.844,0,0.062,0.682,119.345,4
1prYSRBfwPvE3v8jSRZL3Q,"49e4v89VmlDcFCMyDv9wQ9","Let It Snow, Let It Snow, Let It Snow","My Kind Of Christmas","Dean Martin",2011-09-20,117586,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T15:10:30Z,"adult standards,easy listening,lounge,vocal jazz",0.504,0.287,1,-11.109,1,0.0346,0.782,0.0000019,0.218,0.707,133.928,4
7taXf5odg9xCAZERYfyOkS,"7K78lVZ8XzkjfRSI7570FF","Feliz Navidad","The Definite Best","José Feliciano",2001-09-03,182360,46,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-12-01T15:35:28Z,"latin pop,puerto rican pop",0.485,0.857,2,-7.059,1,0.0442,0.534,0,0.347,0.963,148.749,4
