Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4qTONez3E5S2oXf1ocpNuW,"50Zu2bK9y5UAtD0jcqk5VX","PIZZA","PIZZA","OOHYO",2017-03-15,212408,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-01T10:44:57Z,"k-indie,korean electropop",0.726,0.889,6,-4.251,0,0.0304,0.0171,0.00106,0.0741,0.538,119.983,4
4tFjlpaAFiWxFl45ilnfku,"7I7ObCLzhAnOchc4fCQiRX","Skin","Mutual Friends","BOY",2011,245240,13,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-01T10:51:36Z,"german indie",0.768,0.655,11,-6.863,0,0.0366,0.0539,0,0.155,0.814,129.972,4
73GB8m4FkrwQA5Xrd3xwLB,"5nCi3BB41mBaMH9gfr6Su0","Light a Roman Candle with Me","Aim and Ignite","fun.",2009,184893,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-01T10:59:03Z,"baroque pop,metropopolis,neo mellow",0.694,0.525,4,-6.699,1,0.0387,0.743,0,0.108,0.177,129.084,4
7u3lTMHvoF9eZ4ILagnur1,"2MG46ekjBSFwPgzoIZvHFU","Tell Me If You Wanna Go Home","Begin Again - Music From And Inspired By The Original Motion Picture","Keira Knightley",2014-07-01,219586,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-01T11:03:37Z,"hollywood",0.597,0.854,10,-5.554,1,0.043,0.2,0.0000012,0.0747,0.402,143.071,4
2FyycorAcDPZNv2tAU2Oiw,"5WHKBKrvTBMPoQX3v3Bq8J","Coffee Sunday NYT","Running In Borrowed Shoes","Leah Nobel",2019-02-08,174738,6,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-21T09:15:16Z,"nashville singer-songwriter",0.512,0.518,4,-9.202,1,0.232,0.315,0.0000031,0.176,0.618,179.993,4
0r2Omf9dgf5i3Lwj7THaOx,"3l0CmX0FuQjFxr8SK7Vqag","Pretty Girl","diary 001","Clairo",2018-05-25,179848,45,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-21T14:27:06Z,"bedroom pop,indie pop,pov: indie",0.893,0.631,0,-4.114,1,0.0418,0.634,0.000297,0.0607,0.725,112.129,4
5xouIycayHmjZxeuhXPhgX,"2Y9AUayH5pyZpVfkDYDfJV","Villain","STELLA I","Stella Jang",2020-04-07,191000,57,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-09-22T18:08:10Z,"korean city pop",0.95,0.406,9,-8.89,0,0.0559,0.664,0,0.0932,0.671,108.976,4
1BV0m40U0M4t1SLIsDnwZl,"7KMqksf0UMdyA0UCf4R3ux","1973","All the Lost Souls","James Blunt",2007-09-17,280026,68,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-02T16:36:26Z,"neo mellow",0.72,0.668,9,-7.928,1,0.0269,0.0653,0.00675,0.0789,0.769,123.005,4
4CEnXbYP2lSgF293kkPdAC,"7AKznuvHmbW7uZbUkLY4Je","Up","Sing Street (Original Motion Picture Soundtrack)","Sing Street",2016-03-18,163453,40,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-04T18:39:07Z,"",0.672,0.439,4,-9.228,1,0.0323,0.0742,0.0000126,0.282,0.693,122.961,4
3IItlhDpuRWIjGgLAWhkSl,"7bu3H8JO7d0UbMoVzbo70s","Inbetween Days","Sing Street (Original Motion Picture Soundtrack)","The Cure",2016-03-18,176520,28,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-10-04T18:47:17Z,"new wave,permanent wave,rock,uk post-punk",0.521,0.858,9,-6.185,1,0.0334,0.0679,0.0262,0.242,0.73,142.481,4
