Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5iP6VWh8goBkJcXBMQSejA,"1AAfkmCFRTSDg18GQ3itgl,5x0OHHY63e9ikyPpyUUrst","You're Makin' Me High","You're Makin' Me High","DJ Katch,Amira Eldine",2024-06-28,166520,54,spotify:user:selectedbase,2024-07-12T09:49:49Z,"basshall",0.704,0.788,10,-7.325,0,0.0597,0.0384,0.000102,0.618,0.598,124.964,4
4madkqL1bB8rweDVBG8FvR,"2aLLYZ0sdqweMEPFUyYIXJ,7nq7r3on1FX8ztpwOHqHbF","Let It Go","Let It Go","NOTSOBAD,MA:RK",2024-04-19,196160,63,spotify:user:selectedbase,2024-07-12T09:49:49Z,"covertronica,lithuanian edm",0.644,0.695,5,-7.202,0,0.0383,0.255,0.828,0.142,0.198,126.004,4
0Ingh3RYKOuXaOCZG3fIf6,"6mDl7lQiLxT0iQ8LYhAlWy,5Y2FS5YbGf7yRDumzD5nY3,2o5jDhtHVPhrJdv3cEQ99Z","Mwaki - Tiësto's VIP Mix","Mwaki (Major Lazer Remix)","Zerb,Sofiya Nzau,Tiësto",2024-01-12,160439,62,spotify:user:selectedbase,2024-07-12T09:49:49Z,"big room,brostep,dutch edm,edm,house,pop dance,progressive electro house,slap house,trance",0.689,0.897,7,-6.422,0,0.041,0.0281,0.0147,0.119,0.38,127.993,4
4PIdTFeeNnJ87nKOf1djuG,"1WcwbtAnG5HWNbPPK84ued","Want U","Want U","Hayley May",2024-02-02,150786,63,spotify:user:selectedbase,2024-07-12T09:49:49Z,"uk dance",0.732,0.803,2,-4.848,0,0.0956,0.0337,0.000993,0.0754,0.354,124.034,4
4bczCp8ojdY0R4EpCaqkfQ,"7jZM5w05mGhw6wTB1okhD9,4NhRml5ZOfNaYJAHUE0XwT,1HjQ6IQwNatqgTtFnklIoL","Run","Run","ATB,Nu Aspect,Orem",2023-12-29,167500,63,spotify:user:selectedbase,2024-07-12T09:49:49Z,"german dance,german techno,german trance,trance,bassline",0.681,0.932,0,-5.975,0,0.0458,0.0831,0.000752,0.213,0.619,131.971,4
1w5HknXbhqJ1hlDKrIBooY,"26OrZl5U3VNGHU9qUj8EcM","In Your Arms","In Your Arms","Shift K3Y",2024-06-21,144000,55,spotify:user:selectedbase,2024-07-12T09:49:49Z,"house,uk dance",0.837,0.732,1,-6.223,1,0.102,0.194,0.00875,0.0955,0.423,134.957,4
5OFVzqSeFxGpvDGyHvVeLj,"19VDJ9IKyBSUMDJxLsasP6","It's Not Right But It's Okay","It's Not Right But It's Okay","Mr. Belt & Wezol",2024-02-23,152304,82,spotify:user:selectedbase,2024-07-12T09:49:49Z,"dutch edm",0.755,0.86,5,-4.811,0,0.0523,0.0144,0.00000747,0.344,0.618,128.004,4
5DBmzEKUjSlErSYTkiS8PZ,"4EREP1nDxGjXE6V4sOuUy8","Goodbyes","Goodbyes","Jerome Price",2024-07-05,174384,47,spotify:user:selectedbase,2024-07-12T09:49:49Z,"deep groove house",0.678,0.925,7,-5.978,0,0.0597,0.0633,0.0158,0.069,0.449,129.997,4
3Zu3htXTRwwIcozD31XdrO,"33NVpKoXjItPwUJTMZIOiY,0xRXCcSX89eobfrshSVdyu","Skin and Bones - MEDUZA REMIX","Skin and Bones (MEDUZA REMIX)","David Kushner,MEDUZA",2024-03-22,160975,62,spotify:user:selectedbase,2024-07-12T09:49:49Z,"gen z singer-songwriter,singer-songwriter pop,edm,pop dance,pop house,uk dance",0.525,0.951,8,-6.338,0,0.0382,0.00216,0.0778,0.109,0.0908,123.012,4
43FNnp0KnanReB8KCTl97p,"4oxwokKRwskQbaEFsCHyeS,1ZwuShKjJItDJez0aDCsxN","Hold on Me","Hold on Me","Why U So,SHELLS",2024-04-26,166704,59,spotify:user:selectedbase,2024-07-12T09:49:49Z,"uk pop",0.739,0.639,3,-7.053,0,0.0362,0.175,0.648,0.0939,0.117,121.018,4
