Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4OsLDuaH0bWR6xM6nj66F8,"5fuQrhMRYMtoO9uOlFad4P","F.C.P.R.E.M.I.X.","Doppelganger","The Fall of Troy",2005,237680,54,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:32:57Z,"post-hardcore,progressive post-hardcore,screamo,swancore",0.226,0.891,9,-5.531,0,0.0702,0.000631,0.00000975,0.225,0.511,167.876,4
6TfBA04WJ3X1d1wXhaCFVT,"5LfGQac0EIXyAN8aUwmNAQ","You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace","The Offspring",2008-06-17,177826,81,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:23:15Z,"alternative metal,permanent wave,post-grunge,punk,rock,skate punk,socal pop punk",0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,4
5L8CQaAnryWveyK45b7ym1,"5r9uIJCoquVtEkCkvcn8Ez","For You","Everyone's Out To Get Me","Get Scared",2013-01-01,220293,36,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:23:51Z,"metalcore",0.356,0.939,5,-4.614,1,0.0776,0.000179,0,0.081,0.489,82.925,4
5V61JS7M1f41nzsjuND4EN,"5r9uIJCoquVtEkCkvcn8Ez","Setting Yourself Up For Sarcasm","Cheap Tricks And Theatrics","Get Scared",2009-08-07,206107,41,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:23:37Z,"metalcore",0.255,0.961,2,-1.891,1,0.109,0.0408,0,0.279,0.215,88.27,4
3ZOEytgrvLwQaqXreDs2Jx,"0L8ExT028jH3ddEcZwqJJ5","Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,83,spotify:user:b72f0tu1tdydm1jah3vertzwd,2020-01-28T14:52:47Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
1UVffD20CfHJ2wD0x0as8L,"5cCgzhFyRJVydeO23BqgLG","Monsters","Voices","Matchbook Romance",2006-02-14,243746,52,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:31:56Z,"emo,neon pop punk,pop punk,screamo",0.362,0.945,10,-2.651,0,0.0575,0.00131,0.0000251,0.154,0.487,114.797,4
2pA1EyG0yjSbSoYJM4O16I,"4sfKoex9YB5zZ0HSuBVpeF","Impulse","Ameliorate","An Endless Sporadic",2008-07-07,265665,39,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:33:14Z,"",0.513,0.763,6,-7.425,0,0.057,0.0717,0.919,0.164,0.532,100.005,4
5eFxwmqKrHpSQDOEIFYlgY,"2xiIXseIJcq3nG7C8fHeBj","Animal I Have Become","One-X","Three Days Grace",2006-06-13,231400,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:24:36Z,"alternative metal,canadian metal,canadian rock,nu metal,post-grunge,rock",0.553,0.853,8,-3.668,1,0.0339,0.000684,0,0.126,0.506,122.023,4
5OMCffelD9cnJCgG3xnHzU,"4UXqAaa6dQYAk18Lv7PEgX,7qRll6DYV06u2VuRPAVqug","Just One Yesterday","Save Rock And Roll","Fall Out Boy,Foxes",2013-04-12,244720,57,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:24:57Z,"emo,modern rock,pop,pop punk,rock,electropop,metropopolis,uk pop",0.507,0.907,6,-3.443,0,0.0565,0.0423,0.0000683,0.221,0.587,104.994,4
3Zwu2K0Qa5sT6teCCHPShP,"4UXqAaa6dQYAk18Lv7PEgX","Thnks fr th Mmrs","Infinity On High","Fall Out Boy",2007-01-01,203506,78,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:25:36Z,"emo,modern rock,pop,pop punk,rock",0.46,0.892,10,-5.046,0,0.0619,0.0051,0,0.106,0.59,154.844,4
4pXqUELqAFyjlU2vx3BHRR,"4UXqAaa6dQYAk18Lv7PEgX","Miss Missing You","Save Rock And Roll","Fall Out Boy",2013-04-12,211026,47,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:26:20Z,"emo,modern rock,pop,pop punk,rock",0.556,0.854,6,-2.981,0,0.0441,0.0000446,0.000018,0.211,0.28,114.946,4
2E43WFS4rRc09za2r2GmZl,"4UXqAaa6dQYAk18Lv7PEgX","My Songs Know What You Did In The Dark (Light Em Up)","Save Rock And Roll","Fall Out Boy",2013-04-12,186826,75,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:26:33Z,"emo,modern rock,pop,pop punk,rock",0.557,0.924,9,-4.341,0,0.064,0.0271,0.00000332,0.537,0.566,151.988,4
2BcvvHttiZRvguFM4hR398,"74oJ4qxwOZvX6oSsu1DGnw","Sunshine Of Your Love","Disraeli Gears (Remastered)","Cream",1967-11-02,250000,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:28:42Z,"album rock,blues rock,british blues,classic rock,folk rock,hard rock,psychedelic rock,rock,singer-songwriter,supergroup",0.684,0.482,2,-12.59,1,0.0384,0.475,0.0000732,0.118,0.785,115.066,4
3gNGi2iUGHXGpBQHce6Nua,"0C0XlULifJtAgn6ZNCW2eu","When You Were Young","Sam's Town","The Killers",2006-10-03,220426,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:28:55Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.435,4
6A5M31nKvt6GYaGL7XpX2w,"19I4tYiChJoxEO5EuviXpz","Miss Murder","DECEMBERUNDERGROUND","AFI",2006-01-01,206586,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:29:00Z,"alternative metal,nu metal,pop punk,post-grunge,punk,screamo",0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,4
4ltXPf327ewFdmTPp5Skow,"3RxjSLIz5osqOhGarH9lFV","Lay Down","Hello Master","Priestess",2006-06-13,185800,49,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:29:10Z,"canadian metal,canadian rock,retro metal",0.52,0.886,8,-2.387,1,0.0454,0.00128,0,0.0846,0.636,121.945,4
65tWmWelHKtU59awR7v4xQ,"67ea9eGLXYMsO2eYQRui3w","The Seeker - Edit","Meaty, Beaty, Big And Bouncy","The Who",1971-10-30,190373,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:29:18Z,"album rock,british invasion,classic rock,hard rock,rock",0.322,0.658,2,-11.793,1,0.0357,0.105,0.00000469,0.128,0.732,177.49,4
2wySlB6vMzCbQrRnNGOYKa,"3jOstUTkEu2JkjvRdBA5Gu","My Name Is Jonas","Weezer","Weezer",1994-05-10,204293,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:29:42Z,"alternative rock,modern power pop,modern rock,permanent wave,rock",0.295,0.94,11,-5.247,1,0.0449,0.00021,0.00106,0.276,0.58,186.186,3
6QewNVIDKdSl8Y3ycuHIei,"1w5Kfo2jwwIPruYS2UWh56","Even Flow","Ten","Pearl Jam",1991-08-27,292580,77,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:29:50Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,permanent wave,rock",0.394,0.944,10,-6.506,0,0.0761,0.00178,0.00000454,0.298,0.265,105.338,4
6wqJeItl3Vc3az4ZicSQAB,"05fG473iIaoy82BF1aGhL8","Before I Forget","Vol. 3: The Subliminal Verses","Slipknot",2004,278600,76,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:30:20Z,"alternative metal,nu metal,rap metal,rock",0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
6RJdYpFQwLyNfDc5FbjkgV,"3TOqt5oJwL9BE2NG9MEwDa","Stricken","Ten Thousand Fists","Disturbed",2005-09-19,245226,70,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:30:26Z,"alternative metal,nu metal,rap metal,rock",0.402,0.969,8,-2.825,1,0.181,0.0000914,0.0325,0.225,0.262,173.847,4
2hSmv6Dx5L55TwddgzdLBu,"2pH3wEn4eYlMMIIQyKPbVR","Through The Fire And Flames","Killer Elite","DragonForce",2016-04-29,439213,0,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:30:44Z,"british power metal,fantasy metal,metal,power metal,speed metal",0.109,0.952,0,-4.885,0,0.123,0.00144,0.00922,0.345,0.137,199.952,4
5qm0KiVKMXW1kq6VrnIhz5,"4CxobvwTpmfpIEbkYh4pAb","Cliffs Of Dover - Instrumental","Ah Via Musicom","Eric Johnson",1990,249767,55,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:30:49Z,"instrumental bluegrass,instrumental rock,progressive jazz fusion,shred",0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,4
5e3YOg6fIkP0wD5TyxcHOH,"6Uhp7WA6sjm5ZL6Xz561de","Cult of Personality","Vivid (Expanded Edition)","Living Colour",1988,294826,27,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:30:55Z,"funk metal,funk rock,hard rock",0.504,0.918,0,-3.463,1,0.0517,0.00164,0.0000212,0.78,0.539,92.031,4
7ouMYWpwJ422jRcDASZB7P,"12Chz98pHFMPJEknJQMWvI","Knights of Cydonia","Black Holes and Revelations","Muse",2006-06-19,366213,66,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:30:59Z,"alternative rock,modern rock,permanent wave,rock",0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,4
63k8KXOgawK2cNtvm2ZW8y,"591yCCsZCLXvaJ0Rg38vLZ","Can't Be Saved","Still Searching (Deluxe Version)","Senses Fail",2007-11-13,187546,1,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:32:41Z,"emo,metalcore,neon pop punk,pop punk,post-hardcore,screamo",0.332,0.976,2,-3.242,1,0.113,0.0000093,0.000116,0.319,0.426,170.053,4
5CTc5YCNKT5FGe9dWvJZFd,"4ASJkb9HOe3Vz5ZaXOjnfN","Minus Celsius","Stockholm Syndrome","Backyard Babies",2003-03-01,214466,38,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:33:28Z,"action rock,glam punk,punk 'n' roll,sleaze rock,swedish hard rock",0.323,0.901,1,-3.351,1,0.0437,0.0000108,0.313,0.151,0.425,156.071,4
6zKF4293k44ItKWJJgrhXv,"37394IP6uhnjIpsawpMu4l","My Curse","As Daylight Dies (Special Edition)","Killswitch Engage",2006-01-21,244773,67,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:33:39Z,"alternative metal,boston metal,melodic metalcore,metalcore,nu metal,post-grunge",0.197,0.956,10,-2.908,0,0.0663,0.0000761,0.00992,0.261,0.209,177.018,3
2VGQ342iuqj6aSaYbyBQVJ,"6Wr3hh341P84m3EI8qdn9O","Prayer Of The Refugee","The Sufferer & The Witness","Rise Against",2006-01-01,199386,66,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:33:50Z,"alternative metal,chicago hardcore,chicago punk,hardcore punk,modern rock,pop punk,post-grunge,punk",0.198,0.977,3,-3.499,0,0.173,0.00131,0.0000462,0.23,0.351,195.795,4
4JtoZPwnc9v5gTsN0iqZ2j,"0dl1CSyAIvbLjyXwE4LcCz","The Devil Went Down to Georgia","Epic","Steve Ouimette",2010,376373,48,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-06T19:37:24Z,"shred",0.286,0.928,7,-5.015,1,0.0756,0.000119,0.128,0.0971,0.411,147.868,4
4rjYbpsA5omx0fmhOnNBt5,"5r9uIJCoquVtEkCkvcn8Ez","When We Were Strong","Everyone's Out To Get Me","Get Scared",2013-01-01,225733,31,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-10T20:32:13Z,"metalcore",0.13,0.791,2,-4.011,0,0.0566,0.000977,0,0.391,0.406,180.966,3
6Zq74APVS3bPoz2OIHWVfs,"5r9uIJCoquVtEkCkvcn8Ez","Told Ya So","Everyone's Out To Get Me","Get Scared",2013-01-01,211346,40,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-10T22:39:41Z,"metalcore",0.316,0.984,2,-5.085,1,0.196,0.0000769,0.000251,0.169,0.0567,90.108,4
04aAxqtGp5pv12UXAg4pkq,"4UXqAaa6dQYAk18Lv7PEgX","Centuries","American Beauty/American Psycho","Fall Out Boy",2015-01-16,228360,79,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-17T09:30:14Z,"emo,modern rock,pop,pop punk,rock",0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,4
6nTiIhLmQ3FWhvrGafw2zj,"7oPftvlwr6VrsViSDV7fJY","American Idiot","American Idiot","Green Day",2004-09-21,176346,79,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-08-19T00:14:24Z,"modern rock,permanent wave,punk,rock",0.38,0.988,1,-2.042,1,0.0639,0.0000264,0.0000786,0.368,0.769,186.113,4
4KfSdst7rW39C0sfhArdrz,"34jw2BbxjoYalTp8cJFCPv","Barracuda","Little Queen","Heart",1977-05-14,261933,73,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-09-04T23:13:10Z,"album rock,classic rock,glam metal,hard rock,mellow gold,new wave pop,rock,singer-songwriter,soft rock",0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4
0bVtevEgtDIeRjCJbK3Lmv,"3qm84nBOXUEQ2vnTfUTTFC","Welcome To The Jungle","Appetite For Destruction","Guns N' Roses",1987-07-21,272026,22,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-09-04T23:13:14Z,"glam metal,hard rock,rock",0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,4
0M7oqERflkrJVHD3IAZqxo,"00tVTdpEhQQw1bqdu8RCx2","Cities On Flame with Rock and Roll","Blue Oyster Cult","Blue Öyster Cult",1972,242640,50,spotify:user:b72f0tu1tdydm1jah3vertzwd,2019-09-04T23:13:22Z,"album rock,classic rock,glam metal,hard rock,progressive rock,rock",0.337,0.886,4,-8.607,1,0.098,0.0716,0.00156,0.204,0.648,177.713,4
