Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
49X0LAl6faAusYq02PRAY6,"0AkpPlFLnr0VQwZQeMGht0","Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,79,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,filter house",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
2Rps7zyBZEAI8t1kVUAXl7,"60FV7KyxIH9FH1uq7u8inP","Lola's Theme - Radio Edit","Lola's Theme","The Shapeshifters",2004-01-01,207066,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,diva house,vocal house",0.753,0.835,5,-4.631,0,0.0533,0.000842,0.0000874,0.13,0.669,123.943,4
1mv4lh1rW1K6xhxhJmEezy,"2w7IutHv5g4e8LumrwtjWR,2XOvFG8pp1XAV1V6ZJABim,24JRvbKfTcF2x7c2kCCJrW,41vv2Tj1knysv6MuFUmdwi","Music Sounds Better With You - Radio Edit","Music Sounds Better With You","Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1998-07-20,260906,72,spotify:user:996cassidym,2019-10-23T11:26:57Z,"filter house,electrofox",0.729,0.662,5,-7.191,0,0.337,0.00128,0.208,0.305,0.359,124.149,4
3UZK9yD18Mtzb6MgYBmuLW,"0AEbDFXbsssoSoC3pj91eq,25MNkA39C5jjxApUl812ic","Make Luv - Live","Music & You","Room 5,Oliver Cheatham",2003-01-01,212400,58,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house,post-disco",0.884,0.881,8,-4.898,1,0.113,0.0118,0.568,0.0358,0.675,124.832,4
1xNcBAoUw8Hz6LqK2jt4Ff,"5sm0jQ1mq0dusiLtDJ2b4R","Call on Me - Radio Mix","Call on Me (Radio Mix)","Eric Prydz",2004-09-10,171360,74,spotify:user:996cassidym,2019-10-23T11:26:57Z,"edm,electro house,house,pop dance,progressive electro house,progressive house",0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,4
55eFVWZ4lLq8kbJ0VwSfA4,"4FqPRilb0Ja0TKG3RS3y4s,53cQZtWDwDJwVCNZlfJ6Qk,2WvLeseDGPX1slhmxI59G3","Show Me Love (feat. Robin S)","Show Me Love (feat. Robin S)","Steve Angello,Laidback Luke,Robin S",2009-03-20,187640,57,spotify:user:996cassidym,2019-10-23T11:26:57Z,"dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house,big room,dutch edm,melbourne bounce,diva house",0.635,0.882,5,-4.654,1,0.0605,0.484,0.0000111,0.107,0.549,129.951,4
53rQM3LpXLf2hyClva3jiz,"30ut8L4gmEz4vNr1zNhpbh,7dc6hUwyuIhrZdh80eaCEE","Let Me Think About It - Radio Edit","Let Me Think About It (Remixes)","Ida Corr,Fedde Le Grand",2007,153360,49,spotify:user:996cassidym,2019-10-23T11:26:57Z,"scandipop,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house",0.787,0.767,0,-2.339,0,0.0475,0.000707,0.0709,0.131,0.777,129.073,4
2KO9yJSsYzPlYTWkOY2nTb,"1RtyP3Yk376oIq4dB7VMzC","Boogie 2Nite - Seamus Haji Big Love Edit","Boogie 2Nite","Booty Luv",2006-11-24,196800,34,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house",0.671,0.883,5,-5.882,0,0.0681,0.0265,0.000562,0.447,0.831,126.923,4
02K1XeSDdjuwbO5Sj5R2nM,"1jpQ5Xepnpx5YAqKQITP4A,4wfoAaFRdaZdrn782iDlCD,4Y9zBajnbZwV4mB7uPU4Uz","Put 'Em High - JJ Radio","Put 'Em High (2004)","StoneBridge,Therese,jj",2004,204802,33,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house",0.661,0.89,6,-4.973,1,0.0464,0.00618,0.00949,0.178,0.48,128.012,4
7pGboneNRAZ5zwT7M3WayC,"7vb7VLDqpLTlAy1ctTMR5d,2sd9Q3r0Jhqpe3w9WVuG43","Destination Calabria - UK Radio Edit","Destination Calabria","Alex Gaudino,Crystal Waters",2007-02-19,181946,52,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house,diva house",0.626,0.933,9,-7.681,1,0.0516,0.000165,0.00621,0.0636,0.291,128.078,4
6KzkqZqhUBEsWYJJa2aBOd,"2aM5jpQ0WTcQDeHsil8Ihz","The Weekend - Radio Edit","Analog Is On","Michael Gray",2007-06-01,192173,65,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house",0.686,0.832,4,-5.673,0,0.0725,0.000321,0.127,0.583,0.884,127.023,4
4138vCJA4i86u9c80cNjQq,"49H2dQUNhIlso7VNkS8nFR,5w282f2wMOeeIGJGN4Pmd1","Love On My Mind (feat. Amanda Wilson) - Radio Edit","Love On My Mind (feat. Amanda Wilson)","Freemasons,Amanda Wilson",2005-01-01,179480,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,diva house,vocal house",0.651,0.96,10,-5.881,0,0.124,0.0159,0.00000641,0.328,0.881,129.342,4
6kN799lUEuMI0xogqYIBeI,"1EVpn7mXyF07LuJqgUk6RX,2FT75iYuWmycqYrXbVD9cn","Your Body - Andy Van Remix Video Edit","Your Body","Tom Novy,Michael Marshall",2006-01-01,170213,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house",0.711,0.947,5,-6.539,1,0.0539,0.00433,0.556,0.824,0.938,127.791,3
2Pb306ZGuBLBG5cN0PHnyW,"7AhOEwT7t9lSIypvP1WTGP,1dYwUvGX41uwyOuabIEJUq","Strings Of Life (Stronger On My Own) [feat. Kathy Brown] - Radio Edit","Strings Of Life [Stronger On My Own] [feat. Kathy Brown]","Soul Central,Kathy Brown",2003,217066,38,spotify:user:996cassidym,2019-10-23T11:26:57Z,"chicago house,deep house,disco house,tribal house,vocal house,diva house",0.703,0.905,11,-4.293,1,0.046,0.167,0.0126,0.0521,0.872,124.959,4
4REBvM1nKIoHZHUWGbX4GP,"3cQA9WH8liZfeja1DxcDYE,2yWER4vAftcZCFPc7ednct,3AkbsafcVCIxhFqTvnqkm3","My My My - Funktuary Radio Mix","My My My","Armand Van Helden,Tara Mcdonald,Funktuary",2006-06-11,221493,42,spotify:user:996cassidym,2019-10-23T11:26:57Z,"big beat,classic house,deep house,disco house,filter house,house,speed garage,uk dance,vocal house",0.678,0.884,4,-6.208,0,0.188,0.0132,0.00557,0.169,0.723,127.491,4
2Uy6EhQXAYkXA6MohPgjpV,"4tZwfgrHOc3mvqYlEYSvVi","One More Time - Radio Edit [Short Radio Edit]","One More Time","Daft Punk",2000-11-13,235466,53,spotify:user:996cassidym,2019-10-23T11:26:57Z,"electro,filter house,rock",0.648,0.671,2,-8.49,1,0.104,0.0348,0,0.376,0.533,122.891,4
2nyBqOKARcKxrJaPyXRNx3,"307erl4VjT1dZDMYpneZqd,7JQn9DfFTtsFTg2dFc75jM","Perfect (Exceeder)","Perfect (Exceeder)","Mason,Princess Superstar",2007-01-22,161250,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"electroclash",0.667,0.845,6,-6.845,1,0.0812,0.0248,0.065,0.466,0.681,127.879,4
4mK76S8QN6lFzOJXc9ms2A,"6N1W9mAlncCKbqBHgBR2bN","Say Say Say (Waiting 4 U) - Radio Mix","Say Say Say (Waiting 4 U)","Hi_Tack",2005,175213,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"slap house",0.499,0.761,11,-10.134,0,0.0778,0.0029,0.0955,0.0472,0.746,128.904,4
42AZ7ZTEg0AZoioA8wVDQy,"583EYzsIVCz1HsEKZbuJ1k","Stupidisco (Radio Edit)","Stupidisco","Junior Jack",2004-06-21,220733,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"deep house,disco house,filter house,tech house,vocal house",0.711,0.987,1,-4.346,1,0.0536,0.0181,0.531,0.722,0.759,124.992,4
243NB0yDHxtapXQvJvCaW6,"5YjEVrNMrIRw2xGbjTN6Ti","Drop The Pressure","Destroy Rock & Roll","Mylo",2004,255413,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,filter house",0.814,0.595,9,-6.925,1,0.066,0.0265,0.769,0.152,0.474,129.007,4
2MrqsdUMUzC3a02oQUbkpQ,"0lpwsK5bX64iD7GjEda5De,4OKxdPfybjZIWXLj8rml2s","Fade (feat. Kimblee) - Grant Nelson Big Room Remix","Fade (feat. Kimblee)","Solu Music,KimBlee",2006-06-09,175840,51,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,vocal house",0.614,0.832,4,-5.625,0,0.0473,0.0349,0.0000401,0.0923,0.66,126.947,4
00pgEuPVH286nExg6HrRF7,"4YrKBkKSVeqDamzBPWVnSJ","Red Alert (Jaxx Radio Mix)","Red Alert","Basement Jaxx",1999-04-19,218560,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"alternative dance,big beat,electronica",0.641,0.949,10,-3.81,0,0.0487,0.0512,0.00095,0.317,0.81,126.843,4
0EvphKjVl4hVGvvAFYoJt1,"1HT9k1ZSUL9IczSstOAgWJ","Another Chance - Radio Edit","Dance Floor Anthems","Roger Sanchez",2014-07-04,207093,0,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house,diva house,tribal house",0.603,0.895,3,-6.93,1,0.0313,0.000532,0.0219,0.302,0.817,129.88,4
1zjtfh71vSlbkd6MUt5hoy,"2wIVse2owClT7go1WT98tk,4YrKBkKSVeqDamzBPWVnSJ","4 My People - Basement Jaxx Remix; Radio Edit","Respect M.E.","Missy Elliott,Basement Jaxx",2006-09-04,216040,26,spotify:user:996cassidym,2019-10-23T11:26:57Z,"dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop,alternative dance,big beat,electronica",0.789,0.846,11,-4.923,0,0.038,0.00155,0.851,0.0607,0.912,131.074,4
37a8EdVw7VpAlRG4oASxIm,"6EK2381dTQEvcn3KrnMOWQ","Out of Touch - Radio Edit","One World","Uniting Nations",2011-04-12,171746,51,spotify:user:996cassidym,2019-10-23T11:26:57Z,"disco house",0.71,0.963,11,-4.787,0,0.0277,0.00859,0.0133,0.218,0.968,129.965,4
3wca2JDejgyls9FzLcL9AH,"1xNmvlEiICkRlRGqlNFZ43,2yWER4vAftcZCFPc7ednct","Feel The Vibe ('Til The Morning Comes) - Radio Edit","Feel The Vibe","Axwell,Tara Mcdonald",2005-07-16,199600,34,spotify:user:996cassidym,2019-10-23T11:26:57Z,"dutch house,edm,electro house,pop dance,progressive electro house,progressive house",0.493,0.924,11,-5.019,0,0.0722,0.00815,0.00022,0.485,0.579,128.084,4
