Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4MYb7NWLwXNDB7bYs3HeX8,"6x33CmZWo2Ve4hxYl2Craq","Slow Ride - Edit","Slow Ride / Save Your Loving (For Me)","Foghat",1975,232533,62,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,blues rock,british blues,classic rock,country rock,glam metal,hard rock,mellow gold,rock,soft rock",0.494,0.586,2,-13.909,1,0.0461,0.0201,0.00104,0.102,0.651,113.618,4
5Ny6yVg3LRfz3jicFcIMlm,"7LCp4MN0SOIVWlssid9KyE","Mississippi Queen","Drivin' South: Southern Rockin' Smash Hits","Mountain",2001-07-16,147826,44,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,blues rock,classic rock,country rock,electric blues,hard rock,proto-metal,psychedelic rock",0.479,0.832,3,-4.746,1,0.145,0.13,0.0000283,0.0459,0.584,140.41,4
0FMhMAFPLg8EljnROSoVnj,"2AM4ilv6UzW0uMRuqKtDgN","La Grange - 1999 Remaster","Rancho Texicano: The Very Best of ZZ Top","ZZ Top",2004-06-08,232533,8,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,blues rock,classic rock,hard rock,rock",0.552,0.651,4,-10.624,0,0.229,0.00494,0.0349,0.132,0.533,161.548,4
7nrtHjt4Vk4Z5jMHOwaS8F,"43mhFhQ4JAknA7Ik1bOZuV","Hit Me With Your Best Shot - 1999 Digital Remaster","Synchronistic Wanderings","Pat Benatar",1999-09-23,171293,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,classic rock,glam metal,hard rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",0.715,0.702,4,-6.055,1,0.0296,0.109,0.00000773,0.255,0.954,127.446,4
2wRXbDpe0Uv0ebgsCSkXHO,"3EhbVgyfGd7HkpsagwL9GS","School's Out - Single Version","Another Shot of Old Skool of Rock","Alice Cooper",2009-01-01,208240,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,classic rock,detroit rock,glam metal,glam rock,hard rock,metal,protopunk,rock",0.272,0.814,5,-6.645,1,0.0433,0.00166,0.0686,0.481,0.398,134.769,4
01R0Xdwje645C6xFCnMRvm,"1fBCIkoPOPCDLUxGuWNvyo","Talk Dirty To Me","Look What The Cat Dragged In","Poison",1986-01-01,223960,50,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,classic rock,glam metal,hard rock,rock",0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,4
4gxtH5mCSqVPTsqGcWKVOC,"74oJ4qxwOZvX6oSsu1DGnw","Sunshine Of Your Love","Gold","Cream",2005-04-26,250413,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,blues rock,british blues,classic rock,folk rock,hard rock,psychedelic rock,rock,singer-songwriter,supergroup",0.684,0.597,2,-8.339,1,0.0353,0.369,0.0000724,0.127,0.712,115.092,4
4Q4w8aRdfhIIEhBututktL,"16nn7kCHPWIB6uK09GQCNI","Story of My Life","Social Distortion","Social Distortion",1990-03-27,346333,57,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"punk,punk 'n' roll,skate punk,socal pop punk",0.328,0.884,6,-7.982,1,0.0338,0.0676,0.0166,0.327,0.686,201.868,4
57Xjny5yNzAcsxnusKmAfA,"0epOFNiUfyON9EYx7Tpr6V","Reptilia","Room On Fire","The Strokes",2003-10-28,219826,78,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
38bHLl4pznhxzRJLuw1OA7,"34jw2BbxjoYalTp8cJFCPv","Barracuda","Shaun White Snowboarding: Official Soundtrack","Heart",2008-11-18,262160,48,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,classic rock,glam metal,hard rock,mellow gold,new wave pop,rock,singer-songwriter,soft rock",0.545,0.73,4,-12.046,0,0.0362,0.0147,0.0995,0.146,0.68,137.134,4
3gNGi2iUGHXGpBQHce6Nua,"0C0XlULifJtAgn6ZNCW2eu","When You Were Young","Sam's Town","The Killers",2006-10-03,220426,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.435,4
1Kvjmr2oqZjzhryoEKzqij,"22bE4uQ6baNwSHPVcDxLCe","Paint It, Black","GRRR! (Deluxe Version)","The Rolling Stones",2012-01-01,203053,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,british invasion,classic rock,rock",0.471,0.75,1,-10.877,1,0.089,0.0625,0.00221,0.323,0.61,159.038,4
1uwNegzo0PGLxnQruPHbWJ,"67ea9eGLXYMsO2eYQRui3w","The Seeker - Edit","The Who - Ultimate Collection","The Who",2002-06-11,191453,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,british invasion,classic rock,hard rock,rock",0.317,0.84,7,-5.211,1,0.0394,0.00724,0.00000232,0.143,0.631,175.834,4
7zLZFcyX6jN6YX7KFRzZf3,"03r4iKL2g2442PT9n2UKsx","Sabotage - 2009 Digital Remaster","Ill Communication (Deluxe Version) [Remastered]","Beastie Boys",1994-05-23,178293,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,east coast hip hop,golden age hip hop,hip hop,old school hip hop,rap,rap rock,rock",0.32,0.943,6,-5.789,0,0.126,0.00497,0.192,0.0984,0.49,166.524,4
5jGF6KNfRM0wyXE7ph8Luo,"5UqTO8smerMvxHYA5xsXb6","Kool Thing","Goo (Deluxe Edition)","Sonic Youth",1990,246400,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,noise pop,noise rock,rock,shoegaze",0.224,0.94,4,-5.831,0,0.063,0.00367,0.0806,0.183,0.214,155.285,4
2wySlB6vMzCbQrRnNGOYKa,"3jOstUTkEu2JkjvRdBA5Gu","My Name Is Jonas","Weezer","Weezer",1994-05-10,204293,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,modern power pop,modern rock,permanent wave,rock",0.295,0.94,11,-5.247,1,0.0449,0.00021,0.00106,0.276,0.58,186.186,3
33UekTTrlH7Z03fYASg1mG,"1u7kkVrr14iBvrpYnZILJR","Anarchy In The UK","Never Mind The Bollocks, Here Comes The Sex Pistols/Spunk","Sex Pistols",1977-10-27,211240,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,punk,rock",0.371,0.937,0,-8.604,1,0.103,0.241,0.0000128,0.568,0.197,134.134,4
0A37ak6gGzvjHQWm5mBNdp,"00tVTdpEhQQw1bqdu8RCx2","Cities On Flame with Rock and Roll","The Best Of","Blue Öyster Cult",2007-11-30,242653,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,classic rock,glam metal,hard rock,progressive rock,rock",0.342,0.912,4,-6.458,1,0.122,0.0291,0.00491,0.214,0.656,177.877,4
6k6gzf2RjLHawPOvxXimdv,"19I4tYiChJoxEO5EuviXpz","Miss Murder","Guitar Hero III Legends of Rock Companion Pack","AFI",2007-01-01,205706,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,nu metal,pop punk,post-grunge,punk,screamo",0.423,0.868,1,-4.59,1,0.0469,0.00025,0.000691,0.143,0.698,143.45,4
7990Xs9HQx7FXVIDVPEwj9,"07XSN3sPlIlB2L2XNcTwJw","Rock And Roll All Nite","Dressed To Kill (Remastered Version)","KISS",1975-03-19,168733,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"glam rock,hard rock,rock",0.656,0.931,1,-5.827,1,0.0976,0.046,0,0.0543,0.909,144.747,4
0o7g2ndHoHmzTXaxjPM44O,"1w5Kfo2jwwIPruYS2UWh56","Even Flow","Ten","Pearl Jam",1991,293666,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,permanent wave,rock",0.407,0.889,10,-9.264,0,0.0542,0.00619,0.00000396,0.323,0.287,104.946,4
0uzyN8QWbPGpOQLAXh27El,"30U8fYtiNpeA5KH6H87QUV","Holiday In Cambodia","OMFG! That’s Punk","Dead Kennedys",2009-06-23,224866,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,early us punk,hardcore punk,punk",0.133,0.927,7,-5.371,1,0.0741,0.00344,0.00044,0.0915,0.5,197.708,4
69nlJoa2I9tUKoRPO6BWy0,"7Ey4PD4MYsKc5I2dolUwbH","Same Old Song And Dance","The Essential Aerosmith","Aerosmith",2002,233333,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,classic rock,hard rock,rock",0.536,0.839,9,-5.738,1,0.0413,0.0487,0.00105,0.383,0.583,133.197,4
4I4BS0OeI7VZdo5WeEQHFP,"27T030eWyCQRmDyuvr1kxY","Rock You Like A Hurricane","Bad For Good: The Very Best Of Scorpions","Scorpions",2002-01-01,252333,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,german hard rock,german metal,german rock,hard rock,rock",0.457,0.874,7,-4.751,1,0.0533,0.00656,0.000312,0.292,0.737,125.769,4
0mCj9395EGJwklTBtGpLd9,"3qm84nBOXUEQ2vnTfUTTFC","Welcome To The Jungle","Appetite For Destruction / G N'R Lies / The Spaghetti Incident","Guns N' Roses",1987-07-21,273600,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"glam metal,hard rock,rock",0.443,0.955,8,-8.066,1,0.0741,0.0222,0.361,0.297,0.333,123.423,4
72aCha2Meq7txnk451hz7k,"3MM8mtgFzaEJsqbjZBSsHJ","Helicopter","Silent Alarm","Bloc Party",2005-01-01,220173,4,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative dance,alternative rock,dance-punk,indie rock,indietronica,modern rock,neo-synthpop,new rave",0.466,0.955,11,-3.633,0,0.133,0.00015,0.00331,0.387,0.392,170.058,4
3i6pEhWMcPCTiWBzQW2N8Q,"6GI52t8N5F02MxU0g5U69P","Black Magic Woman","Jingo: The Santana Collection","Santana",2007,317893,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"blues rock,classic rock,mexican classic rock",0.477,0.535,2,-12.285,0,0.0438,0.627,0.141,0.131,0.505,124.123,4
4N4LLHDJgfkQxrYP8Cn0I7,"40Yq4vzPs9VNUrIBG5Jr2i","Cherub Rock","(Rotten Apples) The Smashing Pumpkins Greatest Hits","The Smashing Pumpkins",2001-01-01,299293,42,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,alternative rock,grunge,permanent wave,rock,spacegrunge",0.379,0.882,9,-6.338,1,0.0439,0.000004,0.724,0.17,0.463,86.782,4
4haZFPFNxXy4m3hJunjM8p,"1XpDYCrUJnvCo9Ez6yeMWh","The Metal","The Pick Of Destiny","Tenacious D",2006-11-11,165960,35,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,comedy rock,comic,comic metal,parody",0.623,0.938,0,-4.161,1,0.123,0.00296,0.000852,0.48,0.308,112.022,4
0uyEIUxqlTJOeHMK9bLuu9,"0CF71zaDOJWCynIkW9bSK8,33EUXrFKGjpUSGacqEHhU4","Black Sunshine","Greatest Hits: Past, Present & Future","White Zombie,Iggy Pop",2003-10-13,288250,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,hard rock,industrial metal,nu metal,post-grunge,rap metal,rock,alternative rock,glam rock,permanent wave,protopunk",0.471,0.968,9,-4.603,1,0.221,0.00661,0.0143,0.57,0.241,166.71,4
54FvW3ifwnljAqUEDtV0T7,"5fsDcuclIe8ZiBD5P787K1,1ahkrwSQpxabomNFWQi9wZ","Pride and Joy","The Essential Stevie Ray Vaughan And Double Trouble 3.0","Stevie Ray Vaughan,Double Trouble",1983,219400,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"album rock,blues,blues rock,classic rock,electric blues,hard rock,instrumental rock,rock,texas blues",0.428,0.688,8,-9.718,1,0.0359,0.0295,0.0077,0.0907,0.745,126.823,4
1wdd1nH9JwrVc32RUmSySE,"05fG473iIaoy82BF1aGhL8","Before I Forget","Vol 3. The Subliminal Verses [Special Edition]","Slipknot",2009-03-03,278600,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,nu metal,rap metal,rock",0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
47ghoSv4S94t0Qhrg3HvjR,"5cCgzhFyRJVydeO23BqgLG","Monsters","Voices","Matchbook Romance",2006-02-14,243746,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"emo,neon pop punk,pop punk,screamo",0.362,0.945,10,-2.651,0,0.0575,0.00131,0.0000251,0.154,0.487,114.797,4
4VGUcTzWj0ebZ0UgI9irJL,"3TOqt5oJwL9BE2NG9MEwDa","Stricken","Ten Thousand Fists","Disturbed",2005-09-19,245226,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,nu metal,rap metal,rock",0.404,0.969,8,-2.938,1,0.195,0.0000851,0.0114,0.268,0.29,173.878,4
7ouMYWpwJ422jRcDASZB7P,"12Chz98pHFMPJEknJQMWvI","Knights of Cydonia","Black Holes and Revelations","Muse",2006-06-19,366213,66,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative rock,modern rock,permanent wave,rock",0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,4
7BVWeO3bsnXFo3ccqZ0CB1,"4pejUc4iciQfgdX6OKulQn","3's & 7's","Guitar Hero III Legends of Rock Companion Pack","Queens of the Stone Age",2007-01-01,214240,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,alternative rock,grunge,modern rock,palm desert scene,rock,stoner metal,stoner rock",0.404,0.995,1,-2.465,1,0.118,0.0428,0.0389,0.403,0.352,131.344,4
5qm0KiVKMXW1kq6VrnIhz5,"4CxobvwTpmfpIEbkYh4pAb","Cliffs Of Dover - Instrumental","Ah Via Musicom","Eric Johnson",1990,249767,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"instrumental bluegrass,instrumental rock,progressive jazz fusion,shred",0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,4
0khj70h8pejNRukEhOn86O,"0LpwbxbT8dPiqUnul4ngzu","In the Belly of a Shark","Orchestra Of Wolves (new version)","Gallows",2007-06-18,161866,36,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"british alternative rock",0.28,0.998,7,-2.153,1,0.135,0.00345,0.51,0.325,0.149,104.335,4
1s4Ie0cT6P73SRSfh3oyGW,"6mdiAmATAx73kdxrNrnlao","The Number Of The Beast - 1998 Remastered Version","The Number Of The Beast (1998 Remastered Edition)","Iron Maiden",1982,291373,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:11:46Z,"alternative metal,hard rock,metal,nwobhm,rock",0.42,0.93,2,-5.583,0,0.0638,0.0189,0.00675,0.264,0.344,99.641,4
