Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BPXILn0MqOe5WroVXlvN1,"3uGFTJ7JMllvhgGpumieHF","I Will Go To You Like the First Snow","Guardian (Original Television Soundtrack), Pt. 9","AILEE",2017-01-07,229678,63,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop",0.497,0.431,5,-4.755,0,0.0287,0.66,0,0.153,0.167,133.675,4
3UMjZ9bAT1AnpcWD4aKyP8,"6OwKE9Ez6ALxpTaKcT5ayv","DINOSAUR","SUMMER EPISODE","AKMU",2017-07-20,240571,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop",0.767,0.755,11,-3.938,0,0.03,0.303,0.0000362,0.105,0.631,120.978,4
7xqTIa3Baxas3GpeVi5SM2,"6OwKE9Ez6ALxpTaKcT5ayv","Last Goodbye","WINTER","AKMU",2017-01-03,283800,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop",0.665,0.537,0,-4.651,1,0.0267,0.148,0,0.124,0.271,116.993,4
2Gq8bwrWXzc1gW9g2EnHTh,"54gWVQFHf8IIqbjxAoOarN","Excuse Me","AOA 1st Album ANGEL'S KNOCK (1)","AOA",2017-01-02,224948,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group",0.744,0.852,8,-2.79,0,0.0365,0.11,0,0.0634,0.812,123.938,4
6oZee3RwM7GHykYHZeb7GT,"2uWcrwgWmZcQc3IPBs3tfU","I'm so sick","ONE & SIX","Apink",2018-07-02,199402,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group",0.594,0.81,6,-2.083,0,0.0531,0.128,0,0.0324,0.777,123.752,4
6JtfR9xa0HII5UWXfdjvsQ,"2uWcrwgWmZcQc3IPBs3tfU","FIVE","Pink UP","Apink",2017-06-26,192406,37,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group",0.664,0.903,11,-2.025,1,0.0351,0.271,0,0.453,0.788,115.029,4
7uzib3dSSwgUwcD3z0k3bR,"4Kxlr1PRlDKEB0ekOCyHgX","FXXK IT","MADE","BIGBANG",2016-12-13,231810,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop boy group",0.72,0.746,0,-3.143,0,0.107,0.152,0,0.276,0.587,90.026,4
0QIRm9sUkGnezGznkWCqCo,"4Kxlr1PRlDKEB0ekOCyHgX","BANG BANG BANG","MADE","BIGBANG",2016-12-13,220238,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop boy group",0.694,0.832,5,-3.038,0,0.0598,0.0192,0,0.355,0.424,135.011,4
1Zyd6zQnC6XIIzmg3hP7Ot,"41MozSoPIsD1dJM0CLPjZF","As If It's Your Last","As If It's Your Last","BLACKPINK",2017-06-22,213264,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group,pop",0.786,0.853,8,-2.687,1,0.0816,0.0688,0,0.0759,0.45,125.034,4
7HWmJ1wBecOAMNGjC6SmKE,"41MozSoPIsD1dJM0CLPjZF","WHISTLE","SQUARE ONE","BLACKPINK",2016-08-08,211696,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group,pop",0.822,0.712,11,-4.877,1,0.15,0.00682,0,0.0955,0.647,102.874,4
7e7VjLxO5xJINHvnRytrqi,"41MozSoPIsD1dJM0CLPjZF","PLAYING WITH FIRE","SQUARE TWO","BLACKPINK",2016-11-01,197355,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group,pop",0.707,0.758,4,-4.511,0,0.0917,0.0399,0,0.141,0.674,97.037,4
2aI2k39nfa3KFsa4JclQzw,"41MozSoPIsD1dJM0CLPjZF","DDU-DU DDU-DU","SQUARE UP","BLACKPINK",2018-06-15,209355,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop girl group,pop",0.671,0.859,4,-3.922,0,0.0833,0.0313,0,0.267,0.39,139.931,4
7xMBlV5OBTiHlUraGaHGqs,"4RnezwRV7VBJUCI1S0AE5u","Shall We Dance","Re:MONTAGE","Block B",2018-01-09,180806,45,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop boy group,korean r&b",0.854,0.721,2,-3.769,1,0.0776,0.0157,0,0.153,0.828,112.012,4
5duKorpkltENFN2jVbM7JV,"4RnezwRV7VBJUCI1S0AE5u","YESTERDAY","YESTERDAY","Block B",2017-02-06,168918,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop boy group,korean r&b",0.649,0.868,11,-3.472,1,0.137,0.0805,0,0.0781,0.842,141.901,4
0aOf8m2Y7eGsV17WsuH8Xj,"4RnezwRV7VBJUCI1S0AE5u","YESTERDAY","YESTERDAY","Block B",2017-02-06,168918,45,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop,k-pop boy group,korean r&b",0.63,0.868,8,-3.472,0,0.157,0.0813,0,0.0782,0.854,141.905,4
4tKN17Kw29gzlnZwMaAtZN,"4k5fFEYgkWYrYvtOK3zVBl","#First Love","#First Love","BOL4",2018-01-10,207491,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop",0.574,0.647,8,-3.397,1,0.0406,0.601,0,0.134,0.399,77.962,4
0OQQTmbThttTpDoF4t5DmP,"4k5fFEYgkWYrYvtOK3zVBl","My Trouble","My Trouble","BOL4",2018-11-15,197479,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop",0.825,0.601,1,-4.35,1,0.0333,0.174,0,0.125,0.631,132.031,4
3mmLyEhphJAaW7hyEXAD8l,"4k5fFEYgkWYrYvtOK3zVBl","Some","Red Diary Page.1","BOL4",2017-09-27,181373,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2021-03-27T12:50:14Z,"k-pop",0.659,0.799,1,-2.849,0,0.0629,0.417,0,0.0562,0.782,103.99,4
