Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5WerUSSXpFxY4UBoQzpTQ4,"6a3Mfrn2XBR1DfPg1QGa1d","Shinedrop","Shinedrop","Standing Egg",2024-04-11,196440,32,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2024-04-16T22:21:14Z,"k-indie,korean pop",0.544,0.255,4,-9.869,1,0.0549,0.897,0.000027,0.111,0.415,175.967,4
0zUOz6vZkVr9J0ygqGoNym,"7ocuKBIqxHfc5m49bY7hO7,1fyOzgarGTgvI0KWIeou7Z","take it slow","take it slow","Homeboy,Luckypink4ever",2023-01-24,180326,28,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2023-02-22T04:55:28Z,"korean city pop",0.639,0.265,0,-10.752,1,0.0262,0.702,0.016,0.088,0.198,92.012,4
0ApeoheFD7DcTc0IZAkFeD,"4GAVUIrGNz35VbCFfHTsca,5xNWQgdUZS4YN7xAYItpKi","Summer breeze (with Chamsom)","Wish.zip (1)","saevom,Chamsom",2022-11-20,213375,23,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-11-20T08:26:38Z,"k-indie,k-pop,korean pop",0.63,0.441,2,-7.545,1,0.0337,0.723,0.00000396,0.115,0.225,79.918,4
33V19aBOSp0JVfZi70VmhA,"6AQ46ZELHFOGM8YAVjMmT9,3tjBsp5CVODuG5f1rT2afI","far away (feat. Sein)","far away","lofi,SEINY",2023-01-22,172500,28,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2023-04-12T19:02:51Z,"",0.645,0.424,7,-7.092,1,0.102,0.687,0,0.176,0.457,169.965,4
7K1s5Fxj7f6RexhrykThgW,"5OZXWMwDhlYBRvoOfcX0sk,4BBN286rBKyCWsSPq2cxYO","Someday (feat. Sam Kim)","It's Personal","Raisa,Sam Kim",2022-03-17,250000,33,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-07-23T23:05:06Z,"indonesian pop,indonesian r&b,indonesian singer-songwriter,k-pop,korean r&b",0.479,0.534,9,-6.77,0,0.0342,0.631,0,0.115,0.204,73.003,4
0a7LxDCiHKVLzOME2QBg9J,"7Bezyy4h6Ftw2pjtq8NcbE","Getup","Getup","Goodmorning Pancake",2020-10-19,176186,36,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-07-23T23:08:07Z,"",0.806,0.378,2,-5.733,1,0.103,0.352,0.0196,0.172,0.661,177.912,4
4Y2dcbHaG9J7rXvqHIBlZL,"0cjZuJ13yFVPa5Nn0YUTbx","Weekend","LISTEN 003 Weekend","PERC%NT",2017-01-01,232243,34,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-08-01T20:42:44Z,"",0.766,0.427,4,-8.559,0,0.0503,0.569,0.0000273,0.0627,0.47,85.002,4
0jHx9BAt2SuhhduSDumpth,"4y2MA188txnWeMIw9XwaJS","give regards","give regards","Han All",2022-06-27,211097,24,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-07-21T19:32:14Z,"k-indie,korean pop",0.475,0.273,9,-10.339,1,0.0358,0.893,0,0.149,0.446,108.917,5
71a62p3m6ORyKLyhvMYNnN,"7eZGd0sv1TxpOwzyKc9P4R,0823FxAYBXOeMTOWPeH9HH,6vG3cwGWjVEw6CmRFCfJgF","Do You Think of Me","Do You Think of Me","SORAN,Sam Ock,Ggotjam Project",2015-03-05,231923,27,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-08-01T20:48:43Z,"ambeat",0.747,0.707,1,-5.497,1,0.196,0.619,0,0.0904,0.819,99.071,4
2963MkC6KW2cflDf5fh9Bf,"1vct46rBqLNRbE9wCibXUH,6naXFodImN2DwRmKCQHAUt","First (Feat. SOLE)","Fountain","Jooyoung,SOLE",2018-03-02,204731,35,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-07-23T23:07:31Z,"k-rap,korean r&b",0.667,0.319,6,-8.276,1,0.0437,0.883,0,0.111,0.304,106.064,4
7rxblk9KO1AOBXmi8GbraY,"3IAV4UlkGi0MzK0rEijrHi","Porto girl","somewhere the grass is green","Grass",2021-08-12,238706,43,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-04-29T05:38:54Z,"",0.85,0.353,1,-4.693,1,0.0487,0.632,0.000035,0.0821,0.548,126,4
64aToE2HUHyLzCUQnyk1w0,"3gyUm6cPk4sChNCVb3fFaC,6aLdhHUqgdKE86xbtNmY8g","부재중 (feat. 크러쉬)","부재중","nov,Crush",2020-08-17,194442,30,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-04-18T19:38:13Z,"k-pop,korean r&b",0.735,0.622,2,-5.103,1,0.0619,0.747,0,0.154,0.526,84.966,4
5XrRVO7bjxl1HUZ5Ffri4g,"4UDCQ7Ef3OTa8jd1SzXIsv","Magnolia","Magnolia","Aden",2022-03-13,171333,9,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2022-07-23T23:08:46Z,"",0.644,0.396,7,-7.41,0,0.0314,0.637,0,0.107,0.714,89.977,4
6O5mgpq2xv3ZQGXnL3TNVW,"0u06YeydlBk3awnk5KgdBx,3qNVuliS40BLgXGxhdBdqu","Angel","Angel","Chancellor,TAEYEON",2019-05-01,264052,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2021-12-24T00:43:40Z,"korean r&b,k-pop",0.622,0.314,8,-8.187,0,0.037,0.817,0,0.136,0.522,89.961,4
7f7okLnrhSPfN1jvStB1UK,"1xIJdlCfkIVsdO5Egsu8ln,4Db1gte7TUAeZyRdo4FLE7","homebody (feat. dori)","homebody (feat. dori)","J.BASS,dori",2021-12-01,139833,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2021-12-01T10:50:58Z,"korean r&b",0.891,0.51,9,-6.359,1,0.0508,0.774,0.000467,0.101,0.576,126.037,4
7vwhqiIfU8HqXhNgyy8ubR,"33crDRqANd3NQHJagZkQ7O","you won't be there for me","you won't be there for me","slchld",2021-08-20,182645,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2021-08-24T20:51:34Z,"bedroom r&b,canadian contemporary r&b,chill r&b",0.777,0.308,2,-6.483,0,0.0314,0.226,0,0.109,0.634,94.933,4
0OatopllsqPHbb7RQiJ1No,"4dvmLXorXADxVq8EcySEWk","Being an Adult","Being an Adult","Kim Na Young",2017-04-11,225257,37,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-27T02:25:06Z,"korean pop",0.759,0.569,0,-8.209,1,0.0377,0.654,0,0.106,0.611,104.988,4
4s5LsmjqGgpwftaPqgONLC,"5S68VYXiXt6oq30pKqQAuV,45iYm4bGYfT8nY4RxNBhlr","Green Tea & Honey","Green Tea & Honey","Dane Amar,Jereena Montemayor",2020-02-14,222315,50,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2021-02-07T09:37:29Z,"asian american hip hop,bedroom soul",0.845,0.241,2,-10.948,0,0.0395,0.513,0,0.0722,0.799,94.869,4
2Lt1ZRU6nFY88vw24GdYLy,"4IQIYg9spHoy4FgnnManxR,4vdAgNz4vrUZVvS0CaVvGJ","HONEY (Feat. Crucial Star)","HONEY","Chawoo,CRUCiAL STAR",2020-11-05,227506,42,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2021-08-05T22:26:22Z,"k-rap,korean r&b",0.759,0.495,5,-4.878,1,0.0356,0.519,0,0.0491,0.746,95.008,4
2NAFR9JKQeLNtGHDXtC335,"4vdAgNz4vrUZVvS0CaVvGJ,5WJOZ5N4iegy9XdltTo8os","Singer Songwriter","Singer Songwriter","CRUCiAL STAR,EZ Kim",2018-10-16,240072,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-26T04:12:29Z,"k-rap,korean r&b,korean pop",0.515,0.609,9,-3.963,1,0.0549,0.61,0,0.312,0.288,81.054,4
3PX5Hkkhh4da6Sntk3LwYo,"1dOMFM5wDNsENQQW0nl0K8","커피를 마시고 Coffee - Reprise","01","Urban Zakapa",2011-05-17,228773,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-27T02:17:31Z,"korean pop",0.714,0.479,5,-8.228,0,0.0286,0.661,0,0.17,0.773,98.015,4
0XLORO8d7WV66y49E7bxrI,"6hyHuSf5Ft5jkSCmTg1RNn","Somebody","Somebody","Sunday Moon",2018-12-14,238774,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-10-02T23:31:01Z,"k-indie",0.421,0.197,4,-9.478,1,0.0352,0.795,0.00000122,0.136,0.228,139.271,4
4T4M4t7dR5428rMC8TNwPX,"4GAVUIrGNz35VbCFfHTsca,4y2MA188txnWeMIw9XwaJS","Thirtieth Midnight 서른 밤째","Spring Before I Knew It 새봄, 01 소품집 `어느새 봄`","saevom,Han All",2018-08-16,253250,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-20T21:15:18Z,"k-indie,k-pop,korean pop",0.581,0.276,2,-10.063,1,0.0633,0.811,0.00000375,0.096,0.686,147.725,4
2FkjWV0KWc0ubYzAPIQMFV,"0Zoe6ljAJo85rggnN6OaOF","Okinawa","Okinawa","92914",2018-02-14,348445,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-27T02:24:14Z,"chill pop,chill r&b,korean indie folk",0.735,0.167,5,-18.467,1,0.0555,0.93,0.164,0.662,0.378,147.878,4
5byXSKd7QOHtVMOiptklBD,"3pc0bOVB5whxmD50W79wwO","i swear i'll never leave again","THE REAPER","keshi",2018-11-13,173716,63,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:20:48Z,"chill r&b",0.569,0.319,8,-12.85,1,0.0277,0.853,0.000151,0.128,0.32,79.997,4
4aFvaG8tPkPSafZdSungMh,"74Zk4BaTpscIf6k04UoCds","better days","December","JAIE",2017-12-22,169588,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-27T02:23:44Z,"bedroom soul",0.679,0.0821,0,-17.194,1,0.11,0.907,0,0.0957,0.218,84.952,4
0aki5cxgNHfnynOoeQAhVh,"4GAVUIrGNz35VbCFfHTsca,4SXIrAFg5kNHCjflnHh34c","Spring Before I Knew It 어느새 봄","Spring Before I Knew It 새봄, 01 소품집 `어느새 봄`","saevom,Byun Heungsoo",2018-08-16,183000,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-20T21:21:23Z,"k-indie,k-pop,korean pop",0.545,0.368,11,-9.184,1,0.0455,0.851,0,0.0969,0.239,179.894,4
2ZwIO3ufWLFYxtEoam9ydu,"2joIhhX3Feq47H4QXVDOr3","My Favourite Clothes","My Favourite Clothes","RINI",2018-01-06,257000,61,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:20:26Z,"australian r&b,bedroom soul,chill r&b",0.746,0.339,2,-9.041,1,0.144,0.482,0.0000136,0.0838,0.291,119.924,4
2963MkC6KW2cflDf5fh9Bf,"1vct46rBqLNRbE9wCibXUH,6naXFodImN2DwRmKCQHAUt","First (Feat. SOLE)","Fountain","Jooyoung,SOLE",2018-03-02,204731,35,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2021-08-25T04:24:34Z,"k-rap,korean r&b",0.667,0.319,6,-8.276,1,0.0437,0.883,0,0.111,0.304,106.064,4
37HRd8gZ7F1l1Awm6debTv,"7kpJ5MncdSZT34B7X5TU8U,3pc0bOVB5whxmD50W79wwO","Call Me","Call Me","Rainlord.,keshi",2019-01-30,144054,48,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:20:39Z,"chill r&b",0.597,0.317,4,-14.075,1,0.0338,0.879,0.0000308,0.369,0.29,76.946,4
21yCOhgaDMc0KEtxhZHTbI,"3pc0bOVB5whxmD50W79wwO","blue","bandaids","keshi",2020-03-24,178600,60,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:20:57Z,"chill r&b",0.513,0.563,1,-8.689,1,0.0338,0.0701,0.00000162,0.0956,0.217,160.051,4
2AA1f7utyvXpmtKsEvp5lz,"3eCd0TZrBPm2n9cDG6yWfF,1OjcBoc71FwlzD5cJGx7xk,6UdKtISMXYKSR8jcgtFePo","하루살이","하루살이","DEAN,SULLI,Rad Museum",2018-11-09,207112,56,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:19:56Z,"k-pop,korean r&b",0.726,0.492,10,-8.046,0,0.0794,0.566,0.00000814,0.257,0.526,85.939,4
6XshUdxavknBQlcnu72LpD,"4BBN286rBKyCWsSPq2cxYO,4SzO3ea2qcjg1uLyNJAWnM,7l8rOFwZFQ3G0sgZ7gjGng,0kRAVpQhUUArA8UnYwEdeZ","YOUR SONG","MY NAME IS SAM","Sam Kim,Lee Jin Ah,Jung Seung Hwan,Kwon Jin Ah",2016-03-25,258961,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-09-27T02:17:01Z,"k-pop,korean r&b,k-indie,korean singer-songwriter,korean pop",0.713,0.318,4,-8.939,1,0.0269,0.861,0.000888,0.0957,0.325,86.846,4
4aFvaG8tPkPSafZdSungMh,"74Zk4BaTpscIf6k04UoCds","better days","December","JAIE",2017-12-22,169588,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:21:18Z,"bedroom soul",0.679,0.0821,0,-17.194,1,0.11,0.907,0,0.0957,0.218,84.952,4
1OJExKEuSvIdtw9NIaszOc,"0dTj3SqwE8kPnCzyzvYzhT","Overthinking","boy.","offonoff",2017-07-24,370659,39,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T17:21:29Z,"korean r&b",0.499,0.177,8,-11.358,1,0.0295,0.939,0.0416,0.132,0.0643,89.032,4
7Mfb2IwRNP8Qi7Ojtpmi37,"2FLqlgckDKdmpBrvLAT5BM,6NdzNrBP8Jbhzp6h7yojht","Perhaps Love","Your BGM Vol.1","Eric Nam,CHEEZE",2017-09-29,239096,0,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-08-26T11:25:08Z,"k-pop,korean pop",0.529,0.555,3,-4.72,1,0.0288,0.332,0,0.129,0.28,83.982,4
1RMJOxR6GRPsBHL8qeC2ux,"20wkVLutqVOYrc0kxFs7rA,3Y7RZ31TRPVadSFVy1o8os","Best Part (feat. H.E.R.)","Freudian","Daniel Caesar,H.E.R.",2017-08-25,209831,83,spotify:user:21rs5sqgai3g7k3eijdzw7k6a,2020-05-12T09:05:32Z,"canadian contemporary r&b,r&b,rap",0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,4
