Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2uqYupMHANxnwgeiXTZXzd,"7Ez6lTtSMjMf2YSYpukP1I","Austin (Boots Stop Workin')","What Happens Now?","Dasha",2024-02-16,171782,91,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"",0.756,0.672,0,-6.743,1,0.0522,0.464,0.00000337,0.108,0.739,114.935,4
6Bi1Y7TD70eWTCKn7jsQQm,"4yvcSjfu4PC0CYQyLy4wSq","A Tear in Space (Airlock)","A Tear in Space (Airlock)","Glass Animals",2024-06-07,203989,74,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.711,0.597,9,-7.364,0,0.0467,0.301,0.0000413,0.0688,0.507,93.007,4
0bILU0UiNDmA5Ff6whhb2R,"3win9vGIxFfBRag9S63wwf","Religiously","Religiously. The Album.","Bailey Zimmerman",2023-01-11,178723,77,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"contemporary country,modern country pop",0.57,0.67,1,-6.519,1,0.0274,0.426,0,0.108,0.593,140.924,4
5Z0UnEtpLDQyYlWwgi8m9C,"2FXC3k01G6Gw61bmprjgqS","Too Sweet","Unreal Unearth: Unheard","Hozier",2024-03-22,251424,89,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
2GxrNKugF82CnoRFbQfzPf,"0PCCGZ0wGLizHt2KZ7hhA2","i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,95,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
0uHrMbMv3c78398pIANDqR,"6s5ubAp65wXoTZefE01RNR","Europapa","Europapa","Joost",2024-02-29,160218,81,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"",0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,99,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-07-12T13:40:23Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
57RA3JGafJm5zRtKJiKPIm,"0NIPkIjTV8mB795yEIiPYL,3l0CmX0FuQjFxr8SK7Vqag","Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows,Clairo",2019-03-22,178000,80,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"pov: indie,bedroom pop,indie pop",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
1dh5DUke1yHJzIF3Sa7nXC,"2hUYKu1x0UZQXvzCmggvSn","Pretty Girls","Snow Angel","Reneé Rapp",2023-08-18,146234,72,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"alt z,singer-songwriter pop",0.648,0.521,10,-9.062,1,0.0903,0.302,0.0000101,0.106,0.264,109.775,4
5UqTWnG7YZAbj1SYMvnGsU,"0nnYdIpahs41QiZ9MWp5Wx","Scarlett","Can You Afford To Lose Me?","Holly Humberstone",2022-10-24,196226,52,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"alt z,indie pop,modern alternative pop,uk pop",0.618,0.615,2,-8.71,1,0.0724,0.172,0.0000111,0.0821,0.437,143.09,4
2YFhqZvhTpyK13gKXMKV7R,"25uiPmTg16RbhZWAqwLBy5,163tK9Wjr9P9DmM0AVK7lm","The girl, so confusing version with lorde","The girl, so confusing version with lorde","Charli xcx,Lorde",2024-06-21,205938,81,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-07-12T13:40:23Z,"art pop,candy pop,metropopolis,pop,uk pop,nz pop",0.692,0.823,11,-7.209,0,0.0547,0.17,0.00802,0.134,0.458,124.964,4
31MNHKE86sEXzIglbGQ6mu,"3WGpXCj9YhhfX11TToZcXP","Got Me Started","Something To Give Each Other","Troye Sivan",2023-10-13,198448,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"australian pop,pop,viral pop",0.773,0.679,7,-6.51,0,0.0315,0.219,0.00263,0.297,0.544,127.002,4
4sXwt3StCVkgLyxxvgVXrq,"0JqRJZzARcjmH60HwUenow","lavender blood","Luxury Beverage","Fox Academy",2015-01-06,158785,48,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"indie garage rock,lo-fi indie",0.356,0.162,1,-16.848,1,0.0372,0.986,0.0337,0.11,0.205,83.283,4
5EV4bGHxVN0kHpcAFvgnTt,"7wbkl3zgDZEoZer357mVIw","Dance, Baby!","Roy Pablo","boy pablo",2017-05-19,198000,61,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"bedroom pop,bergen indie,norwegian indie,pov: indie",0.602,0.601,9,-8.521,1,0.0411,0.037,0.0046,0.312,0.856,122.017,4
2qcbyAZxKglSsRaBhDE3PQ,"0sYlth2PW1zWJMEU2vCukz","Honey and Milk","Baby Teeth","Flower Face",2018-03-10,223754,36,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-07-12T13:40:23Z,"ambient folk",0.6,0.181,0,-11.581,1,0.0331,0.914,0,0.119,0.178,119.919,3
7LZN7FkxHZk6maiN6NdI2i,"75dQReiBOHN37fQgWQrIAJ","Dark Days","Sunlit Youth","Local Natives",2016-09-09,180413,58,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"chamber pop,indie rock,la indie,modern rock,shimmer pop,stomp and holler",0.604,0.655,9,-7.088,1,0.0273,0.109,0.0019,0.125,0.59,115.038,4
3nBX9Z0kQwUrtnbLFnw0xk,"3PyJHH2wyfQK3WZrk9rpmP","Worms","WEEDKILLER","Ashnikko",2023-08-25,148690,58,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"alt z,escape room",0.825,0.716,7,-3.236,0,0.0598,0.26,0,0.284,0.834,140.038,4
2DIo5VoBB6X1GzgpGbmMIF,"4UXqAaa6dQYAk18Lv7PEgX","Heartbreak Feels So Good","So Much (For) Stardust","Fall Out Boy",2023-03-24,217537,57,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"emo,modern rock,pop,pop punk,rock",0.514,0.779,8,-5.136,1,0.0417,0.00314,0.000013,0.0637,0.313,91.089,4
0zlJpc8mUU9x92uU8t5f6p,"7E2aQQjErJocovYFjYLzWU","Irresponsible","Scatterbrain","Emei",2023-10-20,124751,61,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-07-12T13:40:23Z,"alt z,singer-songwriter pop",0.73,0.6,3,-5.873,0,0.143,0.023,0,0.113,0.589,163.951,4
4PeGUBERD8qDn6oP3XmEuQ,"5Lz5CnywFeg4Rs4l76OtG2,1294QqYm1VuxxjRiL9M0h9","sloppy","honey catching season","KiNG MALA,UPSAHL",2022-10-14,166939,49,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"alt z,modern indie pop",0.711,0.427,6,-7.558,0,0.0419,0.137,0.00366,0.29,0.332,131.985,4
474uVhyGgK5MtY9gMcDgGl,"4hz8tIajF2INpgM0qzPJz2","It's Called: Freefall","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,152293,78,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"pov: indie",0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,4
2tznHmp70DxMyr2XhWLOW0,"26T3LtbuGT1Fu9m0eRq5X3","Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,80,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
6IPwKM3fUUzlElbvKw2sKl,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,81,spotify:user:b72f0tu1tdydm1jah3vertzwd,2024-07-12T13:40:23Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
2AYEOC02WLhUiOoaig2SEH,"4AcHt3JxKy59IX7JNNlZn4","Out of My League","More Than Just a Dream (Deluxe Edition)","Fitz and The Tantrums",2013-05-07,209386,75,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2024-07-12T13:40:23Z,"la indie,modern alternative rock,modern rock,pop rock,pov: indie",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
