Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6UjlpJhUqOQqv0hrb38IDI,"64CuUOOirKmdAYLQSfaOyr","Best of My Love","The Best Of The Emotions: Best Of My Love","The Emotions",1996,219933,50,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul,southern soul",0.764,0.57,0,-11.361,1,0.0348,0.45,0.362,0.0812,0.972,115.376,4
22ff60cZy4APp7bzESHLR8,"1zgNpeHQe8GulzfVkYP2VK","Disco Inferno - Single Edit","Rhino Hi-Five: The Trammps","The Trammps",2005-09-20,191533,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"disco,philly soul",0.763,0.819,10,-4.78,1,0.036,0.0641,0.123,0.235,0.911,129.288,4
4Wrc3Jz4POj0ibPj5iuq0r,"5XDSGEZV9xG35PRLJ0O3hx","Just Dropped In (To See What Condition My Condition Was In)","The First Edition","The First Edition",1967-01-01,201213,55,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"",0.58,0.551,9,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,4
4fQMGlCawbTkH9yPPZ49kP,"2vDV0T8sxx2ENnKXds75e5","Green Onions","Green Onions","Booker T. & the M.G.'s",1962,176333,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"blues,classic soul,instrumental funk,instrumental soul,memphis soul,soul,southern soul,traditional blues",0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,4
1h2xVEoJORqrg71HocgqXd,"7guDJrEfX3qb6FEbdPA5qi","Superstition - Single Version","The Definitive Collection","Stevie Wonder",2002-10-29,245493,74,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"motown,soul",0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,4
3pf96IFggfQuT6Gafqx2rt,"54R6Y0I7jGUCveDTtI21nb","Sunny","Take The Heat Off Me","Boney M.",1976,242240,68,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"europop",0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4
3XVozq1aeqsJwpXrEZrDJ9,"7GXXMm3DB1VswVcuGyInUd","Ice Ice Baby","Vanilla Ice Is Back! - Hip Hop Classics","Vanilla Ice",2008-11-04,254466,69,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"miami bass,miami hip hop",0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,4
0tm6gsXe0LSm9zeSspyMQu,"7zliF6Q946WznVk3ZMYhZX","Rapper's Delight - Single Version","The Sugarhill Gang - 30th Anniversary Edition (Expanded Version)","The Sugarhill Gang",2010-01-01,235840,2,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"east coast hip hop,funk,new jersey rap,old school hip hop",0.918,0.692,2,-11.666,1,0.244,0.185,0.0000111,0.0686,0.819,111.781,4
71lebjkaaiB7UgOlGeqt7M,"5lpH0xAS4fVfLkACg9DAuM","Wham Rap! (Enjoy What You Do?) - Special U.S. Remix","Fantastic","Wham!",1983-07-09,404440,46,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"new romantic,new wave pop,soft rock",0.797,0.793,2,-6.94,1,0.115,0.0756,0.000339,0.439,0.847,118.441,4
5gQCUf4lfy6GpuhdPzxQ6B,"4Uv0Jg45Oq7vBXXwQNhXyf","Dazz - Single Version","Super Hits","Brick",1976,202000,49,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"classic soul,disco,funk,p funk,post-disco,quiet storm,soul,southern soul",0.722,0.778,4,-7.931,1,0.0611,0.0697,0.00000746,0.0414,0.839,109.076,4
51ml2bJs9zDLv1PbzNQzPP,"6tw3wmGmRXSWP9GqsnvY7B","Apache","40 Years of the Incredible Bongo Band","Incredible Bongo Band",1973,293426,47,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"bboy,instrumental funk,rare groove",0.659,0.764,7,-7.635,1,0.176,0.0106,0.874,0.0761,0.551,118.245,4
1fiUselHJRU8YQXXs8S1LJ,"0vM1trmyete4cywLl4eJj3","Running Back To You - Original Mix","Russian Girlfriends EP","Perseus",2012-01-23,345871,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"nu disco",0.788,0.408,9,-10.393,0,0.0604,0.0266,0.533,0.0916,0.47,106.989,4
37cwvKWbzlim74LV27VDxS,"0B9P7RXrukgIdmutz9XMVN,4DdTAu2ze9ocUPqcFg1sKs","Love Can't Turn Around (Original Mix)","Farley Jackmaster Funk","Farley "Jackmaster" Funk,Darryl Pandy",2005,251026,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"acid house,chicago house,classic house",0.611,0.926,10,-3.323,1,0.405,0.00124,0.0000294,0.827,0.774,122.365,4
49X0LAl6faAusYq02PRAY6,"0AkpPlFLnr0VQwZQeMGht0","Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,79,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"disco house,filter house",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
4dlqb5ndjTAKHXqYpcbviG,"2Di8r9df6xjyj6CVOqbGVz","Move Your Body","80s House Classics","Marshall Jefferson",2009-08-18,403893,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"acid house,chicago house,classic house",0.813,0.879,4,-7,0,0.103,0.0358,0.0000047,0.647,0.613,122.316,4
366NZufdu1fOK0MsIxvwS9,"0dRiUTGvNV17AMIULRYsvn","Can You Feel It","80s House Classics","Mr. Fingers",2009-08-18,330120,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"acid house,chicago house,classic house",0.67,0.712,9,-9.959,0,0.14,0.0437,0.285,0.361,0.522,118.526,4
3t9dq1I2VKPmEcatwRkJ9P,"7hFdUW64G4iU1tz46ITRfN","Pacific State","Blueprint (The Best of)","808 State",2011-09-19,350560,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"acid house,big beat,classic house,intelligent dance music,madchester,rave,techno",0.676,0.982,10,-6.488,0,0.0698,0.0641,0.874,0.147,0.24,124.174,4
4aKNhxjTibKYFN38W10ibr,"2DBaDAcrh5sf17yR1qbnsy","Where I Dwell","Where I Dwell","Kaysha",2015-01-01,337500,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"kizomba,kompa gouyad,zouk",0.826,0.535,1,-13.016,1,0.119,0.0000544,0.922,0.0754,0.523,127.993,4
0aFzH7Na49IKXmtxfghsth,"06SAdf9QB0xFf5BicN99SV","Let The Music Use You","80s House Classics","The Nightwriters",2009-07-06,475333,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-03-25T16:03:27Z,"acid house",0.656,0.899,1,-5.095,1,0.0303,0.00201,0.0969,0.103,0.544,124.425,4
