Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6atRUgm1ZoxmLzoTQrJLsk,"2fttFhhXMsCbJgf9KqSGcq","See You Again","See You Again","Chris Luno",2023-11-24,250304,40,spotify:user:11132227822,2024-07-01T12:55:36Z,"melodic house",0.654,0.832,2,-7.841,1,0.035,0.0623,0.811,0.114,0.0399,123.525,4
3gt0aQizmdcpUhBV87cqBA,"4tgKBxZIclHP0c2Tp8yyyz,2haudpnLQ5Kjt6fplURp31,0HBaoUIo3fXlnWz1dc4mro","Everything I Own - Gorje Hewek Remix","Everything I Own (Gorje Hewek Remix)","Nico Morano,Mewhy,Gorje Hewek",2024-02-02,362622,38,spotify:user:11132227822,2024-07-01T12:55:36Z,"belgian edm,organic house",0.78,0.775,1,-7.106,1,0.0473,0.000212,0.762,0.0385,0.382,121.999,4
1GHOLip5jcgRIBqd8QUx7N,"10gzBoINW3cLJfZUka8Zoe,1eucLGnPT27tdEh6MU29wp","Believer - Marsh's Guatape Remix","Believer (Marsh's Guatape Remix)","Above & Beyond,Marsh",2022-01-06,255778,50,spotify:user:11132227822,2024-07-01T12:55:36Z,"edm,progressive house,progressive trance,trance,uplifting trance,melodic house",0.788,0.786,3,-9.321,0,0.0381,0.0844,0.877,0.138,0.157,122.008,4
3ZHwqV71mtqw1msH0nDLqj,"63RvOgWyeaaDm7oDtUq17q","The Tamer","The Tamer","Kon Faber",2024-07-12,353106,0,spotify:user:11132227822,2024-07-12T11:21:38Z,"",0.802,0.894,11,-8.559,0,0.0497,0.0271,0.881,0.0986,0.0806,119.999,4
6g8xLCckOtppFJxCFcogXH,"2loEsOijJ6XiGzWYFXMIRk,2RTTomV6iq54PkO0g3KLOO","Working for It","Sonnenfinsternis","Adam Port,Jennifer Touch",2016-06-24,457512,29,spotify:user:11132227822,2024-07-01T12:55:36Z,"melodic house,dark synthpop",0.802,0.535,0,-8.444,1,0.0902,0.000704,0.577,0.079,0.549,122.002,4
1fvTzzBL8BsfHTq9zXdELR,"3E0eyD6r9OkoOxyAOaA7hH","Follow The Step - KiNK Beat Mix","Follow The Step","Rachel Row",2013-05-02,362100,25,spotify:user:11132227822,2024-07-01T12:55:36Z,"bulgarian pop",0.556,0.595,11,-8.984,0,0.083,0.0169,0.0253,0.207,0.185,121.985,4
5sFHQFOpgLfYOScKVaNGm8,"59FM2BoNHA8kpDnPwELvIg,6zQCqwr5oCLdfbvY3n3LIn","World","World","Meloko,Selim Sivade",2023-10-06,468590,25,spotify:user:11132227822,2024-07-01T12:55:36Z,"",0.772,0.721,5,-11.185,0,0.0723,0.000658,0.495,0.104,0.188,122.999,4
2dpsus5WdogYxAC5k59bVm,"5OvpF1A65DXs93M9NfPIjT,43B3rN5TKnZLpfusky1fnp","Clair - Cioz Neapolis Remix","Clair (Cioz Neapolis Remix)","Patrice Bäumel,CIOZ",2021-05-07,393529,22,spotify:user:11132227822,2024-07-01T12:55:36Z,"deep techno,melodic techno,minimal techno,italian tech house,organic house",0.668,0.582,2,-11.441,1,0.0457,0.00142,0.887,0.672,0.0799,121.001,4
549mrKcXLgfuL5xGlO9aC9,"3PqC2FtvZWEUrUExbBcGRt,5sPMTZypbBMh5mAdIFcuMA","Mujer Inalcanzable - Goyanu Remix","Mujer Inalcanzable","Bákayan,Goyanu",2024-06-21,362950,12,spotify:user:11132227822,2024-07-01T12:55:36Z,"musica eletronica brasileira",0.807,0.883,2,-9.058,1,0.0369,0.0282,0.913,0.115,0.121,122.006,4
5Ww1cP4urUgKSNMQJgSArn,"4UW65n6QZ8YmanLPuUXVui,64javKUlz2LAoOMtQfUFj9,6Y3FCZA50anf3ukg9O7ZLq","This Time - Gorge Remix","This Time","Lovebirds,Novika,Gorge",2012-04-30,461264,32,spotify:user:11132227822,2024-07-01T12:55:36Z,"deep disco house,deep house,hamburg electronic,nu disco,polish indie,minimal tech house,organic house",0.812,0.383,10,-9.272,0,0.1,0.0128,0.832,0.0733,0.442,122.007,4
72C5UCpE0K2Lbkc79yi3f3,"3PqC2FtvZWEUrUExbBcGRt","Breathe","Fireflies","Bákayan",2024-01-13,449310,18,spotify:user:11132227822,2024-07-01T12:55:36Z,"",0.706,0.924,10,-9.263,0,0.0371,0.0196,0.811,0.11,0.0881,121.022,4
1oGlVgZtjpWUkkz9j7huJk,"3MlBF2eUccQgQfeihwUtpJ,1EjSf7tQxu6IzqW8GbcIAE","La Llorona","La Llorona","Elias Doré,M.O.N.",2024-07-05,368199,26,spotify:user:11132227822,2024-07-09T15:07:04Z,"",0.864,0.563,4,-8.56,0,0.0493,0.111,0.257,0.184,0.208,119.994,4
4jngXfNiuzpMxOsLIrADe7,"63RvOgWyeaaDm7oDtUq17q","Vortex","Vortex","Kon Faber",2024-05-10,337463,24,spotify:user:11132227822,2024-07-01T12:55:36Z,"",0.796,0.942,10,-8.139,0,0.0457,0.0981,0.898,0.0961,0.462,121.006,4
6LIizfRZOsAZHeFY4Gbi22,"72t5YrC7X2SMgDkR9AuBja,0ISK7Y2BUefYiHtHTLBSuw","Are You Ready ?","I Don't Want You EP","Rønhöff,Louin",2024-01-12,255010,31,spotify:user:11132227822,2024-07-01T12:55:36Z,"",0.797,0.756,2,-11.581,1,0.0457,0.0655,0.65,0.106,0.149,122.001,4
0olBbTv5J3wJbsOMsYik6o,"1GTgdoGe6Xb9Up0YOtCeFq","Nemty","Nemty","Winson",2024-05-24,459344,11,spotify:user:11132227822,2024-07-10T13:08:01Z,"",0.81,0.663,5,-8.605,0,0.0481,0.0191,0.903,0.115,0.513,122.006,4
3kmyKJnZKIu0lcfigpEVWj,"4zRsnhsbMQk9LU7KD102Xc","Pica Pau","Pica Pau","Eduardo R.",2024-06-07,293615,25,spotify:user:11132227822,2024-07-02T15:24:21Z,"",0.807,0.942,4,-7.256,0,0.0523,0.015,0.881,0.0924,0.388,121.004,4
