Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3S0OXQeoh0w6AY8WQVckRW,"4phGZZrJZRo4ElhRtViYdl","I'm Yours","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)","Jason Mraz",2008-05-01,242946,76,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"acoustic pop,dance pop,neo mellow,pop",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
4HlFJV71xXKIGcU3kRyttv,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,85,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"dance pop,neo mellow,pop,pop rock",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
13bEwk7dTy0RdOAY3ZNNBD,"450iujbtN6XgiA9pv6fVZz","Golden Touch - Full Length","Up All Night","Razorlight",2004,205213,56,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"britpop",0.606,0.532,1,-4.173,0,0.0248,0.0956,0.0000127,0.276,0.695,95.315,4
7BHPGtpuuWWsvE7cCaMuEU,"1GLtl8uqKmnyCWxHmw9tL4","Naive","Inside In / Inside Out","The Kooks",2006-01-01,203506,75,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"brighton indie,garage rock,modern rock,rock",0.394,0.808,8,-6.209,0,0.0853,0.0759,0,0.149,0.736,100.649,4
2RlgNHKcydI9sayD2Df2xp,"7jefIIksOi1EazgRTfW2Pk","Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303373,78,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
11VLGF4XnGUiNOlSrZLQRJ,"2FwDTncULUnmANIh7qKa5z","Open the Door","Take Off","FKJ",2014-07-21,312073,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"filter house,indie soul",0.703,0.651,4,-6.846,0,0.0448,0.0883,0.6,0.221,0.231,107.011,4
7iXVkTHMB42Mz9EtI90rzu,"1uiEZYehlNivdK3iQyAbye,7vgZqCNS2Nah7tlpo7ZjC4","Your Love","Beat Tape 2","Tom Misch,Alexa Harley",2015-08-28,254734,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"indie soul,jazz pop",0.861,0.463,5,-9.22,1,0.118,0.277,0.00332,0.0599,0.261,116.038,4
21jGcNKet2qwijlDFuPiPb,"246dkjvS1zLTtiykXe5h60","Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,84,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:54:54Z,"dfw rap,melodic rap,pop,rap",0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042,4
648BMGrt98kUbLo24A4vgj,"7A9yZMTrFZcgEWAX2kBfK6","Hip To Be Square","Fore!","Huey Lewis & The News",1986-01-01,245466,62,spotify:user:ejmckeand1,2019-10-19T10:35:58Z,"album rock,classic rock,hard rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000356,0.139,0.963,140.873,4
2QfiRTz5Yc8DdShCxG1tB2,"293zczrfYafIItmnmM3coR","Johnny B. Goode","Berry Is On Top","Chuck Berry",1959-07-01,161560,77,spotify:user:anglebob,2019-10-12T14:48:53Z,"blues,blues rock,classic rock,rock,rock-and-roll,rockabilly,soul",0.534,0.803,10,-9.129,1,0.0743,0.741,0.0000607,0.307,0.969,167.983,4
76ICmoJ4PcoMWoooaTxnQs,"0N5PyKJzS3M1XNlaCL7bbE","Land of 1000 Dances","The Exciting Wilson Pickett","Wilson Pickett",1966,146973,63,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-13T09:58:51Z,"classic soul,memphis soul,soul,southern soul",0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,4
0wz1LjDb9ZNEYwOmDJ3Q4b,"3oDbviiivRWhXwIE8hxkVV","Surfin' U.S.A. - Remastered 2001","Surfin' USA (Remastered)","The Beach Boys",1963-03-25,149373,73,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-13T09:58:51Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop",0.55,0.854,3,-5.968,1,0.036,0.661,0,0.112,0.965,159.231,4
5t9KYe0Fhd5cW6UYT4qP8f,"3oDbviiivRWhXwIE8hxkVV","Good Vibrations - Remastered 2001","Smiley Smile (Remastered)","The Beach Boys",1967-09-18,219026,70,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-13T09:58:51Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop",0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,4
3v9xlH6BpmRbqL7hgNJhfT,"3oDbviiivRWhXwIE8hxkVV","I Get Around (Mono)","All Summer Long (Mono & Stereo)","The Beach Boys",1964-07-13,134386,65,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-13T09:58:51Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop",0.389,0.626,9,-7.813,0,0.0541,0.366,0,0.0663,0.514,144.337,4
4rr0gWiMrF4sOIefs3IEvZ,"43ZHCT0cAZBISjO8DG9PnE,5svDnd8joFhbpbA3Ar0CfN","A Little Less Conversation - JXL Radio Edit Remix","A Little Less Conversation: Elvis vs JXL","Elvis Presley,Junkie XL",2002-08-01,211506,64,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-13T09:58:51Z,"rock-and-roll,rockabilly,big beat,soundtrack",0.597,0.97,4,-5.972,0,0.0502,0.000385,0.197,0.133,0.717,114.999,4
0d28khcov6AiegSCpG5TuT,"3AA28KZvwAUcZuOKwyblJQ","Feel Good Inc.","Demon Days","Gorillaz",2005-05-23,222640,83,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:26:40Z,"alternative hip hop,modern rock,rock",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
16MBgVIBhdZjORLDrcLU2c,"5UmeRtxfJxx9iUnyUP8dFm","Stay Crunchy","Disorganized Fun","Ronald Jenkees",2009-07-31,246857,34,spotify:user:anglebob,2019-10-12T14:48:53Z,"",0.517,0.633,0,-10.727,0,0.0326,0.798,0.791,0.126,0.474,140.012,4
6R1y3I91AIktu7qoKIugtH,"6zlR5ttMfMNmwf2lecU9Cc","Play God","Hypersonic Missiles","Sam Fender",2019-09-13,225600,57,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:00:56Z,"modern rock,north east england indie",0.714,0.708,10,-6.286,0,0.0483,0.0891,0.0471,0.116,0.601,94.478,4
6t5syYlCH51Gje6CV4IZZp,"1uiEZYehlNivdK3iQyAbye","Sunshine","Sunshine","Tom Misch",2015-06-16,218000,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:00:56Z,"indie soul,jazz pop",0.897,0.666,11,-7.324,0,0.0644,0.146,0.00508,0.0953,0.537,113.014,4
3O8X1DE9btbzy4UH9cSX9a,"5INjqkS1o8h1imAzPqGZBb","Borderline","Borderline","Tame Impala",2019-04-12,274293,9,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:00:56Z,"australian psych,modern rock,neo-psychedelic,rock",0.598,0.71,0,-6.839,0,0.0272,0.0476,0.0000177,0.1,0.726,97.976,4
6FIQ8o2hqlDmHQFoBKmKgW,"0nUF7iT0e6D5xEl743Jfu3","October","October","Icarus",2016-07-14,354102,44,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:00:56Z,"house,melodic house,uk dance",0.365,0.711,8,-9.591,1,0.0355,0.0306,0.913,0.0824,0.117,116.003,4
1qfYG2JrchEyJiqKnkE7YQ,"536BYVgOnRky0xjsPT96zl","What You Know","Tourist History","Two Door Cinema Club",2010-02-07,189693,13,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:26:40Z,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie",0.55,0.753,6,-4.003,0,0.0407,0.000665,0.00000774,0.0921,0.841,139.048,4
48UPSzbZjgc449aqz8bxox,"0L8ExT028jH3ddEcZwqJJ5","Californication","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,329733,83,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:26:40Z,"alternative rock,funk metal,funk rock,permanent wave,rock",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
46q5BtHso0ECuTKeq70ZhW,"4vdt8TD56jjQfmxFCmhubX","How Bizarre","How Bizarre (Deluxe)","OMC",1996,225699,64,spotify:user:ejmckeand1,2019-10-19T10:36:03Z,"nz pop",0.772,0.705,0,-6.255,1,0.0411,0.247,0,0.23,0.834,124.908,4
1uzslVSeSMTgwdzmDZLyqa,"5ZBQea34QfBgEDkcGEKK2b","Space and the Woods - Cenzo Townshend Mix","Fantasy Black Channel","Late of the Pier",2008-06-09,225973,23,spotify:user:ejmckeand1,2019-10-19T10:36:12Z,"alternative dance,dance-punk,leicester indie,new rave",0.561,0.918,2,-3.971,1,0.105,0.000071,0.0203,0.176,0.516,156.988,4
212belGQthhU26pCOF3EhQ,"4XDi67ZENZcbfKnvMnTYsI","좋아 Joah - Remastered","Evolution","Jay Park",2014-09-01,230085,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:35:51Z,"k-pop,k-rap,korean r&b",0.524,0.903,11,-4.197,1,0.28,0.382,0,0.119,0.731,171.87,4
3VtTuQ6lypMoOBcm6VMzdh,"73A3bLnfnz5BoQjb4gNCga,7Eu1txygG6nJttLHbZdQOh","Opal - Four Tet Remix","Opal (Four Tet Remix)","BICEP,Four Tet",2018-03-07,494256,54,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-18T07:51:49Z,"ambient house,electronica,folktronica,indietronica,intelligent dance music,trip hop",0.826,0.72,9,-9.582,0,0.119,0.103,0.773,0.11,0.287,127.011,4
4H4p1B3GrZHnh71vgPtHQW,"7Eu1txygG6nJttLHbZdQOh","Daughter","New Energy","Four Tet",2017-09-29,295131,41,spotify:user:ejmckeand1,2019-10-19T10:38:46Z,"electronica,folktronica,indietronica,intelligent dance music,trip hop",0.621,0.3,1,-9.135,1,0.056,0.765,0.00598,0.11,0.369,81.098,4
06rPFgQsKS607RhYIqCmGq,"4QQgXkCYTt3BlENzhyNETg","September","Now, Then & Forever","Earth, Wind & Fire",2013-10-21,216346,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-18T06:48:41Z,"disco,funk,jazz funk,motown,soul",0.689,0.912,9,-3.673,1,0.0302,0.174,0.000243,0.298,0.982,125.94,4
5ffeySAcaiBTH6SJbwUGe7,"4QQgXkCYTt3BlENzhyNETg,64CuUOOirKmdAYLQSfaOyr","Boogie Wonderland (with The Emotions) - 12 Version","The Legacy of Disco","Earth, Wind & Fire,The Emotions",2015-07-17,495826,41,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"disco,funk,jazz funk,motown,soul,chicago soul,classic soul,girl group,post-disco,quiet storm,southern soul",0.753,0.913,2,-5.882,0,0.0294,0.0489,0.228,0.0419,0.968,132.008,4
71lebjkaaiB7UgOlGeqt7M,"5lpH0xAS4fVfLkACg9DAuM","Wham Rap! (Enjoy What You Do?) - Special U.S. Remix","Fantastic","Wham!",1983-07-09,404440,46,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"new romantic,new wave pop,soft rock",0.797,0.793,2,-6.94,1,0.115,0.0756,0.000339,0.439,0.847,118.441,4
3pf96IFggfQuT6Gafqx2rt,"54R6Y0I7jGUCveDTtI21nb","Sunny","Take The Heat Off Me","Boney M.",1976,242240,68,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"europop",0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4
3XVozq1aeqsJwpXrEZrDJ9,"7GXXMm3DB1VswVcuGyInUd","Ice Ice Baby","Vanilla Ice Is Back! - Hip Hop Classics","Vanilla Ice",2008-11-04,254466,69,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"miami bass,miami hip hop",0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,4
4fQMGlCawbTkH9yPPZ49kP,"2vDV0T8sxx2ENnKXds75e5","Green Onions","Green Onions","Booker T. & the M.G.'s",1962,176333,69,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"blues,classic soul,instrumental funk,instrumental soul,memphis soul,soul,southern soul,traditional blues",0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,4
5gQCUf4lfy6GpuhdPzxQ6B,"4Uv0Jg45Oq7vBXXwQNhXyf","Dazz - Single Version","Super Hits","Brick",1976,202000,49,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"classic soul,disco,funk,p funk,post-disco,quiet storm,soul,southern soul",0.722,0.778,4,-7.931,1,0.0611,0.0697,0.00000746,0.0414,0.839,109.076,4
4cgodXjv4TfrooNQxvlO4O,"2GVBp7QyHckoOg7rYkLvrA","Atomic Dog","Computer Games","George Clinton",1982-01-01,287106,53,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"funk,p funk,soul",0.899,0.491,6,-11.043,0,0.259,0.148,0.00000382,0.411,0.826,107.706,4
4gvea7UlDkAvsJBPZAd4oB,"5dbuFbrHa1SJlQhQX9OUJ2","The Boys Of Summer","Building The Perfect Beast","Don Henley",1984-11-19,288733,76,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:28:37Z,"album rock,classic rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,4
32oPOt2n3lQseWoxcobq2X,"6hkch2KhRl0tywpeVK5xR5","I Was Dancing In The Lesbian Bar","Vampire Girl: Essential Recordings","Jonathan Richman",2009-01-01,223186,17,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:28:37Z,"lo-fi,protopunk,singer-songwriter",0.827,0.523,9,-9.051,0,0.044,0.583,0.0000469,0.219,0.872,116.489,4
41jgkg6iwhHuUsg6FE6dmP,"4toEjJSZu1rbfX2hfVdZFA","Love's Gonna Get'cha (Material Love)","The Essential Boogie Down Productions / KRS-One","Boogie Down Productions",2014-03-14,398893,23,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:28:37Z,"bronx hip hop,conscious hip hop,east coast hip hop,gangster rap,golden age hip hop,hip hop,old school hip hop",0.787,0.584,9,-7.966,1,0.37,0.0295,0.0000139,0.0957,0.171,189.984,4
5S5gGOsUarzRXKoaSstwba,"4XDi67ZENZcbfKnvMnTYsI","Me Like Yuh","Everything You Wanted","Jay Park",2016-10-20,223641,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:46:43Z,"k-pop,k-rap,korean r&b",0.715,0.831,2,-6.161,1,0.0729,0.223,0.00000384,0.132,0.805,100.006,4
15nSGpRfeHnBdIG1lXSvYN,"4XpUIb8uuNlIWVKmgKZXC0,3P16F9giedxmc5238b66bo","Boys And Girls","Boys and Girls","ZICO,Babylon",2015-11-03,200169,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T20:56:10Z,"k-pop,korean r&b,k-rap",0.815,0.75,1,-3.029,1,0.0581,0.0399,0,0.0553,0.614,103.037,4
4XHQyvbrBsQaaBUW1VvmsL,"5Qi4Bb7a8C0a00NZcA77L0","My Band","D-12 World","D12",2004-01-01,298773,71,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-16T06:52:30Z,"detroit hip hop,gangster rap,hip hop",0.851,0.849,1,-3.383,0,0.0828,0.497,0.00000205,0.116,0.844,120.014,4
312A8WfROSLvZbMDHBUPDp,"4GvOygVQquMaPm8oAc0vXi","Fit but You Know It","A Grand Don't Come for Free","The Streets",2004,254266,60,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-16T06:53:23Z,"birmingham hip hop,uk garage",0.68,0.844,6,-1.729,1,0.299,0.23,0,0.0305,0.895,172.302,4
1xzBco0xcoJEDXktl7Jxrr,"2RDOrhPqAM4jzTRCEb19qX","Mo Bamba","MUDBOY","Sheck Wes",2018-10-05,183906,75,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-16T06:56:17Z,"pop rap,rap,trap",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,4
2YpeDb67231RjR0MgVLzsG,"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa","Old Town Road - Remix","7 EP","Lil Nas X,Billy Ray Cyrus",2019-06-21,157066,73,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-16T06:56:51Z,"lgbtq+ hip hop,country rock",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
2DHWM8Bm4zuzuH7UOXscJw,"0tzSBCPJZmHTdOA3ZV2mN3","LIFTED","LIFTED","CL",2016-08-19,175401,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-16T06:57:15Z,"k-pop",0.369,0.702,0,-4.155,1,0.154,0.00148,0,0.217,0.285,180.947,4
2OnqLGs0xZvr8ZNzWJELGo,"3OsRAKCvk37zwYcnzRf5XF","Extreme Ways","18","Moby",2002-05-13,237640,3,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-17T14:52:10Z,"downtempo,electronica",0.504,0.777,9,-7.916,0,0.0583,0.00106,0.00109,0.12,0.549,100.006,4
37cwvKWbzlim74LV27VDxS,"0B9P7RXrukgIdmutz9XMVN,4DdTAu2ze9ocUPqcFg1sKs","Love Can't Turn Around (Original Mix)","Farley Jackmaster Funk","Farley "Jackmaster" Funk,Darryl Pandy",2005,251026,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"acid house,chicago house,classic house",0.611,0.926,10,-3.323,1,0.405,0.00124,0.0000294,0.827,0.774,122.365,4
49X0LAl6faAusYq02PRAY6,"0AkpPlFLnr0VQwZQeMGht0","Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,79,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"disco house,filter house",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
4dlqb5ndjTAKHXqYpcbviG,"2Di8r9df6xjyj6CVOqbGVz","Move Your Body","80s House Classics","Marshall Jefferson",2009-08-18,403893,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T18:07:30Z,"acid house,chicago house,classic house",0.813,0.879,4,-7,0,0.103,0.0358,0.0000047,0.647,0.613,122.316,4
0ew27xRdxSexrWbODuLfeE,"3MdG05syQeRYPPcClLaUGl","I'm Coming Out","Diana","Diana Ross",1980-05-22,325266,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:22:58Z,"adult standards,disco,motown,quiet storm,soft rock,soul",0.739,0.917,5,-4.459,1,0.0504,0.177,0.119,0.0834,0.749,110.163,4
5XFXq4iiVu1d6PGUwcY5xQ,"6AGZSUNP6AVZ2BTxUsbJsr","High Grade","Open Your Eyes","Gentleman's Dub Club",2012-03-19,226809,39,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-17T14:59:10Z,"uk reggae",0.819,0.666,7,-7.478,1,0.113,0.0819,0.00449,0.0755,0.725,140.025,4
04IZ1PHFe3MFFleamY6vMH,"5LlJwFI0pt18QEmRZMT7EA,5EDztvTkyoKtK0ZdEdhOFx,34H64cvYjpsQ7GRAzximLk","Walk n Skank (feat. Jah Screechy)","Walk n Skank (feat. Jah Screechy)","Dux n Bass,Macky Gee,Jah Screechy",2018-11-16,169371,37,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-17T15:00:53Z,"bass house,tekk",0.655,0.982,2,-0.114,1,0.1,0.0631,0.00102,0.235,0.9,175.074,4
205dKoiih90rcvzocIXzJA,"1j95lMtVC9QwnVbifoVy60","Blow","Temper Tantrum EP","Upgrade (UK)",2017-03-31,268807,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-17T15:01:27Z,"uk dnb",0.795,0.909,10,-2,0,0.0742,0.04,0.0144,0.0495,0.253,87.495,4
2Na4DjiEtjBSVZ7eGHZkpt,"5TgQ66WuWkoQ2xYxaSTnVP","Secret Agent","Netsky","Netsky",2010-03-27,333946,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-17T15:02:17Z,"belgian edm,dancefloor dnb,drum and bass",0.629,0.666,10,-6.821,0,0.0843,0.00359,0.0433,0.0771,0.264,176.035,4
05lBXOMA1uHpVPEQZyjoh3,"1km0R7wy712AzLkA1WjKET","Bubbles","Only Revolutions","Biffy Clyro",2010-01-18,301080,52,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-10-15T19:17:21Z,"modern rock,scottish rock",0.35,0.724,3,-5.888,1,0.0314,0.00203,0.00136,0.113,0.196,147.344,4
1bWyw3xXG0wiQ1Ed7uxFU6,"7H2gsmri5h6fIthGdk9LYj","We Don't Live Forever","Keepers of the Fire","Chilldren of Indigo",2018-04-20,230571,0,spotify:user:ejmckeand1,2019-10-19T10:37:26Z,"indie psychedelic rock",0.428,0.807,0,-11.881,1,0.341,0.742,0.0365,0.172,0.353,146.904,4
2B4Fcl45m3RdWrvvUps25A,"7H2gsmri5h6fIthGdk9LYj","Keepers of the Fire","Keepers of the Fire","Chilldren of Indigo",2018-04-20,190490,0,spotify:user:ejmckeand1,2019-10-19T10:37:26Z,"indie psychedelic rock",0.724,0.671,10,-10.606,1,0.599,0.199,0.488,0.222,0.513,173.909,4
