Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1pGmHOhsXccJASxGzjaK2d,"2orIEMw3OyKWIaZ6CGueGg","Psycho Killer - Original Mix","Psycho Killer (Original Mix)","The Cube Guys",2016-12-19,341185,26,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-03T11:32:36Z,"circuit,funky tech house",0.872,0.7,4,-6.267,0,0.193,0.00632,0.0361,0.625,0.57,123.989,4
7lhe9KIRuOEpulIfnM4nnP,"7MqnCTCAX6SsIYYdJCQj9B,2o5jDhtHVPhrJdv3cEQ99Z","The Island - Tiesto Remix","The Island","Pendulum,Tiësto",2010-09-17,405510,17,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-03T11:34:08Z,"australian dance,dancefloor dnb,drum and bass,big room,brostep,dutch edm,edm,house,pop dance,progressive electro house,slap house,trance",0.781,0.498,9,-9.142,0,0.0549,0.0156,0.23,0.095,0.122,128.032,4
22DnBQIIXFPJNRGuNjWlSg,"6S2tas4z6DyIklBajDqJxI","Becoming Insane","Vicious Delicious","Infected Mushroom",2007-04-01,440266,51,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T23:19:21Z,"psychedelic trance",0.654,0.82,2,-5.769,1,0.0648,0.00368,0.364,0.195,0.617,145.002,4
48HelMaBXoGa2UxE6nDlqX,"6S2tas4z6DyIklBajDqJxI","Heavyweight","Vicious Delicious","Infected Mushroom",2007-04-01,521013,36,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T23:20:31Z,"psychedelic trance",0.599,0.605,4,-7.26,0,0.0317,0.0232,0.729,0.172,0.145,139.952,4
7BotkB2TY6bZdTzGtbwyTR,"6S2tas4z6DyIklBajDqJxI","Special Place","Vicious Delicious","Infected Mushroom",2007-04-01,413466,25,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T23:24:43Z,"psychedelic trance",0.436,0.774,4,-7.692,0,0.0619,0.0277,0.793,0.487,0.513,145.011,4
0Jt4vL2n5EWVPEqwf60Cdc,"4Pgbnc1zRPquMFR4iPH3MN","Leyenda","Leyenda","Phaxe",2019-01-11,399698,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T13:44:44Z,"progressive psytrance,psychedelic trance",0.774,0.87,4,-6.815,0,0.0541,0.00832,0.832,0.1,0.0354,103.491,4
5b9OqAzK4yBYmvGSL1peQv,"4SWgMzSiWoSEhEN54jg1tz,3O4xHzuHaiM4UVNlSd44xK","Time And Space","Origin 4 compiled by Regan","Avalon,Burn In Noise",2012-06-27,434366,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T20:53:59Z,"full on,progressive psytrance,psychedelic trance,trance brasileiro",0.665,0.897,0,-7.458,1,0.0471,0.000481,0.773,0.332,0.101,142.003,4
1WsHKAuN9vDthcmimdqqaY,"1btv9qmIpbp7q1ixCYNdHu,6iWBjg4b4ll4jLiParnWXT","Your Mind","Your Mind","Adam Beyer,Bart Skils",2018-07-02,502969,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-03T11:34:57Z,"dark techno,minimal techno,raw techno,schranz,swedish electronic,swedish techno,techno,deep minimal techno",0.751,0.721,11,-8.093,0,0.0655,0.000252,0.574,0.119,0.0388,126.02,4
6iuG7ys1oXplx2mkiBIBXT,"0SfsnGyD8FpIN4U4WCkBZ5,29zsVzEH33dD5QqxeL8dvy,62RdOEwjfXjFOQpKdufMR7","Great Spirit","Part of the Dream (Compiled by Vini Vici)","Armin van Buuren,Vini Vici,Hilight Tribe",2017-10-06,457826,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T23:15:12Z,"dutch house,dutch trance,edm,pop dance,progressive house,trance,progressive uplifting trance,didgeridoo",0.349,0.94,1,-5.949,0,0.0707,0.00307,0.161,0.474,0.139,138.051,4
6jD7lUQw0GbUI7Kg92IOVj,"29zsVzEH33dD5QqxeL8dvy,6WLP1sraOcF3Gaxp7xBa4p,0GVEViT63fsMLllbFa0Mop","Gaia","Gaia","Vini Vici,Blastoyz,Jean Marie",2018-12-17,195000,33,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T12:38:04Z,"progressive uplifting trance,psychedelic trance",0.298,0.935,1,-3.864,1,0.0498,0.00243,0.795,0.739,0.46,102.915,3
2Dnp7nCoJMjZzXfXN8x5dB,"2cFzYhiHqYS7o8ZIM9WD22","Mantra","Mantra","Mariana BO",2018-12-14,188800,26,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-03T11:31:14Z,"mexican edm",0.608,0.909,0,-3.62,1,0.0965,0.0785,0.00271,0.416,0.184,150,4
1Ic75bJnvNE3zpE7qZg7aA,"62RdOEwjfXjFOQpKdufMR7,29zsVzEH33dD5QqxeL8dvy","Free Tibet - Vini Vici Remix","Free Tibet (Vini Vici Remix)","Hilight Tribe,Vini Vici",2016-02-01,474782,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T22:48:25Z,"didgeridoo,progressive uplifting trance",0.383,0.947,1,-5.93,1,0.0654,0.0131,0.697,0.143,0.0741,103.512,3
5bKi7jdLo6lJ3wpIzItNS0,"2opB8qXyAmLYSGEZxp7X3U,2426qbVDIH1N0V6X5R0UV7,7AlpSErrVXjDYw038bwRRV","Merijuana (Cortex, Didrapest Remix Part 2)","Remix It","1200 Micrograms,Cortex,Didrapest",2013-05-17,384738,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T21:24:06Z,"psychedelic trance,full on",0.651,0.922,10,-6.387,0,0.0802,0.00206,0.53,0.258,0.379,145.019,4
5bWpR680sIpvdecz1S64Fi,"1YzhPssoLV65PIChO3Uri9","Charlie","Charlie","Day Din",2018-09-28,459869,21,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T14:17:13Z,"german trance,progressive psytrance,psychedelic trance",0.826,0.601,5,-8.309,0,0.125,0.0272,0.751,0.121,0.407,138.004,4
0qPomrBI5l7I7txysyfQut,"0o6xglPZ7ZGNSIPBSwwau2,7aoZZu8CEJr9f9LUcPv3OP,0fwGtEcJ4v3H0btcbM0KWc","Faya","Faya","WHITENO1SE,No Comment,Richie Loop",2018-04-19,420000,33,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T22:37:49Z,"psychedelic trance,basshall",0.625,0.903,2,-4.776,1,0.0955,0.0013,0.161,0.111,0.0456,140.035,4
07wtxHqUa3UHKBwM2a48hf,"7bSyjB4y9NAhoUDrZTpYt4,3EbiMr7AC6OqfPcrEHPVtL","Moments of Ecstasy","Moments of Ecstasy","Ace Ventura,Animato",2018-06-18,445714,0,spotify:user:qijsgl8xzepi8l2a0025dx5nj,2019-05-02T14:26:53Z,"progressive psytrance,psychedelic trance",0.619,0.928,6,-6.818,0,0.0482,0.00199,0.767,0.615,0.468,140.007,4
