Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1KEs5gnaNl40iM9Ytmq1DD,"4UwR1ir6PovnQiwX5jRPvF","The Weekend","The Weekend / Control the Media","Anti Up",2024-04-05,178921,49,spotify:user:1141856690,2024-05-13T09:09:18Z,"bass house,tech house",0.768,0.968,0,-4.226,1,0.0584,0.00728,0.267,0.0761,0.823,131.989,4
2D0TtO3YLX3KSWWXV1UoXG,"1MZecWkWxDoc1iU8qNH1q3","Disco Biscuit","Disco Biscuit","SINO",2024-03-15,153750,8,spotify:user:1141856690,2024-04-04T22:25:08Z,"",0.731,0.907,0,-5.879,1,0.0515,0.00839,0.874,0.201,0.172,127.997,3
4etO29knWU0dcyG116sFrS,"2V13AkToxc86LgKT5R3nHn,3tZ7bmKlP0vaZDKvlImKQV","No Love For The Bass","No Love For The Bass","Pleight,High Visa",2023-09-15,191380,14,spotify:user:1141856690,2024-05-14T08:30:01Z,"",0.787,0.942,9,-6.854,1,0.0654,0.00302,0.636,0.135,0.5,126.007,4
7FXAm59HhnBUHacA2zPKvr,"7w1eTNePApzDk8XtgykCPS,4Nl6PVYLwbCFfr3UqQlFtE","Bling Bling (VOLAC Remix)","Bling Bling Remixes","Malaa,VOLAC",2018-08-08,354240,7,spotify:user:1141856690,2024-05-14T08:30:40Z,"bass house,brostep,edm,electro house,electronic trap,house,brazilian edm,tech house",0.802,0.929,7,-4.988,1,0.0632,0.00199,0.86,0.0326,0.214,125.011,4
6RvWpDuPhpKFd5Z79PoFSY,"0xRXCcSX89eobfrshSVdyu","Obsession","MEDUZA","MEDUZA",2023-10-13,191484,40,spotify:user:1141856690,2024-04-16T17:16:13Z,"edm,pop dance,pop house,uk dance",0.63,0.736,6,-7.219,0,0.0514,0.0563,0.944,0.129,0.317,128.018,4
1QCgmq566LZX7sSHH7u3DU,"49qOEODA3n8HiVUY4uwJbU,6uXRjtdaIEcmHTFil7N6Ux","Mentally In Miami","Mentally In Miami","Gene Farris,Basura Boyz",2024-03-15,175784,19,spotify:user:1141856690,2024-04-16T17:17:34Z,"bass house,chicago house,tech house",0.677,0.914,7,-6.865,1,0.0624,0.0034,0.903,0.104,0.572,128.018,4
3vVAMy7LBGQmv2BOIeRISA,"3BXcEJp54u6ZEU83ZrtD4m","Not My Universe - Radio Mix","Not My Universe (Radio Mix)","Matonik",2024-03-29,183281,6,spotify:user:1141856690,2024-04-19T19:27:46Z,"",0.712,0.989,0,-4.98,1,0.04,0.00095,0.621,0.142,0.927,128.009,4
2Mu2YlVCDCZ6VDnLEHIVG4,"5fMUXHkw8R8eOP2RNVYEZX,1lAwVq9MxNJkB0dEY6xNoV,4cUkGQyhLFqKHBtL58HYVp","Diamond Therapy - VIP","Diamond Therapy","Diplo,Walker & Royce,Channel Tres",2023-09-29,277453,26,spotify:user:1141856690,2024-04-08T23:35:19Z,"dance pop,edm,electro house,moombahton,pop dance,bass house,deep disco house,house,tech house,indie soul,la pop",0.8,0.863,9,-7.731,1,0.0909,0.000311,0.758,0.0883,0.806,127.005,4
5N9rOvewy1fBRpL3MFrvEK,"7nosYGGAMoeuRxbbj9s1XB","El Meneito - Radio Mix","El Meneito","NANDDO",2024-04-12,207865,1,spotify:user:1141856690,2024-04-19T19:27:30Z,"",0.849,0.929,1,-5.213,0,0.0696,0.00145,0.0502,0.107,0.745,127.964,4
7piQz3p8z0TSUYlFyAZwU7,"2g9i2kA0jUr6sfAT28l2vL,2zoDXV6Ko316CBoCnGLDoS","Scream","Scream","James Hurr,I Jah",2023-06-16,156000,30,spotify:user:1141856690,2024-03-26T11:30:48Z,"tech house",0.712,0.986,10,-4.757,1,0.0602,0.00916,0.804,0.056,0.495,125.005,4
6HEf6kwHN5CLkX4QtmY6x4,"4DPWwBwBCnTzoQBy43ujAW","Fine Days","Be Alright","Simenga",2023-11-10,162047,5,spotify:user:1141856690,2024-04-09T17:42:19Z,"",0.7,0.91,9,-4.263,1,0.0487,0.000783,0.803,0.326,0.873,127.04,4
4IvGXv0EhUWmt5VMvaNNmA,"5PBIAEdx1voGTUb8apBiEs,4XiR4gGGKW86YoAFArkKtZ","Back Once Again","Back Once Again","Needs No Sleep,Bigredcap",2024-05-10,147034,31,spotify:user:1141856690,2024-05-11T17:53:29Z,"tech house",0.733,0.963,8,-5.787,1,0.0807,0.00736,0.0158,0.106,0.84,129.004,4
4VGJ2EIO9h3SfiMU5bafWx,"61QyzjA82M5bS3eRTva3Cv","The Captain","The Captain","Bombata",2024-03-22,206721,8,spotify:user:1141856690,2024-03-22T07:43:04Z,"",0.794,0.896,2,-5.548,1,0.056,0.0476,0.368,0.126,0.515,127.999,4
624oyMYYWykkRgxTAcdefG,"7bi8ABpXgK2DpE5nRaWdZ5","Black Rovah","Black Rovah","BURNR",2023-12-08,180451,16,spotify:user:1141856690,2024-03-22T07:37:02Z,"tech house",0.729,0.963,9,-7.907,1,0.0465,0.218,0.809,0.353,0.833,132.992,4
7hazVl5GS3cKRZ26DRIiR3,"0NBGssQpgDczTsVEp4pCbR,0SCFEgshN89tlgOPM7lbSB","Rotten - Alex Stein Remix","Rotten (Alex Stein Remix)","Oliver Huntemann,Alex Stein",2024-02-16,347808,9,spotify:user:1141856690,2024-03-02T18:50:26Z,"dark techno,german techno,hamburg electronic,high-tech minimal,minimal techno,brazilian techno",0.738,0.918,9,-6.664,1,0.0631,0.0028,0.874,0.125,0.431,131.989,4
5poZz8srlh8P5XjKsHKXj7,"5lVNSw2GPci8kebrAQpZqU,7mC3RkNNTV6p2j9w4F8Ip4,2E1NFr5AeEGUJkLUUsWCAO","When I Push - Edit","When I Push (Edit)","Eli Brown,Layton Giordani,OFFAIAH",2024-01-19,213582,60,spotify:user:1141856690,2024-03-10T18:50:12Z,"house,tech house,uk dance,dark techno,nyc club,deep groove house",0.686,0.952,7,-3.63,1,0.0497,0.0057,0.791,0.278,0.211,133.986,4
6vOVewIw7Jt1eG4hbSofy8,"6EDKZ3fyIzcualNVjPayM4","Repeat After Me","Red Pepper","Fab Massimo",2024-03-22,183214,16,spotify:user:1141856690,2024-03-22T07:37:11Z,"tech house",0.697,0.978,11,-5.562,0,0.0911,0.0282,0.24,0.439,0.498,125.984,4
6tXjfVzTfsXmF3faKhf3eA,"5O9MafawyW4O2WhJQKXj2d","Freaky","Freaky","Dustycloud",2023-10-20,280000,24,spotify:user:1141856690,2024-03-10T10:37:58Z,"bass house",0.625,0.995,8,-3.767,1,0.0452,0.000398,0.792,0.17,0.399,132.025,4
207YcqxaFYsOdJarlqyjWl,"0xRXCcSX89eobfrshSVdyu","Musica","Musica","MEDUZA",2023-11-24,177142,45,spotify:user:1141856690,2024-03-02T23:21:00Z,"edm,pop dance,pop house,uk dance",0.655,0.672,2,-6.595,1,0.0718,0.00767,0.678,0.107,0.117,126.02,4
5YB1bwuhCoQMURJ6lZgtQy,"5MfCvmoakBhPyPpI7vPqwW","OFF THE HOOK - NYC EDIT","OFF THE HOOK","GOLFOS",2024-03-01,213216,43,spotify:user:1141856690,2024-03-10T10:35:46Z,"",0.8,0.733,0,-8.424,1,0.0694,0.00294,0.672,0.0837,0.543,128.981,4
4UBUJenuZOyMh8BmEiVOkL,"0FPoqGEZFwHQfu5tRPL08X,6EDKZ3fyIzcualNVjPayM4,4X1oGt6g3c7h9UFTmwYDhF","Wanna Live Large","Wanna Live Large","Niko The Kid,Fab Massimo,Sam Stray Wood",2024-02-09,205000,36,spotify:user:1141856690,2024-02-09T15:57:41Z,"tech house",0.691,0.944,8,-5.777,1,0.0467,0.012,0.435,0.342,0.587,125.98,4
4Av03CFMSdmE60STIBLZ5N,"0gRfH72TIS2RlzSlXCIxPa","Get Back","Get Back","Feel Flow!",2024-02-09,158110,7,spotify:user:1141856690,2024-02-11T18:57:36Z,"",0.747,0.877,5,-8.011,1,0.064,0.00106,0.621,0.0815,0.899,126.04,4
2oE88742l2VHkg9GTMe3gO,"1Q03U2jYwaaXmLK5fbfQcp","Do It Right","Do It Right","Justin Fahrmer",2023-10-20,256875,1,spotify:user:1141856690,2023-12-30T00:52:02Z,"",0.804,0.92,6,-5.56,0,0.0759,0.00181,0.565,0.0524,0.579,128.022,4
614YyT5i4MIwGh0HfIDpJ6,"2dbxPQ9Ri4dvE6tuLp1jOu","Energize","Energize","Maksim Dark",2020-06-05,392640,14,spotify:user:1141856690,2024-03-10T10:38:57Z,"dark techno,russian techno",0.806,0.443,7,-9.669,1,0.0532,0.00357,0.929,0.111,0.413,125.002,4
2n5DTj98PN7jJgV5awCdos,"0iNvk3Q56xChdDxXy5zOcl,7eULJPXrjJG6Xwhowj1E7A","FIJI","FIJI","Vanstone,LNDN",2022-09-16,162580,22,spotify:user:1141856690,2024-02-17T23:38:45Z,"",0.837,0.94,9,-6.415,1,0.106,0.00196,0.0432,0.257,0.849,124.019,4
