Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4cJOLN346rtOty3UPACsao,"2sSGPbdZJkaSE2AbcGOACx","I Don't Know You","I Don't Know You","The Marías",2017-06-14,209449,2,spotify:user:1122348556,2018-04-01T20:19:58Z,"bedroom pop,la indie",0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,4
0mTHy19ihR54DdAxc9mU1C,"1QAJqy2dA3ihHBFIHRphZj","K.","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,320030,0,spotify:user:1122348556,2018-08-29T19:45:43Z,"ambient pop,dream pop,el paso indie,shoegaze",0.454,0.401,3,-10.255,1,0.026,0.131,0.845,0.137,0.321,93.719,4
4qTONez3E5S2oXf1ocpNuW,"50Zu2bK9y5UAtD0jcqk5VX","PIZZA","PIZZA","OOHYO",2017-03-15,212408,0,spotify:user:1122348556,2018-04-01T20:20:03Z,"k-indie,korean electropop",0.726,0.889,6,-4.251,0,0.0304,0.0171,0.00106,0.0741,0.538,119.983,4
4tFjlpaAFiWxFl45ilnfku,"7I7ObCLzhAnOchc4fCQiRX","Skin","Mutual Friends","BOY",2011,245240,13,spotify:user:1122348556,2018-04-01T20:20:26Z,"german indie",0.768,0.655,11,-6.863,0,0.0366,0.0539,0,0.155,0.814,129.972,4
4GkELkyI3VJstSugqnP39K,"0S2pLaAtWA8lyNyLSdpnbw","Take on Me","Start, Restart, Undo (Reedición)","Anni B Sweet",2009-01-01,193280,47,spotify:user:1122348556,2018-04-01T20:20:42Z,"granada indie,spanish indie folk,spanish indie pop",0.708,0.288,11,-11.82,1,0.0332,0.866,0.00525,0.133,0.433,119.988,4
73GB8m4FkrwQA5Xrd3xwLB,"5nCi3BB41mBaMH9gfr6Su0","Light a Roman Candle with Me","Aim and Ignite","fun.",2009,184893,0,spotify:user:1122348556,2018-04-01T20:20:46Z,"baroque pop,metropopolis,neo mellow",0.694,0.525,4,-6.699,1,0.0387,0.743,0,0.108,0.177,129.084,4
7u3lTMHvoF9eZ4ILagnur1,"2MG46ekjBSFwPgzoIZvHFU","Tell Me If You Wanna Go Home","Begin Again - Music From And Inspired By The Original Motion Picture","Keira Knightley",2014-07-01,219586,0,spotify:user:1122348556,2018-04-10T16:31:47Z,"hollywood",0.597,0.854,10,-5.554,1,0.043,0.2,0.0000012,0.0747,0.402,143.071,4
4MsK0UTqvtfrkw5YlhhyAV,"4oPsvVmYV90ryTGgyskkbp","The Time To Sleep","Nice Is Good","Marble Sounds",2010-03-15,250480,0,spotify:user:1122348556,2018-04-17T13:41:29Z,"belgian indie,belgian rock",0.585,0.609,4,-7.297,1,0.029,0.0617,0.727,0.128,0.0556,89.976,3
59FC22eN2Syt9bbv2d6393,"0YrtvWJMgSdVrk3SfNjTbx","Black Sun","Kintsugi","Death Cab for Cutie",2015-03-27,289160,47,spotify:user:1122348556,2018-04-25T21:28:04Z,"alternative rock,canadian indie,chamber pop,indie rock,indietronica,modern alternative rock,modern rock,seattle indie,washington indie",0.608,0.642,2,-7.978,1,0.0251,0.17,0.0667,0.166,0.608,87.703,4
0q6LuUqGLUiCPP1cbdwFs3,"3AA28KZvwAUcZuOKwyblJQ","On Melancholy Hill","Plastic Beach","Gorillaz",2010-03-03,233866,77,spotify:user:1122348556,2018-04-27T23:50:18Z,"alternative hip hop,modern rock,rock",0.689,0.739,2,-5.81,1,0.026,0.0000151,0.509,0.064,0.578,120.423,4
