Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7ebGlWCDxd41Lxa9JHlBtc,"7Emrl5SyjpneJuRdHqBKRN","Do I Love You (Indeed I Do)","Northern Soul: 20 Original Classics","Frank Wilson",2010-01-01,144040,30,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"northern soul",0.531,0.831,0,-6.025,1,0.0422,0.0645,0.00000983,0.383,0.783,133.506,4
19Wks5GfADcWu3DbumZVdO,"5zaXYwewAXedKNCff45U5l","Live It Up","Northern Soul: 20 Original Classics","Dusty Springfield",2010-01-01,144533,29,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"adult standards,british invasion,soul,vocal jazz",0.525,0.739,8,-7.158,1,0.0827,0.392,0,0.67,0.584,128.976,4
3b5fKAI87YL59VqkeyD5At,"4hLuzWVCPicO3nNHfFvB32","I Surrender","Northern Soul: 20 Original Classics","Eddie Holman",2010-01-01,125066,17,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"classic soul,northern soul,philly soul,southern soul",0.514,0.611,7,-5.821,0,0.028,0.452,0,0.508,0.734,149.216,4
5WmFu705RnlgskAGw43211,"4Yg38CnYMoN09sMLf6KDdW","There's A Ghost In My House","Northern Soul: 20 Original Classics","R. Dean Taylor",2010-01-01,143586,30,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"northern soul",0.487,0.882,6,-4.759,0,0.0368,0.151,0,0.144,0.853,81.046,4
6vpnxcJHN96uL0I8twLqRG,"08BQmH2M3Ew9XjMHaHsl1l","Tainted Love - Single Version","Northern Soul: 20 Original Classics","Gloria Jones",2010-01-01,131200,1,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"northern soul",0.597,0.686,8,-5.667,1,0.0547,0.699,0,0.705,0.832,80.566,4
0m93FHy7HpicthChd6j2yn,"3Hra0KQr00Pe9oqmQdVtvp","Nothing But A Heartache","Northern Soul: 20 Original Classics","The Flirtations",2010-01-01,161746,22,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"northern soul,rhythm and blues",0.558,0.937,8,-5.316,1,0.0483,0.00138,0,0.0807,0.761,112.021,4
1A4hZJoG8ZvW5D2Iu9vmX1,"0rXI0q8Cahq6numvPlloaq","Stormy","Northern Soul: 20 Original Classics","Diana Ross & The Supremes",2010-01-01,183106,16,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"classic girl group",0.452,0.684,10,-6.795,1,0.0321,0.086,0.00000748,0.157,0.847,116.041,4
0mLBqH0GQXiyPS1dUKnoxj,"0wbrRIw2po5DV4LeaHw55S","It's All Up To You","Northern Soul: 20 Original Classics","The Dells",2010-01-01,240746,13,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"chicago soul,classic soul,disco,funk,quiet storm,soul,southern soul",0.499,0.552,7,-10.678,1,0.0433,0.184,0,0.342,0.729,134.462,4
2Jaajjma1hAXdaxFhWvAMw,"1RSTlxBlVr8XeyoFFa8qo0","It Really Hurts Me Girl","Northern Soul: 20 Original Classics","The Carstairs",2010-01-01,209413,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"northern soul",0.605,0.869,7,-4.744,1,0.0532,0.311,0.00000669,0.505,0.821,130.258,4
1dLE6EWdCRitr2bvDapVNX,"6mcrZQmgzFGRWf7C0SObou","The Night - 1972 Version","Northern Soul: 20 Original Classics","Frankie Valli & The Four Seasons",2010-01-01,201400,22,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly",0.431,0.784,0,-7.015,0,0.0551,0.114,0.000957,0.0748,0.612,153.164,4
5EiODU9peIFE9gnjNjxV2E,"0TF2NxkJZPQoX1H53rEFM1","No One Could Love You More","Northern Soul: 20 Original Classics","Gladys Knight & The Pips",2010-01-01,196786,18,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"classic soul,disco,funk,motown,quiet storm,soul",0.549,0.671,1,-6.146,0,0.0401,0.253,0,0.665,0.934,113.486,4
3Ia6uAQbUGIge8DdRjB48n,"1b1N51wmSK0ckxFAMPSSHO","Can't Satisfy - Single Version","Northern Soul: 20 Original Classics","The Impressions",2010-01-01,155613,14,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"chicago soul,classic soul,funk,quiet storm,soul",0.613,0.79,0,-4.357,1,0.0368,0.119,0,0.0581,0.909,125.848,4
7neHlDOzLf0qFgEzeK8L8t,"11EZGTWr2pY0VZPlWokAbl","Suspicion","Northern Soul: 20 Original Classics","The Originals",2010-01-01,184613,27,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"classic soul,motown,northern soul,southern soul",0.571,0.759,3,-3.747,0,0.0267,0.225,0.00000988,0.0459,0.884,131.791,4
4Ht2EKwBTWMYi5q7S0DLFq,"42XZY0CgAMqr140pSB1iVe","Why, Why, Why","Northern Soul: 20 Original Classics","Mill Evans",2010-01-01,166106,0,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"",0.332,0.723,0,-5.048,1,0.0514,0.716,0.000117,0.308,0.785,185.854,3
0TSbPti6Q9jDdS7SuYTBuu,"5w834ZosnqiBBV8xXCi3oD","Love Runs Out","Northern Soul: 20 Original Classics","Willie Hutch",2010-01-01,158960,12,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"classic soul,southern soul",0.572,0.642,2,-6.218,1,0.03,0.0547,0.00000109,0.417,0.618,133.358,4
3ovRhznWVJQSbMZ2DAdpi3,"7pMCOLP5RNWENPzdFunVc2","Love's Gone Bad - Single Version","Northern Soul: 20 Original Classics","Chris Clark",2010-01-01,141480,13,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"",0.667,0.839,10,-6.329,0,0.0294,0.0241,0,0.152,0.964,118.783,4
4U0U2CWFh4hVYTVAt1yDZc,"1XbD7zgDdqQXEqm4Pvkhw1","Landslide","Northern Soul: 20 Original Classics","Tony Clarke",2010-01-01,133453,16,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"",0.579,0.726,3,-6.394,1,0.0426,0.0359,0,0.0997,0.965,143.779,4
6MAV3IXWc2cRbgzhgQomUw,"2eSddWmVzjlAKbK7EBrfRq","I Got The Fever","Northern Soul: 20 Original Classics","Prophets",2010-01-01,172226,22,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"",0.466,0.675,1,-5.585,0,0.0337,0.0818,0,0.299,0.886,150.303,4
5y2LajBrQaeo0Vd8Yhu3oY,"0hirZ8kPPdM9pzXpoagB4w","Let's Wade In The Water","Northern Soul: 20 Original Classics","Marlena Shaw",2010-01-01,212600,14,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"classic soul",0.703,0.747,5,-4.244,0,0.0446,0.593,0.000221,0.199,0.96,137.723,4
6TlBt1r3FB8m8NMzHLQDSn,"6zmYJLz4S51QuAsI6Jr4Xd","Soul Self Satisfaction - Demo Version","Northern Soul: 20 Original Classics","Earl Jackson",2010-01-01,144906,14,spotify:user:1zy4qczx6za7vjt9lh5cram7u,2020-04-05T14:30:58Z,"northern soul",0.615,0.686,3,-5.764,1,0.0331,0.539,0,0.0727,0.908,140.075,4
