Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7H3EFWwrJbyeBgrMdmKNlL,"0gCYUYF1zfqZk5pG0e2ojy","Sad Music","Sad Music","Jessica Winter",2020-04-29,213513,26,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.621,0.731,5,-5.552,0,0.0331,0.0195,0.00111,0.12,0.47,111.033,4
2bZeCw3SEcY0uMq2bdhFGc,"4SKFiKjEPLdlpXSOQZhlsi","AMERICA'S NEXT TOP MODEL","AMERICA'S NEXT TOP MODEL","SPIDER",2023-02-28,175491,12,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.323,0.881,2,-3.714,1,0.0586,0.0000417,0.00000666,0.35,0.322,113.517,5
4GHmY6MxPzapdarlVs7yku,"2TJkCzhISn0eZv1cQ8eLSp","Girlracer","Home Recordings 2020 - 2021","Tokky Horror",2021-11-05,188374,20,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.445,0.971,2,-4.966,1,0.0858,0.00019,0.0342,0.157,0.729,174.005,4
2JDMX69HvkeJuoNmFoj1Lz,"4u5UG0TxXroCBnpgBruPOP","Big Shouty","Big Shouty","Problem Patterns",2020-04-24,86000,24,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"northern irish punk",0.572,0.852,0,-4.154,1,0.0316,0.00354,0.0102,0.0941,0.813,97.99,4
6d7dzHTqixv66VXoJ7HVmP,"2TDMep1IfMAASZxbC5FAo5","Can't Breathe","Can't Breathe","UNIVERSITY",2022-06-24,228288,20,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.398,0.915,8,-5.836,1,0.111,0.0000504,0.234,0.353,0.166,93.586,4
0C5PNJfeaVX5BOekT3OQy3,"5jyDRjrVTg2M6uHOQF5MhU","Pressure","Pressure","Saloon Dion",2022-05-05,113706,0,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"crank wave",0.203,0.926,11,-3.88,1,0.0514,0.00111,0.0000376,0.285,0.286,166.968,4
4B4IlgS0GHIklKko9ZToF7,"03MpGjIGzAU3Kojn67mohB","Confidential","Conviction","Ut",2019-04-05,382306,12,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"no wave",0.458,0.899,5,-8.265,1,0.041,0.0354,0.00116,0.106,0.387,124.801,4
4iUUcBYABP5wRbxqI5rdQI,"2d2ElnqC2cMPp7zcSyv3yG","Bad Dad","BLUSH","PVA",2022-10-14,220441,26,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"alternative dance,crank wave",0.639,0.787,5,-5.001,0,0.0286,0.00274,0.64,0.12,0.385,136,4
6KVrBjqTZ9JVzeHWd0Gf2M,"0nf8O65KycyskvB7V0pnjK","Ultra-Modern Rain","Ultra-Modern Rain","The Early Mornings",2022-11-02,177325,2,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"uk post-punk revival",0.3,0.78,0,-2.787,1,0.0376,0.0142,0.0000305,0.0955,0.521,177.694,4
579hAiajLvlPBiY5rAgbos,"66Gzhiva0YwMSNd9PI1z3x","Cold Hearted Woman","Cold Hearted Woman by The Faux Faux (Original Version)","The Faux Faux",2023-02-07,205867,5,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.677,0.595,4,-9.357,0,0.056,0.0286,0.00952,0.154,0.411,98.018,4
6rrx9nIuW5sLfF4wOkEkmA,"00iuwT8Yynxp7xmtRXiPgZ","Dark Horse","Dark Horse","Ziyad Al-Samman",2021-07-07,256354,1,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.657,0.491,0,-8.57,1,0.0314,0.342,0.0000122,0.123,0.243,125,4
6TFYIl7imalzkLvnCZCtpO,"2LwlVrqI7U4WS448GpAozT","Boiler Suits & Combat Boots (Edit)","Boiler Suits & Combat Boots (Edit)","The Umlauts",2021-02-10,255612,3,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.697,0.646,7,-8.213,1,0.0391,0.0747,0.0941,0.176,0.506,107.986,4
0Y4UrlRUESco26ddxbNBEL,"7kqPysY88dtq0TF7yO134f,1lT3vDbjqz299SxePec6ZG","Role Models - Adult DVD Remix","Life Preserver Extended","Treeboy & Arc,Adult DVD",2022-09-30,219600,12,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"crank wave,leeds indie",0.694,0.692,8,-10.647,1,0.0387,0.0245,0.000192,0.0486,0.857,115.999,4
1H8vdvDoz6HvNsenOwfK0v,"2d2ElnqC2cMPp7zcSyv3yG,5Q81rlcTFh3k6DQJXPdsot","Talks - Mura Masa Dub","Talks (Remixes)","PVA,Mura Masa",2020-10-20,240978,16,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"alternative dance,crank wave,channel islands indie,escape room,hyperpop,indie soul,vapor soul",0.753,0.851,8,-8.879,1,0.0411,0.00318,0.834,0.0953,0.195,120.001,4
3uXfYljIQAhATWWGjjCSJA,"48US3n5ecZ1TS4RjzsdWrm","Cog in the Wheel","Nomad EP","Baba Ali",2017-03-03,319600,38,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"neo r&b",0.862,0.305,1,-16.318,0,0.104,0.371,0.585,0.112,0.356,96.975,4
3F1GhoKlxcNrXiPp36yV2w,"1uJ1OrPB052VTMHWzekmBU","fosn","fosn","PHIA SKY",2021-04-26,262480,0,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.612,0.668,11,-8.872,0,0.0301,0.257,0.245,0.108,0.455,139.623,4
0k87ewwqgvRm9N1bhkwHKE,"1nj9nHPkz1IbxXEpkW1WTz","Syrup","Syrup","96 Back",2023-01-20,316421,0,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"ambient techno",0.71,0.322,1,-14.377,1,0.0348,0.6,0.0509,0.107,0.283,137.97,4
1TrINDgHjZKnh97KjE9jw9,"3sahYmgBP2YRduVchn1I8E","DOCILE GOETICA (sharpened faculties of awareness and understanding)","THE ONLY WAY WE KNOW TO HAVE FUN","ENGLAND'S COUNCIL OF LEGISLATION AND GOVERNING BODY OF HYPER REAL SIMULATIONS AND CONSTRUCTS",2021-07-09,272739,0,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.417,0.772,8,-8.352,1,0.099,0.000906,0.153,0.186,0.474,140.983,3
5M8eY9QJmnympiwrGobVEM,"1XVXie4hrXt3io4HWPmUUu","Claustrophobic","Claustrophobic","Bennettiscoming",2021-06-21,108042,0,spotify:user:jmuzngt45yf4qmyax14m66ri2,2023-03-03T10:36:24Z,"",0.396,0.558,6,-8.745,1,0.102,0.0256,0.58,0.143,0.299,80.015,4
