Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
15rfKoEyJHYf7Jo1OtpgKh,"4CSzaAvNdI4yF4qs3IQYXe","Snakes","Snakes","Sydka",2023-01-04,477959,2,spotify:user:,1970-01-01T00:00:00Z,"",0.83,0.383,7,-12.184,1,0.0962,0.0225,0.861,0.0843,0.467,112,4
1iDxNtb7jleE8GqD4m81dA,"7pXu47GoqSYRajmBCjxdD6,7vWFpgyWJ9CXisL0x6vYJN","New Guru","Schvitz","Vulfpeck,Antwaun Stanley",2022-12-30,204174,45,spotify:user:,1970-01-01T00:00:00Z,"ann arbor indie,funk rock,instrumental funk,praise",0.79,0.572,6,-9.072,0,0.176,0.02,0,0.152,0.745,132.531,4
0wP9okoDWmbeC2w9E8ZzPu,"57dN52uHvrHOxijzpIgu3E","Wildcat","Classics","Ratatat",2006-08-22,260173,48,spotify:user:,1970-01-01T00:00:00Z,"brooklyn indie,indietronica",0.703,0.718,1,-7.522,1,0.0671,0.0479,0.426,0.0415,0.785,115.993,4
3r8RuvgbX9s7ammBn07D3W,"6HvZYsbFfjnjFrWF950C9d","Ditto","Ditto","NewJeans",2022-12-19,185506,78,spotify:user:,1970-01-01T00:00:00Z,"k-pop,k-pop girl group",0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
7Fwr8cvPniyzSheDvAxSMx,"3I2GYH3sJaBakVf5tydDbn,5RWTv1TLAxHSP7N33pFJfN,3jBxJe3QHScYuEPo86Zeu5","Solace - Extended Mix","Solace","Yeadon,Boy North,JOSEFINA",2023-01-06,452782,6,spotify:user:,1970-01-01T00:00:00Z,"melodic house",0.403,0.747,8,-9.992,0,0.0521,0.0124,0.873,0.102,0.411,124.009,4
6qnULXVFGfFqPj0Hpj0tIG,"1Zz6NBe8UIZjm88TvehFtx","Underwater","Underwater / Other Voices","Le Youth",2020-11-13,297635,41,spotify:user:,1970-01-01T00:00:00Z,"house,melodic house,nu disco,uk dance",0.672,0.679,2,-6.068,1,0.0294,0.00745,0.0811,0.0532,0.321,123.019,4
4rERaNiKlILD603GJvdEvm,"5tDjiBYUsTqzd0RkTZxK7u,7iCW4xyVOIklzZ2qc7pS5h","Cappadocia","Cappadocia","Ben Böhmer,Romain Garcia",2020-09-10,282063,54,spotify:user:,1970-01-01T00:00:00Z,"melodic house",0.349,0.685,8,-9.281,1,0.0421,0.0037,0.893,0.122,0.277,123.025,4
2IY559smG7SXYk229NA2Vl,"4mxWe1mtYIYfP040G38yvS","Little Bitty","Everything I Love","Alan Jackson",1996-09-30,158626,67,spotify:user:,1970-01-01T00:00:00Z,"country",0.571,0.818,4,-6.539,1,0.0415,0.151,0,0.348,0.728,163.045,4
1gVpJV2u6QS2SCEnx492zj,"1wzB10UZxI2084H8YLdPfc","Doors","Doors","Mikhaylov",2022-12-30,411147,0,spotify:user:,1970-01-01T00:00:00Z,"",0.801,0.925,1,-7.685,1,0.0471,0.000519,0.841,0.0673,0.0635,122.005,4
01sZDPOem8A1UdHTmfcIwN,"0Vr0xxcbllx4JWHHxio088,0BucDI2Jefl98UVU02zM9D,3tUtnhxnXl3zZdQUOpcyq6","Underworld - Tuff City Kids Remix","Underworld","Edu Imbernon,Duologue,Tuff City Kids",2017-05-05,465556,7,spotify:user:,1970-01-01T00:00:00Z,"deep disco house,spanish techno,frankfurt electronic",0.767,0.725,8,-7.402,1,0.0685,0.000314,0.899,0.0795,0.261,123.004,4
0lkOo0CBfPiIqCTODvubDx,"6nDOWOY45vBCj8zb1JocP4,6jZ7TKB2LVm0P6SmpnXMtp,3WMWUUim3gL4CkDLkTDwsE","Rembetico - Stéphane Salerno Remix","Terra D'Oriente (Incl. Stefan Alexander Thomas Remix)","Jack Essek,Salvo Migliorini,Stephane Salerno",2023-02-02,392000,0,spotify:user:,1970-01-01T00:00:00Z,"ethnotronica",0.813,0.6,11,-13.51,0,0.0482,0.774,0.918,0.137,0.519,120.008,4
130nTGhbzIhc9wkuXJTICc,"5EmEZjq8eHEC6qFnT63Lza","Light Beam - Mixed","Anjunadeep 12","Tinlicker",2021-02-08,294200,20,spotify:user:,1970-01-01T00:00:00Z,"melodic house",0.604,0.826,7,-7.57,1,0.0338,0.000328,0.771,0.364,0.128,123.994,4
0zvNHIL7ci0ZzIoWU6RO2u,"0jgAONnsHxrwAlhkMUVS78","I Love a Rainy Night","All Time Greatest Hits","Eddie Rabbitt",1991,191066,62,spotify:user:,1970-01-01T00:00:00Z,"classic country pop,country,country rock,mellow gold,soft rock",0.685,0.718,0,-7.724,1,0.0521,0.122,0,0.0556,0.958,131.463,4
78gsYtKkFyIWEgiTQWy6IC,"4ektcDcn3vO6wfbwS0ANns","Hypnotize","Hypnotize","Kevin Paul",2023-01-06,510000,0,spotify:user:,1970-01-01T00:00:00Z,"",0.799,0.877,8,-6.918,1,0.0547,0.00474,0.849,0.0746,0.0334,120.003,4
082b0B3Jgco4whLdcifuOh,"5sgg14hu0eI0GhqUCxKV7v,0aPNhtrzvas6BBr9N7Db7w","Primavera","Primavera","Acrobat,Sounds Of Sirin",2022-12-16,398360,15,spotify:user:,1970-01-01T00:00:00Z,"",0.682,0.793,9,-7.012,0,0.0389,0.000624,0.928,0.12,0.435,122.999,4
5fZSSrlp21kk0GOMPZ1Mlk,"5srbzu0tyZ1Wb1HgDOqVFj,2uZvZGrM7yOWYMEjzjMraz","To Find You","To Find You / Aura","Modera,KYAND",2022-04-22,258000,33,spotify:user:,1970-01-01T00:00:00Z,"melodic house",0.581,0.777,4,-10.14,1,0.0313,0.00437,0.658,0.24,0.108,123.009,4
7DcJ6fEBb7BaKuYKTwiDxK,"5J81VungUjSVHxlPpTI9KG","Homage","Skiptracing","Mild High Club",2016-08-26,177493,72,spotify:user:,1970-01-01T00:00:00Z,"indie garage rock,neo-psychedelic",0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4
1dgWTMoHwTUnQhOQ8SR5fV,"3grHWM9bx2E9vwJCdlRv9O","American Kids","The Big Revival","Kenny Chesney",2014-09-22,182960,77,spotify:user:,1970-01-01T00:00:00Z,"contemporary country,country,country road,modern country rock",0.782,0.589,0,-7.37,1,0.0803,0.0476,0.00000584,0.0366,0.849,85.022,4
0YzZ4LC3Z3OjHQg6eZdubW,"2AYLgq9P1arichVXbNbjVy","Really Love You","Really Love You / Distant Blips","Kamilo Sanclemente",2023-02-24,382363,12,spotify:user:,1970-01-01T00:00:00Z,"dark progressive house,deep progressive house,focus trance,organic house",0.663,0.955,6,-7.358,1,0.0376,0.000401,0.889,0.107,0.166,121.011,4
